spec.jvm2008.report.run.location=HOPE09
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Fri Jun 24 08:48:54 BST 2016, end=Fri Jun 24 08:48:54 BST 2016, operations=1.0, operationsPerMinute=967.741935483871
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 08:48:54 BST 2016, end=Fri Jun 24 08:48:54 BST 2016, operations=1.0, operationsPerMinute=428.57142857142856
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 08:48:54 BST 2016, end=Fri Jun 24 08:49:16 BST 2016, operations=1.0, operationsPerMinute=2.6857654431512983
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 08:49:16 BST 2016, end=Fri Jun 24 08:49:21 BST 2016, operations=1.0, operationsPerMinute=13.03780964797914
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 08:49:21 BST 2016, end=Fri Jun 24 08:49:22 BST 2016, operations=1.0, operationsPerMinute=36.99136868064118
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 08:49:22 BST 2016, end=Fri Jun 24 08:49:32 BST 2016, operations=1.0, operationsPerMinute=6.018657839301835
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 08:49:32 BST 2016, end=Fri Jun 24 08:49:41 BST 2016, operations=1.0, operationsPerMinute=6.93000693000693
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 08:49:41 BST 2016, end=Fri Jun 24 08:49:48 BST 2016, operations=1.0, operationsPerMinute=8.306797729475287
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 08:49:48 BST 2016, end=Fri Jun 24 08:49:51 BST 2016, operations=1.0, operationsPerMinute=19.5248942401562
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 08:49:51 BST 2016, end=Fri Jun 24 08:49:52 BST 2016, operations=1.0, operationsPerMinute=64.1025641025641
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 08:49:52 BST 2016, end=Fri Jun 24 08:49:54 BST 2016, operations=1.0, operationsPerMinute=46.91164972634871
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 08:49:54 BST 2016, end=Fri Jun 24 08:50:01 BST 2016, operations=1.0, operationsPerMinute=8.62316757688991
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 08:50:01 BST 2016, end=Fri Jun 24 08:50:02 BST 2016, operations=1.0, operationsPerMinute=34.64203233256351
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 08:50:02 BST 2016, end=Fri Jun 24 08:50:04 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 08:50:04 BST 2016, end=Fri Jun 24 08:50:07 BST 2016, operations=1.0, operationsPerMinute=19.723865877712033
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 08:50:07 BST 2016, end=Fri Jun 24 08:50:14 BST 2016, operations=1.0, operationsPerMinute=8.415147265077138
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 08:50:14 BST 2016, end=Fri Jun 24 08:50:43 BST 2016, operations=1.0, operationsPerMinute=2.0578954589106875
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 08:50:43 BST 2016, end=Fri Jun 24 08:50:44 BST 2016, operations=1.0, operationsPerMinute=48.661800486618006
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 08:51:01 BST 2016, end=Fri Jun 24 08:53:01 BST 2016, operations=348.0024742656764, operationsPerMinute=174.0012371328382, mode=normal, start=Fri Jun 24 08:53:03 BST 2016, end=Fri Jun 24 08:57:03 BST 2016, operations=720.1755825498465, operationsPerMinute=180.04389563746162
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 08:57:09 BST 2016, end=Fri Jun 24 08:59:09 BST 2016, operations=141.3115900683478, operationsPerMinute=70.6557950341739, mode=normal, start=Fri Jun 24 08:59:14 BST 2016, end=Fri Jun 24 09:03:14 BST 2016, operations=282.3471119346327, operationsPerMinute=70.58677798365818
benchmark-name=compress, mod=warmup, start=Fri Jun 24 09:03:19 BST 2016, end=Fri Jun 24 09:05:19 BST 2016, operations=270.41327478856414, operationsPerMinute=135.20663739428207, mode=normal, start=Fri Jun 24 09:05:22 BST 2016, end=Fri Jun 24 09:09:22 BST 2016, operations=540.5321398129054, operationsPerMinute=135.13303495322634
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 09:09:25 BST 2016, end=Fri Jun 24 09:11:25 BST 2016, operations=84.88568382510347, operationsPerMinute=42.442841912551735, mode=normal, start=Fri Jun 24 09:11:34 BST 2016, end=Fri Jun 24 09:15:34 BST 2016, operations=179.95733739776796, operationsPerMinute=44.98933434944199
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 24 09:15:42 BST 2016, end=Fri Jun 24 09:17:42 BST 2016, operations=145.4891020789291, operationsPerMinute=72.74455103946455, mode=normal, start=Fri Jun 24 09:17:48 BST 2016, end=Fri Jun 24 09:21:48 BST 2016, operations=291.30156900929586, operationsPerMinute=72.82539225232397
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 24 09:21:53 BST 2016, end=Fri Jun 24 09:23:53 BST 2016, operations=249.88844650864664, operationsPerMinute=124.94422325432332, mode=normal, start=Fri Jun 24 09:23:57 BST 2016, end=Fri Jun 24 09:27:57 BST 2016, operations=504.6423511506498, operationsPerMinute=126.16058778766245
benchmark-name=derby, mod=warmup, start=Fri Jun 24 09:29:25 BST 2016, end=Fri Jun 24 09:31:25 BST 2016, operations=204.04212051165155, operationsPerMinute=102.02106025582577, mode=normal, start=Fri Jun 24 09:31:29 BST 2016, end=Fri Jun 24 09:35:29 BST 2016, operations=410.72612912716704, operationsPerMinute=102.68153228179176
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 24 09:35:32 BST 2016, end=Fri Jun 24 09:37:32 BST 2016, operations=132.8097430103827, operationsPerMinute=66.40487150519135, mode=normal, start=Fri Jun 24 09:37:38 BST 2016, end=Fri Jun 24 09:41:38 BST 2016, operations=267.01259753020565, operationsPerMinute=66.75314938255141
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 24 09:41:44 BST 2016, end=Fri Jun 24 09:43:44 BST 2016, operations=56.1400433250722, operationsPerMinute=28.0700216625361, mode=normal, start=Fri Jun 24 09:43:57 BST 2016, end=Fri Jun 24 09:47:57 BST 2016, operations=121.30973139274995, operationsPerMinute=30.327432848187488
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 24 09:48:09 BST 2016, end=Fri Jun 24 09:50:09 BST 2016, operations=11.48458274990045, operationsPerMinute=5.742291374950225, mode=normal, start=Fri Jun 24 09:50:45 BST 2016, end=Fri Jun 24 09:54:45 BST 2016, operations=22.86528676912073, operationsPerMinute=5.716321692280182
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 24 09:55:38 BST 2016, end=Fri Jun 24 09:57:38 BST 2016, operations=54.34799531707623, operationsPerMinute=27.173997658538116, mode=normal, start=Fri Jun 24 09:57:50 BST 2016, end=Fri Jun 24 10:01:50 BST 2016, operations=108.93618786065335, operationsPerMinute=27.234046965163337
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 24 10:02:03 BST 2016, end=Fri Jun 24 10:04:03 BST 2016, operations=37.0959848982054, operationsPerMinute=18.5479924491027, mode=normal, start=Fri Jun 24 10:04:18 BST 2016, end=Fri Jun 24 10:08:18 BST 2016, operations=74.34049397061617, operationsPerMinute=18.58512349265404
benchmark-name=scimark.fft.small, mod=warmup, start=Fri Jun 24 10:08:34 BST 2016, end=Fri Jun 24 10:10:34 BST 2016, operations=519.924229583387, operationsPerMinute=259.9621147916935, mode=normal, start=Fri Jun 24 10:10:35 BST 2016, end=Fri Jun 24 10:14:35 BST 2016, operations=1038.0267445256752, operationsPerMinute=259.5066861314188
