spec.jvm2008.report.run.location=KINGS07
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8066
benchmark-name=check, mode=normal, start=Fri Jun 03 15:04:05 BST 2016, end=Fri Jun 03 15:04:05 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 03 15:04:05 BST 2016, end=Fri Jun 03 15:04:05 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 03 15:04:05 BST 2016, end=Fri Jun 03 15:04:20 BST 2016, operations=1.0, operationsPerMinute=3.8194665478388186
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 03 15:04:20 BST 2016, end=Fri Jun 03 15:04:25 BST 2016, operations=1.0, operationsPerMinute=13.786764705882353
benchmark-name=startup.compress, mode=normal, start=Fri Jun 03 15:04:25 BST 2016, end=Fri Jun 03 15:04:26 BST 2016, operations=1.0, operationsPerMinute=42.704626334519574
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 03 15:04:26 BST 2016, end=Fri Jun 03 15:04:35 BST 2016, operations=1.0, operationsPerMinute=6.712911165808906
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 03 15:04:35 BST 2016, end=Fri Jun 03 15:04:43 BST 2016, operations=1.0, operationsPerMinute=7.881255746748982
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 03 15:04:43 BST 2016, end=Fri Jun 03 15:04:49 BST 2016, operations=1.0, operationsPerMinute=9.007656508031827
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 03 15:04:49 BST 2016, end=Fri Jun 03 15:04:52 BST 2016, operations=1.0, operationsPerMinute=22.488755622188904
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 03 15:04:52 BST 2016, end=Fri Jun 03 15:04:53 BST 2016, operations=1.0, operationsPerMinute=68.72852233676976
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 03 15:04:53 BST 2016, end=Fri Jun 03 15:04:54 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 03 15:04:54 BST 2016, end=Fri Jun 03 15:05:00 BST 2016, operations=1.0, operationsPerMinute=9.937065253395163
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 03 15:05:00 BST 2016, end=Fri Jun 03 15:05:02 BST 2016, operations=1.0, operationsPerMinute=38.83495145631068
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 03 15:05:02 BST 2016, end=Fri Jun 03 15:05:03 BST 2016, operations=1.0, operationsPerMinute=53.42831700801425
benchmark-name=startup.serial, mode=normal, start=Fri Jun 03 15:05:03 BST 2016, end=Fri Jun 03 15:05:05 BST 2016, operations=1.0, operationsPerMinute=23.455824863174357
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 03 15:05:05 BST 2016, end=Fri Jun 03 15:05:12 BST 2016, operations=1.0, operationsPerMinute=9.049773755656108
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 03 15:05:12 BST 2016, end=Fri Jun 03 15:05:38 BST 2016, operations=1.0, operationsPerMinute=2.278509854555121
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 03 15:05:38 BST 2016, end=Fri Jun 03 15:05:39 BST 2016, operations=1.0, operationsPerMinute=55.710306406685234
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 03 15:05:52 BST 2016, end=Fri Jun 03 15:07:52 BST 2016, operations=433.43041740099295, operationsPerMinute=216.71520870049648, mode=normal, start=Fri Jun 03 15:07:54 BST 2016, end=Fri Jun 03 15:11:54 BST 2016, operations=884.4790757597971, operationsPerMinute=221.11976893994927
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 03 15:11:59 BST 2016, end=Fri Jun 03 15:13:59 BST 2016, operations=172.0401426335777, operationsPerMinute=86.02007131678884, mode=normal, start=Fri Jun 03 15:14:03 BST 2016, end=Fri Jun 03 15:18:03 BST 2016, operations=341.4758460236872, operationsPerMinute=85.3689615059218
benchmark-name=compress, mod=warmup, start=Fri Jun 03 15:18:07 BST 2016, end=Fri Jun 03 15:20:07 BST 2016, operations=373.9783656254582, operationsPerMinute=186.9891828127291, mode=normal, start=Fri Jun 03 15:20:08 BST 2016, end=Fri Jun 03 15:24:08 BST 2016, operations=746.9629524864681, operationsPerMinute=186.74073812161703
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 03 15:24:10 BST 2016, end=Fri Jun 03 15:26:10 BST 2016, operations=123.90696637811527, operationsPerMinute=61.953483189057636, mode=normal, start=Fri Jun 03 15:26:16 BST 2016, end=Fri Jun 03 15:30:16 BST 2016, operations=259.3686610400398, operationsPerMinute=64.84216526000995
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 03 15:30:22 BST 2016, end=Fri Jun 03 15:32:22 BST 2016, operations=219.48965870309365, operationsPerMinute=109.74482935154683, mode=normal, start=Fri Jun 03 15:32:26 BST 2016, end=Fri Jun 03 15:36:26 BST 2016, operations=441.0404549287361, operationsPerMinute=110.26011373218402
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 03 15:36:29 BST 2016, end=Fri Jun 03 15:38:29 BST 2016, operations=374.25533418232305, operationsPerMinute=187.12766709116153, mode=normal, start=Fri Jun 03 15:38:32 BST 2016, end=Fri Jun 03 15:42:32 BST 2016, operations=747.8933800444489, operationsPerMinute=186.97334501111223
benchmark-name=derby, mod=warmup, start=Fri Jun 03 15:43:51 BST 2016, end=Fri Jun 03 15:45:51 BST 2016, operations=277.3661568986354, operationsPerMinute=138.6830784493177, mode=normal, start=Fri Jun 03 15:45:54 BST 2016, end=Fri Jun 03 15:49:54 BST 2016, operations=559.319594703913, operationsPerMinute=139.82989867597826
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 03 15:49:57 BST 2016, end=Fri Jun 03 15:51:57 BST 2016, operations=183.6483312327319, operationsPerMinute=91.82416561636595, mode=normal, start=Fri Jun 03 15:52:02 BST 2016, end=Fri Jun 03 15:56:02 BST 2016, operations=368.47971181564793, operationsPerMinute=92.11992795391198
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 03 15:56:06 BST 2016, end=Fri Jun 03 15:58:06 BST 2016, operations=97.72272312314576, operationsPerMinute=48.86136156157288, mode=normal, start=Fri Jun 03 15:58:12 BST 2016, end=Fri Jun 03 16:02:12 BST 2016, operations=197.81553868112965, operationsPerMinute=49.45388467028241
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 03 16:02:20 BST 2016, end=Fri Jun 03 16:04:20 BST 2016, operations=21.633751986491745, operationsPerMinute=10.816875993245873, mode=normal, start=Fri Jun 03 16:04:50 BST 2016, end=Fri Jun 03 16:08:50 BST 2016, operations=43.24454478745089, operationsPerMinute=10.811136196862723
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 03 16:09:10 BST 2016, end=Fri Jun 03 16:11:10 BST 2016, operations=73.53783711016982, operationsPerMinute=36.76891855508491, mode=normal, start=Fri Jun 03 16:11:20 BST 2016, end=Fri Jun 03 16:15:20 BST 2016, operations=146.45252717770154, operationsPerMinute=36.613131794425385
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 03 16:15:29 BST 2016, end=Fri Jun 03 16:17:29 BST 2016, operations=71.86606593023915, operationsPerMinute=35.93303296511957, mode=normal, start=Fri Jun 03 16:17:40 BST 2016, end=Fri Jun 03 16:21:40 BST 2016, operations=143.20853011389707, operationsPerMinute=35.80213252847427
