spec.jvm2008.report.run.location=GLAZIER02
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8066
benchmark-name=check, mode=normal, start=Fri Jun 24 07:09:34 BST 2016, end=Fri Jun 24 07:09:34 BST 2016, operations=1.0, operationsPerMinute=952.3809523809524
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 07:09:34 BST 2016, end=Fri Jun 24 07:09:34 BST 2016, operations=1.0, operationsPerMinute=483.8709677419355
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 07:09:34 BST 2016, end=Fri Jun 24 07:09:51 BST 2016, operations=1.0, operationsPerMinute=3.538153084090105
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 07:09:51 BST 2016, end=Fri Jun 24 07:09:55 BST 2016, operations=1.0, operationsPerMinute=14.40576230492197
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 07:09:55 BST 2016, end=Fri Jun 24 07:09:56 BST 2016, operations=1.0, operationsPerMinute=43.22766570605187
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 07:09:56 BST 2016, end=Fri Jun 24 07:10:06 BST 2016, operations=1.0, operationsPerMinute=6.552364311455717
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 07:10:06 BST 2016, end=Fri Jun 24 07:10:13 BST 2016, operations=1.0, operationsPerMinute=7.6765609007164795
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 07:10:13 BST 2016, end=Fri Jun 24 07:10:20 BST 2016, operations=1.0, operationsPerMinute=8.80152559777028
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 07:10:20 BST 2016, end=Fri Jun 24 07:10:23 BST 2016, operations=1.0, operationsPerMinute=22.23045572434235
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 07:10:23 BST 2016, end=Fri Jun 24 07:10:24 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 07:10:24 BST 2016, end=Fri Jun 24 07:10:25 BST 2016, operations=1.0, operationsPerMinute=54.200542005420054
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 07:10:25 BST 2016, end=Fri Jun 24 07:10:31 BST 2016, operations=1.0, operationsPerMinute=9.836065573770492
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 07:10:31 BST 2016, end=Fri Jun 24 07:10:33 BST 2016, operations=1.0, operationsPerMinute=38.86010362694301
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 07:10:33 BST 2016, end=Fri Jun 24 07:10:34 BST 2016, operations=1.0, operationsPerMinute=51.99306759098787
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 07:10:34 BST 2016, end=Fri Jun 24 07:10:36 BST 2016, operations=1.0, operationsPerMinute=23.023791250959324
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 07:10:36 BST 2016, end=Fri Jun 24 07:10:43 BST 2016, operations=1.0, operationsPerMinute=8.80152559777028
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 07:10:43 BST 2016, end=Fri Jun 24 07:11:09 BST 2016, operations=1.0, operationsPerMinute=2.3581197924854584
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 07:11:09 BST 2016, end=Fri Jun 24 07:11:10 BST 2016, operations=1.0, operationsPerMinute=54.200542005420054
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 07:11:23 BST 2016, end=Fri Jun 24 07:13:23 BST 2016, operations=398.122664270505, operationsPerMinute=199.0613321352525, mode=normal, start=Fri Jun 24 07:13:25 BST 2016, end=Fri Jun 24 07:17:25 BST 2016, operations=813.0847600226389, operationsPerMinute=203.27119000565972
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 07:17:30 BST 2016, end=Fri Jun 24 07:19:30 BST 2016, operations=162.66018855600393, operationsPerMinute=81.33009427800197, mode=normal, start=Fri Jun 24 07:19:35 BST 2016, end=Fri Jun 24 07:23:35 BST 2016, operations=327.19056281867563, operationsPerMinute=81.79764070466891
benchmark-name=compress, mod=warmup, start=Fri Jun 24 07:23:40 BST 2016, end=Fri Jun 24 07:25:40 BST 2016, operations=333.18138653048203, operationsPerMinute=166.59069326524101, mode=normal, start=Fri Jun 24 07:25:42 BST 2016, end=Fri Jun 24 07:29:42 BST 2016, operations=656.1951115630537, operationsPerMinute=164.04877789076343
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 07:29:44 BST 2016, end=Fri Jun 24 07:31:44 BST 2016, operations=108.61533403092008, operationsPerMinute=54.30766701546004, mode=normal, start=Fri Jun 24 07:31:50 BST 2016, end=Fri Jun 24 07:35:50 BST 2016, operations=228.91238121983082, operationsPerMinute=57.228095304957705
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 24 07:35:57 BST 2016, end=Fri Jun 24 07:37:57 BST 2016, operations=191.89967583539536, operationsPerMinute=95.94983791769768, mode=normal, start=Fri Jun 24 07:38:01 BST 2016, end=Fri Jun 24 07:42:01 BST 2016, operations=384.49569398207836, operationsPerMinute=96.12392349551959
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 24 07:42:04 BST 2016, end=Fri Jun 24 07:44:04 BST 2016, operations=329.97249068980875, operationsPerMinute=164.98624534490438, mode=normal, start=Fri Jun 24 07:44:06 BST 2016, end=Fri Jun 24 07:48:06 BST 2016, operations=658.0777048954076, operationsPerMinute=164.5194262238519
benchmark-name=derby, mod=warmup, start=Fri Jun 24 07:49:16 BST 2016, end=Fri Jun 24 07:51:16 BST 2016, operations=244.39887377891614, operationsPerMinute=122.19943688945807, mode=normal, start=Fri Jun 24 07:51:18 BST 2016, end=Fri Jun 24 07:55:18 BST 2016, operations=488.3552711842152, operationsPerMinute=122.0888177960538
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 24 07:55:22 BST 2016, end=Fri Jun 24 07:57:22 BST 2016, operations=162.19300633588543, operationsPerMinute=81.09650316794271, mode=normal, start=Fri Jun 24 07:57:25 BST 2016, end=Fri Jun 24 08:01:25 BST 2016, operations=322.1448657850673, operationsPerMinute=80.53621644626682
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 24 08:01:30 BST 2016, end=Fri Jun 24 08:03:30 BST 2016, operations=94.17078134654972, operationsPerMinute=47.08539067327486, mode=normal, start=Fri Jun 24 08:03:37 BST 2016, end=Fri Jun 24 08:07:37 BST 2016, operations=192.29260128414765, operationsPerMinute=48.07315032103691
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 24 08:07:43 BST 2016, end=Fri Jun 24 08:09:43 BST 2016, operations=21.243298384596912, operationsPerMinute=10.621649192298456, mode=normal, start=Fri Jun 24 08:10:22 BST 2016, end=Fri Jun 24 08:14:22 BST 2016, operations=42.33656580953863, operationsPerMinute=10.584141452384657
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 24 08:14:53 BST 2016, end=Fri Jun 24 08:16:53 BST 2016, operations=64.38313442021973, operationsPerMinute=32.191567210109866, mode=normal, start=Fri Jun 24 08:17:05 BST 2016, end=Fri Jun 24 08:21:05 BST 2016, operations=130.06310858387093, operationsPerMinute=32.51577714596773
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 24 08:21:15 BST 2016, end=Fri Jun 24 08:23:15 BST 2016, operations=70.87666065115742, operationsPerMinute=35.43833032557871, mode=normal, start=Fri Jun 24 08:23:22 BST 2016, end=Fri Jun 24 08:27:22 BST 2016, operations=141.95874965425028, operationsPerMinute=35.48968741356257
benchmark-name=scimark.fft.small, mod=warmup, start=Fri Jun 24 08:27:32 BST 2016, end=Fri Jun 24 08:29:32 BST 2016, operations=568.7949176817941, operationsPerMinute=284.39745884089706, mode=normal, start=Fri Jun 24 08:29:33 BST 2016, end=Fri Jun 24 08:33:33 BST 2016, operations=1118.9843995635401, operationsPerMinute=279.74609989088503
benchmark-name=scimark.lu.small, mod=warmup, start=Fri Jun 24 08:33:35 BST 2016, end=Fri Jun 24 08:35:35 BST 2016, operations=432.8854356963673, operationsPerMinute=216.44271784818366, mode=normal, start=Fri Jun 24 08:35:37 BST 2016, end=Fri Jun 24 08:39:37 BST 2016, operations=870.7423619701965, operationsPerMinute=217.68559049254912
benchmark-name=scimark.sor.small, mod=warmup, start=Fri Jun 24 08:39:39 BST 2016, end=Fri Jun 24 08:41:39 BST 2016, operations=274.723131483803, operationsPerMinute=137.3615657419015, mode=normal, start=Fri Jun 24 08:41:41 BST 2016, end=Fri Jun 24 08:45:41 BST 2016, operations=539.0557000357203, operationsPerMinute=134.76392500893007
benchmark-name=scimark.sparse.small, mod=warmup, start=Fri Jun 24 08:45:43 BST 2016, end=Fri Jun 24 08:47:43 BST 2016, operations=399.334139816758, operationsPerMinute=199.667069908379, mode=normal, start=Fri Jun 24 08:47:45 BST 2016, end=Fri Jun 24 08:51:45 BST 2016, operations=787.4027810827695, operationsPerMinute=196.85069527069237
benchmark-name=scimark.monte_carlo, mod=warmup, start=Fri Jun 24 08:51:47 BST 2016, end=Fri Jun 24 08:53:47 BST 2016, operations=91.64197179338719, operationsPerMinute=45.82098589669359, mode=normal, start=Fri Jun 24 08:53:55 BST 2016, end=Fri Jun 24 08:57:55 BST 2016, operations=183.77766517735074, operationsPerMinute=45.944416294337685
benchmark-name=serial, mod=warmup, start=Fri Jun 24 08:58:03 BST 2016, end=Fri Jun 24 09:00:03 BST 2016, operations=179.5520171362795, operationsPerMinute=89.77600856813974, mode=normal, start=Fri Jun 24 09:00:07 BST 2016, end=Fri Jun 24 09:04:07 BST 2016, operations=358.1501977125168, operationsPerMinute=89.5375494281292
