spec.jvm2008.report.run.location=GREY-05
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sun Jul 03 18:20:40 BST 2016, end=Sun Jul 03 18:20:40 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sun Jul 03 18:20:40 BST 2016, end=Sun Jul 03 18:20:41 BST 2016, operations=1.0, operationsPerMinute=275.22935779816515
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jul 03 18:20:41 BST 2016, end=Sun Jul 03 18:20:57 BST 2016, operations=1.0, operationsPerMinute=3.723239218119764
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jul 03 18:20:57 BST 2016, end=Sun Jul 03 18:21:00 BST 2016, operations=1.0, operationsPerMinute=16.7973124300112
benchmark-name=startup.compress, mode=normal, start=Sun Jul 03 18:21:00 BST 2016, end=Sun Jul 03 18:21:01 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jul 03 18:21:01 BST 2016, end=Sun Jul 03 18:21:10 BST 2016, operations=1.0, operationsPerMinute=7.057163020465773
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jul 03 18:21:10 BST 2016, end=Sun Jul 03 18:21:17 BST 2016, operations=1.0, operationsPerMinute=8.079719903043362
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jul 03 18:21:17 BST 2016, end=Sun Jul 03 18:21:24 BST 2016, operations=1.0, operationsPerMinute=8.882309400444116
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jul 03 18:21:24 BST 2016, end=Sun Jul 03 18:21:26 BST 2016, operations=1.0, operationsPerMinute=26.52519893899204
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jul 03 18:21:26 BST 2016, end=Sun Jul 03 18:21:27 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jul 03 18:21:27 BST 2016, end=Sun Jul 03 18:21:28 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jul 03 18:21:28 BST 2016, end=Sun Jul 03 18:21:34 BST 2016, operations=1.0, operationsPerMinute=10.95690284879474
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jul 03 18:21:34 BST 2016, end=Sun Jul 03 18:21:35 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jul 03 18:21:35 BST 2016, end=Sun Jul 03 18:21:36 BST 2016, operations=1.0, operationsPerMinute=62.047569803516026
benchmark-name=startup.serial, mode=normal, start=Sun Jul 03 18:21:36 BST 2016, end=Sun Jul 03 18:21:38 BST 2016, operations=1.0, operationsPerMinute=28.275212064090482
benchmark-name=startup.sunflow, mode=normal, start=Sun Jul 03 18:21:38 BST 2016, end=Sun Jul 03 18:21:44 BST 2016, operations=1.0, operationsPerMinute=9.404388714733543
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jul 03 18:21:44 BST 2016, end=Sun Jul 03 18:22:05 BST 2016, operations=1.0, operationsPerMinute=2.972209838014564
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jul 03 18:22:05 BST 2016, end=Sun Jul 03 18:22:05 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jul 03 18:22:17 BST 2016, end=Sun Jul 03 18:24:17 BST 2016, operations=488.63100036681425, operationsPerMinute=244.31550018340712, mode=normal, start=Sun Jul 03 18:24:18 BST 2016, end=Sun Jul 03 18:28:18 BST 2016, operations=1016.4727042995077, operationsPerMinute=254.1181760748769
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jul 03 18:28:23 BST 2016, end=Sun Jul 03 18:30:23 BST 2016, operations=199.02199431855843, operationsPerMinute=99.51099715927921, mode=normal, start=Sun Jul 03 18:30:25 BST 2016, end=Sun Jul 03 18:34:25 BST 2016, operations=396.04747159196603, operationsPerMinute=99.01186789799151
benchmark-name=compress, mod=warmup, start=Sun Jul 03 18:34:29 BST 2016, end=Sun Jul 03 18:36:29 BST 2016, operations=400.9801813590415, operationsPerMinute=200.49009067952076, mode=normal, start=Sun Jul 03 18:36:31 BST 2016, end=Sun Jul 03 18:40:31 BST 2016, operations=801.7552880275521, operationsPerMinute=200.43882200688802
benchmark-name=crypto.aes, mod=warmup, start=Sun Jul 03 18:40:33 BST 2016, end=Sun Jul 03 18:42:33 BST 2016, operations=138.72608688426664, operationsPerMinute=69.36304344213332, mode=normal, start=Sun Jul 03 18:42:37 BST 2016, end=Sun Jul 03 18:46:37 BST 2016, operations=291.3443177967978, operationsPerMinute=72.83607944919945
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jul 03 18:46:42 BST 2016, end=Sun Jul 03 18:48:42 BST 2016, operations=234.9558271181162, operationsPerMinute=117.4779135590581, mode=normal, start=Sun Jul 03 18:48:45 BST 2016, end=Sun Jul 03 18:52:45 BST 2016, operations=467.28599959945194, operationsPerMinute=116.82149989986299
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jul 03 18:52:48 BST 2016, end=Sun Jul 03 18:54:48 BST 2016, operations=405.3166315752367, operationsPerMinute=202.65831578761836, mode=normal, start=Sun Jul 03 18:54:50 BST 2016, end=Sun Jul 03 18:58:50 BST 2016, operations=814.2111562027886, operationsPerMinute=203.55278905069716
benchmark-name=derby, mod=warmup, start=Sun Jul 03 18:59:30 BST 2016, end=Sun Jul 03 19:01:30 BST 2016, operations=360.8072264818621, operationsPerMinute=180.40361324093104, mode=normal, start=Sun Jul 03 19:01:32 BST 2016, end=Sun Jul 03 19:05:32 BST 2016, operations=723.1943502185807, operationsPerMinute=180.79858755464517
benchmark-name=mpegaudio, mod=warmup, start=Sun Jul 03 19:05:35 BST 2016, end=Sun Jul 03 19:07:35 BST 2016, operations=208.37372166758996, operationsPerMinute=104.18686083379498, mode=normal, start=Sun Jul 03 19:07:39 BST 2016, end=Sun Jul 03 19:11:39 BST 2016, operations=416.7643041752463, operationsPerMinute=104.19107604381158
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jul 03 19:11:42 BST 2016, end=Sun Jul 03 19:13:42 BST 2016, operations=76.79305323410605, operationsPerMinute=38.39652661705303, mode=normal, start=Sun Jul 03 19:13:50 BST 2016, end=Sun Jul 03 19:17:50 BST 2016, operations=143.7286665375939, operationsPerMinute=35.93216663439848
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jul 03 19:17:59 BST 2016, end=Sun Jul 03 19:19:59 BST 2016, operations=13.837845520985425, operationsPerMinute=6.918922760492713, mode=normal, start=Sun Jul 03 19:20:44 BST 2016, end=Sun Jul 03 19:24:44 BST 2016, operations=27.71823673454536, operationsPerMinute=6.92955918363634
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jul 03 19:25:14 BST 2016, end=Sun Jul 03 19:27:14 BST 2016, operations=74.57776027070358, operationsPerMinute=37.28888013535179, mode=normal, start=Sun Jul 03 19:27:23 BST 2016, end=Sun Jul 03 19:31:23 BST 2016, operations=149.0203236657412, operationsPerMinute=37.2550809164353
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jul 03 19:31:34 BST 2016, end=Sun Jul 03 19:33:34 BST 2016, operations=43.1551699433551, operationsPerMinute=21.57758497167755, mode=normal, start=Sun Jul 03 19:33:45 BST 2016, end=Sun Jul 03 19:37:45 BST 2016, operations=86.39771529498383, operationsPerMinute=21.599428823745956
benchmark-name=scimark.fft.small, mod=warmup, start=Sun Jul 03 19:38:01 BST 2016, end=Sun Jul 03 19:40:01 BST 2016, operations=700.5205307600802, operationsPerMinute=350.2602653800401, mode=normal, start=Sun Jul 03 19:40:02 BST 2016, end=Sun Jul 03 19:44:02 BST 2016, operations=1467.920972671006, operationsPerMinute=366.9802431677515
benchmark-name=scimark.lu.small, mod=warmup, start=Sun Jul 03 19:44:03 BST 2016, end=Sun Jul 03 19:46:03 BST 2016, operations=575.3602918064931, operationsPerMinute=287.68014590324657, mode=normal, start=Sun Jul 03 19:46:05 BST 2016, end=Sun Jul 03 19:50:05 BST 2016, operations=1152.7178630379644, operationsPerMinute=288.1794657594911
benchmark-name=scimark.sor.small, mod=warmup, start=Sun Jul 03 19:50:06 BST 2016, end=Sun Jul 03 19:52:06 BST 2016, operations=330.00485307679577, operationsPerMinute=165.00242653839788, mode=normal, start=Sun Jul 03 19:52:09 BST 2016, end=Sun Jul 03 19:56:09 BST 2016, operations=659.6956626216509, operationsPerMinute=164.9239156554127
