spec.jvm2008.report.run.location=GLAZIER04
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8066
benchmark-name=check, mode=normal, start=Fri Jun 24 07:09:15 BST 2016, end=Fri Jun 24 07:09:16 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 07:09:16 BST 2016, end=Fri Jun 24 07:09:16 BST 2016, operations=1.0, operationsPerMinute=425.531914893617
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 07:09:16 BST 2016, end=Fri Jun 24 07:09:34 BST 2016, operations=1.0, operationsPerMinute=3.3562678301728477
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 07:09:34 BST 2016, end=Fri Jun 24 07:09:38 BST 2016, operations=1.0, operationsPerMinute=14.566642388929353
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 07:09:38 BST 2016, end=Fri Jun 24 07:09:39 BST 2016, operations=1.0, operationsPerMinute=43.22766570605187
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 07:09:39 BST 2016, end=Fri Jun 24 07:09:48 BST 2016, operations=1.0, operationsPerMinute=6.563833278634723
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 07:09:48 BST 2016, end=Fri Jun 24 07:09:56 BST 2016, operations=1.0, operationsPerMinute=7.586294095334429
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 07:09:56 BST 2016, end=Fri Jun 24 07:10:03 BST 2016, operations=1.0, operationsPerMinute=8.92325996430696
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 07:10:03 BST 2016, end=Fri Jun 24 07:10:06 BST 2016, operations=1.0, operationsPerMinute=22.23045572434235
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 07:10:06 BST 2016, end=Fri Jun 24 07:10:06 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 07:10:06 BST 2016, end=Fri Jun 24 07:10:08 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 07:10:08 BST 2016, end=Fri Jun 24 07:10:14 BST 2016, operations=1.0, operationsPerMinute=9.837678307919331
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 07:10:14 BST 2016, end=Fri Jun 24 07:10:15 BST 2016, operations=1.0, operationsPerMinute=38.46153846153846
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 07:10:15 BST 2016, end=Fri Jun 24 07:10:16 BST 2016, operations=1.0, operationsPerMinute=51.94805194805195
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 07:10:16 BST 2016, end=Fri Jun 24 07:10:19 BST 2016, operations=1.0, operationsPerMinute=23.032629558541267
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 07:10:19 BST 2016, end=Fri Jun 24 07:10:26 BST 2016, operations=1.0, operationsPerMinute=8.903398130286392
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 07:10:26 BST 2016, end=Fri Jun 24 07:10:50 BST 2016, operations=1.0, operationsPerMinute=2.4797487187964955
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 07:10:50 BST 2016, end=Fri Jun 24 07:10:51 BST 2016, operations=1.0, operationsPerMinute=54.200542005420054
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 07:11:05 BST 2016, end=Fri Jun 24 07:13:05 BST 2016, operations=398.06861228351426, operationsPerMinute=199.03430614175713, mode=normal, start=Fri Jun 24 07:13:07 BST 2016, end=Fri Jun 24 07:17:07 BST 2016, operations=826.8669972207304, operationsPerMinute=206.7167493051826
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 07:17:13 BST 2016, end=Fri Jun 24 07:19:13 BST 2016, operations=164.95076483709374, operationsPerMinute=82.47538241854687, mode=normal, start=Fri Jun 24 07:19:17 BST 2016, end=Fri Jun 24 07:23:17 BST 2016, operations=325.44205443756044, operationsPerMinute=81.36051360939011
benchmark-name=compress, mod=warmup, start=Fri Jun 24 07:23:20 BST 2016, end=Fri Jun 24 07:25:20 BST 2016, operations=353.41103742897116, operationsPerMinute=176.70551871448558, mode=normal, start=Fri Jun 24 07:25:23 BST 2016, end=Fri Jun 24 07:29:23 BST 2016, operations=705.9512132163138, operationsPerMinute=176.48780330407845
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 07:29:25 BST 2016, end=Fri Jun 24 07:31:25 BST 2016, operations=116.1408482410532, operationsPerMinute=58.0704241205266, mode=normal, start=Fri Jun 24 07:31:31 BST 2016, end=Fri Jun 24 07:35:31 BST 2016, operations=245.75884143538804, operationsPerMinute=61.43971035884701
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 24 07:35:37 BST 2016, end=Fri Jun 24 07:37:37 BST 2016, operations=209.70584600596692, operationsPerMinute=104.85292300298346, mode=normal, start=Fri Jun 24 07:37:40 BST 2016, end=Fri Jun 24 07:41:40 BST 2016, operations=418.3599092450129, operationsPerMinute=104.58997731125322
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 24 07:41:45 BST 2016, end=Fri Jun 24 07:43:45 BST 2016, operations=354.48273368176547, operationsPerMinute=177.24136684088273, mode=normal, start=Fri Jun 24 07:43:47 BST 2016, end=Fri Jun 24 07:47:47 BST 2016, operations=708.085386264449, operationsPerMinute=177.02134656611224
benchmark-name=derby, mod=warmup, start=Fri Jun 24 07:48:58 BST 2016, end=Fri Jun 24 07:50:58 BST 2016, operations=260.72361891215644, operationsPerMinute=130.36180945607822, mode=normal, start=Fri Jun 24 07:51:02 BST 2016, end=Fri Jun 24 07:55:02 BST 2016, operations=525.8693298569327, operationsPerMinute=131.46733246423318
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 24 07:55:04 BST 2016, end=Fri Jun 24 07:57:04 BST 2016, operations=173.5122822542561, operationsPerMinute=86.75614112712805, mode=normal, start=Fri Jun 24 07:57:09 BST 2016, end=Fri Jun 24 08:01:09 BST 2016, operations=346.74824199835126, operationsPerMinute=86.68706049958782
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 24 08:01:12 BST 2016, end=Fri Jun 24 08:03:12 BST 2016, operations=100.5625903345885, operationsPerMinute=50.28129516729425, mode=normal, start=Fri Jun 24 08:03:20 BST 2016, end=Fri Jun 24 08:07:20 BST 2016, operations=199.24149331683515, operationsPerMinute=49.81037332920879
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 24 08:07:27 BST 2016, end=Fri Jun 24 08:09:27 BST 2016, operations=21.617964789636023, operationsPerMinute=10.808982394818011, mode=normal, start=Fri Jun 24 08:09:56 BST 2016, end=Fri Jun 24 08:13:56 BST 2016, operations=43.18751867785174, operationsPerMinute=10.796879669462935
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 24 08:14:23 BST 2016, end=Fri Jun 24 08:16:23 BST 2016, operations=69.81621551602049, operationsPerMinute=34.908107758010246, mode=normal, start=Fri Jun 24 08:16:34 BST 2016, end=Fri Jun 24 08:20:34 BST 2016, operations=139.20820925949977, operationsPerMinute=34.80205231487494
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 24 08:20:44 BST 2016, end=Fri Jun 24 08:22:44 BST 2016, operations=72.45998792132511, operationsPerMinute=36.229993960662554, mode=normal, start=Fri Jun 24 08:22:53 BST 2016, end=Fri Jun 24 08:26:53 BST 2016, operations=144.82760343485108, operationsPerMinute=36.20690085871277
