spec.jvm2008.report.run.location=BEDSONTCA00
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i3-2100 CPU @ 3.10GHz
spec.jvm2008.report.hw.number.of.cores=2
spec.jvm2008.report.hw.memory.size=4054
benchmark-name=check, mode=normal, start=Sun Jun 19 00:41:40 BST 2016, end=Sun Jun 19 00:41:40 BST 2016, operations=1.0, operationsPerMinute=967.741935483871
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 19 00:41:40 BST 2016, end=Sun Jun 19 00:41:41 BST 2016, operations=1.0, operationsPerMinute=425.531914893617
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 19 00:41:41 BST 2016, end=Sun Jun 19 00:42:01 BST 2016, operations=1.0, operationsPerMinute=2.9931158335827597
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 19 00:42:01 BST 2016, end=Sun Jun 19 00:42:06 BST 2016, operations=1.0, operationsPerMinute=12.096774193548388
benchmark-name=startup.compress, mode=normal, start=Sun Jun 19 00:42:06 BST 2016, end=Sun Jun 19 00:42:07 BST 2016, operations=1.0, operationsPerMinute=35.60830860534124
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 19 00:42:07 BST 2016, end=Sun Jun 19 00:42:18 BST 2016, operations=1.0, operationsPerMinute=5.656108597285068
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 19 00:42:18 BST 2016, end=Sun Jun 19 00:42:27 BST 2016, operations=1.0, operationsPerMinute=6.771244780498815
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 19 00:42:27 BST 2016, end=Sun Jun 19 00:42:34 BST 2016, operations=1.0, operationsPerMinute=8.342602892102336
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 19 00:42:34 BST 2016, end=Sun Jun 19 00:42:37 BST 2016, operations=1.0, operationsPerMinute=18.674136321195146
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 19 00:42:37 BST 2016, end=Sun Jun 19 00:42:38 BST 2016, operations=1.0, operationsPerMinute=61.98347107438016
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 19 00:42:38 BST 2016, end=Sun Jun 19 00:42:39 BST 2016, operations=1.0, operationsPerMinute=47.50593824228029
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 19 00:42:39 BST 2016, end=Sun Jun 19 00:42:46 BST 2016, operations=1.0, operationsPerMinute=8.60461781155887
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 19 00:42:46 BST 2016, end=Sun Jun 19 00:42:48 BST 2016, operations=1.0, operationsPerMinute=33.16749585406302
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 19 00:42:48 BST 2016, end=Sun Jun 19 00:42:50 BST 2016, operations=1.0, operationsPerMinute=40.053404539385845
benchmark-name=startup.serial, mode=normal, start=Sun Jun 19 00:42:50 BST 2016, end=Sun Jun 19 00:42:53 BST 2016, operations=1.0, operationsPerMinute=19.329896907216494
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 19 00:42:53 BST 2016, end=Sun Jun 19 00:43:01 BST 2016, operations=1.0, operationsPerMinute=7.646234229641902
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 19 00:43:01 BST 2016, end=Sun Jun 19 00:43:30 BST 2016, operations=1.0, operationsPerMinute=2.08239336410648
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 19 00:43:30 BST 2016, end=Sun Jun 19 00:43:31 BST 2016, operations=1.0, operationsPerMinute=46.91164972634871
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 19 00:43:47 BST 2016, end=Sun Jun 19 00:45:47 BST 2016, operations=273.8368576860048, operationsPerMinute=136.9184288430024, mode=normal, start=Sun Jun 19 00:45:49 BST 2016, end=Sun Jun 19 00:49:49 BST 2016, operations=559.9738233652238, operationsPerMinute=139.99345584130594
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 19 00:49:55 BST 2016, end=Sun Jun 19 00:51:55 BST 2016, operations=109.7489031713855, operationsPerMinute=54.87445158569275, mode=normal, start=Sun Jun 19 00:51:59 BST 2016, end=Sun Jun 19 00:55:59 BST 2016, operations=219.36686880968094, operationsPerMinute=54.841717202420234
benchmark-name=compress, mod=warmup, start=Sun Jun 19 00:56:06 BST 2016, end=Sun Jun 19 00:58:06 BST 2016, operations=216.0248937480879, operationsPerMinute=108.01244687404395, mode=normal, start=Sun Jun 19 00:58:09 BST 2016, end=Sun Jun 19 01:02:09 BST 2016, operations=425.42072805838734, operationsPerMinute=106.35518201459683
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 19 01:02:12 BST 2016, end=Sun Jun 19 01:04:12 BST 2016, operations=57.226227317535006, operationsPerMinute=28.613113658767503, mode=normal, start=Sun Jun 19 01:04:24 BST 2016, end=Sun Jun 19 01:08:24 BST 2016, operations=120.4564054541774, operationsPerMinute=30.11410136354435
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 19 01:08:36 BST 2016, end=Sun Jun 19 01:10:36 BST 2016, operations=101.4966252907988, operationsPerMinute=50.7483126453994, mode=normal, start=Sun Jun 19 01:10:43 BST 2016, end=Sun Jun 19 01:14:43 BST 2016, operations=201.9087479705449, operationsPerMinute=50.47718699263623
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 19 01:14:50 BST 2016, end=Sun Jun 19 01:16:50 BST 2016, operations=173.59342823817894, operationsPerMinute=86.79671411908947, mode=normal, start=Sun Jun 19 01:16:55 BST 2016, end=Sun Jun 19 01:20:55 BST 2016, operations=345.3788477228864, operationsPerMinute=86.3447119307216
benchmark-name=derby, mod=warmup, start=Sun Jun 19 01:22:24 BST 2016, end=Sun Jun 19 01:24:24 BST 2016, operations=146.2844801533116, operationsPerMinute=73.1422400766558, mode=normal, start=Sun Jun 19 01:24:28 BST 2016, end=Sun Jun 19 01:28:28 BST 2016, operations=295.0121427883779, operationsPerMinute=73.75303569709448
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 19 01:28:31 BST 2016, end=Sun Jun 19 01:30:31 BST 2016, operations=97.31609978071775, operationsPerMinute=48.658049890358875, mode=normal, start=Sun Jun 19 01:30:39 BST 2016, end=Sun Jun 19 01:34:39 BST 2016, operations=194.45476708533153, operationsPerMinute=48.61369177133288
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 19 01:34:45 BST 2016, end=Sun Jun 19 01:36:45 BST 2016, operations=50.22993406844015, operationsPerMinute=25.114967034220076, mode=normal, start=Sun Jun 19 01:36:57 BST 2016, end=Sun Jun 19 01:40:57 BST 2016, operations=101.74037594858595, operationsPerMinute=25.435093987146487
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 19 01:41:09 BST 2016, end=Sun Jun 19 01:43:09 BST 2016, operations=11.4174778540932, operationsPerMinute=5.7087389270466, mode=normal, start=Sun Jun 19 01:43:46 BST 2016, end=Sun Jun 19 01:47:46 BST 2016, operations=22.7859459650865, operationsPerMinute=5.696486491271625
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 19 01:48:30 BST 2016, end=Sun Jun 19 01:50:30 BST 2016, operations=61.3584336261998, operationsPerMinute=30.6792168130999, mode=normal, start=Sun Jun 19 01:50:43 BST 2016, end=Sun Jun 19 01:54:43 BST 2016, operations=122.42326048230598, operationsPerMinute=30.605815120576494
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 19 01:54:54 BST 2016, end=Sun Jun 19 01:56:54 BST 2016, operations=36.34997420229834, operationsPerMinute=18.17498710114917, mode=normal, start=Sun Jun 19 01:57:16 BST 2016, end=Sun Jun 19 02:01:16 BST 2016, operations=72.65729758060877, operationsPerMinute=18.164324395152192
benchmark-name=scimark.fft.small, mod=warmup, start=Sun Jun 19 02:01:34 BST 2016, end=Sun Jun 19 02:03:34 BST 2016, operations=370.08579255548517, operationsPerMinute=185.04289627774259, mode=normal, start=Sun Jun 19 02:03:36 BST 2016, end=Sun Jun 19 02:07:36 BST 2016, operations=730.4995622416748, operationsPerMinute=182.6248905604187
