spec.jvm2008.report.run.location=NIDD25
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
spec.jvm2008.report.hw.number.of.cores=2
spec.jvm2008.report.hw.memory.size=3991
benchmark-name=check, mode=normal, start=Sun Jun 26 18:40:03 BST 2016, end=Sun Jun 26 18:40:03 BST 2016, operations=1.0, operationsPerMinute=769.2307692307693
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 26 18:40:03 BST 2016, end=Sun Jun 26 18:40:03 BST 2016, operations=1.0, operationsPerMinute=319.1489361702128
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 26 18:40:03 BST 2016, end=Sun Jun 26 18:40:34 BST 2016, operations=1.0, operationsPerMinute=1.9743986310836157
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 26 18:40:34 BST 2016, end=Sun Jun 26 18:40:39 BST 2016, operations=1.0, operationsPerMinute=11.084426380934786
benchmark-name=startup.compress, mode=normal, start=Sun Jun 26 18:40:39 BST 2016, end=Sun Jun 26 18:40:41 BST 2016, operations=1.0, operationsPerMinute=33.72681281618887
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 26 18:40:41 BST 2016, end=Sun Jun 26 18:40:52 BST 2016, operations=1.0, operationsPerMinute=5.510147855634126
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 26 18:40:52 BST 2016, end=Sun Jun 26 18:41:00 BST 2016, operations=1.0, operationsPerMinute=6.855575868372943
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 26 18:41:00 BST 2016, end=Sun Jun 26 18:41:08 BST 2016, operations=1.0, operationsPerMinute=8.200082000820009
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 26 18:41:08 BST 2016, end=Sun Jun 26 18:41:12 BST 2016, operations=1.0, operationsPerMinute=15.507883173946757
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 26 18:41:12 BST 2016, end=Sun Jun 26 18:41:13 BST 2016, operations=1.0, operationsPerMinute=50.5902192242833
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 26 18:41:13 BST 2016, end=Sun Jun 26 18:41:15 BST 2016, operations=1.0, operationsPerMinute=33.44481605351171
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 26 18:41:15 BST 2016, end=Sun Jun 26 18:41:22 BST 2016, operations=1.0, operationsPerMinute=7.661856723279275
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 26 18:41:22 BST 2016, end=Sun Jun 26 18:41:24 BST 2016, operations=1.0, operationsPerMinute=32.87671232876713
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 26 18:41:24 BST 2016, end=Sun Jun 26 18:41:26 BST 2016, operations=1.0, operationsPerMinute=28.91566265060241
benchmark-name=startup.serial, mode=normal, start=Sun Jun 26 18:41:26 BST 2016, end=Sun Jun 26 18:41:30 BST 2016, operations=1.0, operationsPerMinute=14.623446258835
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 26 18:41:30 BST 2016, end=Sun Jun 26 18:41:39 BST 2016, operations=1.0, operationsPerMinute=7.243752263672582
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 26 18:41:39 BST 2016, end=Sun Jun 26 18:42:19 BST 2016, operations=1.0, operationsPerMinute=1.5023662268072213
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 26 18:42:19 BST 2016, end=Sun Jun 26 18:42:20 BST 2016, operations=1.0, operationsPerMinute=40.48582995951417
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 26 18:42:43 BST 2016, end=Sun Jun 26 18:44:43 BST 2016, operations=242.715002489563, operationsPerMinute=121.3575012447815, mode=normal, start=Sun Jun 26 18:44:44 BST 2016, end=Sun Jun 26 18:48:44 BST 2016, operations=499.5506306275978, operationsPerMinute=124.88765765689945
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 26 18:48:50 BST 2016, end=Sun Jun 26 18:50:50 BST 2016, operations=97.20111821917095, operationsPerMinute=48.600559109585475, mode=normal, start=Sun Jun 26 18:50:53 BST 2016, end=Sun Jun 26 18:54:53 BST 2016, operations=193.57168790500108, operationsPerMinute=48.39292197625027
benchmark-name=compress, mod=warmup, start=Sun Jun 26 18:54:57 BST 2016, end=Sun Jun 26 18:56:57 BST 2016, operations=150.5294083151149, operationsPerMinute=75.26470415755745, mode=normal, start=Sun Jun 26 18:56:59 BST 2016, end=Sun Jun 26 19:00:59 BST 2016, operations=301.4033284385707, operationsPerMinute=75.35083210964268
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 26 19:01:02 BST 2016, end=Sun Jun 26 19:03:02 BST 2016, operations=42.147366281378595, operationsPerMinute=21.073683140689297, mode=normal, start=Sun Jun 26 19:03:12 BST 2016, end=Sun Jun 26 19:07:12 BST 2016, operations=89.83695842618366, operationsPerMinute=22.459239606545914
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 26 19:07:18 BST 2016, end=Sun Jun 26 19:09:18 BST 2016, operations=87.47711647374484, operationsPerMinute=43.73855823687242, mode=normal, start=Sun Jun 26 19:09:21 BST 2016, end=Sun Jun 26 19:13:21 BST 2016, operations=174.60867927050697, operationsPerMinute=43.65216981762674
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 26 19:13:24 BST 2016, end=Sun Jun 26 19:15:24 BST 2016, operations=140.06129372548878, operationsPerMinute=70.03064686274439, mode=normal, start=Sun Jun 26 19:15:25 BST 2016, end=Sun Jun 26 19:19:25 BST 2016, operations=281.42433234421367, operationsPerMinute=70.35608308605342
benchmark-name=derby, mod=warmup, start=Sun Jun 26 19:20:49 BST 2016, end=Sun Jun 26 19:22:49 BST 2016, operations=107.15266736825063, operationsPerMinute=53.576333684125316, mode=normal, start=Sun Jun 26 19:22:51 BST 2016, end=Sun Jun 26 19:26:51 BST 2016, operations=216.14123640566066, operationsPerMinute=54.035309101415166
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 26 19:26:54 BST 2016, end=Sun Jun 26 19:28:54 BST 2016, operations=65.69809170258786, operationsPerMinute=32.84904585129393, mode=normal, start=Sun Jun 26 19:28:58 BST 2016, end=Sun Jun 26 19:32:58 BST 2016, operations=131.13373981776942, operationsPerMinute=32.783434954442356
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 26 19:33:02 BST 2016, end=Sun Jun 26 19:35:02 BST 2016, operations=34.85500712647892, operationsPerMinute=17.42750356323946, mode=normal, start=Sun Jun 26 19:35:10 BST 2016, end=Sun Jun 26 19:39:10 BST 2016, operations=61.66991768987675, operationsPerMinute=15.417479422469187
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 26 19:39:16 BST 2016, end=Sun Jun 26 19:41:16 BST 2016, operations=7.097492607200823, operationsPerMinute=3.5487463036004114, mode=normal, start=Sun Jun 26 19:41:48 BST 2016, end=Sun Jun 26 19:45:48 BST 2016, operations=14.17809978589191, operationsPerMinute=3.5445249464729773
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 26 19:46:36 BST 2016, end=Sun Jun 26 19:48:36 BST 2016, operations=32.442659310501426, operationsPerMinute=16.221329655250713, mode=normal, start=Sun Jun 26 19:48:48 BST 2016, end=Sun Jun 26 19:52:48 BST 2016, operations=64.86532297911896, operationsPerMinute=16.21633074477974
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 26 19:52:59 BST 2016, end=Sun Jun 26 19:54:59 BST 2016, operations=23.76434236421489, operationsPerMinute=11.882171182107445, mode=normal, start=Sun Jun 26 19:55:07 BST 2016, end=Sun Jun 26 19:59:07 BST 2016, operations=47.82341443768266, operationsPerMinute=11.955853609420664
