spec.jvm2008.report.run.location=NIDD122
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8066
benchmark-name=check, mode=normal, start=Sun Jun 26 17:49:35 BST 2016, end=Sun Jun 26 17:49:35 BST 2016, operations=1.0, operationsPerMinute=952.3809523809524
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 26 17:49:35 BST 2016, end=Sun Jun 26 17:49:36 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 26 17:49:36 BST 2016, end=Sun Jun 26 17:49:54 BST 2016, operations=1.0, operationsPerMinute=3.2456994482310937
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 26 17:49:54 BST 2016, end=Sun Jun 26 17:49:58 BST 2016, operations=1.0, operationsPerMinute=14.792899408284024
benchmark-name=startup.compress, mode=normal, start=Sun Jun 26 17:49:58 BST 2016, end=Sun Jun 26 17:49:59 BST 2016, operations=1.0, operationsPerMinute=43.196544276457885
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 26 17:49:59 BST 2016, end=Sun Jun 26 17:50:09 BST 2016, operations=1.0, operationsPerMinute=6.597756762700682
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 26 17:50:09 BST 2016, end=Sun Jun 26 17:50:16 BST 2016, operations=1.0, operationsPerMinute=7.7539415869733785
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 26 17:50:16 BST 2016, end=Sun Jun 26 17:50:23 BST 2016, operations=1.0, operationsPerMinute=8.862629246676514
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 26 17:50:23 BST 2016, end=Sun Jun 26 17:50:26 BST 2016, operations=1.0, operationsPerMinute=22.23045572434235
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 26 17:50:26 BST 2016, end=Sun Jun 26 17:50:27 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 26 17:50:27 BST 2016, end=Sun Jun 26 17:50:28 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 26 17:50:28 BST 2016, end=Sun Jun 26 17:50:34 BST 2016, operations=1.0, operationsPerMinute=9.912440112340988
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 26 17:50:34 BST 2016, end=Sun Jun 26 17:50:35 BST 2016, operations=1.0, operationsPerMinute=39.24133420536298
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 26 17:50:35 BST 2016, end=Sun Jun 26 17:50:37 BST 2016, operations=1.0, operationsPerMinute=51.99306759098787
benchmark-name=startup.serial, mode=normal, start=Sun Jun 26 17:50:37 BST 2016, end=Sun Jun 26 17:50:39 BST 2016, operations=1.0, operationsPerMinute=23.032629558541267
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 26 17:50:39 BST 2016, end=Sun Jun 26 17:50:46 BST 2016, operations=1.0, operationsPerMinute=9.007656508031827
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 26 17:50:46 BST 2016, end=Sun Jun 26 17:51:11 BST 2016, operations=1.0, operationsPerMinute=2.3815194093831864
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 26 17:51:11 BST 2016, end=Sun Jun 26 17:51:12 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 26 17:51:25 BST 2016, end=Sun Jun 26 17:53:25 BST 2016, operations=424.8846629220281, operationsPerMinute=212.44233146101405, mode=normal, start=Sun Jun 26 17:53:27 BST 2016, end=Sun Jun 26 17:57:27 BST 2016, operations=860.1464897200777, operationsPerMinute=215.03662243001943
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 26 17:57:32 BST 2016, end=Sun Jun 26 17:59:32 BST 2016, operations=164.92203512400425, operationsPerMinute=82.46101756200213, mode=normal, start=Sun Jun 26 17:59:37 BST 2016, end=Sun Jun 26 18:03:37 BST 2016, operations=329.62431482408056, operationsPerMinute=82.40607870602014
benchmark-name=compress, mod=warmup, start=Sun Jun 26 18:03:41 BST 2016, end=Sun Jun 26 18:05:41 BST 2016, operations=351.17668858134095, operationsPerMinute=175.58834429067048, mode=normal, start=Sun Jun 26 18:05:43 BST 2016, end=Sun Jun 26 18:09:43 BST 2016, operations=703.9219624727596, operationsPerMinute=175.9804906181899
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 26 18:09:45 BST 2016, end=Sun Jun 26 18:11:45 BST 2016, operations=115.36442084851348, operationsPerMinute=57.68221042425674, mode=normal, start=Sun Jun 26 18:11:50 BST 2016, end=Sun Jun 26 18:15:50 BST 2016, operations=241.12165378835192, operationsPerMinute=60.28041344708798
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 26 18:15:57 BST 2016, end=Sun Jun 26 18:17:57 BST 2016, operations=205.82907292871363, operationsPerMinute=102.91453646435681, mode=normal, start=Sun Jun 26 18:18:01 BST 2016, end=Sun Jun 26 18:22:01 BST 2016, operations=412.3209675350962, operationsPerMinute=103.08024188377405
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 26 18:22:06 BST 2016, end=Sun Jun 26 18:24:06 BST 2016, operations=352.1632502221192, operationsPerMinute=176.0816251110596, mode=normal, start=Sun Jun 26 18:24:08 BST 2016, end=Sun Jun 26 18:28:08 BST 2016, operations=705.5940981217876, operationsPerMinute=176.3985245304469
benchmark-name=derby, mod=warmup, start=Sun Jun 26 18:29:25 BST 2016, end=Sun Jun 26 18:31:25 BST 2016, operations=259.07548327424524, operationsPerMinute=129.53774163712262, mode=normal, start=Sun Jun 26 18:31:27 BST 2016, end=Sun Jun 26 18:35:27 BST 2016, operations=490.99105562066256, operationsPerMinute=122.74776390516564
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 26 18:35:31 BST 2016, end=Sun Jun 26 18:37:31 BST 2016, operations=168.12097231729854, operationsPerMinute=84.06048615864927, mode=normal, start=Sun Jun 26 18:37:35 BST 2016, end=Sun Jun 26 18:41:35 BST 2016, operations=325.3739762002595, operationsPerMinute=81.34349405006488
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 26 18:41:39 BST 2016, end=Sun Jun 26 18:43:39 BST 2016, operations=72.79727956447846, operationsPerMinute=36.39863978223923, mode=normal, start=Sun Jun 26 18:43:47 BST 2016, end=Sun Jun 26 18:47:47 BST 2016, operations=135.42296138880698, operationsPerMinute=33.855740347201746
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 26 18:47:55 BST 2016, end=Sun Jun 26 18:49:55 BST 2016, operations=13.121867399605392, operationsPerMinute=6.560933699802696, mode=normal, start=Sun Jun 26 18:50:49 BST 2016, end=Sun Jun 26 18:54:49 BST 2016, operations=26.180982138346973, operationsPerMinute=6.545245534586743
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 26 18:55:33 BST 2016, end=Sun Jun 26 18:57:33 BST 2016, operations=67.81570531847555, operationsPerMinute=33.907852659237776, mode=normal, start=Sun Jun 26 18:57:41 BST 2016, end=Sun Jun 26 19:01:41 BST 2016, operations=135.86216569546738, operationsPerMinute=33.965541423866846
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 26 19:01:53 BST 2016, end=Sun Jun 26 19:03:53 BST 2016, operations=42.907514351103046, operationsPerMinute=21.453757175551523, mode=normal, start=Sun Jun 26 19:04:05 BST 2016, end=Sun Jun 26 19:08:05 BST 2016, operations=86.01662063313044, operationsPerMinute=21.50415515828261
benchmark-name=scimark.fft.small, mod=warmup, start=Sun Jun 26 19:08:19 BST 2016, end=Sun Jun 26 19:10:19 BST 2016, operations=573.92610260436, operationsPerMinute=286.96305130218, mode=normal, start=Sun Jun 26 19:10:20 BST 2016, end=Sun Jun 26 19:14:20 BST 2016, operations=1186.083311980551, operationsPerMinute=296.5208279951377
benchmark-name=scimark.lu.small, mod=warmup, start=Sun Jun 26 19:14:21 BST 2016, end=Sun Jun 26 19:16:21 BST 2016, operations=461.71471987206087, operationsPerMinute=230.85735993603043, mode=normal, start=Sun Jun 26 19:16:23 BST 2016, end=Sun Jun 26 19:20:23 BST 2016, operations=925.5721443171661, operationsPerMinute=231.39303607929153
