spec.jvm2008.report.run.location=KINGS09
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8066
benchmark-name=check, mode=normal, start=Sat Jun 25 01:18:05 BST 2016, end=Sat Jun 25 01:18:05 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 25 01:18:05 BST 2016, end=Sat Jun 25 01:18:05 BST 2016, operations=1.0, operationsPerMinute=545.4545454545455
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 25 01:18:05 BST 2016, end=Sat Jun 25 01:18:21 BST 2016, operations=1.0, operationsPerMinute=3.7341299477221805
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 25 01:18:21 BST 2016, end=Sat Jun 25 01:18:25 BST 2016, operations=1.0, operationsPerMinute=15.082956259426847
benchmark-name=startup.compress, mode=normal, start=Sat Jun 25 01:18:25 BST 2016, end=Sat Jun 25 01:18:26 BST 2016, operations=1.0, operationsPerMinute=43.69992716678806
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 25 01:18:26 BST 2016, end=Sat Jun 25 01:18:35 BST 2016, operations=1.0, operationsPerMinute=6.73551863493489
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 25 01:18:35 BST 2016, end=Sat Jun 25 01:18:43 BST 2016, operations=1.0, operationsPerMinute=7.865757734661773
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 25 01:18:43 BST 2016, end=Sat Jun 25 01:18:49 BST 2016, operations=1.0, operationsPerMinute=9.007656508031827
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 25 01:18:49 BST 2016, end=Sat Jun 25 01:18:52 BST 2016, operations=1.0, operationsPerMinute=22.753128555176335
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 25 01:18:52 BST 2016, end=Sat Jun 25 01:18:53 BST 2016, operations=1.0, operationsPerMinute=68.64988558352402
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 25 01:18:53 BST 2016, end=Sat Jun 25 01:18:54 BST 2016, operations=1.0, operationsPerMinute=55.762081784386616
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 25 01:18:54 BST 2016, end=Sat Jun 25 01:19:00 BST 2016, operations=1.0, operationsPerMinute=9.836065573770492
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 25 01:19:00 BST 2016, end=Sat Jun 25 01:19:02 BST 2016, operations=1.0, operationsPerMinute=38.86010362694301
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 25 01:19:02 BST 2016, end=Sat Jun 25 01:19:03 BST 2016, operations=1.0, operationsPerMinute=53.42831700801425
benchmark-name=startup.serial, mode=normal, start=Sat Jun 25 01:19:03 BST 2016, end=Sat Jun 25 01:19:05 BST 2016, operations=1.0, operationsPerMinute=23.31002331002331
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 25 01:19:05 BST 2016, end=Sat Jun 25 01:19:12 BST 2016, operations=1.0, operationsPerMinute=9.113001215066829
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 25 01:19:12 BST 2016, end=Sat Jun 25 01:19:36 BST 2016, operations=1.0, operationsPerMinute=2.538715410002539
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 25 01:19:36 BST 2016, end=Sat Jun 25 01:19:37 BST 2016, operations=1.0, operationsPerMinute=55.762081784386616
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 25 01:19:49 BST 2016, end=Sat Jun 25 01:21:49 BST 2016, operations=436.00421511008574, operationsPerMinute=218.00210755504287, mode=normal, start=Sat Jun 25 01:21:50 BST 2016, end=Sat Jun 25 01:25:50 BST 2016, operations=892.8672724369848, operationsPerMinute=223.2168181092462
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 25 01:25:55 BST 2016, end=Sat Jun 25 01:27:55 BST 2016, operations=175.69050377891867, operationsPerMinute=87.84525188945933, mode=normal, start=Sat Jun 25 01:27:57 BST 2016, end=Sat Jun 25 01:31:57 BST 2016, operations=350.5308708228977, operationsPerMinute=87.63271770572443
benchmark-name=compress, mod=warmup, start=Sat Jun 25 01:32:01 BST 2016, end=Sat Jun 25 01:34:01 BST 2016, operations=374.40959814510086, operationsPerMinute=187.20479907255043, mode=normal, start=Sat Jun 25 01:34:04 BST 2016, end=Sat Jun 25 01:38:04 BST 2016, operations=749.9609130522209, operationsPerMinute=187.49022826305523
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 25 01:38:06 BST 2016, end=Sat Jun 25 01:40:06 BST 2016, operations=117.07737477742715, operationsPerMinute=58.538687388713576, mode=normal, start=Sat Jun 25 01:40:12 BST 2016, end=Sat Jun 25 01:44:12 BST 2016, operations=250.72078521655115, operationsPerMinute=62.68019630413779
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 25 01:44:16 BST 2016, end=Sat Jun 25 01:46:16 BST 2016, operations=218.81660278835557, operationsPerMinute=109.40830139417778, mode=normal, start=Sat Jun 25 01:46:19 BST 2016, end=Sat Jun 25 01:50:19 BST 2016, operations=437.9109504547831, operationsPerMinute=109.47773761369578
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 25 01:50:23 BST 2016, end=Sat Jun 25 01:52:23 BST 2016, operations=374.01766937983376, operationsPerMinute=187.00883468991688, mode=normal, start=Sat Jun 25 01:52:25 BST 2016, end=Sat Jun 25 01:56:25 BST 2016, operations=748.1596240107269, operationsPerMinute=187.03990600268173
benchmark-name=derby, mod=warmup, start=Sat Jun 25 01:57:38 BST 2016, end=Sat Jun 25 01:59:38 BST 2016, operations=273.74559637912284, operationsPerMinute=136.87279818956142, mode=normal, start=Sat Jun 25 01:59:40 BST 2016, end=Sat Jun 25 02:03:40 BST 2016, operations=545.0605065825469, operationsPerMinute=136.2651266456367
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 25 02:03:44 BST 2016, end=Sat Jun 25 02:05:44 BST 2016, operations=176.28472998086735, operationsPerMinute=88.14236499043368, mode=normal, start=Sat Jun 25 02:05:49 BST 2016, end=Sat Jun 25 02:09:49 BST 2016, operations=347.59229307690623, operationsPerMinute=86.89807326922656
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 25 02:09:53 BST 2016, end=Sat Jun 25 02:11:53 BST 2016, operations=103.03641325486643, operationsPerMinute=51.518206627433216, mode=normal, start=Sat Jun 25 02:11:59 BST 2016, end=Sat Jun 25 02:15:59 BST 2016, operations=198.54506939985026, operationsPerMinute=49.636267349962566
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 25 02:16:06 BST 2016, end=Sat Jun 25 02:18:06 BST 2016, operations=21.261412368728312, operationsPerMinute=10.630706184364156, mode=normal, start=Sat Jun 25 02:18:35 BST 2016, end=Sat Jun 25 02:22:35 BST 2016, operations=42.27317899398671, operationsPerMinute=10.568294748496678
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 25 02:23:03 BST 2016, end=Sat Jun 25 02:25:03 BST 2016, operations=67.91278446433387, operationsPerMinute=33.956392232166934, mode=normal, start=Sat Jun 25 02:25:13 BST 2016, end=Sat Jun 25 02:29:13 BST 2016, operations=137.35081163734623, operationsPerMinute=34.337702909336556
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 25 02:29:23 BST 2016, end=Sat Jun 25 02:31:23 BST 2016, operations=69.65368765440067, operationsPerMinute=34.826843827200335, mode=normal, start=Sat Jun 25 02:31:30 BST 2016, end=Sat Jun 25 02:35:30 BST 2016, operations=141.2047338588431, operationsPerMinute=35.301183464710775
