spec.jvm2008.report.run.location=CASTLEAZES014
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 04 16:05:37 BST 2016, end=Sat Jun 04 16:05:37 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 16:05:37 BST 2016, end=Sat Jun 04 16:05:37 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 16:05:37 BST 2016, end=Sat Jun 04 16:05:50 BST 2016, operations=1.0, operationsPerMinute=4.557192769254139
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 16:05:50 BST 2016, end=Sat Jun 04 16:05:54 BST 2016, operations=1.0, operationsPerMinute=18.315018315018314
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 16:05:54 BST 2016, end=Sat Jun 04 16:05:55 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 16:05:55 BST 2016, end=Sat Jun 04 16:06:03 BST 2016, operations=1.0, operationsPerMinute=7.109004739336493
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 16:06:03 BST 2016, end=Sat Jun 04 16:06:11 BST 2016, operations=1.0, operationsPerMinute=8.097165991902834
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 16:06:11 BST 2016, end=Sat Jun 04 16:06:18 BST 2016, operations=1.0, operationsPerMinute=8.82223202470225
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 16:06:18 BST 2016, end=Sat Jun 04 16:06:20 BST 2016, operations=1.0, operationsPerMinute=26.7022696929239
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 16:06:20 BST 2016, end=Sat Jun 04 16:06:21 BST 2016, operations=1.0, operationsPerMinute=80.21390374331551
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 16:06:21 BST 2016, end=Sat Jun 04 16:06:22 BST 2016, operations=1.0, operationsPerMinute=67.41573033707866
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 16:06:22 BST 2016, end=Sat Jun 04 16:06:27 BST 2016, operations=1.0, operationsPerMinute=10.895224260032686
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 16:06:27 BST 2016, end=Sat Jun 04 16:06:28 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 16:06:28 BST 2016, end=Sat Jun 04 16:06:29 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 16:06:29 BST 2016, end=Sat Jun 04 16:06:32 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 16:06:32 BST 2016, end=Sat Jun 04 16:06:38 BST 2016, operations=1.0, operationsPerMinute=9.380863039399625
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 16:06:38 BST 2016, end=Sat Jun 04 16:06:58 BST 2016, operations=1.0, operationsPerMinute=2.9609159099881563
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 16:06:58 BST 2016, end=Sat Jun 04 16:06:59 BST 2016, operations=1.0, operationsPerMinute=76.92307692307692
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 16:07:10 BST 2016, end=Sat Jun 04 16:09:10 BST 2016, operations=483.47890888571743, operationsPerMinute=241.73945444285872, mode=normal, start=Sat Jun 04 16:09:11 BST 2016, end=Sat Jun 04 16:13:11 BST 2016, operations=1006.7909050109831, operationsPerMinute=251.69772625274578
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 16:13:15 BST 2016, end=Sat Jun 04 16:15:15 BST 2016, operations=197.44898440797388, operationsPerMinute=98.72449220398694, mode=normal, start=Sat Jun 04 16:15:18 BST 2016, end=Sat Jun 04 16:19:18 BST 2016, operations=394.87335860501713, operationsPerMinute=98.71833965125428
benchmark-name=compress, mod=warmup, start=Sat Jun 04 16:19:21 BST 2016, end=Sat Jun 04 16:21:21 BST 2016, operations=400.6103525000427, operationsPerMinute=200.30517625002136, mode=normal, start=Sat Jun 04 16:21:23 BST 2016, end=Sat Jun 04 16:25:23 BST 2016, operations=801.9084187726661, operationsPerMinute=200.47710469316652
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 16:25:25 BST 2016, end=Sat Jun 04 16:27:25 BST 2016, operations=139.17534009980147, operationsPerMinute=69.58767004990074, mode=normal, start=Sat Jun 04 16:27:29 BST 2016, end=Sat Jun 04 16:31:29 BST 2016, operations=292.4490664217562, operationsPerMinute=73.11226660543905
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 16:31:35 BST 2016, end=Sat Jun 04 16:33:35 BST 2016, operations=235.84553814483507, operationsPerMinute=117.92276907241754, mode=normal, start=Sat Jun 04 16:33:39 BST 2016, end=Sat Jun 04 16:37:39 BST 2016, operations=471.15366895807267, operationsPerMinute=117.78841723951817
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 16:37:43 BST 2016, end=Sat Jun 04 16:39:43 BST 2016, operations=408.5547912522881, operationsPerMinute=204.27739562614406, mode=normal, start=Sat Jun 04 16:39:45 BST 2016, end=Sat Jun 04 16:43:45 BST 2016, operations=814.7627334930655, operationsPerMinute=203.69068337326638
benchmark-name=derby, mod=warmup, start=Sat Jun 04 16:44:07 BST 2016, end=Sat Jun 04 16:46:07 BST 2016, operations=360.2331359621213, operationsPerMinute=180.11656798106065, mode=normal, start=Sat Jun 04 16:46:09 BST 2016, end=Sat Jun 04 16:50:09 BST 2016, operations=729.5684337734493, operationsPerMinute=182.39210844336233
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 16:50:11 BST 2016, end=Sat Jun 04 16:52:11 BST 2016, operations=155.8047835290604, operationsPerMinute=77.9023917645302, mode=normal, start=Sat Jun 04 16:52:21 BST 2016, end=Sat Jun 04 16:56:21 BST 2016, operations=351.8210567226564, operationsPerMinute=87.9552641806641
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 16:56:25 BST 2016, end=Sat Jun 04 16:58:25 BST 2016, operations=64.76247764919924, operationsPerMinute=32.38123882459962, mode=normal, start=Sat Jun 04 16:58:32 BST 2016, end=Sat Jun 04 17:02:32 BST 2016, operations=128.30992813341007, operationsPerMinute=32.07748203335252
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 17:02:41 BST 2016, end=Sat Jun 04 17:04:41 BST 2016, operations=11.449332697134516, operationsPerMinute=5.724666348567258, mode=normal, start=Sat Jun 04 17:05:34 BST 2016, end=Sat Jun 04 17:09:34 BST 2016, operations=23.596364839077886, operationsPerMinute=5.899091209769471
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 17:10:31 BST 2016, end=Sat Jun 04 17:12:31 BST 2016, operations=52.07172667830054, operationsPerMinute=26.03586333915027, mode=normal, start=Sat Jun 04 17:12:46 BST 2016, end=Sat Jun 04 17:16:46 BST 2016, operations=116.34418162207554, operationsPerMinute=29.086045405518885
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 17:16:56 BST 2016, end=Sat Jun 04 17:18:56 BST 2016, operations=35.320796850444225, operationsPerMinute=17.660398425222112, mode=normal, start=Sat Jun 04 17:19:13 BST 2016, end=Sat Jun 04 17:23:13 BST 2016, operations=68.74468902680499, operationsPerMinute=17.186172256701248
