spec.jvm2008.report.run.location=CASTLEAZES002
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 25 03:17:41 BST 2016, end=Sat Jun 25 03:17:41 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 25 03:17:41 BST 2016, end=Sat Jun 25 03:17:41 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 25 03:17:41 BST 2016, end=Sat Jun 25 03:17:54 BST 2016, operations=1.0, operationsPerMinute=4.679092256102316
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 25 03:17:54 BST 2016, end=Sat Jun 25 03:17:57 BST 2016, operations=1.0, operationsPerMinute=18.226002430133658
benchmark-name=startup.compress, mode=normal, start=Sat Jun 25 03:17:57 BST 2016, end=Sat Jun 25 03:17:58 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 25 03:17:58 BST 2016, end=Sat Jun 25 03:18:07 BST 2016, operations=1.0, operationsPerMinute=7.030700726505742
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 25 03:18:07 BST 2016, end=Sat Jun 25 03:18:14 BST 2016, operations=1.0, operationsPerMinute=8.097165991902834
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 25 03:18:14 BST 2016, end=Sat Jun 25 03:18:21 BST 2016, operations=1.0, operationsPerMinute=9.157509157509157
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 25 03:18:21 BST 2016, end=Sat Jun 25 03:18:23 BST 2016, operations=1.0, operationsPerMinute=26.7022696929239
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 25 03:18:23 BST 2016, end=Sat Jun 25 03:18:24 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 25 03:18:24 BST 2016, end=Sat Jun 25 03:18:25 BST 2016, operations=1.0, operationsPerMinute=65.14657980456026
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 25 03:18:25 BST 2016, end=Sat Jun 25 03:18:30 BST 2016, operations=1.0, operationsPerMinute=10.804970286331713
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 25 03:18:30 BST 2016, end=Sat Jun 25 03:18:32 BST 2016, operations=1.0, operationsPerMinute=41.78272980501393
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 25 03:18:32 BST 2016, end=Sat Jun 25 03:18:33 BST 2016, operations=1.0, operationsPerMinute=61.09979633401222
benchmark-name=startup.serial, mode=normal, start=Sat Jun 25 03:18:33 BST 2016, end=Sat Jun 25 03:18:35 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 25 03:18:35 BST 2016, end=Sat Jun 25 03:18:41 BST 2016, operations=1.0, operationsPerMinute=9.290802105915144
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 25 03:18:41 BST 2016, end=Sat Jun 25 03:19:01 BST 2016, operations=1.0, operationsPerMinute=2.9607698001480385
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 25 03:19:01 BST 2016, end=Sat Jun 25 03:19:02 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 25 03:19:12 BST 2016, end=Sat Jun 25 03:21:12 BST 2016, operations=474.1760496452331, operationsPerMinute=237.08802482261655, mode=normal, start=Sat Jun 25 03:21:14 BST 2016, end=Sat Jun 25 03:25:14 BST 2016, operations=967.591611346183, operationsPerMinute=241.89790283654574
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 25 03:25:18 BST 2016, end=Sat Jun 25 03:27:18 BST 2016, operations=191.7376870881193, operationsPerMinute=95.86884354405964, mode=normal, start=Sat Jun 25 03:27:21 BST 2016, end=Sat Jun 25 03:31:21 BST 2016, operations=385.47540731996935, operationsPerMinute=96.36885182999234
benchmark-name=compress, mod=warmup, start=Sat Jun 25 03:31:24 BST 2016, end=Sat Jun 25 03:33:24 BST 2016, operations=371.2575967491988, operationsPerMinute=185.6287983745994, mode=normal, start=Sat Jun 25 03:33:27 BST 2016, end=Sat Jun 25 03:37:27 BST 2016, operations=741.6600986306275, operationsPerMinute=185.4150246576569
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 25 03:37:29 BST 2016, end=Sat Jun 25 03:39:29 BST 2016, operations=127.17864475506049, operationsPerMinute=63.589322377530245, mode=normal, start=Sat Jun 25 03:39:35 BST 2016, end=Sat Jun 25 03:43:35 BST 2016, operations=273.2718138263991, operationsPerMinute=68.31795345659978
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 25 03:43:39 BST 2016, end=Sat Jun 25 03:45:39 BST 2016, operations=218.1168502747729, operationsPerMinute=109.05842513738645, mode=normal, start=Sat Jun 25 03:45:43 BST 2016, end=Sat Jun 25 03:49:43 BST 2016, operations=437.79981307708556, operationsPerMinute=109.44995326927139
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 25 03:49:47 BST 2016, end=Sat Jun 25 03:51:47 BST 2016, operations=376.9125266948856, operationsPerMinute=188.4562633474428, mode=normal, start=Sat Jun 25 03:51:49 BST 2016, end=Sat Jun 25 03:55:49 BST 2016, operations=752.9602577467707, operationsPerMinute=188.24006443669268
benchmark-name=derby, mod=warmup, start=Sat Jun 25 03:56:11 BST 2016, end=Sat Jun 25 03:58:11 BST 2016, operations=330.21539768151104, operationsPerMinute=165.10769884075552, mode=normal, start=Sat Jun 25 03:58:14 BST 2016, end=Sat Jun 25 04:02:14 BST 2016, operations=663.6539188593254, operationsPerMinute=165.91347971483134
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 25 04:02:16 BST 2016, end=Sat Jun 25 04:04:16 BST 2016, operations=192.77073009076076, operationsPerMinute=96.38536504538038, mode=normal, start=Sat Jun 25 04:04:20 BST 2016, end=Sat Jun 25 04:08:20 BST 2016, operations=385.7638370420596, operationsPerMinute=96.4409592605149
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 25 04:08:24 BST 2016, end=Sat Jun 25 04:10:24 BST 2016, operations=69.52196406735135, operationsPerMinute=34.760982033675674, mode=normal, start=Sat Jun 25 04:10:32 BST 2016, end=Sat Jun 25 04:14:32 BST 2016, operations=142.0253341075561, operationsPerMinute=35.50633352688902
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 25 04:14:41 BST 2016, end=Sat Jun 25 04:16:41 BST 2016, operations=13.659322997566353, operationsPerMinute=6.829661498783176, mode=normal, start=Sat Jun 25 04:17:28 BST 2016, end=Sat Jun 25 04:21:28 BST 2016, operations=27.339292527411263, operationsPerMinute=6.834823131852816
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 25 04:22:08 BST 2016, end=Sat Jun 25 04:24:08 BST 2016, operations=68.96327739107247, operationsPerMinute=34.48163869553623, mode=normal, start=Sat Jun 25 04:24:18 BST 2016, end=Sat Jun 25 04:28:18 BST 2016, operations=137.68387656549214, operationsPerMinute=34.420969141373035
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 25 04:28:28 BST 2016, end=Sat Jun 25 04:30:28 BST 2016, operations=41.686105968611045, operationsPerMinute=20.843052984305523, mode=normal, start=Sat Jun 25 04:30:41 BST 2016, end=Sat Jun 25 04:34:41 BST 2016, operations=83.79513555615492, operationsPerMinute=20.94878388903873
