spec.jvm2008.report.run.location=HULL77
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Tue Jun 21 15:21:06 BST 2016, end=Tue Jun 21 15:21:06 BST 2016, operations=1.0, operationsPerMinute=967.741935483871
benchmark-name=startup.helloworld, mode=normal, start=Tue Jun 21 15:21:06 BST 2016, end=Tue Jun 21 15:21:06 BST 2016, operations=1.0, operationsPerMinute=80.10680907877169
benchmark-name=startup.compiler.compiler, mode=normal, start=Tue Jun 21 15:21:06 BST 2016, end=Tue Jun 21 15:21:30 BST 2016, operations=1.0, operationsPerMinute=2.545500827287769
benchmark-name=startup.compiler.sunflow, mode=normal, start=Tue Jun 21 15:21:30 BST 2016, end=Tue Jun 21 15:21:35 BST 2016, operations=1.0, operationsPerMinute=11.834319526627219
benchmark-name=startup.compress, mode=normal, start=Tue Jun 21 15:21:35 BST 2016, end=Tue Jun 21 15:21:37 BST 2016, operations=1.0, operationsPerMinute=37.336652146857496
benchmark-name=startup.crypto.aes, mode=normal, start=Tue Jun 21 15:21:37 BST 2016, end=Tue Jun 21 15:21:47 BST 2016, operations=1.0, operationsPerMinute=5.9171597633136095
benchmark-name=startup.crypto.rsa, mode=normal, start=Tue Jun 21 15:21:47 BST 2016, end=Tue Jun 21 15:21:55 BST 2016, operations=1.0, operationsPerMinute=7.069635913750441
benchmark-name=startup.crypto.signverify, mode=normal, start=Tue Jun 21 15:21:55 BST 2016, end=Tue Jun 21 15:22:03 BST 2016, operations=1.0, operationsPerMinute=8.166598611678236
benchmark-name=startup.mpegaudio, mode=normal, start=Tue Jun 21 15:22:03 BST 2016, end=Tue Jun 21 15:22:06 BST 2016, operations=1.0, operationsPerMinute=19.138755980861244
benchmark-name=startup.scimark.fft, mode=normal, start=Tue Jun 21 15:22:06 BST 2016, end=Tue Jun 21 15:22:07 BST 2016, operations=1.0, operationsPerMinute=64.1025641025641
benchmark-name=startup.scimark.lu, mode=normal, start=Tue Jun 21 15:22:07 BST 2016, end=Tue Jun 21 15:22:08 BST 2016, operations=1.0, operationsPerMinute=49.30156121610518
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Tue Jun 21 15:22:08 BST 2016, end=Tue Jun 21 15:22:15 BST 2016, operations=1.0, operationsPerMinute=8.986071589036992
benchmark-name=startup.scimark.sor, mode=normal, start=Tue Jun 21 15:22:15 BST 2016, end=Tue Jun 21 15:22:16 BST 2016, operations=1.0, operationsPerMinute=35.27336860670194
benchmark-name=startup.scimark.sparse, mode=normal, start=Tue Jun 21 15:22:16 BST 2016, end=Tue Jun 21 15:22:18 BST 2016, operations=1.0, operationsPerMinute=43.22766570605187
benchmark-name=startup.serial, mode=normal, start=Tue Jun 21 15:22:18 BST 2016, end=Tue Jun 21 15:22:21 BST 2016, operations=1.0, operationsPerMinute=19.723865877712033
benchmark-name=startup.sunflow, mode=normal, start=Tue Jun 21 15:22:21 BST 2016, end=Tue Jun 21 15:22:28 BST 2016, operations=1.0, operationsPerMinute=8.306797729475287
benchmark-name=startup.xml.transform, mode=normal, start=Tue Jun 21 15:22:28 BST 2016, end=Tue Jun 21 15:22:57 BST 2016, operations=1.0, operationsPerMinute=2.093656221648405
benchmark-name=startup.xml.validation, mode=normal, start=Tue Jun 21 15:22:57 BST 2016, end=Tue Jun 21 15:22:58 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=compiler.compiler, mod=warmup, start=Tue Jun 21 15:23:14 BST 2016, end=Tue Jun 21 15:25:14 BST 2016, operations=346.6355768559316, operationsPerMinute=173.3177884279658, mode=normal, start=Tue Jun 21 15:25:16 BST 2016, end=Tue Jun 21 15:29:16 BST 2016, operations=720.5269709136682, operationsPerMinute=180.13174272841704
benchmark-name=compiler.sunflow, mod=warmup, start=Tue Jun 21 15:29:22 BST 2016, end=Tue Jun 21 15:31:22 BST 2016, operations=140.05068599824835, operationsPerMinute=70.02534299912418, mode=normal, start=Tue Jun 21 15:31:27 BST 2016, end=Tue Jun 21 15:35:27 BST 2016, operations=279.08820720891185, operationsPerMinute=69.77205180222796
benchmark-name=compress, mod=warmup, start=Tue Jun 21 15:35:32 BST 2016, end=Tue Jun 21 15:37:32 BST 2016, operations=269.60249360613165, operationsPerMinute=134.80124680306582, mode=normal, start=Tue Jun 21 15:37:35 BST 2016, end=Tue Jun 21 15:41:35 BST 2016, operations=542.6496742683395, operationsPerMinute=135.66241856708487
benchmark-name=crypto.aes, mod=warmup, start=Tue Jun 21 15:41:38 BST 2016, end=Tue Jun 21 15:43:38 BST 2016, operations=81.83089962379066, operationsPerMinute=40.91544981189533, mode=normal, start=Tue Jun 21 15:43:46 BST 2016, end=Tue Jun 21 15:47:46 BST 2016, operations=175.35216373092643, operationsPerMinute=43.83804093273161
benchmark-name=crypto.rsa, mod=warmup, start=Tue Jun 21 15:47:55 BST 2016, end=Tue Jun 21 15:49:55 BST 2016, operations=143.92258983364493, operationsPerMinute=71.96129491682247, mode=normal, start=Tue Jun 21 15:50:01 BST 2016, end=Tue Jun 21 15:54:01 BST 2016, operations=290.4351253858705, operationsPerMinute=72.60878134646762
benchmark-name=crypto.signverify, mod=warmup, start=Tue Jun 21 15:54:07 BST 2016, end=Tue Jun 21 15:56:07 BST 2016, operations=249.4613796961753, operationsPerMinute=124.73068984808765, mode=normal, start=Tue Jun 21 15:56:11 BST 2016, end=Tue Jun 21 16:00:11 BST 2016, operations=502.3878346222566, operationsPerMinute=125.59695865556415
benchmark-name=derby, mod=warmup, start=Tue Jun 21 16:01:40 BST 2016, end=Tue Jun 21 16:03:40 BST 2016, operations=198.21853475855184, operationsPerMinute=99.10926737927592, mode=normal, start=Tue Jun 21 16:03:44 BST 2016, end=Tue Jun 21 16:07:44 BST 2016, operations=395.623396095397, operationsPerMinute=98.90584902384926
benchmark-name=mpegaudio, mod=warmup, start=Tue Jun 21 16:07:47 BST 2016, end=Tue Jun 21 16:09:47 BST 2016, operations=133.60593706503846, operationsPerMinute=66.80296853251923, mode=normal, start=Tue Jun 21 16:09:52 BST 2016, end=Tue Jun 21 16:13:52 BST 2016, operations=267.84162287216634, operationsPerMinute=66.96040571804159
benchmark-name=scimark.fft.large, mod=warmup, start=Tue Jun 21 16:13:58 BST 2016, end=Tue Jun 21 16:15:58 BST 2016, operations=55.71407738756756, operationsPerMinute=27.85703869378378, mode=normal, start=Tue Jun 21 16:16:05 BST 2016, end=Tue Jun 21 16:20:05 BST 2016, operations=112.75035617124584, operationsPerMinute=28.18758904281146
benchmark-name=scimark.lu.large, mod=warmup, start=Tue Jun 21 16:20:17 BST 2016, end=Tue Jun 21 16:22:17 BST 2016, operations=11.564440533555489, operationsPerMinute=5.7822202667777445, mode=normal, start=Tue Jun 21 16:22:52 BST 2016, end=Tue Jun 21 16:26:52 BST 2016, operations=21.51550990070944, operationsPerMinute=5.37887747517736
benchmark-name=scimark.sor.large, mod=warmup, start=Tue Jun 21 16:30:08 BST 2016, end=Tue Jun 21 16:32:08 BST 2016, operations=48.33425487148333, operationsPerMinute=24.167127435741666, mode=normal, start=Tue Jun 21 16:32:26 BST 2016, end=Tue Jun 21 16:36:26 BST 2016, operations=100.30547655652302, operationsPerMinute=25.076369139130755
benchmark-name=scimark.sparse.large, mod=warmup, start=Tue Jun 21 16:36:37 BST 2016, end=Tue Jun 21 16:38:37 BST 2016, operations=33.48178945505558, operationsPerMinute=16.74089472752779, mode=normal, start=Tue Jun 21 16:38:58 BST 2016, end=Tue Jun 21 16:42:58 BST 2016, operations=67.86977500532991, operationsPerMinute=16.96744375133248
