spec.jvm2008.report.run.location=KRC011
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 04 16:38:52 BST 2016, end=Sat Jun 04 16:38:52 BST 2016, operations=1.0, operationsPerMinute=1132.0754716981132
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 16:38:52 BST 2016, end=Sat Jun 04 16:38:52 BST 2016, operations=1.0, operationsPerMinute=487.8048780487805
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 16:38:52 BST 2016, end=Sat Jun 04 16:39:11 BST 2016, operations=1.0, operationsPerMinute=3.208041490669946
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 16:39:11 BST 2016, end=Sat Jun 04 16:39:15 BST 2016, operations=1.0, operationsPerMinute=14.992503748125937
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 16:39:15 BST 2016, end=Sat Jun 04 16:39:16 BST 2016, operations=1.0, operationsPerMinute=42.796005706134096
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 16:39:16 BST 2016, end=Sat Jun 04 16:39:25 BST 2016, operations=1.0, operationsPerMinute=6.8728522336769755
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 16:39:25 BST 2016, end=Sat Jun 04 16:39:32 BST 2016, operations=1.0, operationsPerMinute=7.876082961407193
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 16:39:32 BST 2016, end=Sat Jun 04 16:39:39 BST 2016, operations=1.0, operationsPerMinute=8.572653236176597
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 16:39:39 BST 2016, end=Sat Jun 04 16:39:42 BST 2016, operations=1.0, operationsPerMinute=22.379709063782173
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 16:39:42 BST 2016, end=Sat Jun 04 16:39:43 BST 2016, operations=1.0, operationsPerMinute=62.37006237006237
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 16:39:43 BST 2016, end=Sat Jun 04 16:39:44 BST 2016, operations=1.0, operationsPerMinute=53.52363960749331
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 16:39:44 BST 2016, end=Sat Jun 04 16:39:50 BST 2016, operations=1.0, operationsPerMinute=10.273972602739725
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 16:39:50 BST 2016, end=Sat Jun 04 16:39:52 BST 2016, operations=1.0, operationsPerMinute=37.453183520599254
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 16:39:52 BST 2016, end=Sat Jun 04 16:39:53 BST 2016, operations=1.0, operationsPerMinute=52.493438320209975
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 16:39:53 BST 2016, end=Sat Jun 04 16:39:55 BST 2016, operations=1.0, operationsPerMinute=22.42152466367713
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 16:39:55 BST 2016, end=Sat Jun 04 16:40:02 BST 2016, operations=1.0, operationsPerMinute=9.287925696594428
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 16:40:02 BST 2016, end=Sat Jun 04 16:40:25 BST 2016, operations=1.0, operationsPerMinute=2.6329647182727753
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 16:40:25 BST 2016, end=Sat Jun 04 16:40:26 BST 2016, operations=1.0, operationsPerMinute=65.21739130434783
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 16:40:39 BST 2016, end=Sat Jun 04 16:42:39 BST 2016, operations=423.49520262438966, operationsPerMinute=211.74760131219483, mode=normal, start=Sat Jun 04 16:42:41 BST 2016, end=Sat Jun 04 16:46:41 BST 2016, operations=833.1984672383496, operationsPerMinute=208.2996168095874
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 16:46:46 BST 2016, end=Sat Jun 04 16:48:46 BST 2016, operations=168.87314326291073, operationsPerMinute=84.43657163145537, mode=normal, start=Sat Jun 04 16:48:49 BST 2016, end=Sat Jun 04 16:52:49 BST 2016, operations=328.59557148846426, operationsPerMinute=82.14889287211606
benchmark-name=compress, mod=warmup, start=Sat Jun 04 16:52:53 BST 2016, end=Sat Jun 04 16:54:53 BST 2016, operations=345.9389154867752, operationsPerMinute=172.9694577433876, mode=normal, start=Sat Jun 04 16:54:56 BST 2016, end=Sat Jun 04 16:58:56 BST 2016, operations=685.055779261291, operationsPerMinute=171.26394481532276
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 16:58:58 BST 2016, end=Sat Jun 04 17:00:58 BST 2016, operations=123.38074312169243, operationsPerMinute=61.690371560846216, mode=normal, start=Sat Jun 04 17:01:04 BST 2016, end=Sat Jun 04 17:05:04 BST 2016, operations=260.27282145417485, operationsPerMinute=65.06820536354371
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 17:05:11 BST 2016, end=Sat Jun 04 17:07:11 BST 2016, operations=195.81725197870225, operationsPerMinute=97.90862598935112, mode=normal, start=Sat Jun 04 17:07:15 BST 2016, end=Sat Jun 04 17:11:15 BST 2016, operations=405.8976185634633, operationsPerMinute=101.47440464086583
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 17:11:19 BST 2016, end=Sat Jun 04 17:13:19 BST 2016, operations=342.06669754868255, operationsPerMinute=171.03334877434128, mode=normal, start=Sat Jun 04 17:13:21 BST 2016, end=Sat Jun 04 17:17:21 BST 2016, operations=705.6198921368473, operationsPerMinute=176.40497303421182
benchmark-name=derby, mod=warmup, start=Sat Jun 04 17:18:30 BST 2016, end=Sat Jun 04 17:20:30 BST 2016, operations=245.22251418519383, operationsPerMinute=122.61125709259692, mode=normal, start=Sat Jun 04 17:20:32 BST 2016, end=Sat Jun 04 17:24:32 BST 2016, operations=553.1251047377613, operationsPerMinute=138.28127618444032
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 17:24:34 BST 2016, end=Sat Jun 04 17:26:34 BST 2016, operations=179.27631317982002, operationsPerMinute=89.63815658991001, mode=normal, start=Sat Jun 04 17:26:39 BST 2016, end=Sat Jun 04 17:30:39 BST 2016, operations=358.458090285852, operationsPerMinute=89.614522571463
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 17:30:43 BST 2016, end=Sat Jun 04 17:32:43 BST 2016, operations=70.1294773243748, operationsPerMinute=35.0647386621874, mode=normal, start=Sat Jun 04 17:32:53 BST 2016, end=Sat Jun 04 17:36:53 BST 2016, operations=139.51170296842182, operationsPerMinute=34.877925742105454
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 17:37:01 BST 2016, end=Sat Jun 04 17:39:01 BST 2016, operations=13.465557987014423, operationsPerMinute=6.732778993507211, mode=normal, start=Sat Jun 04 17:39:51 BST 2016, end=Sat Jun 04 17:43:51 BST 2016, operations=26.231682328245952, operationsPerMinute=6.557920582061488
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 17:44:34 BST 2016, end=Sat Jun 04 17:46:34 BST 2016, operations=60.447730415896345, operationsPerMinute=30.223865207948172, mode=normal, start=Sat Jun 04 17:46:47 BST 2016, end=Sat Jun 04 17:50:47 BST 2016, operations=127.61795587390068, operationsPerMinute=31.90448896847517
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 17:50:57 BST 2016, end=Sat Jun 04 17:52:57 BST 2016, operations=37.504018901580054, operationsPerMinute=18.752009450790027, mode=normal, start=Sat Jun 04 17:53:18 BST 2016, end=Sat Jun 04 17:57:18 BST 2016, operations=40.03071832840369, operationsPerMinute=10.007679582100922
