spec.jvm2008.report.run.location=GREY-05
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Mon Jul 04 23:53:18 BST 2016, end=Mon Jul 04 23:53:18 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=startup.helloworld, mode=normal, start=Mon Jul 04 23:53:18 BST 2016, end=Mon Jul 04 23:53:19 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jul 04 23:53:19 BST 2016, end=Mon Jul 04 23:53:37 BST 2016, operations=1.0, operationsPerMinute=3.301782962799912
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jul 04 23:53:37 BST 2016, end=Mon Jul 04 23:53:40 BST 2016, operations=1.0, operationsPerMinute=17.326017903551833
benchmark-name=startup.compress, mode=normal, start=Mon Jul 04 23:53:40 BST 2016, end=Mon Jul 04 23:53:41 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jul 04 23:53:41 BST 2016, end=Mon Jul 04 23:53:50 BST 2016, operations=1.0, operationsPerMinute=7.057993177273262
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jul 04 23:53:50 BST 2016, end=Mon Jul 04 23:53:57 BST 2016, operations=1.0, operationsPerMinute=7.963897000265463
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jul 04 23:53:57 BST 2016, end=Mon Jul 04 23:54:04 BST 2016, operations=1.0, operationsPerMinute=9.029345372460497
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jul 04 23:54:04 BST 2016, end=Mon Jul 04 23:54:06 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jul 04 23:54:06 BST 2016, end=Mon Jul 04 23:54:07 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jul 04 23:54:07 BST 2016, end=Mon Jul 04 23:54:08 BST 2016, operations=1.0, operationsPerMinute=66.3716814159292
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jul 04 23:54:08 BST 2016, end=Mon Jul 04 23:54:13 BST 2016, operations=1.0, operationsPerMinute=10.926971407758149
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jul 04 23:54:13 BST 2016, end=Mon Jul 04 23:54:15 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jul 04 23:54:15 BST 2016, end=Mon Jul 04 23:54:16 BST 2016, operations=1.0, operationsPerMinute=61.09979633401222
benchmark-name=startup.serial, mode=normal, start=Mon Jul 04 23:54:16 BST 2016, end=Mon Jul 04 23:54:18 BST 2016, operations=1.0, operationsPerMinute=28.708133971291865
benchmark-name=startup.sunflow, mode=normal, start=Mon Jul 04 23:54:18 BST 2016, end=Mon Jul 04 23:54:24 BST 2016, operations=1.0, operationsPerMinute=9.358914365933552
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jul 04 23:54:24 BST 2016, end=Mon Jul 04 23:54:44 BST 2016, operations=1.0, operationsPerMinute=2.9840354105535387
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jul 04 23:54:44 BST 2016, end=Mon Jul 04 23:54:45 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jul 04 23:54:56 BST 2016, end=Mon Jul 04 23:56:56 BST 2016, operations=487.8191987682944, operationsPerMinute=243.9095993841472, mode=normal, start=Mon Jul 04 23:56:58 BST 2016, end=Tue Jul 05 00:00:58 BST 2016, operations=1015.170338004699, operationsPerMinute=253.79258450117476
benchmark-name=compiler.sunflow, mod=warmup, start=Tue Jul 05 00:01:03 BST 2016, end=Tue Jul 05 00:03:03 BST 2016, operations=200.47084532808248, operationsPerMinute=100.23542266404124, mode=normal, start=Tue Jul 05 00:03:06 BST 2016, end=Tue Jul 05 00:07:06 BST 2016, operations=392.1899904685944, operationsPerMinute=98.0474976171486
benchmark-name=compress, mod=warmup, start=Tue Jul 05 00:07:10 BST 2016, end=Tue Jul 05 00:09:10 BST 2016, operations=395.6180896887955, operationsPerMinute=197.80904484439776, mode=normal, start=Tue Jul 05 00:09:13 BST 2016, end=Tue Jul 05 00:13:13 BST 2016, operations=790.3178732667847, operationsPerMinute=197.57946831669616
benchmark-name=crypto.aes, mod=warmup, start=Tue Jul 05 00:13:15 BST 2016, end=Tue Jul 05 00:15:15 BST 2016, operations=135.35279924716866, operationsPerMinute=67.67639962358433, mode=normal, start=Tue Jul 05 00:15:21 BST 2016, end=Tue Jul 05 00:19:21 BST 2016, operations=286.54728236658036, operationsPerMinute=71.63682059164509
benchmark-name=crypto.rsa, mod=warmup, start=Tue Jul 05 00:19:26 BST 2016, end=Tue Jul 05 00:21:26 BST 2016, operations=229.97422488596595, operationsPerMinute=114.98711244298298, mode=normal, start=Tue Jul 05 00:21:29 BST 2016, end=Tue Jul 05 00:25:29 BST 2016, operations=457.5997378730498, operationsPerMinute=114.39993446826244
benchmark-name=crypto.signverify, mod=warmup, start=Tue Jul 05 00:25:32 BST 2016, end=Tue Jul 05 00:27:32 BST 2016, operations=407.2115751143749, operationsPerMinute=203.60578755718745, mode=normal, start=Tue Jul 05 00:27:34 BST 2016, end=Tue Jul 05 00:31:34 BST 2016, operations=815.0507988749648, operationsPerMinute=203.7626997187412
benchmark-name=derby, mod=warmup, start=Tue Jul 05 00:32:15 BST 2016, end=Tue Jul 05 00:34:15 BST 2016, operations=363.0653331338099, operationsPerMinute=181.53266656690494, mode=normal, start=Tue Jul 05 00:34:17 BST 2016, end=Tue Jul 05 00:38:17 BST 2016, operations=725.3851970929286, operationsPerMinute=181.34629927323215
benchmark-name=mpegaudio, mod=warmup, start=Tue Jul 05 00:38:20 BST 2016, end=Tue Jul 05 00:40:20 BST 2016, operations=208.1235961320235, operationsPerMinute=104.06179806601175, mode=normal, start=Tue Jul 05 00:40:23 BST 2016, end=Tue Jul 05 00:44:23 BST 2016, operations=415.61985552458805, operationsPerMinute=103.90496388114701
benchmark-name=scimark.fft.large, mod=warmup, start=Tue Jul 05 00:44:27 BST 2016, end=Tue Jul 05 00:46:27 BST 2016, operations=70.65075411539844, operationsPerMinute=35.32537705769922, mode=normal, start=Tue Jul 05 00:46:35 BST 2016, end=Tue Jul 05 00:50:35 BST 2016, operations=148.04839945347058, operationsPerMinute=37.012099863367645
benchmark-name=scimark.lu.large, mod=warmup, start=Tue Jul 05 00:50:43 BST 2016, end=Tue Jul 05 00:52:43 BST 2016, operations=13.825496497045869, operationsPerMinute=6.912748248522934, mode=normal, start=Tue Jul 05 00:53:27 BST 2016, end=Tue Jul 05 00:57:27 BST 2016, operations=27.87163044105845, operationsPerMinute=6.9679076102646125
benchmark-name=scimark.sor.large, mod=warmup, start=Tue Jul 05 00:57:54 BST 2016, end=Tue Jul 05 00:59:54 BST 2016, operations=74.6263255385819, operationsPerMinute=37.31316276929095, mode=normal, start=Tue Jul 05 01:00:02 BST 2016, end=Tue Jul 05 01:04:02 BST 2016, operations=149.30690346805267, operationsPerMinute=37.32672586701317
benchmark-name=scimark.sparse.large, mod=warmup, start=Tue Jul 05 01:04:14 BST 2016, end=Tue Jul 05 01:06:14 BST 2016, operations=43.3703197900767, operationsPerMinute=21.68515989503835, mode=normal, start=Tue Jul 05 01:06:24 BST 2016, end=Tue Jul 05 01:10:24 BST 2016, operations=86.35764079534694, operationsPerMinute=21.589410198836735
