spec.jvm2008.report.run.location=OLDLIB003
spec.jvm2008.report.hw.cpu.name=Intel(R) Xeon(R) CPU E31270 @ 3.40GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=16341
benchmark-name=check, mode=normal, start=Sat Jun 04 16:07:19 BST 2016, end=Sat Jun 04 16:07:20 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 16:07:20 BST 2016, end=Sat Jun 04 16:07:20 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 16:07:20 BST 2016, end=Sat Jun 04 16:07:40 BST 2016, operations=1.0, operationsPerMinute=2.8853089685020437
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 16:07:40 BST 2016, end=Sat Jun 04 16:07:44 BST 2016, operations=1.0, operationsPerMinute=15.25940996948118
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 16:07:44 BST 2016, end=Sat Jun 04 16:07:46 BST 2016, operations=1.0, operationsPerMinute=43.69992716678806
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 16:07:46 BST 2016, end=Sat Jun 04 16:07:55 BST 2016, operations=1.0, operationsPerMinute=6.552364311455717
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 16:07:55 BST 2016, end=Sat Jun 04 16:08:03 BST 2016, operations=1.0, operationsPerMinute=7.541478129713424
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 16:08:03 BST 2016, end=Sat Jun 04 16:08:10 BST 2016, operations=1.0, operationsPerMinute=8.841732979664014
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 16:08:10 BST 2016, end=Sat Jun 04 16:08:12 BST 2016, operations=1.0, operationsPerMinute=22.753128555176335
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 16:08:12 BST 2016, end=Sat Jun 04 16:08:13 BST 2016, operations=1.0, operationsPerMinute=75.47169811320755
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 16:08:13 BST 2016, end=Sat Jun 04 16:08:14 BST 2016, operations=1.0, operationsPerMinute=57.41626794258373
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 16:08:14 BST 2016, end=Sat Jun 04 16:08:20 BST 2016, operations=1.0, operationsPerMinute=9.937065253395163
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 16:08:20 BST 2016, end=Sat Jun 04 16:08:22 BST 2016, operations=1.0, operationsPerMinute=40.92769440654843
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 16:08:22 BST 2016, end=Sat Jun 04 16:08:23 BST 2016, operations=1.0, operationsPerMinute=49.958368026644465
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 16:08:23 BST 2016, end=Sat Jun 04 16:08:25 BST 2016, operations=1.0, operationsPerMinute=23.023791250959324
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 16:08:25 BST 2016, end=Sat Jun 04 16:08:32 BST 2016, operations=1.0, operationsPerMinute=9.114385538508278
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 16:08:32 BST 2016, end=Sat Jun 04 16:08:57 BST 2016, operations=1.0, operationsPerMinute=2.4450874118749746
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 16:08:57 BST 2016, end=Sat Jun 04 16:08:58 BST 2016, operations=1.0, operationsPerMinute=56.550424128180964
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 16:09:11 BST 2016, end=Sat Jun 04 16:11:11 BST 2016, operations=457.0455017340327, operationsPerMinute=228.52275086701636, mode=normal, start=Sat Jun 04 16:11:12 BST 2016, end=Sat Jun 04 16:15:12 BST 2016, operations=930.2600732600732, operationsPerMinute=232.5650183150183
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 16:15:18 BST 2016, end=Sat Jun 04 16:17:18 BST 2016, operations=180.8667385638851, operationsPerMinute=90.43336928194255, mode=normal, start=Sat Jun 04 16:17:21 BST 2016, end=Sat Jun 04 16:21:21 BST 2016, operations=363.72548377502056, operationsPerMinute=90.93137094375514
benchmark-name=compress, mod=warmup, start=Sat Jun 04 16:21:25 BST 2016, end=Sat Jun 04 16:23:25 BST 2016, operations=366.737752260274, operationsPerMinute=183.368876130137, mode=normal, start=Sat Jun 04 16:23:27 BST 2016, end=Sat Jun 04 16:27:27 BST 2016, operations=731.0752520788534, operationsPerMinute=182.76881301971335
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 16:27:30 BST 2016, end=Sat Jun 04 16:29:30 BST 2016, operations=108.94551800213267, operationsPerMinute=54.472759001066336, mode=normal, start=Sat Jun 04 16:29:37 BST 2016, end=Sat Jun 04 16:33:37 BST 2016, operations=233.28917381603958, operationsPerMinute=58.322293454009895
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 16:33:43 BST 2016, end=Sat Jun 04 16:35:43 BST 2016, operations=187.16242224685953, operationsPerMinute=93.58121112342977, mode=normal, start=Sat Jun 04 16:35:47 BST 2016, end=Sat Jun 04 16:39:47 BST 2016, operations=384.44083732000064, operationsPerMinute=96.11020933000016
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 16:39:52 BST 2016, end=Sat Jun 04 16:41:52 BST 2016, operations=337.29724120150513, operationsPerMinute=168.64862060075257, mode=normal, start=Sat Jun 04 16:41:55 BST 2016, end=Sat Jun 04 16:45:55 BST 2016, operations=669.269909165935, operationsPerMinute=167.31747729148375
benchmark-name=derby, mod=warmup, start=Sat Jun 04 16:47:27 BST 2016, end=Sat Jun 04 16:49:27 BST 2016, operations=255.73457715226743, operationsPerMinute=127.86728857613372, mode=normal, start=Sat Jun 04 16:49:30 BST 2016, end=Sat Jun 04 16:53:30 BST 2016, operations=512.4694911160925, operationsPerMinute=128.11737277902313
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 16:53:33 BST 2016, end=Sat Jun 04 16:55:33 BST 2016, operations=176.78290712677557, operationsPerMinute=88.39145356338778, mode=normal, start=Sat Jun 04 16:55:37 BST 2016, end=Sat Jun 04 16:59:37 BST 2016, operations=355.94705881999005, operationsPerMinute=88.98676470499751
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 16:59:41 BST 2016, end=Sat Jun 04 17:01:41 BST 2016, operations=90.97817721052687, operationsPerMinute=45.48908860526343, mode=normal, start=Sat Jun 04 17:01:50 BST 2016, end=Sat Jun 04 17:05:50 BST 2016, operations=190.01008861992358, operationsPerMinute=47.502522154980895
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 17:05:57 BST 2016, end=Sat Jun 04 17:07:57 BST 2016, operations=21.89097008251354, operationsPerMinute=10.94548504125677, mode=normal, start=Sat Jun 04 17:08:26 BST 2016, end=Sat Jun 04 17:12:26 BST 2016, operations=43.74986409829442, operationsPerMinute=10.937466024573604
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 17:12:56 BST 2016, end=Sat Jun 04 17:14:56 BST 2016, operations=74.48256974840433, operationsPerMinute=37.241284874202165, mode=normal, start=Sat Jun 04 17:15:04 BST 2016, end=Sat Jun 04 17:19:04 BST 2016, operations=148.5342991667811, operationsPerMinute=37.133574791695274
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 17:19:15 BST 2016, end=Sat Jun 04 17:21:15 BST 2016, operations=66.10298571140137, operationsPerMinute=33.05149285570069, mode=normal, start=Sat Jun 04 17:21:25 BST 2016, end=Sat Jun 04 17:25:25 BST 2016, operations=132.45045395235286, operationsPerMinute=33.112613488088215
benchmark-name=scimark.fft.small, mod=warmup, start=Sat Jun 04 17:25:35 BST 2016, end=Sat Jun 04 17:27:35 BST 2016, operations=670.8597565443413, operationsPerMinute=335.42987827217064, mode=normal, start=Sat Jun 04 17:27:36 BST 2016, end=Sat Jun 04 17:31:36 BST 2016, operations=1334.51559217831, operationsPerMinute=333.6288980445775
benchmark-name=scimark.lu.small, mod=warmup, start=Sat Jun 04 17:31:38 BST 2016, end=Sat Jun 04 17:33:38 BST 2016, operations=495.64961342609735, operationsPerMinute=247.82480671304867, mode=normal, start=Sat Jun 04 17:33:39 BST 2016, end=Sat Jun 04 17:37:39 BST 2016, operations=973.325695335159, operationsPerMinute=243.33142383378976
benchmark-name=scimark.sor.small, mod=warmup, start=Sat Jun 04 17:37:41 BST 2016, end=Sat Jun 04 17:39:41 BST 2016, operations=328.6318355924749, operationsPerMinute=164.31591779623744, mode=normal, start=Sat Jun 04 17:39:42 BST 2016, end=Sat Jun 04 17:43:42 BST 2016, operations=655.38916382571, operationsPerMinute=163.8472909564275
benchmark-name=scimark.sparse.small, mod=warmup, start=Sat Jun 04 17:43:45 BST 2016, end=Sat Jun 04 17:45:45 BST 2016, operations=424.0881361295076, operationsPerMinute=212.0440680647538, mode=normal, start=Sat Jun 04 17:45:46 BST 2016, end=Sat Jun 04 17:49:46 BST 2016, operations=846.2850140813081, operationsPerMinute=211.57125352032702
benchmark-name=scimark.monte_carlo, mod=warmup, start=Sat Jun 04 17:49:48 BST 2016, end=Sat Jun 04 17:51:48 BST 2016, operations=106.17874065862406, operationsPerMinute=53.08937032931203, mode=normal, start=Sat Jun 04 17:51:54 BST 2016, end=Sat Jun 04 17:55:54 BST 2016, operations=212.99152168878305, operationsPerMinute=53.24788042219576
benchmark-name=serial, mod=warmup, start=Sat Jun 04 17:56:01 BST 2016, end=Sat Jun 04 17:58:01 BST 2016, operations=195.34957743869032, operationsPerMinute=97.67478871934516, mode=normal, start=Sat Jun 04 17:58:05 BST 2016, end=Sat Jun 04 18:02:05 BST 2016, operations=393.1827956989248, operationsPerMinute=98.2956989247312
benchmark-name=sunflow, mod=warmup, start=Sat Jun 04 18:02:09 BST 2016, end=Sat Jun 04 18:04:09 BST 2016, operations=149.75017482517484, operationsPerMinute=74.87508741258742, mode=normal, start=Sat Jun 04 18:04:10 BST 2016, end=Sat Jun 04 18:08:10 BST 2016, operations=299.70464962977724, operationsPerMinute=74.92616240744431
benchmark-name=xml.transform, mod=warmup, start=Sat Jun 04 18:08:36 BST 2016, end=Sat Jun 04 18:10:36 BST 2016, operations=448.5946434067782, operationsPerMinute=224.2973217033891, mode=normal, start=Sat Jun 04 18:10:37 BST 2016, end=Sat Jun 04 18:14:37 BST 2016, operations=867.4362665850426, operationsPerMinute=216.85906664626066
