spec.jvm2008.report.run.location=LAW014
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8067
benchmark-name=check, mode=normal, start=Mon Jun 27 02:29:44 BST 2016, end=Mon Jun 27 02:29:44 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.helloworld, mode=normal, start=Mon Jun 27 02:29:44 BST 2016, end=Mon Jun 27 02:29:45 BST 2016, operations=1.0, operationsPerMinute=98.52216748768473
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jun 27 02:29:45 BST 2016, end=Mon Jun 27 02:30:08 BST 2016, operations=1.0, operationsPerMinute=2.6540452072366967
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jun 27 02:30:08 BST 2016, end=Mon Jun 27 02:30:13 BST 2016, operations=1.0, operationsPerMinute=11.043622308117062
benchmark-name=startup.compress, mode=normal, start=Mon Jun 27 02:30:13 BST 2016, end=Mon Jun 27 02:30:15 BST 2016, operations=1.0, operationsPerMinute=38.07106598984772
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jun 27 02:30:15 BST 2016, end=Mon Jun 27 02:30:24 BST 2016, operations=1.0, operationsPerMinute=6.279434850863423
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jun 27 02:30:24 BST 2016, end=Mon Jun 27 02:30:32 BST 2016, operations=1.0, operationsPerMinute=7.655990812811025
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jun 27 02:30:32 BST 2016, end=Mon Jun 27 02:30:39 BST 2016, operations=1.0, operationsPerMinute=8.774495466510675
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jun 27 02:30:39 BST 2016, end=Mon Jun 27 02:30:42 BST 2016, operations=1.0, operationsPerMinute=20.66115702479339
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jun 27 02:30:42 BST 2016, end=Mon Jun 27 02:30:43 BST 2016, operations=1.0, operationsPerMinute=67.41573033707866
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jun 27 02:30:43 BST 2016, end=Mon Jun 27 02:30:44 BST 2016, operations=1.0, operationsPerMinute=52.63157894736842
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jun 27 02:30:44 BST 2016, end=Mon Jun 27 02:30:50 BST 2016, operations=1.0, operationsPerMinute=9.397024275646045
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jun 27 02:30:50 BST 2016, end=Mon Jun 27 02:30:52 BST 2016, operations=1.0, operationsPerMinute=37.3134328358209
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jun 27 02:30:52 BST 2016, end=Mon Jun 27 02:30:53 BST 2016, operations=1.0, operationsPerMinute=49.26108374384236
benchmark-name=startup.serial, mode=normal, start=Mon Jun 27 02:30:53 BST 2016, end=Mon Jun 27 02:30:56 BST 2016, operations=1.0, operationsPerMinute=21.111893033075297
benchmark-name=startup.sunflow, mode=normal, start=Mon Jun 27 02:30:56 BST 2016, end=Mon Jun 27 02:31:03 BST 2016, operations=1.0, operationsPerMinute=8.301051466519093
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jun 27 02:31:03 BST 2016, end=Mon Jun 27 02:31:32 BST 2016, operations=1.0, operationsPerMinute=2.0875374017117805
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jun 27 02:31:32 BST 2016, end=Mon Jun 27 02:31:33 BST 2016, operations=1.0, operationsPerMinute=39.21568627450981
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jun 27 02:31:48 BST 2016, end=Mon Jun 27 02:33:48 BST 2016, operations=393.68479227607986, operationsPerMinute=196.84239613803993, mode=normal, start=Mon Jun 27 02:33:50 BST 2016, end=Mon Jun 27 02:37:50 BST 2016, operations=832.4960287218404, operationsPerMinute=208.1240071804601
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jun 27 02:37:56 BST 2016, end=Mon Jun 27 02:39:56 BST 2016, operations=159.61799854477798, operationsPerMinute=79.80899927238899, mode=normal, start=Mon Jun 27 02:40:00 BST 2016, end=Mon Jun 27 02:44:00 BST 2016, operations=334.11848959859526, operationsPerMinute=83.52962239964882
benchmark-name=compress, mod=warmup, start=Mon Jun 27 02:44:04 BST 2016, end=Mon Jun 27 02:46:04 BST 2016, operations=350.78211127755185, operationsPerMinute=175.39105563877592, mode=normal, start=Mon Jun 27 02:46:06 BST 2016, end=Mon Jun 27 02:50:06 BST 2016, operations=702.9620535787828, operationsPerMinute=175.7405133946957
benchmark-name=crypto.aes, mod=warmup, start=Mon Jun 27 02:50:08 BST 2016, end=Mon Jun 27 02:52:08 BST 2016, operations=116.30425830341466, operationsPerMinute=58.15212915170733, mode=normal, start=Mon Jun 27 02:52:14 BST 2016, end=Mon Jun 27 02:56:14 BST 2016, operations=245.59117598199686, operationsPerMinute=61.397793995499214
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jun 27 02:56:20 BST 2016, end=Mon Jun 27 02:58:20 BST 2016, operations=204.9407615447895, operationsPerMinute=102.47038077239475, mode=normal, start=Mon Jun 27 02:58:24 BST 2016, end=Mon Jun 27 03:02:24 BST 2016, operations=395.94442901536047, operationsPerMinute=98.98610725384012
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jun 27 03:02:27 BST 2016, end=Mon Jun 27 03:04:27 BST 2016, operations=333.1878953529327, operationsPerMinute=166.59394767646634, mode=normal, start=Mon Jun 27 03:04:29 BST 2016, end=Mon Jun 27 03:08:29 BST 2016, operations=662.9714469395489, operationsPerMinute=165.7428617348872
benchmark-name=derby, mod=warmup, start=Mon Jun 27 03:09:34 BST 2016, end=Mon Jun 27 03:11:34 BST 2016, operations=257.6810184100535, operationsPerMinute=128.84050920502676, mode=normal, start=Mon Jun 27 03:11:37 BST 2016, end=Mon Jun 27 03:15:37 BST 2016, operations=482.5189055165113, operationsPerMinute=120.62972637912783
benchmark-name=mpegaudio, mod=warmup, start=Mon Jun 27 03:16:09 BST 2016, end=Mon Jun 27 03:18:09 BST 2016, operations=172.40232578555543, operationsPerMinute=86.20116289277772, mode=normal, start=Mon Jun 27 03:18:15 BST 2016, end=Mon Jun 27 03:22:15 BST 2016, operations=345.8363888139283, operationsPerMinute=86.45909720348207
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jun 27 03:22:18 BST 2016, end=Mon Jun 27 03:24:18 BST 2016, operations=105.14347634402458, operationsPerMinute=52.57173817201229, mode=normal, start=Mon Jun 27 03:24:26 BST 2016, end=Mon Jun 27 03:28:26 BST 2016, operations=205.49495899558872, operationsPerMinute=51.37373974889718
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jun 27 03:28:33 BST 2016, end=Mon Jun 27 03:30:33 BST 2016, operations=22.641758793184643, operationsPerMinute=11.320879396592321, mode=normal, start=Mon Jun 27 03:30:56 BST 2016, end=Mon Jun 27 03:34:56 BST 2016, operations=45.2360291669181, operationsPerMinute=11.309007291729525
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jun 27 03:35:26 BST 2016, end=Mon Jun 27 03:37:26 BST 2016, operations=69.5246056025828, operationsPerMinute=34.7623028012914, mode=normal, start=Mon Jun 27 03:37:37 BST 2016, end=Mon Jun 27 03:41:37 BST 2016, operations=138.5044851965313, operationsPerMinute=34.626121299132826
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jun 27 03:41:46 BST 2016, end=Mon Jun 27 03:43:46 BST 2016, operations=74.17447451350426, operationsPerMinute=37.08723725675213, mode=normal, start=Mon Jun 27 03:43:53 BST 2016, end=Mon Jun 27 03:47:53 BST 2016, operations=148.6334564541727, operationsPerMinute=37.15836411354317
