spec.jvm2008.report.run.location=TOLL04
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
spec.jvm2008.report.hw.number.of.cores=2
spec.jvm2008.report.hw.memory.size=3991
benchmark-name=check, mode=normal, start=Wed Jun 29 05:24:25 BST 2016, end=Wed Jun 29 05:24:25 BST 2016, operations=1.0, operationsPerMinute=769.2307692307693
benchmark-name=startup.helloworld, mode=normal, start=Wed Jun 29 05:24:25 BST 2016, end=Wed Jun 29 05:24:25 BST 2016, operations=1.0, operationsPerMinute=137.29977116704805
benchmark-name=startup.compiler.compiler, mode=normal, start=Wed Jun 29 05:24:25 BST 2016, end=Wed Jun 29 05:24:48 BST 2016, operations=1.0, operationsPerMinute=2.6218046755516715
benchmark-name=startup.compiler.sunflow, mode=normal, start=Wed Jun 29 05:24:48 BST 2016, end=Wed Jun 29 05:24:54 BST 2016, operations=1.0, operationsPerMinute=10.714285714285714
benchmark-name=startup.compress, mode=normal, start=Wed Jun 29 05:24:54 BST 2016, end=Wed Jun 29 05:24:56 BST 2016, operations=1.0, operationsPerMinute=32.87671232876713
benchmark-name=startup.crypto.aes, mode=normal, start=Wed Jun 29 05:24:56 BST 2016, end=Wed Jun 29 05:25:07 BST 2016, operations=1.0, operationsPerMinute=5.371530886302597
benchmark-name=startup.crypto.rsa, mode=normal, start=Wed Jun 29 05:25:07 BST 2016, end=Wed Jun 29 05:25:16 BST 2016, operations=1.0, operationsPerMinute=6.8807339449541285
benchmark-name=startup.crypto.signverify, mode=normal, start=Wed Jun 29 05:25:16 BST 2016, end=Wed Jun 29 05:25:23 BST 2016, operations=1.0, operationsPerMinute=8.379888268156424
benchmark-name=startup.mpegaudio, mode=normal, start=Wed Jun 29 05:25:23 BST 2016, end=Wed Jun 29 05:25:27 BST 2016, operations=1.0, operationsPerMinute=15.760441292356186
benchmark-name=startup.scimark.fft, mode=normal, start=Wed Jun 29 05:25:27 BST 2016, end=Wed Jun 29 05:25:28 BST 2016, operations=1.0, operationsPerMinute=49.958368026644465
benchmark-name=startup.scimark.lu, mode=normal, start=Wed Jun 29 05:25:28 BST 2016, end=Wed Jun 29 05:25:30 BST 2016, operations=1.0, operationsPerMinute=33.74578177727784
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Wed Jun 29 05:25:30 BST 2016, end=Wed Jun 29 05:25:37 BST 2016, operations=1.0, operationsPerMinute=7.6765609007164795
benchmark-name=startup.scimark.sor, mode=normal, start=Wed Jun 29 05:25:37 BST 2016, end=Wed Jun 29 05:25:39 BST 2016, operations=1.0, operationsPerMinute=32.327586206896555
benchmark-name=startup.scimark.sparse, mode=normal, start=Wed Jun 29 05:25:39 BST 2016, end=Wed Jun 29 05:25:41 BST 2016, operations=1.0, operationsPerMinute=28.91566265060241
benchmark-name=startup.serial, mode=normal, start=Wed Jun 29 05:25:41 BST 2016, end=Wed Jun 29 05:25:46 BST 2016, operations=1.0, operationsPerMinute=14.350633819660368
benchmark-name=startup.sunflow, mode=normal, start=Wed Jun 29 05:25:46 BST 2016, end=Wed Jun 29 05:25:54 BST 2016, operations=1.0, operationsPerMinute=7.1890726096333575
benchmark-name=startup.xml.transform, mode=normal, start=Wed Jun 29 05:25:54 BST 2016, end=Wed Jun 29 05:26:33 BST 2016, operations=1.0, operationsPerMinute=1.5202189115232594
benchmark-name=startup.xml.validation, mode=normal, start=Wed Jun 29 05:26:33 BST 2016, end=Wed Jun 29 05:26:35 BST 2016, operations=1.0, operationsPerMinute=39.24133420536298
benchmark-name=compiler.compiler, mod=warmup, start=Wed Jun 29 05:26:51 BST 2016, end=Wed Jun 29 05:28:51 BST 2016, operations=242.96168174103593, operationsPerMinute=121.48084087051797, mode=normal, start=Wed Jun 29 05:28:52 BST 2016, end=Wed Jun 29 05:32:52 BST 2016, operations=488.4324740686585, operationsPerMinute=122.10811851716463
benchmark-name=compiler.sunflow, mod=warmup, start=Wed Jun 29 05:32:59 BST 2016, end=Wed Jun 29 05:34:59 BST 2016, operations=95.54435483870967, operationsPerMinute=47.77217741935483, mode=normal, start=Wed Jun 29 05:35:02 BST 2016, end=Wed Jun 29 05:39:02 BST 2016, operations=192.09641178788775, operationsPerMinute=48.02410294697194
benchmark-name=compress, mod=warmup, start=Wed Jun 29 05:39:04 BST 2016, end=Wed Jun 29 05:41:04 BST 2016, operations=149.51639804639802, operationsPerMinute=74.75819902319901, mode=normal, start=Wed Jun 29 05:41:07 BST 2016, end=Wed Jun 29 05:45:07 BST 2016, operations=299.6359000254438, operationsPerMinute=74.90897500636095
benchmark-name=crypto.aes, mod=warmup, start=Wed Jun 29 05:45:09 BST 2016, end=Wed Jun 29 05:47:09 BST 2016, operations=41.999729609352244, operationsPerMinute=20.999864804676122, mode=normal, start=Wed Jun 29 05:47:15 BST 2016, end=Wed Jun 29 05:51:15 BST 2016, operations=89.28588801870363, operationsPerMinute=22.321472004675908
benchmark-name=crypto.rsa, mod=warmup, start=Wed Jun 29 05:51:21 BST 2016, end=Wed Jun 29 05:53:21 BST 2016, operations=86.80814739151901, operationsPerMinute=43.40407369575951, mode=normal, start=Wed Jun 29 05:53:25 BST 2016, end=Wed Jun 29 05:57:25 BST 2016, operations=173.503886801108, operationsPerMinute=43.375971700277
benchmark-name=crypto.signverify, mod=warmup, start=Wed Jun 29 05:57:28 BST 2016, end=Wed Jun 29 05:59:28 BST 2016, operations=139.37056089311284, operationsPerMinute=69.68528044655642, mode=normal, start=Wed Jun 29 05:59:30 BST 2016, end=Wed Jun 29 06:03:30 BST 2016, operations=265.50348163211663, operationsPerMinute=66.37587040802916
benchmark-name=derby, mod=warmup, start=Wed Jun 29 06:05:38 BST 2016, end=Wed Jun 29 06:07:38 BST 2016, operations=100.58011157134139, operationsPerMinute=50.290055785670695, mode=normal, start=Wed Jun 29 06:07:42 BST 2016, end=Wed Jun 29 06:11:42 BST 2016, operations=211.00424157264402, operationsPerMinute=52.751060393161005
benchmark-name=mpegaudio, mod=warmup, start=Wed Jun 29 06:11:45 BST 2016, end=Wed Jun 29 06:13:45 BST 2016, operations=65.9125099824188, operationsPerMinute=32.9562549912094, mode=normal, start=Wed Jun 29 06:13:50 BST 2016, end=Wed Jun 29 06:17:50 BST 2016, operations=132.97133410324898, operationsPerMinute=33.242833525812244
benchmark-name=scimark.fft.large, mod=warmup, start=Wed Jun 29 06:17:55 BST 2016, end=Wed Jun 29 06:19:55 BST 2016, operations=33.52190532196413, operationsPerMinute=16.760952660982063, mode=normal, start=Wed Jun 29 06:20:01 BST 2016, end=Wed Jun 29 06:24:01 BST 2016, operations=69.70267414820637, operationsPerMinute=17.425668537051592
benchmark-name=scimark.lu.large, mod=warmup, start=Wed Jun 29 06:24:07 BST 2016, end=Wed Jun 29 06:26:07 BST 2016, operations=7.0700088951909486, operationsPerMinute=3.5350044475954743, mode=normal, start=Wed Jun 29 06:26:39 BST 2016, end=Wed Jun 29 06:30:39 BST 2016, operations=14.150917357244177, operationsPerMinute=3.5377293393110443
benchmark-name=scimark.sor.large, mod=warmup, start=Wed Jun 29 06:31:27 BST 2016, end=Wed Jun 29 06:33:27 BST 2016, operations=32.188688620861, operationsPerMinute=16.0943443104305, mode=normal, start=Wed Jun 29 06:33:35 BST 2016, end=Wed Jun 29 06:37:35 BST 2016, operations=64.0891013105377, operationsPerMinute=16.022275327634425
benchmark-name=scimark.sparse.large, mod=warmup, start=Wed Jun 29 06:37:43 BST 2016, end=Wed Jun 29 06:39:43 BST 2016, operations=23.615267711865158, operationsPerMinute=11.807633855932579, mode=normal, start=Wed Jun 29 06:39:52 BST 2016, end=Wed Jun 29 06:43:52 BST 2016, operations=47.36552659369214, operationsPerMinute=11.841381648423035
