spec.jvm2008.report.run.location=BEDSONTC092
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jun 03 15:02:46 BST 2016, end=Fri Jun 03 15:02:46 BST 2016, operations=1.0, operationsPerMinute=1875.0
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 03 15:02:46 BST 2016, end=Fri Jun 03 15:02:47 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 03 15:02:47 BST 2016, end=Fri Jun 03 15:03:00 BST 2016, operations=1.0, operationsPerMinute=4.356033105851605
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 03 15:03:00 BST 2016, end=Fri Jun 03 15:03:04 BST 2016, operations=1.0, operationsPerMinute=17.969451931716083
benchmark-name=startup.compress, mode=normal, start=Fri Jun 03 15:03:04 BST 2016, end=Fri Jun 03 15:03:05 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 03 15:03:05 BST 2016, end=Fri Jun 03 15:03:13 BST 2016, operations=1.0, operationsPerMinute=7.136060894386299
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 03 15:03:13 BST 2016, end=Fri Jun 03 15:03:21 BST 2016, operations=1.0, operationsPerMinute=7.930214115781126
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 03 15:03:21 BST 2016, end=Fri Jun 03 15:03:27 BST 2016, operations=1.0, operationsPerMinute=9.157509157509157
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 03 15:03:27 BST 2016, end=Fri Jun 03 15:03:30 BST 2016, operations=1.0, operationsPerMinute=26.7022696929239
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 03 15:03:30 BST 2016, end=Fri Jun 03 15:03:30 BST 2016, operations=1.0, operationsPerMinute=83.68200836820084
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 03 15:03:30 BST 2016, end=Fri Jun 03 15:03:31 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 03 15:03:31 BST 2016, end=Fri Jun 03 15:03:37 BST 2016, operations=1.0, operationsPerMinute=11.021307861866275
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 03 15:03:37 BST 2016, end=Fri Jun 03 15:03:38 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 03 15:03:38 BST 2016, end=Fri Jun 03 15:03:39 BST 2016, operations=1.0, operationsPerMinute=62.047569803516026
benchmark-name=startup.serial, mode=normal, start=Fri Jun 03 15:03:39 BST 2016, end=Fri Jun 03 15:03:41 BST 2016, operations=1.0, operationsPerMinute=28.694404591104735
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 03 15:03:41 BST 2016, end=Fri Jun 03 15:03:48 BST 2016, operations=1.0, operationsPerMinute=9.335615372646647
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 03 15:03:48 BST 2016, end=Fri Jun 03 15:04:08 BST 2016, operations=1.0, operationsPerMinute=2.9792939073439593
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 03 15:04:08 BST 2016, end=Fri Jun 03 15:04:09 BST 2016, operations=1.0, operationsPerMinute=76.92307692307692
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 03 15:04:19 BST 2016, end=Fri Jun 03 15:06:19 BST 2016, operations=504.8610058995408, operationsPerMinute=252.4305029497704, mode=normal, start=Fri Jun 03 15:06:20 BST 2016, end=Fri Jun 03 15:10:20 BST 2016, operations=1023.644072167381, operationsPerMinute=255.91101804184524
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 03 15:10:25 BST 2016, end=Fri Jun 03 15:12:25 BST 2016, operations=199.79239066521123, operationsPerMinute=99.89619533260561, mode=normal, start=Fri Jun 03 15:12:28 BST 2016, end=Fri Jun 03 15:16:28 BST 2016, operations=388.86592530303415, operationsPerMinute=97.21648132575854
benchmark-name=compress, mod=warmup, start=Fri Jun 03 15:16:32 BST 2016, end=Fri Jun 03 15:18:32 BST 2016, operations=402.5515860300953, operationsPerMinute=201.27579301504764, mode=normal, start=Fri Jun 03 15:18:34 BST 2016, end=Fri Jun 03 15:22:34 BST 2016, operations=804.0819974360883, operationsPerMinute=201.02049935902207
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 03 15:22:36 BST 2016, end=Fri Jun 03 15:24:36 BST 2016, operations=139.94813896040137, operationsPerMinute=69.97406948020068, mode=normal, start=Fri Jun 03 15:24:41 BST 2016, end=Fri Jun 03 15:28:41 BST 2016, operations=292.74727187477055, operationsPerMinute=73.18681796869264
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 03 15:28:46 BST 2016, end=Fri Jun 03 15:30:46 BST 2016, operations=236.74005754987866, operationsPerMinute=118.37002877493933, mode=normal, start=Fri Jun 03 15:30:50 BST 2016, end=Fri Jun 03 15:34:50 BST 2016, operations=473.40821368872196, operationsPerMinute=118.35205342218049
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 03 15:34:53 BST 2016, end=Fri Jun 03 15:36:53 BST 2016, operations=405.51980241980243, operationsPerMinute=202.75990120990122, mode=normal, start=Fri Jun 03 15:36:55 BST 2016, end=Fri Jun 03 15:40:55 BST 2016, operations=820.0976417959087, operationsPerMinute=205.02441044897716
benchmark-name=derby, mod=warmup, start=Fri Jun 03 15:41:32 BST 2016, end=Fri Jun 03 15:43:32 BST 2016, operations=362.9208309797558, operationsPerMinute=181.4604154898779, mode=normal, start=Fri Jun 03 15:43:34 BST 2016, end=Fri Jun 03 15:47:34 BST 2016, operations=734.6584678081035, operationsPerMinute=183.66461695202588
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 03 15:47:36 BST 2016, end=Fri Jun 03 15:49:36 BST 2016, operations=209.30402704451942, operationsPerMinute=104.65201352225971, mode=normal, start=Fri Jun 03 15:49:40 BST 2016, end=Fri Jun 03 15:53:40 BST 2016, operations=417.9508236206243, operationsPerMinute=104.48770590515608
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 03 15:53:44 BST 2016, end=Fri Jun 03 15:55:44 BST 2016, operations=74.80701592472857, operationsPerMinute=37.40350796236429, mode=normal, start=Fri Jun 03 15:55:51 BST 2016, end=Fri Jun 03 15:59:51 BST 2016, operations=154.87175235553647, operationsPerMinute=38.71793808888412
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 03 15:59:59 BST 2016, end=Fri Jun 03 16:01:59 BST 2016, operations=13.874850489181197, operationsPerMinute=6.937425244590599, mode=normal, start=Fri Jun 03 16:02:42 BST 2016, end=Fri Jun 03 16:06:42 BST 2016, operations=27.735976202353918, operationsPerMinute=6.933994050588479
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 03 16:07:10 BST 2016, end=Fri Jun 03 16:09:10 BST 2016, operations=75.25065738281428, operationsPerMinute=37.62532869140714, mode=normal, start=Fri Jun 03 16:09:18 BST 2016, end=Fri Jun 03 16:13:18 BST 2016, operations=150.2300735406829, operationsPerMinute=37.557518385170724
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 03 16:13:27 BST 2016, end=Fri Jun 03 16:15:27 BST 2016, operations=42.50030108918577, operationsPerMinute=21.250150544592884, mode=normal, start=Fri Jun 03 16:15:39 BST 2016, end=Fri Jun 03 16:19:39 BST 2016, operations=85.92708819110828, operationsPerMinute=21.48177204777707
