spec.jvm2008.report.run.location=CASTLEAZES008
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sun Jun 05 04:04:30 BST 2016, end=Sun Jun 05 04:04:31 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 05 04:04:31 BST 2016, end=Sun Jun 05 04:04:31 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 05 04:04:31 BST 2016, end=Sun Jun 05 04:04:43 BST 2016, operations=1.0, operationsPerMinute=4.673261157411013
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 05 04:04:43 BST 2016, end=Sun Jun 05 04:04:47 BST 2016, operations=1.0, operationsPerMinute=18.404907975460123
benchmark-name=startup.compress, mode=normal, start=Sun Jun 05 04:04:47 BST 2016, end=Sun Jun 05 04:04:48 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 05 04:04:48 BST 2016, end=Sun Jun 05 04:04:56 BST 2016, operations=1.0, operationsPerMinute=7.09639266706091
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 05 04:04:56 BST 2016, end=Sun Jun 05 04:05:04 BST 2016, operations=1.0, operationsPerMinute=8.13118308713918
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 05 04:05:04 BST 2016, end=Sun Jun 05 04:05:10 BST 2016, operations=1.0, operationsPerMinute=9.178522257916475
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 05 04:05:10 BST 2016, end=Sun Jun 05 04:05:13 BST 2016, operations=1.0, operationsPerMinute=26.89376961004034
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 05 04:05:13 BST 2016, end=Sun Jun 05 04:05:13 BST 2016, operations=1.0, operationsPerMinute=83.68200836820084
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 05 04:05:13 BST 2016, end=Sun Jun 05 04:05:14 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 05 04:05:14 BST 2016, end=Sun Jun 05 04:05:20 BST 2016, operations=1.0, operationsPerMinute=10.714285714285714
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 05 04:05:20 BST 2016, end=Sun Jun 05 04:05:21 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 05 04:05:21 BST 2016, end=Sun Jun 05 04:05:22 BST 2016, operations=1.0, operationsPerMinute=62.047569803516026
benchmark-name=startup.serial, mode=normal, start=Sun Jun 05 04:05:22 BST 2016, end=Sun Jun 05 04:05:24 BST 2016, operations=1.0, operationsPerMinute=28.694404591104735
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 05 04:05:24 BST 2016, end=Sun Jun 05 04:05:31 BST 2016, operations=1.0, operationsPerMinute=9.380863039399625
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 05 04:05:31 BST 2016, end=Sun Jun 05 04:05:51 BST 2016, operations=1.0, operationsPerMinute=2.9977516862353233
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 05 04:05:51 BST 2016, end=Sun Jun 05 04:05:51 BST 2016, operations=1.0, operationsPerMinute=75.47169811320755
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 05 04:06:02 BST 2016, end=Sun Jun 05 04:08:02 BST 2016, operations=490.05077895318806, operationsPerMinute=245.02538947659403, mode=normal, start=Sun Jun 05 04:08:03 BST 2016, end=Sun Jun 05 04:12:03 BST 2016, operations=1032.6865023123507, operationsPerMinute=258.1716255780877
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 05 04:12:07 BST 2016, end=Sun Jun 05 04:14:07 BST 2016, operations=199.8038226780502, operationsPerMinute=99.9019113390251, mode=normal, start=Sun Jun 05 04:14:10 BST 2016, end=Sun Jun 05 04:18:10 BST 2016, operations=395.58584292938457, operationsPerMinute=98.89646073234614
benchmark-name=compress, mod=warmup, start=Sun Jun 05 04:18:14 BST 2016, end=Sun Jun 05 04:20:14 BST 2016, operations=400.1615764252129, operationsPerMinute=200.08078821260645, mode=normal, start=Sun Jun 05 04:20:15 BST 2016, end=Sun Jun 05 04:24:15 BST 2016, operations=800.0753322305246, operationsPerMinute=200.01883305763116
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 05 04:24:17 BST 2016, end=Sun Jun 05 04:26:17 BST 2016, operations=140.2635960001001, operationsPerMinute=70.13179800005005, mode=normal, start=Sun Jun 05 04:26:23 BST 2016, end=Sun Jun 05 04:30:23 BST 2016, operations=294.7779073729052, operationsPerMinute=73.6944768432263
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 05 04:30:27 BST 2016, end=Sun Jun 05 04:32:27 BST 2016, operations=235.41931852417724, operationsPerMinute=117.70965926208862, mode=normal, start=Sun Jun 05 04:32:30 BST 2016, end=Sun Jun 05 04:36:30 BST 2016, operations=472.4923063739584, operationsPerMinute=118.1230765934896
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 05 04:36:33 BST 2016, end=Sun Jun 05 04:38:33 BST 2016, operations=408.95411365064746, operationsPerMinute=204.47705682532373, mode=normal, start=Sun Jun 05 04:38:35 BST 2016, end=Sun Jun 05 04:42:35 BST 2016, operations=808.7326206523016, operationsPerMinute=202.1831551630754
benchmark-name=derby, mod=warmup, start=Sun Jun 05 04:42:57 BST 2016, end=Sun Jun 05 04:44:57 BST 2016, operations=360.93128858818494, operationsPerMinute=180.46564429409247, mode=normal, start=Sun Jun 05 04:44:58 BST 2016, end=Sun Jun 05 04:48:58 BST 2016, operations=721.0655725642041, operationsPerMinute=180.26639314105103
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 05 04:49:00 BST 2016, end=Sun Jun 05 04:51:00 BST 2016, operations=208.23531472411932, operationsPerMinute=104.11765736205966, mode=normal, start=Sun Jun 05 04:51:04 BST 2016, end=Sun Jun 05 04:55:04 BST 2016, operations=416.2856177981191, operationsPerMinute=104.07140444952978
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 05 04:55:08 BST 2016, end=Sun Jun 05 04:57:08 BST 2016, operations=77.50975494532972, operationsPerMinute=38.75487747266486, mode=normal, start=Sun Jun 05 04:57:16 BST 2016, end=Sun Jun 05 05:01:16 BST 2016, operations=150.32793685809156, operationsPerMinute=37.58198421452289
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 05 05:01:24 BST 2016, end=Sun Jun 05 05:03:24 BST 2016, operations=13.926583623635405, operationsPerMinute=6.963291811817703, mode=normal, start=Sun Jun 05 05:04:08 BST 2016, end=Sun Jun 05 05:08:08 BST 2016, operations=27.850197896568808, operationsPerMinute=6.962549474142202
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 05 05:08:51 BST 2016, end=Sun Jun 05 05:10:51 BST 2016, operations=74.67502909095025, operationsPerMinute=37.33751454547512, mode=normal, start=Sun Jun 05 05:10:59 BST 2016, end=Sun Jun 05 05:14:59 BST 2016, operations=148.78809269030188, operationsPerMinute=37.19702317257547
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 05 05:15:11 BST 2016, end=Sun Jun 05 05:17:11 BST 2016, operations=42.51499545944561, operationsPerMinute=21.257497729722804, mode=normal, start=Sun Jun 05 05:17:24 BST 2016, end=Sun Jun 05 05:21:24 BST 2016, operations=85.04795671930107, operationsPerMinute=21.261989179825267
