spec.jvm2008.report.run.location=RIDLEY2B012
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 25 00:16:17 BST 2016, end=Sat Jun 25 00:16:17 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 25 00:16:17 BST 2016, end=Sat Jun 25 00:16:17 BST 2016, operations=1.0, operationsPerMinute=273.972602739726
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 25 00:16:17 BST 2016, end=Sat Jun 25 00:16:30 BST 2016, operations=1.0, operationsPerMinute=4.557192769254139
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 25 00:16:30 BST 2016, end=Sat Jun 25 00:16:33 BST 2016, operations=1.0, operationsPerMinute=17.482517482517483
benchmark-name=startup.compress, mode=normal, start=Sat Jun 25 00:16:33 BST 2016, end=Sat Jun 25 00:16:35 BST 2016, operations=1.0, operationsPerMinute=47.46835443037975
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 25 00:16:35 BST 2016, end=Sat Jun 25 00:16:43 BST 2016, operations=1.0, operationsPerMinute=7.044734061289186
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 25 00:16:43 BST 2016, end=Sat Jun 25 00:16:51 BST 2016, operations=1.0, operationsPerMinute=7.995735607675906
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 25 00:16:51 BST 2016, end=Sat Jun 25 00:16:57 BST 2016, operations=1.0, operationsPerMinute=9.092286710107592
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 25 00:16:57 BST 2016, end=Sat Jun 25 00:17:00 BST 2016, operations=1.0, operationsPerMinute=25.9852750108272
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 25 00:17:00 BST 2016, end=Sat Jun 25 00:17:00 BST 2016, operations=1.0, operationsPerMinute=76.92307692307692
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 25 00:17:00 BST 2016, end=Sat Jun 25 00:17:01 BST 2016, operations=1.0, operationsPerMinute=61.09979633401222
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 25 00:17:01 BST 2016, end=Sat Jun 25 00:17:07 BST 2016, operations=1.0, operationsPerMinute=10.834236186348862
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 25 00:17:07 BST 2016, end=Sat Jun 25 00:17:08 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 25 00:17:08 BST 2016, end=Sat Jun 25 00:17:09 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Sat Jun 25 00:17:09 BST 2016, end=Sat Jun 25 00:17:11 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 25 00:17:11 BST 2016, end=Sat Jun 25 00:17:18 BST 2016, operations=1.0, operationsPerMinute=9.357454772301933
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 25 00:17:18 BST 2016, end=Sat Jun 25 00:17:38 BST 2016, operations=1.0, operationsPerMinute=2.9609159099881563
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 25 00:17:38 BST 2016, end=Sat Jun 25 00:17:39 BST 2016, operations=1.0, operationsPerMinute=72.55139056831922
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 25 00:17:49 BST 2016, end=Sat Jun 25 00:19:49 BST 2016, operations=473.2854303176247, operationsPerMinute=236.64271515881234, mode=normal, start=Sat Jun 25 00:19:51 BST 2016, end=Sat Jun 25 00:23:51 BST 2016, operations=964.1911652204001, operationsPerMinute=241.04779130510002
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 25 00:23:55 BST 2016, end=Sat Jun 25 00:25:55 BST 2016, operations=198.40276892265447, operationsPerMinute=99.20138446132724, mode=normal, start=Sat Jun 25 00:25:58 BST 2016, end=Sat Jun 25 00:29:58 BST 2016, operations=388.7261565321423, operationsPerMinute=97.18153913303557
benchmark-name=compress, mod=warmup, start=Sat Jun 25 00:30:02 BST 2016, end=Sat Jun 25 00:32:02 BST 2016, operations=389.75735210404616, operationsPerMinute=194.87867605202308, mode=normal, start=Sat Jun 25 00:32:04 BST 2016, end=Sat Jun 25 00:36:04 BST 2016, operations=777.0657077969213, operationsPerMinute=194.26642694923032
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 25 00:36:06 BST 2016, end=Sat Jun 25 00:38:06 BST 2016, operations=139.12289665833532, operationsPerMinute=69.56144832916766, mode=normal, start=Sat Jun 25 00:38:10 BST 2016, end=Sat Jun 25 00:42:10 BST 2016, operations=292.00170902347617, operationsPerMinute=73.00042725586904
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 25 00:42:16 BST 2016, end=Sat Jun 25 00:44:16 BST 2016, operations=232.97821593580287, operationsPerMinute=116.48910796790143, mode=normal, start=Sat Jun 25 00:44:19 BST 2016, end=Sat Jun 25 00:48:19 BST 2016, operations=469.13667230443616, operationsPerMinute=117.28416807610904
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 25 00:48:22 BST 2016, end=Sat Jun 25 00:50:22 BST 2016, operations=404.59649221807524, operationsPerMinute=202.29824610903762, mode=normal, start=Sat Jun 25 00:50:24 BST 2016, end=Sat Jun 25 00:54:24 BST 2016, operations=807.7974358974359, operationsPerMinute=201.94935897435897
benchmark-name=derby, mod=warmup, start=Sat Jun 25 00:54:46 BST 2016, end=Sat Jun 25 00:56:46 BST 2016, operations=359.8634542114014, operationsPerMinute=179.9317271057007, mode=normal, start=Sat Jun 25 00:56:48 BST 2016, end=Sat Jun 25 01:00:48 BST 2016, operations=722.9330409546519, operationsPerMinute=180.73326023866298
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 25 01:00:51 BST 2016, end=Sat Jun 25 01:02:51 BST 2016, operations=202.97070750269486, operationsPerMinute=101.48535375134743, mode=normal, start=Sat Jun 25 01:02:55 BST 2016, end=Sat Jun 25 01:06:55 BST 2016, operations=405.58238961482164, operationsPerMinute=101.39559740370541
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 25 01:06:59 BST 2016, end=Sat Jun 25 01:08:59 BST 2016, operations=78.5701414657259, operationsPerMinute=39.28507073286295, mode=normal, start=Sat Jun 25 01:09:09 BST 2016, end=Sat Jun 25 01:13:09 BST 2016, operations=147.42115641533908, operationsPerMinute=36.85528910383477
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 25 01:13:18 BST 2016, end=Sat Jun 25 01:15:18 BST 2016, operations=13.822385848122408, operationsPerMinute=6.911192924061204, mode=normal, start=Sat Jun 25 01:16:03 BST 2016, end=Sat Jun 25 01:20:03 BST 2016, operations=27.421585925334362, operationsPerMinute=6.855396481333591
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 25 01:20:33 BST 2016, end=Sat Jun 25 01:22:33 BST 2016, operations=73.48973617876221, operationsPerMinute=36.74486808938111, mode=normal, start=Sat Jun 25 01:22:44 BST 2016, end=Sat Jun 25 01:26:44 BST 2016, operations=146.43092148976643, operationsPerMinute=36.60773037244161
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 25 01:26:52 BST 2016, end=Sat Jun 25 01:28:52 BST 2016, operations=42.68796718602411, operationsPerMinute=21.343983593012055, mode=normal, start=Sat Jun 25 01:29:05 BST 2016, end=Sat Jun 25 01:33:05 BST 2016, operations=85.32367163998941, operationsPerMinute=21.330917909997353
benchmark-name=scimark.fft.small, mod=warmup, start=Sat Jun 25 01:33:18 BST 2016, end=Sat Jun 25 01:35:18 BST 2016, operations=697.209616630535, operationsPerMinute=348.6048083152675, mode=normal, start=Sat Jun 25 01:35:19 BST 2016, end=Sat Jun 25 01:39:19 BST 2016, operations=1466.364130726317, operationsPerMinute=366.59103268157924
benchmark-name=scimark.lu.small, mod=warmup, start=Sat Jun 25 01:39:20 BST 2016, end=Sat Jun 25 01:41:20 BST 2016, operations=566.6966626073461, operationsPerMinute=283.34833130367304, mode=normal, start=Sat Jun 25 01:41:21 BST 2016, end=Sat Jun 25 01:45:21 BST 2016, operations=1136.7128224049102, operationsPerMinute=284.17820560122755
benchmark-name=scimark.sor.small, mod=warmup, start=Sat Jun 25 01:45:23 BST 2016, end=Sat Jun 25 01:47:23 BST 2016, operations=324.15799700795077, operationsPerMinute=162.07899850397538, mode=normal, start=Sat Jun 25 01:47:26 BST 2016, end=Sat Jun 25 01:51:26 BST 2016, operations=652.518603836273, operationsPerMinute=163.12965095906824
benchmark-name=scimark.sparse.small, mod=warmup, start=Sat Jun 25 01:51:28 BST 2016, end=Sat Jun 25 01:53:28 BST 2016, operations=502.5529135092386, operationsPerMinute=251.2764567546193, mode=normal, start=Sat Jun 25 01:53:30 BST 2016, end=Sat Jun 25 01:57:30 BST 2016, operations=1004.2173549184142, operationsPerMinute=251.05433872960356
benchmark-name=scimark.monte_carlo, mod=warmup, start=Sat Jun 25 01:57:31 BST 2016, end=Sat Jun 25 01:59:31 BST 2016, operations=118.72330795093603, operationsPerMinute=59.361653975468016, mode=normal, start=Sat Jun 25 01:59:37 BST 2016, end=Sat Jun 25 02:03:37 BST 2016, operations=237.24525452530494, operationsPerMinute=59.311313631326236
benchmark-name=serial, mod=warmup, start=Sat Jun 25 02:03:43 BST 2016, end=Sat Jun 25 02:05:43 BST 2016, operations=227.92717657918172, operationsPerMinute=113.96358828959086, mode=normal, start=Sat Jun 25 02:05:46 BST 2016, end=Sat Jun 25 02:09:46 BST 2016, operations=458.4579436631251, operationsPerMinute=114.61448591578127
