spec.jvm2008.report.run.location=LAW001
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8067
benchmark-name=check, mode=normal, start=Sat Jun 04 16:06:32 BST 2016, end=Sat Jun 04 16:06:32 BST 2016, operations=1.0, operationsPerMinute=769.2307692307693
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 16:06:32 BST 2016, end=Sat Jun 04 16:06:33 BST 2016, operations=1.0, operationsPerMinute=132.7433628318584
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 16:06:33 BST 2016, end=Sat Jun 04 16:06:51 BST 2016, operations=1.0, operationsPerMinute=3.2402657017875467
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 16:06:51 BST 2016, end=Sat Jun 04 16:06:56 BST 2016, operations=1.0, operationsPerMinute=13.449899125756557
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 16:06:56 BST 2016, end=Sat Jun 04 16:06:57 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 16:06:57 BST 2016, end=Sat Jun 04 16:07:07 BST 2016, operations=1.0, operationsPerMinute=6.399317406143345
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 16:07:07 BST 2016, end=Sat Jun 04 16:07:14 BST 2016, operations=1.0, operationsPerMinute=7.7389397652521605
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 16:07:14 BST 2016, end=Sat Jun 04 16:07:21 BST 2016, operations=1.0, operationsPerMinute=8.741258741258742
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 16:07:21 BST 2016, end=Sat Jun 04 16:07:24 BST 2016, operations=1.0, operationsPerMinute=22.23045572434235
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 16:07:24 BST 2016, end=Sat Jun 04 16:07:25 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 16:07:25 BST 2016, end=Sat Jun 04 16:07:26 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 16:07:26 BST 2016, end=Sat Jun 04 16:07:32 BST 2016, operations=1.0, operationsPerMinute=9.88793671720501
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 16:07:32 BST 2016, end=Sat Jun 04 16:07:33 BST 2016, operations=1.0, operationsPerMinute=38.83495145631068
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 16:07:33 BST 2016, end=Sat Jun 04 16:07:35 BST 2016, operations=1.0, operationsPerMinute=51.99306759098787
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 16:07:35 BST 2016, end=Sat Jun 04 16:07:37 BST 2016, operations=1.0, operationsPerMinute=22.624434389140273
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 16:07:37 BST 2016, end=Sat Jun 04 16:07:44 BST 2016, operations=1.0, operationsPerMinute=8.584919158677922
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 16:07:44 BST 2016, end=Sat Jun 04 16:08:10 BST 2016, operations=1.0, operationsPerMinute=2.2975301550832854
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 16:08:10 BST 2016, end=Sat Jun 04 16:08:12 BST 2016, operations=1.0, operationsPerMinute=45.248868778280546
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 16:08:25 BST 2016, end=Sat Jun 04 16:10:25 BST 2016, operations=421.0705669801796, operationsPerMinute=210.5352834900898, mode=normal, start=Sat Jun 04 16:10:26 BST 2016, end=Sat Jun 04 16:14:26 BST 2016, operations=855.7387405442993, operationsPerMinute=213.93468513607482
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 16:14:31 BST 2016, end=Sat Jun 04 16:16:31 BST 2016, operations=170.44434215854073, operationsPerMinute=85.22217107927037, mode=normal, start=Sat Jun 04 16:16:35 BST 2016, end=Sat Jun 04 16:20:35 BST 2016, operations=339.0518249337796, operationsPerMinute=84.7629562334449
benchmark-name=compress, mod=warmup, start=Sat Jun 04 16:20:39 BST 2016, end=Sat Jun 04 16:22:39 BST 2016, operations=351.58997271927814, operationsPerMinute=175.79498635963907, mode=normal, start=Sat Jun 04 16:22:40 BST 2016, end=Sat Jun 04 16:26:40 BST 2016, operations=703.9426337012362, operationsPerMinute=175.98565842530905
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 16:26:42 BST 2016, end=Sat Jun 04 16:28:42 BST 2016, operations=115.33623021662768, operationsPerMinute=57.66811510831384, mode=normal, start=Sat Jun 04 16:28:48 BST 2016, end=Sat Jun 04 16:32:48 BST 2016, operations=243.54027320985557, operationsPerMinute=60.88506830246389
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 16:32:54 BST 2016, end=Sat Jun 04 16:34:54 BST 2016, operations=206.9662687274457, operationsPerMinute=103.48313436372285, mode=normal, start=Sat Jun 04 16:34:57 BST 2016, end=Sat Jun 04 16:38:57 BST 2016, operations=413.5790231513557, operationsPerMinute=103.39475578783893
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 16:39:01 BST 2016, end=Sat Jun 04 16:41:01 BST 2016, operations=352.67617564103, operationsPerMinute=176.338087820515, mode=normal, start=Sat Jun 04 16:41:03 BST 2016, end=Sat Jun 04 16:45:03 BST 2016, operations=704.200999152441, operationsPerMinute=176.05024978811025
benchmark-name=derby, mod=warmup, start=Sat Jun 04 16:46:03 BST 2016, end=Sat Jun 04 16:48:03 BST 2016, operations=259.36227333613795, operationsPerMinute=129.68113666806897, mode=normal, start=Sat Jun 04 16:48:05 BST 2016, end=Sat Jun 04 16:52:05 BST 2016, operations=520.5426274866381, operationsPerMinute=130.13565687165953
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 16:52:08 BST 2016, end=Sat Jun 04 16:54:08 BST 2016, operations=173.17357028045706, operationsPerMinute=86.58678514022853, mode=normal, start=Sat Jun 04 16:54:12 BST 2016, end=Sat Jun 04 16:58:12 BST 2016, operations=346.11537780603857, operationsPerMinute=86.52884445150964
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 16:58:16 BST 2016, end=Sat Jun 04 17:00:16 BST 2016, operations=108.566573887009, operationsPerMinute=54.2832869435045, mode=normal, start=Sat Jun 04 17:00:24 BST 2016, end=Sat Jun 04 17:04:24 BST 2016, operations=206.24341010653814, operationsPerMinute=51.560852526634534
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 17:04:30 BST 2016, end=Sat Jun 04 17:06:30 BST 2016, operations=22.517554966017055, operationsPerMinute=11.258777483008528, mode=normal, start=Sat Jun 04 17:06:54 BST 2016, end=Sat Jun 04 17:10:54 BST 2016, operations=44.97309690463142, operationsPerMinute=11.243274226157855
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 17:11:20 BST 2016, end=Sat Jun 04 17:13:20 BST 2016, operations=69.25948323738346, operationsPerMinute=34.62974161869173, mode=normal, start=Sat Jun 04 17:13:31 BST 2016, end=Sat Jun 04 17:17:31 BST 2016, operations=139.0657590079606, operationsPerMinute=34.76643975199015
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 17:17:43 BST 2016, end=Sat Jun 04 17:19:43 BST 2016, operations=75.166804713268, operationsPerMinute=37.583402356634, mode=normal, start=Sat Jun 04 17:19:51 BST 2016, end=Sat Jun 04 17:23:51 BST 2016, operations=150.27501869168557, operationsPerMinute=37.56875467292139
benchmark-name=scimark.fft.small, mod=warmup, start=Sat Jun 04 17:23:59 BST 2016, end=Sat Jun 04 17:25:59 BST 2016, operations=594.362778146074, operationsPerMinute=297.181389073037, mode=normal, start=Sat Jun 04 17:26:00 BST 2016, end=Sat Jun 04 17:30:00 BST 2016, operations=1191.3152884700432, operationsPerMinute=297.8288221175108
