spec.jvm2008.report.run.location=CASTLEAZES001
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 25 07:46:47 BST 2016, end=Sat Jun 25 07:46:47 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 25 07:46:47 BST 2016, end=Sat Jun 25 07:46:47 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 25 07:46:47 BST 2016, end=Sat Jun 25 07:47:00 BST 2016, operations=1.0, operationsPerMinute=4.5787545787545785
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 25 07:47:00 BST 2016, end=Sat Jun 25 07:47:03 BST 2016, operations=1.0, operationsPerMinute=18.143332325370427
benchmark-name=startup.compress, mode=normal, start=Sat Jun 25 07:47:03 BST 2016, end=Sat Jun 25 07:47:05 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 25 07:47:05 BST 2016, end=Sat Jun 25 07:47:13 BST 2016, operations=1.0, operationsPerMinute=7.1098471382865265
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 25 07:47:13 BST 2016, end=Sat Jun 25 07:47:20 BST 2016, operations=1.0, operationsPerMinute=8.046131151937777
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 25 07:47:20 BST 2016, end=Sat Jun 25 07:47:27 BST 2016, operations=1.0, operationsPerMinute=9.136592051164916
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 25 07:47:27 BST 2016, end=Sat Jun 25 07:47:29 BST 2016, operations=1.0, operationsPerMinute=26.52519893899204
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 25 07:47:29 BST 2016, end=Sat Jun 25 07:47:30 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 25 07:47:30 BST 2016, end=Sat Jun 25 07:47:31 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 25 07:47:31 BST 2016, end=Sat Jun 25 07:47:36 BST 2016, operations=1.0, operationsPerMinute=10.803024846957149
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 25 07:47:36 BST 2016, end=Sat Jun 25 07:47:38 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 25 07:47:38 BST 2016, end=Sat Jun 25 07:47:39 BST 2016, operations=1.0, operationsPerMinute=61.98347107438016
benchmark-name=startup.serial, mode=normal, start=Sat Jun 25 07:47:39 BST 2016, end=Sat Jun 25 07:47:41 BST 2016, operations=1.0, operationsPerMinute=28.708133971291865
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 25 07:47:41 BST 2016, end=Sat Jun 25 07:47:47 BST 2016, operations=1.0, operationsPerMinute=9.380863039399625
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 25 07:47:47 BST 2016, end=Sat Jun 25 07:48:08 BST 2016, operations=1.0, operationsPerMinute=2.954064300132933
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 25 07:48:08 BST 2016, end=Sat Jun 25 07:48:08 BST 2016, operations=1.0, operationsPerMinute=76.92307692307692
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 25 07:48:19 BST 2016, end=Sat Jun 25 07:50:19 BST 2016, operations=487.64700470051633, operationsPerMinute=243.82350235025817, mode=normal, start=Sat Jun 25 07:50:20 BST 2016, end=Sat Jun 25 07:54:20 BST 2016, operations=1012.9584250415253, operationsPerMinute=253.23960626038132
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 25 07:54:24 BST 2016, end=Sat Jun 25 07:56:24 BST 2016, operations=197.54941937204796, operationsPerMinute=98.77470968602398, mode=normal, start=Sat Jun 25 07:56:28 BST 2016, end=Sat Jun 25 08:00:28 BST 2016, operations=390.8145711653626, operationsPerMinute=97.70364279134066
benchmark-name=compress, mod=warmup, start=Sat Jun 25 08:00:31 BST 2016, end=Sat Jun 25 08:02:31 BST 2016, operations=400.24057747906664, operationsPerMinute=200.12028873953332, mode=normal, start=Sat Jun 25 08:02:33 BST 2016, end=Sat Jun 25 08:06:33 BST 2016, operations=802.4150363563167, operationsPerMinute=200.60375908907918
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 25 08:06:35 BST 2016, end=Sat Jun 25 08:08:35 BST 2016, operations=139.6460666956188, operationsPerMinute=69.8230333478094, mode=normal, start=Sat Jun 25 08:08:41 BST 2016, end=Sat Jun 25 08:12:41 BST 2016, operations=294.9870599714742, operationsPerMinute=73.74676499286855
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 25 08:12:47 BST 2016, end=Sat Jun 25 08:14:47 BST 2016, operations=235.02205332429784, operationsPerMinute=117.51102666214892, mode=normal, start=Sat Jun 25 08:14:50 BST 2016, end=Sat Jun 25 08:18:50 BST 2016, operations=470.9359572636706, operationsPerMinute=117.73398931591765
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 25 08:18:53 BST 2016, end=Sat Jun 25 08:20:53 BST 2016, operations=408.78666888666885, operationsPerMinute=204.39333444333442, mode=normal, start=Sat Jun 25 08:20:55 BST 2016, end=Sat Jun 25 08:24:55 BST 2016, operations=819.6969494399304, operationsPerMinute=204.9242373599826
benchmark-name=derby, mod=warmup, start=Sat Jun 25 08:25:17 BST 2016, end=Sat Jun 25 08:27:17 BST 2016, operations=366.1561810625124, operationsPerMinute=183.0780905312562, mode=normal, start=Sat Jun 25 08:27:19 BST 2016, end=Sat Jun 25 08:31:19 BST 2016, operations=733.1345520679291, operationsPerMinute=183.28363801698228
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 25 08:31:22 BST 2016, end=Sat Jun 25 08:33:22 BST 2016, operations=208.09974708332197, operationsPerMinute=104.04987354166099, mode=normal, start=Sat Jun 25 08:33:26 BST 2016, end=Sat Jun 25 08:37:26 BST 2016, operations=416.16818754274504, operationsPerMinute=104.04204688568626
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 25 08:37:29 BST 2016, end=Sat Jun 25 08:39:29 BST 2016, operations=69.31957341854564, operationsPerMinute=34.65978670927282, mode=normal, start=Sat Jun 25 08:39:38 BST 2016, end=Sat Jun 25 08:43:38 BST 2016, operations=143.17515972127615, operationsPerMinute=35.793789930319036
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 25 08:43:46 BST 2016, end=Sat Jun 25 08:45:46 BST 2016, operations=13.830336010662734, operationsPerMinute=6.915168005331367, mode=normal, start=Sat Jun 25 08:46:30 BST 2016, end=Sat Jun 25 08:50:30 BST 2016, operations=27.86850869255565, operationsPerMinute=6.967127173138913
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 25 08:51:05 BST 2016, end=Sat Jun 25 08:53:05 BST 2016, operations=74.76468103856105, operationsPerMinute=37.382340519280525, mode=normal, start=Sat Jun 25 08:53:14 BST 2016, end=Sat Jun 25 08:57:14 BST 2016, operations=149.32412635406018, operationsPerMinute=37.331031588515046
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 25 08:57:25 BST 2016, end=Sat Jun 25 08:59:25 BST 2016, operations=43.12561826752496, operationsPerMinute=21.56280913376248, mode=normal, start=Sat Jun 25 08:59:36 BST 2016, end=Sat Jun 25 09:03:36 BST 2016, operations=86.22450521742394, operationsPerMinute=21.556126304355985
benchmark-name=scimark.fft.small, mod=warmup, start=Sat Jun 25 09:03:49 BST 2016, end=Sat Jun 25 09:05:49 BST 2016, operations=697.4226126705236, operationsPerMinute=348.7113063352618, mode=normal, start=Sat Jun 25 09:05:51 BST 2016, end=Sat Jun 25 09:09:51 BST 2016, operations=1502.150347598411, operationsPerMinute=375.53758689960273
benchmark-name=scimark.lu.small, mod=warmup, start=Sat Jun 25 09:09:51 BST 2016, end=Sat Jun 25 09:11:51 BST 2016, operations=576.9085612875296, operationsPerMinute=288.4542806437648, mode=normal, start=Sat Jun 25 09:11:53 BST 2016, end=Sat Jun 25 09:15:53 BST 2016, operations=1153.708585247884, operationsPerMinute=288.427146311971
benchmark-name=scimark.sor.small, mod=warmup, start=Sat Jun 25 09:15:54 BST 2016, end=Sat Jun 25 09:17:54 BST 2016, operations=330.8867667121418, operationsPerMinute=165.4433833560709, mode=normal, start=Sat Jun 25 09:17:57 BST 2016, end=Sat Jun 25 09:21:57 BST 2016, operations=660.4448442093817, operationsPerMinute=165.11121105234542
benchmark-name=scimark.sparse.small, mod=warmup, start=Sat Jun 25 09:21:59 BST 2016, end=Sat Jun 25 09:23:59 BST 2016, operations=498.7353493125232, operationsPerMinute=249.3676746562616, mode=normal, start=Sat Jun 25 09:24:00 BST 2016, end=Sat Jun 25 09:28:00 BST 2016, operations=1017.4162982953242, operationsPerMinute=254.35407457383104
benchmark-name=scimark.monte_carlo, mod=warmup, start=Sat Jun 25 09:28:02 BST 2016, end=Sat Jun 25 09:30:02 BST 2016, operations=117.7544757664113, operationsPerMinute=58.87723788320565, mode=normal, start=Sat Jun 25 09:30:09 BST 2016, end=Sat Jun 25 09:34:09 BST 2016, operations=237.1987926619178, operationsPerMinute=59.29969816547945
benchmark-name=serial, mod=warmup, start=Sat Jun 25 09:34:16 BST 2016, end=Sat Jun 25 09:36:16 BST 2016, operations=237.67930989254688, operationsPerMinute=118.83965494627344, mode=normal, start=Sat Jun 25 09:36:20 BST 2016, end=Sat Jun 25 09:40:20 BST 2016, operations=475.5990716189665, operationsPerMinute=118.89976790474162
benchmark-name=sunflow, mod=warmup, start=Sat Jun 25 09:40:23 BST 2016, end=Sat Jun 25 09:42:23 BST 2016, operations=175.31720151865898, operationsPerMinute=87.65860075932949, mode=normal, start=Sat Jun 25 09:42:24 BST 2016, end=Sat Jun 25 09:46:24 BST 2016, operations=355.4088417685381, operationsPerMinute=88.85221044213452
benchmark-name=xml.transform, mod=warmup, start=Sat Jun 25 09:46:45 BST 2016, end=Sat Jun 25 09:48:45 BST 2016, operations=500.2743694721321, operationsPerMinute=250.13718473606605, mode=normal, start=Sat Jun 25 09:48:47 BST 2016, end=Sat Jun 25 09:52:47 BST 2016, operations=1045.2898769483863, operationsPerMinute=261.3224692370966
benchmark-name=xml.validation, mod=warmup, start=Sat Jun 25 09:52:48 BST 2016, end=Sat Jun 25 09:54:48 BST 2016, operations=1014.101563258592, operationsPerMinute=507.050781629296, mode=normal, start=Sat Jun 25 09:54:49 BST 2016, end=Sat Jun 25 09:58:49 BST 2016, operations=1988.2267603673206, operationsPerMinute=497.05669009183015
