spec.jvm2008.report.run.location=SUNSPACE07
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Sun Jun 19 00:41:35 BST 2016, end=Sun Jun 19 00:41:35 BST 2016, operations=1.0, operationsPerMinute=967.741935483871
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 19 00:41:35 BST 2016, end=Sun Jun 19 00:41:35 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 19 00:41:35 BST 2016, end=Sun Jun 19 00:41:55 BST 2016, operations=1.0, operationsPerMinute=2.927114840472241
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 19 00:41:55 BST 2016, end=Sun Jun 19 00:42:00 BST 2016, operations=1.0, operationsPerMinute=12.445550715619166
benchmark-name=startup.compress, mode=normal, start=Sun Jun 19 00:42:00 BST 2016, end=Sun Jun 19 00:42:02 BST 2016, operations=1.0, operationsPerMinute=35.60830860534124
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 19 00:42:02 BST 2016, end=Sun Jun 19 00:42:12 BST 2016, operations=1.0, operationsPerMinute=6.028333165879634
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 19 00:42:12 BST 2016, end=Sun Jun 19 00:42:20 BST 2016, operations=1.0, operationsPerMinute=7.1624686641995945
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 19 00:42:20 BST 2016, end=Sun Jun 19 00:42:27 BST 2016, operations=1.0, operationsPerMinute=8.397480755773268
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 19 00:42:27 BST 2016, end=Sun Jun 19 00:42:30 BST 2016, operations=1.0, operationsPerMinute=19.5248942401562
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 19 00:42:30 BST 2016, end=Sun Jun 19 00:42:31 BST 2016, operations=1.0, operationsPerMinute=65.14657980456026
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 19 00:42:31 BST 2016, end=Sun Jun 19 00:42:33 BST 2016, operations=1.0, operationsPerMinute=49.91680532445923
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 19 00:42:33 BST 2016, end=Sun Jun 19 00:42:39 BST 2016, operations=1.0, operationsPerMinute=9.049773755656108
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 19 00:42:39 BST 2016, end=Sun Jun 19 00:42:41 BST 2016, operations=1.0, operationsPerMinute=35.294117647058826
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 19 00:42:41 BST 2016, end=Sun Jun 19 00:42:42 BST 2016, operations=1.0, operationsPerMinute=43.22766570605187
benchmark-name=startup.serial, mode=normal, start=Sun Jun 19 00:42:42 BST 2016, end=Sun Jun 19 00:42:45 BST 2016, operations=1.0, operationsPerMinute=20.026702269692922
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 19 00:42:45 BST 2016, end=Sun Jun 19 00:42:52 BST 2016, operations=1.0, operationsPerMinute=8.509431286342362
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 19 00:42:52 BST 2016, end=Sun Jun 19 00:43:20 BST 2016, operations=1.0, operationsPerMinute=2.17296827466319
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 19 00:43:20 BST 2016, end=Sun Jun 19 00:43:21 BST 2016, operations=1.0, operationsPerMinute=49.3421052631579
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 19 00:43:37 BST 2016, end=Sun Jun 19 00:45:37 BST 2016, operations=357.648025435362, operationsPerMinute=178.824012717681, mode=normal, start=Sun Jun 19 00:45:39 BST 2016, end=Sun Jun 19 00:49:39 BST 2016, operations=735.4691583903029, operationsPerMinute=183.86728959757573
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 19 00:49:45 BST 2016, end=Sun Jun 19 00:51:45 BST 2016, operations=143.1093042570427, operationsPerMinute=71.55465212852135, mode=normal, start=Sun Jun 19 00:51:48 BST 2016, end=Sun Jun 19 00:55:48 BST 2016, operations=280.14336780816564, operationsPerMinute=70.03584195204141
benchmark-name=compress, mod=warmup, start=Sun Jun 19 00:55:53 BST 2016, end=Sun Jun 19 00:57:53 BST 2016, operations=273.09320443247645, operationsPerMinute=136.54660221623823, mode=normal, start=Sun Jun 19 00:57:56 BST 2016, end=Sun Jun 19 01:01:56 BST 2016, operations=546.9124212936463, operationsPerMinute=136.72810532341157
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 19 01:01:59 BST 2016, end=Sun Jun 19 01:03:59 BST 2016, operations=86.19902460833185, operationsPerMinute=43.09951230416593, mode=normal, start=Sun Jun 19 01:04:06 BST 2016, end=Sun Jun 19 01:08:06 BST 2016, operations=181.13893519193408, operationsPerMinute=45.28473379798352
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 19 01:08:16 BST 2016, end=Sun Jun 19 01:10:16 BST 2016, operations=144.56086118493903, operationsPerMinute=72.28043059246951, mode=normal, start=Sun Jun 19 01:10:21 BST 2016, end=Sun Jun 19 01:14:21 BST 2016, operations=293.05438126749186, operationsPerMinute=73.26359531687297
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 19 01:14:26 BST 2016, end=Sun Jun 19 01:16:26 BST 2016, operations=253.8309995239186, operationsPerMinute=126.9154997619593, mode=normal, start=Sun Jun 19 01:16:28 BST 2016, end=Sun Jun 19 01:20:28 BST 2016, operations=510.022119974441, operationsPerMinute=127.50552999361025
benchmark-name=derby, mod=warmup, start=Sun Jun 19 01:21:56 BST 2016, end=Sun Jun 19 01:23:56 BST 2016, operations=204.48482571247138, operationsPerMinute=102.24241285623569, mode=normal, start=Sun Jun 19 01:24:00 BST 2016, end=Sun Jun 19 01:28:00 BST 2016, operations=413.39622007441915, operationsPerMinute=103.34905501860479
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 19 01:28:04 BST 2016, end=Sun Jun 19 01:30:04 BST 2016, operations=135.07885539405666, operationsPerMinute=67.53942769702833, mode=normal, start=Sun Jun 19 01:30:09 BST 2016, end=Sun Jun 19 01:34:09 BST 2016, operations=270.12321498813395, operationsPerMinute=67.53080374703349
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 19 01:34:15 BST 2016, end=Sun Jun 19 01:36:15 BST 2016, operations=58.9421952329736, operationsPerMinute=29.4710976164868, mode=normal, start=Sun Jun 19 01:36:23 BST 2016, end=Sun Jun 19 01:40:23 BST 2016, operations=120.32700447801481, operationsPerMinute=30.081751119503704
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 19 01:40:33 BST 2016, end=Sun Jun 19 01:42:33 BST 2016, operations=11.596308660246558, operationsPerMinute=5.798154330123279, mode=normal, start=Sun Jun 19 01:43:08 BST 2016, end=Sun Jun 19 01:47:08 BST 2016, operations=23.17054574804678, operationsPerMinute=5.792636437011695
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 19 01:47:46 BST 2016, end=Sun Jun 19 01:49:46 BST 2016, operations=55.55957443190351, operationsPerMinute=27.779787215951757, mode=normal, start=Sun Jun 19 01:49:56 BST 2016, end=Sun Jun 19 01:53:56 BST 2016, operations=111.4648748833181, operationsPerMinute=27.866218720829526
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 19 01:54:05 BST 2016, end=Sun Jun 19 01:56:05 BST 2016, operations=37.59388597473227, operationsPerMinute=18.796942987366133, mode=normal, start=Sun Jun 19 01:56:22 BST 2016, end=Sun Jun 19 02:00:22 BST 2016, operations=74.95806875293712, operationsPerMinute=18.73951718823428
