spec.jvm2008.report.run.location=NIDD123
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8066
benchmark-name=check, mode=normal, start=Sat Jun 04 16:08:09 BST 2016, end=Sat Jun 04 16:08:09 BST 2016, operations=1.0, operationsPerMinute=666.6666666666666
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 16:08:09 BST 2016, end=Sat Jun 04 16:08:10 BST 2016, operations=1.0, operationsPerMinute=85.59201141226819
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 16:08:10 BST 2016, end=Sat Jun 04 16:08:33 BST 2016, operations=1.0, operationsPerMinute=2.5660764690787787
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 16:08:33 BST 2016, end=Sat Jun 04 16:08:38 BST 2016, operations=1.0, operationsPerMinute=11.92131929266839
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 16:08:38 BST 2016, end=Sat Jun 04 16:08:40 BST 2016, operations=1.0, operationsPerMinute=39.13894324853229
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 16:08:40 BST 2016, end=Sat Jun 04 16:08:49 BST 2016, operations=1.0, operationsPerMinute=6.391818472355385
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 16:08:49 BST 2016, end=Sat Jun 04 16:08:57 BST 2016, operations=1.0, operationsPerMinute=7.465472191116088
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 16:08:57 BST 2016, end=Sat Jun 04 16:09:04 BST 2016, operations=1.0, operationsPerMinute=8.904719501335707
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 16:09:04 BST 2016, end=Sat Jun 04 16:09:07 BST 2016, operations=1.0, operationsPerMinute=20.442930153321978
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 16:09:07 BST 2016, end=Sat Jun 04 16:09:08 BST 2016, operations=1.0, operationsPerMinute=62.82722513089005
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 16:09:08 BST 2016, end=Sat Jun 04 16:09:09 BST 2016, operations=1.0, operationsPerMinute=50.5902192242833
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 16:09:09 BST 2016, end=Sat Jun 04 16:09:16 BST 2016, operations=1.0, operationsPerMinute=9.059338668277215
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 16:09:16 BST 2016, end=Sat Jun 04 16:09:17 BST 2016, operations=1.0, operationsPerMinute=35.69303985722784
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 16:09:17 BST 2016, end=Sat Jun 04 16:09:19 BST 2016, operations=1.0, operationsPerMinute=47.65687053216839
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 16:09:19 BST 2016, end=Sat Jun 04 16:09:22 BST 2016, operations=1.0, operationsPerMinute=20.03338898163606
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 16:09:22 BST 2016, end=Sat Jun 04 16:09:29 BST 2016, operations=1.0, operationsPerMinute=8.559201141226819
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 16:09:29 BST 2016, end=Sat Jun 04 16:09:58 BST 2016, operations=1.0, operationsPerMinute=2.0648358455502787
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 16:09:58 BST 2016, end=Sat Jun 04 16:09:59 BST 2016, operations=1.0, operationsPerMinute=43.57298474945534
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 16:10:14 BST 2016, end=Sat Jun 04 16:12:14 BST 2016, operations=366.3564452475473, operationsPerMinute=183.17822262377365, mode=normal, start=Sat Jun 04 16:12:16 BST 2016, end=Sat Jun 04 16:16:16 BST 2016, operations=725.065757169029, operationsPerMinute=181.26643929225725
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 16:16:22 BST 2016, end=Sat Jun 04 16:18:22 BST 2016, operations=147.2142550337789, operationsPerMinute=73.60712751688945, mode=normal, start=Sat Jun 04 16:18:26 BST 2016, end=Sat Jun 04 16:22:26 BST 2016, operations=295.30227079066316, operationsPerMinute=73.82556769766579
benchmark-name=compress, mod=warmup, start=Sat Jun 04 16:22:30 BST 2016, end=Sat Jun 04 16:24:30 BST 2016, operations=304.2738134139619, operationsPerMinute=152.13690670698094, mode=normal, start=Sat Jun 04 16:24:32 BST 2016, end=Sat Jun 04 16:28:32 BST 2016, operations=671.3982673577473, operationsPerMinute=167.84956683943682
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 16:28:34 BST 2016, end=Sat Jun 04 16:30:34 BST 2016, operations=111.72671550146482, operationsPerMinute=55.86335775073241, mode=normal, start=Sat Jun 04 16:30:41 BST 2016, end=Sat Jun 04 16:34:41 BST 2016, operations=234.28639292337155, operationsPerMinute=58.57159823084289
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 16:34:47 BST 2016, end=Sat Jun 04 16:36:47 BST 2016, operations=195.155468513119, operationsPerMinute=97.5777342565595, mode=normal, start=Sat Jun 04 16:36:51 BST 2016, end=Sat Jun 04 16:40:51 BST 2016, operations=381.15259118964326, operationsPerMinute=95.28814779741082
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 16:40:55 BST 2016, end=Sat Jun 04 16:42:55 BST 2016, operations=327.04542831121313, operationsPerMinute=163.52271415560656, mode=normal, start=Sat Jun 04 16:42:58 BST 2016, end=Sat Jun 04 16:46:58 BST 2016, operations=666.8546593727727, operationsPerMinute=166.7136648431932
benchmark-name=derby, mod=warmup, start=Sat Jun 04 16:48:16 BST 2016, end=Sat Jun 04 16:50:16 BST 2016, operations=232.53296388465242, operationsPerMinute=116.26648194232621, mode=normal, start=Sat Jun 04 16:50:19 BST 2016, end=Sat Jun 04 16:54:19 BST 2016, operations=461.99320238688483, operationsPerMinute=115.49830059672121
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 16:54:22 BST 2016, end=Sat Jun 04 16:56:22 BST 2016, operations=165.91573921698944, operationsPerMinute=82.95786960849472, mode=normal, start=Sat Jun 04 16:56:27 BST 2016, end=Sat Jun 04 17:00:27 BST 2016, operations=328.35426423756155, operationsPerMinute=82.08856605939039
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 17:00:32 BST 2016, end=Sat Jun 04 17:02:32 BST 2016, operations=66.10601439210248, operationsPerMinute=33.05300719605124, mode=normal, start=Sat Jun 04 17:02:43 BST 2016, end=Sat Jun 04 17:06:43 BST 2016, operations=125.35765802542011, operationsPerMinute=31.339414506355027
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 17:06:52 BST 2016, end=Sat Jun 04 17:08:52 BST 2016, operations=12.189468042618161, operationsPerMinute=6.094734021309081, mode=normal, start=Sat Jun 04 17:09:49 BST 2016, end=Sat Jun 04 17:13:49 BST 2016, operations=24.497224153403817, operationsPerMinute=6.124306038350954
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 17:14:44 BST 2016, end=Sat Jun 04 17:16:44 BST 2016, operations=61.56057614150472, operationsPerMinute=30.78028807075236, mode=normal, start=Sat Jun 04 17:16:57 BST 2016, end=Sat Jun 04 17:20:57 BST 2016, operations=122.93686594637279, operationsPerMinute=30.734216486593198
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 17:21:07 BST 2016, end=Sat Jun 04 17:23:07 BST 2016, operations=38.24335361810816, operationsPerMinute=19.12167680905408, mode=normal, start=Sat Jun 04 17:23:26 BST 2016, end=Sat Jun 04 17:27:26 BST 2016, operations=76.2107841500609, operationsPerMinute=19.052696037515226
