spec.jvm2008.report.run.location=ROBLIB006
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:21:51 BST 2016, end=Thu May 26 14:21:51 BST 2016, operations=1.0, operationsPerMinute=750.0
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:21:51 BST 2016, end=Thu May 26 14:21:51 BST 2016, operations=1.0, operationsPerMinute=98.03921568627452
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:21:51 BST 2016, end=Thu May 26 14:22:16 BST 2016, operations=1.0, operationsPerMinute=2.4128362890577875
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:22:16 BST 2016, end=Thu May 26 14:22:22 BST 2016, operations=1.0, operationsPerMinute=11.600928074245939
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:22:22 BST 2016, end=Thu May 26 14:22:23 BST 2016, operations=1.0, operationsPerMinute=38.510911424903725
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:22:23 BST 2016, end=Thu May 26 14:22:32 BST 2016, operations=1.0, operationsPerMinute=6.383657835939994
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:22:32 BST 2016, end=Thu May 26 14:22:40 BST 2016, operations=1.0, operationsPerMinute=7.540530350634661
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:22:40 BST 2016, end=Thu May 26 14:22:47 BST 2016, operations=1.0, operationsPerMinute=9.022556390977444
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:22:47 BST 2016, end=Thu May 26 14:22:50 BST 2016, operations=1.0, operationsPerMinute=20.100502512562816
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:22:50 BST 2016, end=Thu May 26 14:22:51 BST 2016, operations=1.0, operationsPerMinute=62.30529595015577
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:22:51 BST 2016, end=Thu May 26 14:22:52 BST 2016, operations=1.0, operationsPerMinute=49.62779156327544
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:22:52 BST 2016, end=Thu May 26 14:22:59 BST 2016, operations=1.0, operationsPerMinute=9.00900900900901
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:22:59 BST 2016, end=Thu May 26 14:23:01 BST 2016, operations=1.0, operationsPerMinute=34.542314335060446
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:23:01 BST 2016, end=Thu May 26 14:23:02 BST 2016, operations=1.0, operationsPerMinute=46.985121378230225
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:23:02 BST 2016, end=Thu May 26 14:23:05 BST 2016, operations=1.0, operationsPerMinute=20.855057351407716
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:23:05 BST 2016, end=Thu May 26 14:23:12 BST 2016, operations=1.0, operationsPerMinute=8.576329331046312
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:23:12 BST 2016, end=Thu May 26 14:23:39 BST 2016, operations=1.0, operationsPerMinute=2.1732831063459868
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:23:39 BST 2016, end=Thu May 26 14:23:41 BST 2016, operations=1.0, operationsPerMinute=43.54136429608128
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:23:55 BST 2016, end=Thu May 26 14:25:55 BST 2016, operations=389.2620390481513, operationsPerMinute=194.63101952407564, mode=normal, start=Thu May 26 14:25:56 BST 2016, end=Thu May 26 14:29:56 BST 2016, operations=775.641481319595, operationsPerMinute=193.91037032989874
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:30:03 BST 2016, end=Thu May 26 14:32:03 BST 2016, operations=149.3373448719944, operationsPerMinute=74.6686724359972, mode=normal, start=Thu May 26 14:32:07 BST 2016, end=Thu May 26 14:36:07 BST 2016, operations=309.7065660927884, operationsPerMinute=77.4266415231971
benchmark-name=compress, mod=warmup, start=Thu May 26 14:36:13 BST 2016, end=Thu May 26 14:38:13 BST 2016, operations=318.2957498102135, operationsPerMinute=159.14787490510676, mode=normal, start=Thu May 26 14:38:16 BST 2016, end=Thu May 26 14:42:16 BST 2016, operations=643.477331542243, operationsPerMinute=160.86933288556074
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:42:18 BST 2016, end=Thu May 26 14:44:18 BST 2016, operations=98.58468717171641, operationsPerMinute=49.292343585858205, mode=normal, start=Thu May 26 14:44:26 BST 2016, end=Thu May 26 14:48:26 BST 2016, operations=190.48367086205423, operationsPerMinute=47.620917715513556
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:48:34 BST 2016, end=Thu May 26 14:50:34 BST 2016, operations=186.84585037758526, operationsPerMinute=93.42292518879263, mode=normal, start=Thu May 26 14:50:38 BST 2016, end=Thu May 26 14:54:38 BST 2016, operations=373.71194961509065, operationsPerMinute=93.42798740377266
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:54:42 BST 2016, end=Thu May 26 14:56:42 BST 2016, operations=324.1312018813776, operationsPerMinute=162.0656009406888, mode=normal, start=Thu May 26 14:56:44 BST 2016, end=Thu May 26 15:00:44 BST 2016, operations=664.0721477358259, operationsPerMinute=166.01803693395647
benchmark-name=derby, mod=warmup, start=Thu May 26 15:01:50 BST 2016, end=Thu May 26 15:03:50 BST 2016, operations=224.2872998049089, operationsPerMinute=112.14364990245446, mode=normal, start=Thu May 26 15:03:53 BST 2016, end=Thu May 26 15:07:53 BST 2016, operations=468.253072030779, operationsPerMinute=117.06326800769475
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:07:56 BST 2016, end=Thu May 26 15:09:56 BST 2016, operations=154.41788600106364, operationsPerMinute=77.20894300053182, mode=normal, start=Thu May 26 15:10:02 BST 2016, end=Thu May 26 15:14:02 BST 2016, operations=293.39746271686977, operationsPerMinute=73.34936567921744
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:14:06 BST 2016, end=Thu May 26 15:16:06 BST 2016, operations=80.76250251310583, operationsPerMinute=40.381251256552915, mode=normal, start=Thu May 26 15:16:46 BST 2016, end=Thu May 26 15:20:46 BST 2016, operations=220.22716546925, operationsPerMinute=55.0567913673125
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:20:50 BST 2016, end=Thu May 26 15:22:50 BST 2016, operations=22.848520995907254, operationsPerMinute=11.424260497953627, mode=normal, start=Thu May 26 15:23:48 BST 2016, end=Thu May 26 15:27:48 BST 2016, operations=45.51423281129381, operationsPerMinute=11.378558202823452
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:28:15 BST 2016, end=Thu May 26 15:30:15 BST 2016, operations=63.17006841047032, operationsPerMinute=31.58503420523516, mode=normal, start=Thu May 26 15:30:26 BST 2016, end=Thu May 26 15:34:26 BST 2016, operations=122.61013921535141, operationsPerMinute=30.652534803837852
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:34:40 BST 2016, end=Thu May 26 15:36:40 BST 2016, operations=68.59390946163421, operationsPerMinute=34.296954730817106, mode=normal, start=Thu May 26 15:36:50 BST 2016, end=Thu May 26 15:40:50 BST 2016, operations=137.86114431211814, operationsPerMinute=34.465286078029536
