spec.jvm2008.report.run.location=KRC001
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:21:36 BST 2016, end=Thu May 26 14:21:36 BST 2016, operations=1.0, operationsPerMinute=705.8823529411765
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:21:36 BST 2016, end=Thu May 26 14:21:36 BST 2016, operations=1.0, operationsPerMinute=131.2910284463895
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:21:36 BST 2016, end=Thu May 26 14:21:58 BST 2016, operations=1.0, operationsPerMinute=2.7481335592909817
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:21:58 BST 2016, end=Thu May 26 14:22:03 BST 2016, operations=1.0, operationsPerMinute=12.906001290600129
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:22:03 BST 2016, end=Thu May 26 14:22:04 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:22:04 BST 2016, end=Thu May 26 14:22:13 BST 2016, operations=1.0, operationsPerMinute=6.464124111182935
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:22:13 BST 2016, end=Thu May 26 14:22:21 BST 2016, operations=1.0, operationsPerMinute=7.568113017154389
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:22:21 BST 2016, end=Thu May 26 14:22:28 BST 2016, operations=1.0, operationsPerMinute=8.782201405152225
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:22:28 BST 2016, end=Thu May 26 14:22:31 BST 2016, operations=1.0, operationsPerMinute=22.753128555176335
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:22:31 BST 2016, end=Thu May 26 14:22:32 BST 2016, operations=1.0, operationsPerMinute=71.25890736342043
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:22:32 BST 2016, end=Thu May 26 14:22:33 BST 2016, operations=1.0, operationsPerMinute=58.309037900874635
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:22:33 BST 2016, end=Thu May 26 14:22:39 BST 2016, operations=1.0, operationsPerMinute=10.090817356205852
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:22:39 BST 2016, end=Thu May 26 14:22:40 BST 2016, operations=1.0, operationsPerMinute=36.99136868064118
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:22:40 BST 2016, end=Thu May 26 14:22:41 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:22:41 BST 2016, end=Thu May 26 14:22:44 BST 2016, operations=1.0, operationsPerMinute=23.74356944994064
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:22:44 BST 2016, end=Thu May 26 14:22:51 BST 2016, operations=1.0, operationsPerMinute=8.586147681740126
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:22:51 BST 2016, end=Thu May 26 14:23:14 BST 2016, operations=1.0, operationsPerMinute=2.558417192563534
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:23:14 BST 2016, end=Thu May 26 14:23:15 BST 2016, operations=1.0, operationsPerMinute=53.42831700801425
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:23:29 BST 2016, end=Thu May 26 14:25:29 BST 2016, operations=363.6702659641211, operationsPerMinute=181.83513298206054, mode=normal, start=Thu May 26 14:25:31 BST 2016, end=Thu May 26 14:29:31 BST 2016, operations=625.7981862202228, operationsPerMinute=156.4495465550557
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:29:36 BST 2016, end=Thu May 26 14:31:36 BST 2016, operations=186.1380276171746, operationsPerMinute=93.0690138085873, mode=normal, start=Thu May 26 14:31:40 BST 2016, end=Thu May 26 14:35:40 BST 2016, operations=362.3784055598259, operationsPerMinute=90.59460138995648
benchmark-name=compress, mod=warmup, start=Thu May 26 14:35:42 BST 2016, end=Thu May 26 14:37:42 BST 2016, operations=334.4706656022645, operationsPerMinute=167.23533280113224, mode=normal, start=Thu May 26 14:37:45 BST 2016, end=Thu May 26 14:41:45 BST 2016, operations=334.08954876271895, operationsPerMinute=83.52238719067974
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:42:03 BST 2016, end=Thu May 26 14:44:03 BST 2016, operations=114.19039735823058, operationsPerMinute=57.09519867911529, mode=normal, start=Thu May 26 14:44:09 BST 2016, end=Thu May 26 14:48:09 BST 2016, operations=251.68271020612713, operationsPerMinute=62.92067755153178
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:48:14 BST 2016, end=Thu May 26 14:50:14 BST 2016, operations=215.17737374322218, operationsPerMinute=107.58868687161109, mode=normal, start=Thu May 26 14:50:18 BST 2016, end=Thu May 26 14:54:18 BST 2016, operations=430.7303157067905, operationsPerMinute=107.68257892669763
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:54:21 BST 2016, end=Thu May 26 14:56:21 BST 2016, operations=372.4462445937788, operationsPerMinute=186.2231222968894, mode=normal, start=Thu May 26 14:56:23 BST 2016, end=Thu May 26 15:00:23 BST 2016, operations=745.9330515111018, operationsPerMinute=186.48326287777545
benchmark-name=derby, mod=warmup, start=Thu May 26 15:01:39 BST 2016, end=Thu May 26 15:03:39 BST 2016, operations=327.8216226848861, operationsPerMinute=163.91081134244305, mode=normal, start=Thu May 26 15:03:42 BST 2016, end=Thu May 26 15:07:42 BST 2016, operations=650.4815486620744, operationsPerMinute=162.6203871655186
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:07:44 BST 2016, end=Thu May 26 15:09:44 BST 2016, operations=187.98310023728038, operationsPerMinute=93.99155011864019, mode=normal, start=Thu May 26 15:09:48 BST 2016, end=Thu May 26 15:13:48 BST 2016, operations=376.48484917290216, operationsPerMinute=94.12121229322554
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:13:52 BST 2016, end=Thu May 26 15:15:52 BST 2016, operations=68.50990071915612, operationsPerMinute=34.25495035957806, mode=normal, start=Thu May 26 15:16:04 BST 2016, end=Thu May 26 15:20:04 BST 2016, operations=141.30463366049182, operationsPerMinute=35.326158415122954
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:20:14 BST 2016, end=Thu May 26 15:22:14 BST 2016, operations=13.855459802545127, operationsPerMinute=6.9277299012725635, mode=normal, start=Thu May 26 15:22:58 BST 2016, end=Thu May 26 15:26:58 BST 2016, operations=27.472831711877998, operationsPerMinute=6.868207927969499
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:27:29 BST 2016, end=Thu May 26 15:29:29 BST 2016, operations=68.59063180143225, operationsPerMinute=34.295315900716126, mode=normal, start=Thu May 26 15:29:42 BST 2016, end=Thu May 26 15:33:42 BST 2016, operations=137.64465636479656, operationsPerMinute=34.41116409119914
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:33:51 BST 2016, end=Thu May 26 15:35:51 BST 2016, operations=42.818722090567256, operationsPerMinute=21.409361045283628, mode=normal, start=Thu May 26 15:36:03 BST 2016, end=Thu May 26 15:40:03 BST 2016, operations=79.93047970643933, operationsPerMinute=19.982619926609832
benchmark-name=scimark.fft.small, mod=warmup, start=Thu May 26 15:40:28 BST 2016, end=Thu May 26 15:42:28 BST 2016, operations=141.53666597804457, operationsPerMinute=70.76833298902228, mode=normal, start=Thu May 26 15:42:30 BST 2016, end=Thu May 26 15:46:30 BST 2016, operations=1195.7330155048749, operationsPerMinute=298.9332538762187
benchmark-name=scimark.lu.small, mod=warmup, start=Thu May 26 15:46:31 BST 2016, end=Thu May 26 15:48:31 BST 2016, operations=462.27008736919265, operationsPerMinute=231.13504368459633, mode=normal, start=Thu May 26 15:48:32 BST 2016, end=Thu May 26 15:52:32 BST 2016, operations=1018.8634653534006, operationsPerMinute=254.71586633835014
benchmark-name=scimark.sor.small, mod=warmup, start=Thu May 26 15:52:34 BST 2016, end=Thu May 26 15:54:34 BST 2016, operations=298.19175711455256, operationsPerMinute=149.09587855727628, mode=normal, start=Thu May 26 15:54:36 BST 2016, end=Thu May 26 15:58:36 BST 2016, operations=602.4036574761061, operationsPerMinute=150.60091436902653
benchmark-name=scimark.sparse.small, mod=warmup, start=Thu May 26 15:58:39 BST 2016, end=Thu May 26 16:00:39 BST 2016, operations=454.38658777120315, operationsPerMinute=227.19329388560158, mode=normal, start=Thu May 26 16:00:41 BST 2016, end=Thu May 26 16:04:41 BST 2016, operations=893.9745657877098, operationsPerMinute=223.49364144692746
benchmark-name=scimark.monte_carlo, mod=warmup, start=Thu May 26 16:04:43 BST 2016, end=Thu May 26 16:06:43 BST 2016, operations=108.97880672669368, operationsPerMinute=54.48940336334684, mode=normal, start=Thu May 26 16:06:51 BST 2016, end=Thu May 26 16:10:51 BST 2016, operations=134.9193946759018, operationsPerMinute=33.72984866897545
benchmark-name=serial, mod=warmup, start=Thu May 26 16:11:35 BST 2016, end=Thu May 26 16:13:35 BST 2016, operations=179.89643322400588, operationsPerMinute=89.94821661200294, mode=normal, start=Thu May 26 16:13:39 BST 2016, end=Thu May 26 16:17:39 BST 2016, operations=365.53443324392686, operationsPerMinute=91.38360831098171
benchmark-name=sunflow, mod=warmup, start=Thu May 26 16:17:43 BST 2016, end=Thu May 26 16:19:43 BST 2016, operations=161.85314848051593, operationsPerMinute=80.92657424025796, mode=normal, start=Thu May 26 16:19:44 BST 2016, end=Thu May 26 16:23:44 BST 2016, operations=327.67475954494273, operationsPerMinute=81.91868988623568
benchmark-name=xml.transform, mod=warmup, start=Thu May 26 16:24:08 BST 2016, end=Thu May 26 16:26:08 BST 2016, operations=469.16677249847305, operationsPerMinute=234.58338624923653, mode=normal, start=Thu May 26 16:26:09 BST 2016, end=Thu May 26 16:30:09 BST 2016, operations=976.6755256323047, operationsPerMinute=244.16888140807617
benchmark-name=xml.validation, mod=warmup, start=Thu May 26 16:30:11 BST 2016, end=Thu May 26 16:32:11 BST 2016, operations=939.5300505954938, operationsPerMinute=469.7650252977469, mode=normal, start=Thu May 26 16:32:12 BST 2016, end=Thu May 26 16:36:12 BST 2016, operations=1845.4438730941736, operationsPerMinute=461.3609682735434
