spec.jvm2008.report.run.location=RIDLEY2B009
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 25 04:31:22 BST 2016, end=Sat Jun 25 04:31:22 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 25 04:31:22 BST 2016, end=Sat Jun 25 04:31:22 BST 2016, operations=1.0, operationsPerMinute=645.1612903225806
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 25 04:31:22 BST 2016, end=Sat Jun 25 04:31:35 BST 2016, operations=1.0, operationsPerMinute=4.61716044632551
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 25 04:31:35 BST 2016, end=Sat Jun 25 04:31:39 BST 2016, operations=1.0, operationsPerMinute=17.969451931716083
benchmark-name=startup.compress, mode=normal, start=Sat Jun 25 04:31:39 BST 2016, end=Sat Jun 25 04:31:40 BST 2016, operations=1.0, operationsPerMinute=47.50593824228029
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 25 04:31:40 BST 2016, end=Sat Jun 25 04:31:48 BST 2016, operations=1.0, operationsPerMinute=7.04390702042733
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 25 04:31:48 BST 2016, end=Sat Jun 25 04:31:56 BST 2016, operations=1.0, operationsPerMinute=7.865757734661773
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 25 04:31:56 BST 2016, end=Sat Jun 25 04:32:03 BST 2016, operations=1.0, operationsPerMinute=8.94454382826476
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 25 04:32:03 BST 2016, end=Sat Jun 25 04:32:05 BST 2016, operations=1.0, operationsPerMinute=26.33889376646181
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 25 04:32:05 BST 2016, end=Sat Jun 25 04:32:06 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 25 04:32:06 BST 2016, end=Sat Jun 25 04:32:07 BST 2016, operations=1.0, operationsPerMinute=65.14657980456026
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 25 04:32:07 BST 2016, end=Sat Jun 25 04:32:12 BST 2016, operations=1.0, operationsPerMinute=10.743061772605193
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 25 04:32:12 BST 2016, end=Sat Jun 25 04:32:14 BST 2016, operations=1.0, operationsPerMinute=41.37931034482759
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 25 04:32:14 BST 2016, end=Sat Jun 25 04:32:15 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Sat Jun 25 04:32:15 BST 2016, end=Sat Jun 25 04:32:17 BST 2016, operations=1.0, operationsPerMinute=28.076743097800655
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 25 04:32:17 BST 2016, end=Sat Jun 25 04:32:23 BST 2016, operations=1.0, operationsPerMinute=9.157509157509157
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 25 04:32:23 BST 2016, end=Sat Jun 25 04:32:44 BST 2016, operations=1.0, operationsPerMinute=2.938151902453357
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 25 04:32:44 BST 2016, end=Sat Jun 25 04:32:45 BST 2016, operations=1.0, operationsPerMinute=72.55139056831922
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 25 04:32:55 BST 2016, end=Sat Jun 25 04:34:55 BST 2016, operations=462.10881909184457, operationsPerMinute=231.05440954592228, mode=normal, start=Sat Jun 25 04:34:56 BST 2016, end=Sat Jun 25 04:38:56 BST 2016, operations=940.9803654908183, operationsPerMinute=235.24509137270456
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 25 04:39:00 BST 2016, end=Sat Jun 25 04:41:00 BST 2016, operations=187.51902038745996, operationsPerMinute=93.75951019372998, mode=normal, start=Sat Jun 25 04:41:04 BST 2016, end=Sat Jun 25 04:45:04 BST 2016, operations=375.03538089347234, operationsPerMinute=93.75884522336808
benchmark-name=compress, mod=warmup, start=Sat Jun 25 04:45:07 BST 2016, end=Sat Jun 25 04:47:07 BST 2016, operations=364.504443675769, operationsPerMinute=182.2522218378845, mode=normal, start=Sat Jun 25 04:47:08 BST 2016, end=Sat Jun 25 04:51:08 BST 2016, operations=728.0947263279261, operationsPerMinute=182.02368158198152
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 25 04:51:11 BST 2016, end=Sat Jun 25 04:53:11 BST 2016, operations=127.72276308366912, operationsPerMinute=63.86138154183456, mode=normal, start=Sat Jun 25 04:53:15 BST 2016, end=Sat Jun 25 04:57:15 BST 2016, operations=267.68956116229515, operationsPerMinute=66.92239029057379
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 25 04:57:22 BST 2016, end=Sat Jun 25 04:59:22 BST 2016, operations=212.28875103561128, operationsPerMinute=106.14437551780564, mode=normal, start=Sat Jun 25 04:59:25 BST 2016, end=Sat Jun 25 05:03:25 BST 2016, operations=429.5822964678723, operationsPerMinute=107.39557411696808
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 25 05:03:28 BST 2016, end=Sat Jun 25 05:05:28 BST 2016, operations=372.52933404126827, operationsPerMinute=186.26466702063414, mode=normal, start=Sat Jun 25 05:05:31 BST 2016, end=Sat Jun 25 05:09:31 BST 2016, operations=745.3494055544239, operationsPerMinute=186.33735138860598
benchmark-name=derby, mod=warmup, start=Sat Jun 25 05:09:54 BST 2016, end=Sat Jun 25 05:11:54 BST 2016, operations=330.39837272895574, operationsPerMinute=165.19918636447787, mode=normal, start=Sat Jun 25 05:11:56 BST 2016, end=Sat Jun 25 05:15:56 BST 2016, operations=658.768117414, operationsPerMinute=164.6920293535
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 25 05:15:58 BST 2016, end=Sat Jun 25 05:17:58 BST 2016, operations=189.5290868851792, operationsPerMinute=94.7645434425896, mode=normal, start=Sat Jun 25 05:18:03 BST 2016, end=Sat Jun 25 05:22:03 BST 2016, operations=378.67432413869847, operationsPerMinute=94.66858103467462
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 25 05:22:06 BST 2016, end=Sat Jun 25 05:24:06 BST 2016, operations=69.54733600316233, operationsPerMinute=34.773668001581164, mode=normal, start=Sat Jun 25 05:24:16 BST 2016, end=Sat Jun 25 05:28:16 BST 2016, operations=141.70481893076328, operationsPerMinute=35.42620473269082
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 25 05:28:27 BST 2016, end=Sat Jun 25 05:30:27 BST 2016, operations=13.540142738624954, operationsPerMinute=6.770071369312477, mode=normal, start=Sat Jun 25 05:31:06 BST 2016, end=Sat Jun 25 05:35:06 BST 2016, operations=27.36724827014909, operationsPerMinute=6.841812067537273
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 25 05:35:46 BST 2016, end=Sat Jun 25 05:37:46 BST 2016, operations=67.72814724981782, operationsPerMinute=33.86407362490891, mode=normal, start=Sat Jun 25 05:37:57 BST 2016, end=Sat Jun 25 05:41:57 BST 2016, operations=135.47713879597202, operationsPerMinute=33.869284698993006
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 25 05:42:12 BST 2016, end=Sat Jun 25 05:44:12 BST 2016, operations=41.0742748933946, operationsPerMinute=20.5371374466973, mode=normal, start=Sat Jun 25 05:44:32 BST 2016, end=Sat Jun 25 05:48:32 BST 2016, operations=81.7383196492091, operationsPerMinute=20.434579912302276
