spec.jvm2008.report.run.location=BEDSONTC041
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 04 08:26:24 BST 2016, end=Sat Jun 04 08:26:24 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 08:26:24 BST 2016, end=Sat Jun 04 08:26:25 BST 2016, operations=1.0, operationsPerMinute=645.1612903225806
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 08:26:25 BST 2016, end=Sat Jun 04 08:26:37 BST 2016, operations=1.0, operationsPerMinute=4.662004662004662
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 08:26:37 BST 2016, end=Sat Jun 04 08:26:41 BST 2016, operations=1.0, operationsPerMinute=18.055973517905507
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 08:26:41 BST 2016, end=Sat Jun 04 08:26:42 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 08:26:42 BST 2016, end=Sat Jun 04 08:26:50 BST 2016, operations=1.0, operationsPerMinute=7.09639266706091
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 08:26:50 BST 2016, end=Sat Jun 04 08:26:58 BST 2016, operations=1.0, operationsPerMinute=7.979784545817263
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 08:26:58 BST 2016, end=Sat Jun 04 08:27:05 BST 2016, operations=1.0, operationsPerMinute=8.964589870013446
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 08:27:05 BST 2016, end=Sat Jun 04 08:27:07 BST 2016, operations=1.0, operationsPerMinute=26.905829596412556
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 08:27:07 BST 2016, end=Sat Jun 04 08:27:08 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 08:27:08 BST 2016, end=Sat Jun 04 08:27:08 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 08:27:08 BST 2016, end=Sat Jun 04 08:27:14 BST 2016, operations=1.0, operationsPerMinute=10.95890410958904
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 08:27:14 BST 2016, end=Sat Jun 04 08:27:15 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 08:27:15 BST 2016, end=Sat Jun 04 08:27:16 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 08:27:16 BST 2016, end=Sat Jun 04 08:27:18 BST 2016, operations=1.0, operationsPerMinute=28.708133971291865
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 08:27:18 BST 2016, end=Sat Jun 04 08:27:25 BST 2016, operations=1.0, operationsPerMinute=9.426551453260016
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 08:27:25 BST 2016, end=Sat Jun 04 08:27:45 BST 2016, operations=1.0, operationsPerMinute=2.9931158335827597
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 08:27:45 BST 2016, end=Sat Jun 04 08:27:46 BST 2016, operations=1.0, operationsPerMinute=75.47169811320755
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 08:27:56 BST 2016, end=Sat Jun 04 08:29:56 BST 2016, operations=495.7089878485938, operationsPerMinute=247.8544939242969, mode=normal, start=Sat Jun 04 08:29:57 BST 2016, end=Sat Jun 04 08:33:57 BST 2016, operations=1010.7342675564435, operationsPerMinute=252.68356688911086
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 08:34:01 BST 2016, end=Sat Jun 04 08:36:01 BST 2016, operations=195.20951963181477, operationsPerMinute=97.60475981590739, mode=normal, start=Sat Jun 04 08:36:04 BST 2016, end=Sat Jun 04 08:40:04 BST 2016, operations=388.18965871838, operationsPerMinute=97.047414679595
benchmark-name=compress, mod=warmup, start=Sat Jun 04 08:40:07 BST 2016, end=Sat Jun 04 08:42:07 BST 2016, operations=402.4265614889324, operationsPerMinute=201.2132807444662, mode=normal, start=Sat Jun 04 08:42:09 BST 2016, end=Sat Jun 04 08:46:09 BST 2016, operations=803.3641911594736, operationsPerMinute=200.8410477898684
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 08:46:11 BST 2016, end=Sat Jun 04 08:48:11 BST 2016, operations=139.95751051677718, operationsPerMinute=69.97875525838859, mode=normal, start=Sat Jun 04 08:48:15 BST 2016, end=Sat Jun 04 08:52:15 BST 2016, operations=295.8849878301532, operationsPerMinute=73.9712469575383
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 08:52:20 BST 2016, end=Sat Jun 04 08:54:20 BST 2016, operations=236.0481422030368, operationsPerMinute=118.0240711015184, mode=normal, start=Sat Jun 04 08:54:24 BST 2016, end=Sat Jun 04 08:58:24 BST 2016, operations=472.6190088267241, operationsPerMinute=118.15475220668102
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 08:58:28 BST 2016, end=Sat Jun 04 09:00:28 BST 2016, operations=410.2897990897991, operationsPerMinute=205.14489954489954, mode=normal, start=Sat Jun 04 09:00:29 BST 2016, end=Sat Jun 04 09:04:29 BST 2016, operations=818.5802793970905, operationsPerMinute=204.64506984927263
benchmark-name=derby, mod=warmup, start=Sat Jun 04 09:04:52 BST 2016, end=Sat Jun 04 09:06:52 BST 2016, operations=361.5961684694509, operationsPerMinute=180.79808423472545, mode=normal, start=Sat Jun 04 09:06:54 BST 2016, end=Sat Jun 04 09:10:54 BST 2016, operations=716.4557471020913, operationsPerMinute=179.11393677552283
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 09:10:56 BST 2016, end=Sat Jun 04 09:12:56 BST 2016, operations=206.02924750049047, operationsPerMinute=103.01462375024524, mode=normal, start=Sat Jun 04 09:13:00 BST 2016, end=Sat Jun 04 09:17:00 BST 2016, operations=410.7372537145348, operationsPerMinute=102.6843134286337
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 09:17:04 BST 2016, end=Sat Jun 04 09:19:04 BST 2016, operations=73.4149340428014, operationsPerMinute=36.7074670214007, mode=normal, start=Sat Jun 04 09:19:14 BST 2016, end=Sat Jun 04 09:23:14 BST 2016, operations=150.84285254816817, operationsPerMinute=37.71071313704204
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 09:23:22 BST 2016, end=Sat Jun 04 09:25:22 BST 2016, operations=13.874952018617783, operationsPerMinute=6.937476009308892, mode=normal, start=Sat Jun 04 09:26:05 BST 2016, end=Sat Jun 04 09:30:05 BST 2016, operations=27.706845051846493, operationsPerMinute=6.926711262961623
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 09:30:33 BST 2016, end=Sat Jun 04 09:32:33 BST 2016, operations=75.06186805150713, operationsPerMinute=37.53093402575357, mode=normal, start=Sat Jun 04 09:32:41 BST 2016, end=Sat Jun 04 09:36:41 BST 2016, operations=148.02117061941993, operationsPerMinute=37.00529265485498
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 09:36:53 BST 2016, end=Sat Jun 04 09:38:53 BST 2016, operations=43.00104057641711, operationsPerMinute=21.500520288208556, mode=normal, start=Sat Jun 04 09:39:04 BST 2016, end=Sat Jun 04 09:43:04 BST 2016, operations=86.00948206363665, operationsPerMinute=21.502370515909163
