spec.jvm2008.report.run.location=KINGS03
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8066
benchmark-name=check, mode=normal, start=Fri Jun 24 16:50:56 BST 2016, end=Fri Jun 24 16:50:56 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 16:50:56 BST 2016, end=Fri Jun 24 16:50:56 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 16:50:56 BST 2016, end=Fri Jun 24 16:51:12 BST 2016, operations=1.0, operationsPerMinute=3.705304761316618
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 16:51:12 BST 2016, end=Fri Jun 24 16:51:16 BST 2016, operations=1.0, operationsPerMinute=15.082956259426847
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 16:51:16 BST 2016, end=Fri Jun 24 16:51:17 BST 2016, operations=1.0, operationsPerMinute=43.22766570605187
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 16:51:17 BST 2016, end=Fri Jun 24 16:51:26 BST 2016, operations=1.0, operationsPerMinute=6.73551863493489
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 16:51:26 BST 2016, end=Fri Jun 24 16:51:34 BST 2016, operations=1.0, operationsPerMinute=7.882291119285339
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 16:51:34 BST 2016, end=Fri Jun 24 16:51:41 BST 2016, operations=1.0, operationsPerMinute=8.800234672924612
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 16:51:41 BST 2016, end=Fri Jun 24 16:51:43 BST 2016, operations=1.0, operationsPerMinute=22.624434389140273
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 16:51:43 BST 2016, end=Fri Jun 24 16:51:44 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 16:51:44 BST 2016, end=Fri Jun 24 16:51:45 BST 2016, operations=1.0, operationsPerMinute=55.762081784386616
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 16:51:45 BST 2016, end=Fri Jun 24 16:51:51 BST 2016, operations=1.0, operationsPerMinute=9.938711280437303
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 16:51:51 BST 2016, end=Fri Jun 24 16:51:53 BST 2016, operations=1.0, operationsPerMinute=39.24133420536298
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 16:51:53 BST 2016, end=Fri Jun 24 16:51:54 BST 2016, operations=1.0, operationsPerMinute=52.67778753292362
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 16:51:54 BST 2016, end=Fri Jun 24 16:51:57 BST 2016, operations=1.0, operationsPerMinute=23.59418010224145
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 16:51:57 BST 2016, end=Fri Jun 24 16:52:03 BST 2016, operations=1.0, operationsPerMinute=9.071666162685213
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 16:52:03 BST 2016, end=Fri Jun 24 16:52:27 BST 2016, operations=1.0, operationsPerMinute=2.538715410002539
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 16:52:27 BST 2016, end=Fri Jun 24 16:52:28 BST 2016, operations=1.0, operationsPerMinute=55.710306406685234
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 16:52:40 BST 2016, end=Fri Jun 24 16:54:40 BST 2016, operations=430.31438722496137, operationsPerMinute=215.15719361248068, mode=normal, start=Fri Jun 24 16:54:42 BST 2016, end=Fri Jun 24 16:58:42 BST 2016, operations=885.9868465480245, operationsPerMinute=221.49671163700611
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 16:58:46 BST 2016, end=Fri Jun 24 17:00:46 BST 2016, operations=174.03795723881882, operationsPerMinute=87.01897861940941, mode=normal, start=Fri Jun 24 17:00:50 BST 2016, end=Fri Jun 24 17:04:50 BST 2016, operations=349.84437210557707, operationsPerMinute=87.46109302639427
benchmark-name=compress, mod=warmup, start=Fri Jun 24 17:04:53 BST 2016, end=Fri Jun 24 17:06:53 BST 2016, operations=373.5451712177868, operationsPerMinute=186.7725856088934, mode=normal, start=Fri Jun 24 17:06:56 BST 2016, end=Fri Jun 24 17:10:56 BST 2016, operations=746.9177387009761, operationsPerMinute=186.72943467524402
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 17:10:58 BST 2016, end=Fri Jun 24 17:12:58 BST 2016, operations=122.96924792263017, operationsPerMinute=61.48462396131509, mode=normal, start=Fri Jun 24 17:13:03 BST 2016, end=Fri Jun 24 17:17:03 BST 2016, operations=254.8828917659173, operationsPerMinute=63.72072294147932
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 24 17:17:09 BST 2016, end=Fri Jun 24 17:19:09 BST 2016, operations=216.16734567160898, operationsPerMinute=108.08367283580449, mode=normal, start=Fri Jun 24 17:19:13 BST 2016, end=Fri Jun 24 17:23:13 BST 2016, operations=434.0005628429542, operationsPerMinute=108.50014071073855
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 24 17:23:17 BST 2016, end=Fri Jun 24 17:25:17 BST 2016, operations=360.1930677175607, operationsPerMinute=180.09653385878036, mode=normal, start=Fri Jun 24 17:25:19 BST 2016, end=Fri Jun 24 17:29:19 BST 2016, operations=747.4814188885938, operationsPerMinute=186.87035472214845
benchmark-name=derby, mod=warmup, start=Fri Jun 24 17:30:38 BST 2016, end=Fri Jun 24 17:32:38 BST 2016, operations=276.3573607073893, operationsPerMinute=138.17868035369466, mode=normal, start=Fri Jun 24 17:32:41 BST 2016, end=Fri Jun 24 17:36:41 BST 2016, operations=554.6713317442008, operationsPerMinute=138.6678329360502
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 24 17:36:44 BST 2016, end=Fri Jun 24 17:38:44 BST 2016, operations=183.91418009268747, operationsPerMinute=91.95709004634374, mode=normal, start=Fri Jun 24 17:38:49 BST 2016, end=Fri Jun 24 17:42:49 BST 2016, operations=367.99040171677825, operationsPerMinute=91.99760042919456
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 24 17:42:53 BST 2016, end=Fri Jun 24 17:44:53 BST 2016, operations=106.60414551674015, operationsPerMinute=53.30207275837007, mode=normal, start=Fri Jun 24 17:44:58 BST 2016, end=Fri Jun 24 17:48:58 BST 2016, operations=199.36347818293495, operationsPerMinute=49.84086954573374
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 24 17:49:03 BST 2016, end=Fri Jun 24 17:51:03 BST 2016, operations=21.581595299427615, operationsPerMinute=10.790797649713808, mode=normal, start=Fri Jun 24 17:51:33 BST 2016, end=Fri Jun 24 17:55:33 BST 2016, operations=43.42257819139142, operationsPerMinute=10.855644547847856
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 24 17:55:58 BST 2016, end=Fri Jun 24 17:57:58 BST 2016, operations=73.71193904309709, operationsPerMinute=36.855969521548545, mode=normal, start=Fri Jun 24 17:58:09 BST 2016, end=Fri Jun 24 18:02:09 BST 2016, operations=147.42267417960852, operationsPerMinute=36.85566854490213
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 24 18:02:17 BST 2016, end=Fri Jun 24 18:04:17 BST 2016, operations=72.51574365050548, operationsPerMinute=36.25787182525274, mode=normal, start=Fri Jun 24 18:04:26 BST 2016, end=Fri Jun 24 18:08:26 BST 2016, operations=144.99957854830714, operationsPerMinute=36.249894637076785
benchmark-name=scimark.fft.small, mod=warmup, start=Fri Jun 24 18:08:35 BST 2016, end=Fri Jun 24 18:10:35 BST 2016, operations=619.7185056321949, operationsPerMinute=309.85925281609747, mode=normal, start=Fri Jun 24 18:10:36 BST 2016, end=Fri Jun 24 18:14:36 BST 2016, operations=1218.7446424480918, operationsPerMinute=304.68616061202295
benchmark-name=scimark.lu.small, mod=warmup, start=Fri Jun 24 18:14:37 BST 2016, end=Fri Jun 24 18:16:37 BST 2016, operations=491.3387354993469, operationsPerMinute=245.66936774967346, mode=normal, start=Fri Jun 24 18:16:39 BST 2016, end=Fri Jun 24 18:20:39 BST 2016, operations=983.3363215824677, operationsPerMinute=245.83408039561692
benchmark-name=scimark.sor.small, mod=warmup, start=Fri Jun 24 18:20:40 BST 2016, end=Fri Jun 24 18:22:40 BST 2016, operations=320.0087225172539, operationsPerMinute=160.00436125862694, mode=normal, start=Fri Jun 24 18:22:43 BST 2016, end=Fri Jun 24 18:26:43 BST 2016, operations=639.5868972756522, operationsPerMinute=159.89672431891304
benchmark-name=scimark.sparse.small, mod=warmup, start=Fri Jun 24 18:26:45 BST 2016, end=Fri Jun 24 18:28:45 BST 2016, operations=460.23400058588027, operationsPerMinute=230.11700029294013, mode=normal, start=Fri Jun 24 18:28:46 BST 2016, end=Fri Jun 24 18:32:46 BST 2016, operations=917.3477050697244, operationsPerMinute=229.3369262674311
benchmark-name=scimark.monte_carlo, mod=warmup, start=Fri Jun 24 18:32:48 BST 2016, end=Fri Jun 24 18:34:48 BST 2016, operations=103.67032091092722, operationsPerMinute=51.83516045546361, mode=normal, start=Fri Jun 24 18:34:57 BST 2016, end=Fri Jun 24 18:38:57 BST 2016, operations=207.85024404448424, operationsPerMinute=51.96256101112106
benchmark-name=serial, mod=warmup, start=Fri Jun 24 18:39:06 BST 2016, end=Fri Jun 24 18:41:06 BST 2016, operations=205.20807965092183, operationsPerMinute=102.60403982546092, mode=normal, start=Fri Jun 24 18:41:10 BST 2016, end=Fri Jun 24 18:45:10 BST 2016, operations=409.3040734728785, operationsPerMinute=102.32601836821962
benchmark-name=sunflow, mod=warmup, start=Fri Jun 24 18:45:14 BST 2016, end=Fri Jun 24 18:47:14 BST 2016, operations=149.987152787007, operationsPerMinute=74.9935763935035, mode=normal, start=Fri Jun 24 18:47:16 BST 2016, end=Fri Jun 24 18:51:16 BST 2016, operations=299.735759894024, operationsPerMinute=74.933939973506
benchmark-name=xml.transform, mod=warmup, start=Fri Jun 24 18:51:39 BST 2016, end=Fri Jun 24 18:53:39 BST 2016, operations=447.50045719474963, operationsPerMinute=223.75022859737481, mode=normal, start=Fri Jun 24 18:53:41 BST 2016, end=Fri Jun 24 18:57:41 BST 2016, operations=908.6945447330089, operationsPerMinute=227.17363618325223
benchmark-name=xml.validation, mod=warmup, start=Fri Jun 24 18:57:43 BST 2016, end=Fri Jun 24 18:59:43 BST 2016, operations=693.3895424152383, operationsPerMinute=346.69477120761917, mode=normal, start=Fri Jun 24 18:59:44 BST 2016, end=Fri Jun 24 19:03:44 BST 2016, operations=1376.4999142847282, operationsPerMinute=344.12497857118206
