spec.jvm2008.report.run.location=BEDSONTC044
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 04 08:26:34 BST 2016, end=Sat Jun 04 08:26:34 BST 2016, operations=1.0, operationsPerMinute=1333.3333333333333
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 08:26:34 BST 2016, end=Sat Jun 04 08:26:34 BST 2016, operations=1.0, operationsPerMinute=566.0377358490566
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 08:26:34 BST 2016, end=Sat Jun 04 08:26:47 BST 2016, operations=1.0, operationsPerMinute=4.631058968817536
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 08:26:47 BST 2016, end=Sat Jun 04 08:26:50 BST 2016, operations=1.0, operationsPerMinute=17.626321974148063
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 08:26:50 BST 2016, end=Sat Jun 04 08:26:52 BST 2016, operations=1.0, operationsPerMinute=46.8384074941452
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 08:26:52 BST 2016, end=Sat Jun 04 08:27:00 BST 2016, operations=1.0, operationsPerMinute=7.138607971445568
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 08:27:00 BST 2016, end=Sat Jun 04 08:27:07 BST 2016, operations=1.0, operationsPerMinute=8.079719903043362
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 08:27:07 BST 2016, end=Sat Jun 04 08:27:14 BST 2016, operations=1.0, operationsPerMinute=9.292240978782717
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 08:27:14 BST 2016, end=Sat Jun 04 08:27:16 BST 2016, operations=1.0, operationsPerMinute=25.380710659898476
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 08:27:16 BST 2016, end=Sat Jun 04 08:27:17 BST 2016, operations=1.0, operationsPerMinute=79.7872340425532
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 08:27:17 BST 2016, end=Sat Jun 04 08:27:18 BST 2016, operations=1.0, operationsPerMinute=61.60164271047228
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 08:27:18 BST 2016, end=Sat Jun 04 08:27:24 BST 2016, operations=1.0, operationsPerMinute=10.247651579846286
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 08:27:24 BST 2016, end=Sat Jun 04 08:27:25 BST 2016, operations=1.0, operationsPerMinute=40.54054054054054
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 08:27:25 BST 2016, end=Sat Jun 04 08:27:26 BST 2016, operations=1.0, operationsPerMinute=58.93909626719057
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 08:27:26 BST 2016, end=Sat Jun 04 08:27:29 BST 2016, operations=1.0, operationsPerMinute=27.22323049001815
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 08:27:29 BST 2016, end=Sat Jun 04 08:27:35 BST 2016, operations=1.0, operationsPerMinute=9.516256938937351
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 08:27:35 BST 2016, end=Sat Jun 04 08:27:56 BST 2016, operations=1.0, operationsPerMinute=2.8968713789107765
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 08:27:56 BST 2016, end=Sat Jun 04 08:27:56 BST 2016, operations=1.0, operationsPerMinute=70.50528789659225
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 08:28:07 BST 2016, end=Sat Jun 04 08:30:07 BST 2016, operations=444.5654424665323, operationsPerMinute=222.28272123326616, mode=normal, start=Sat Jun 04 08:30:08 BST 2016, end=Sat Jun 04 08:34:08 BST 2016, operations=914.9685301336917, operationsPerMinute=228.74213253342293
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 08:34:12 BST 2016, end=Sat Jun 04 08:36:12 BST 2016, operations=179.34884478881233, operationsPerMinute=89.67442239440616, mode=normal, start=Sat Jun 04 08:36:15 BST 2016, end=Sat Jun 04 08:40:15 BST 2016, operations=359.5181180475252, operationsPerMinute=89.8795295118813
benchmark-name=compress, mod=warmup, start=Sat Jun 04 08:40:18 BST 2016, end=Sat Jun 04 08:42:18 BST 2016, operations=329.23039265563517, operationsPerMinute=164.61519632781759, mode=normal, start=Sat Jun 04 08:42:21 BST 2016, end=Sat Jun 04 08:46:21 BST 2016, operations=645.5046034860999, operationsPerMinute=161.37615087152497
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 08:46:23 BST 2016, end=Sat Jun 04 08:48:23 BST 2016, operations=138.0541219890613, operationsPerMinute=69.02706099453064, mode=normal, start=Sat Jun 04 08:48:28 BST 2016, end=Sat Jun 04 08:52:28 BST 2016, operations=289.9969958884805, operationsPerMinute=72.49924897212013
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 08:52:33 BST 2016, end=Sat Jun 04 08:54:33 BST 2016, operations=232.12371970294913, operationsPerMinute=116.06185985147457, mode=normal, start=Sat Jun 04 08:54:36 BST 2016, end=Sat Jun 04 08:58:36 BST 2016, operations=465.37531538828557, operationsPerMinute=116.34382884707139
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 08:58:40 BST 2016, end=Sat Jun 04 09:00:40 BST 2016, operations=400.1754001008268, operationsPerMinute=200.0877000504134, mode=normal, start=Sat Jun 04 09:00:42 BST 2016, end=Sat Jun 04 09:04:42 BST 2016, operations=804.9314408151947, operationsPerMinute=201.23286020379868
benchmark-name=derby, mod=warmup, start=Sat Jun 04 09:05:05 BST 2016, end=Sat Jun 04 09:07:05 BST 2016, operations=352.5005357981599, operationsPerMinute=176.25026789907994, mode=normal, start=Sat Jun 04 09:07:06 BST 2016, end=Sat Jun 04 09:11:06 BST 2016, operations=698.6104426152353, operationsPerMinute=174.65261065380884
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 09:11:09 BST 2016, end=Sat Jun 04 09:13:09 BST 2016, operations=203.2935638809394, operationsPerMinute=101.6467819404697, mode=normal, start=Sat Jun 04 09:13:12 BST 2016, end=Sat Jun 04 09:17:12 BST 2016, operations=408.9986066388875, operationsPerMinute=102.24965165972188
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 09:17:17 BST 2016, end=Sat Jun 04 09:19:17 BST 2016, operations=67.12429436849528, operationsPerMinute=33.56214718424764, mode=normal, start=Sat Jun 04 09:19:26 BST 2016, end=Sat Jun 04 09:23:26 BST 2016, operations=141.35335847128385, operationsPerMinute=35.338339617820964
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 09:23:36 BST 2016, end=Sat Jun 04 09:25:36 BST 2016, operations=13.91159750374408, operationsPerMinute=6.95579875187204, mode=normal, start=Sat Jun 04 09:26:20 BST 2016, end=Sat Jun 04 09:30:20 BST 2016, operations=27.68164781897452, operationsPerMinute=6.92041195474363
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 09:30:57 BST 2016, end=Sat Jun 04 09:32:57 BST 2016, operations=65.42243681619559, operationsPerMinute=32.71121840809779, mode=normal, start=Sat Jun 04 09:33:08 BST 2016, end=Sat Jun 04 09:37:08 BST 2016, operations=146.50775518923427, operationsPerMinute=36.62693879730857
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 09:37:18 BST 2016, end=Sat Jun 04 09:39:18 BST 2016, operations=41.31406377925177, operationsPerMinute=20.657031889625884, mode=normal, start=Sat Jun 04 09:39:34 BST 2016, end=Sat Jun 04 09:43:34 BST 2016, operations=82.91600836144654, operationsPerMinute=20.729002090361636
