spec.jvm2008.report.run.location=BEDSONTC007
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Thu Jun 23 04:00:00 BST 2016, end=Thu Jun 23 04:00:00 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Thu Jun 23 04:00:00 BST 2016, end=Thu Jun 23 04:00:00 BST 2016, operations=1.0, operationsPerMinute=348.83720930232556
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu Jun 23 04:00:00 BST 2016, end=Thu Jun 23 04:00:13 BST 2016, operations=1.0, operationsPerMinute=4.41598586884522
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu Jun 23 04:00:13 BST 2016, end=Thu Jun 23 04:00:17 BST 2016, operations=1.0, operationsPerMinute=17.641870038224052
benchmark-name=startup.compress, mode=normal, start=Thu Jun 23 04:00:17 BST 2016, end=Thu Jun 23 04:00:18 BST 2016, operations=1.0, operationsPerMinute=47.46835443037975
benchmark-name=startup.crypto.aes, mode=normal, start=Thu Jun 23 04:00:18 BST 2016, end=Thu Jun 23 04:00:27 BST 2016, operations=1.0, operationsPerMinute=7.044734061289186
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu Jun 23 04:00:27 BST 2016, end=Thu Jun 23 04:00:34 BST 2016, operations=1.0, operationsPerMinute=8.046131151937777
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu Jun 23 04:00:34 BST 2016, end=Thu Jun 23 04:00:41 BST 2016, operations=1.0, operationsPerMinute=9.092286710107592
benchmark-name=startup.mpegaudio, mode=normal, start=Thu Jun 23 04:00:41 BST 2016, end=Thu Jun 23 04:00:43 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Thu Jun 23 04:00:43 BST 2016, end=Thu Jun 23 04:00:44 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Thu Jun 23 04:00:44 BST 2016, end=Thu Jun 23 04:00:45 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu Jun 23 04:00:45 BST 2016, end=Thu Jun 23 04:00:50 BST 2016, operations=1.0, operationsPerMinute=10.834236186348862
benchmark-name=startup.scimark.sor, mode=normal, start=Thu Jun 23 04:00:50 BST 2016, end=Thu Jun 23 04:00:51 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu Jun 23 04:00:51 BST 2016, end=Thu Jun 23 04:00:52 BST 2016, operations=1.0, operationsPerMinute=61.09979633401222
benchmark-name=startup.serial, mode=normal, start=Thu Jun 23 04:00:52 BST 2016, end=Thu Jun 23 04:00:55 BST 2016, operations=1.0, operationsPerMinute=28.275212064090482
benchmark-name=startup.sunflow, mode=normal, start=Thu Jun 23 04:00:55 BST 2016, end=Thu Jun 23 04:01:01 BST 2016, operations=1.0, operationsPerMinute=8.903398130286392
benchmark-name=startup.xml.transform, mode=normal, start=Thu Jun 23 04:01:01 BST 2016, end=Thu Jun 23 04:01:22 BST 2016, operations=1.0, operationsPerMinute=2.967652586803838
benchmark-name=startup.xml.validation, mode=normal, start=Thu Jun 23 04:01:22 BST 2016, end=Thu Jun 23 04:01:22 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=compiler.compiler, mod=warmup, start=Thu Jun 23 04:01:33 BST 2016, end=Thu Jun 23 04:03:33 BST 2016, operations=479.03517171872977, operationsPerMinute=239.51758585936489, mode=normal, start=Thu Jun 23 04:03:34 BST 2016, end=Thu Jun 23 04:07:34 BST 2016, operations=991.320680558187, operationsPerMinute=247.83017013954674
benchmark-name=compiler.sunflow, mod=warmup, start=Thu Jun 23 04:07:38 BST 2016, end=Thu Jun 23 04:09:38 BST 2016, operations=198.31135229929356, operationsPerMinute=99.15567614964678, mode=normal, start=Thu Jun 23 04:09:41 BST 2016, end=Thu Jun 23 04:13:41 BST 2016, operations=378.752366959768, operationsPerMinute=94.688091739942
benchmark-name=compress, mod=warmup, start=Thu Jun 23 04:13:44 BST 2016, end=Thu Jun 23 04:15:44 BST 2016, operations=397.69522027824627, operationsPerMinute=198.84761013912313, mode=normal, start=Thu Jun 23 04:15:46 BST 2016, end=Thu Jun 23 04:19:46 BST 2016, operations=795.9754377726073, operationsPerMinute=198.99385944315182
benchmark-name=crypto.aes, mod=warmup, start=Thu Jun 23 04:19:48 BST 2016, end=Thu Jun 23 04:21:48 BST 2016, operations=137.98357246801697, operationsPerMinute=68.99178623400849, mode=normal, start=Thu Jun 23 04:21:53 BST 2016, end=Thu Jun 23 04:25:53 BST 2016, operations=291.56764614406256, operationsPerMinute=72.89191153601564
benchmark-name=crypto.rsa, mod=warmup, start=Thu Jun 23 04:25:59 BST 2016, end=Thu Jun 23 04:27:59 BST 2016, operations=233.71729801072544, operationsPerMinute=116.85864900536272, mode=normal, start=Thu Jun 23 04:28:02 BST 2016, end=Thu Jun 23 04:32:02 BST 2016, operations=467.7236106877321, operationsPerMinute=116.93090267193303
benchmark-name=crypto.signverify, mod=warmup, start=Thu Jun 23 04:32:05 BST 2016, end=Thu Jun 23 04:34:05 BST 2016, operations=404.78531361366856, operationsPerMinute=202.39265680683428, mode=normal, start=Thu Jun 23 04:34:07 BST 2016, end=Thu Jun 23 04:38:07 BST 2016, operations=809.2839882294279, operationsPerMinute=202.32099705735698
benchmark-name=derby, mod=warmup, start=Thu Jun 23 04:38:29 BST 2016, end=Thu Jun 23 04:40:29 BST 2016, operations=354.010463153753, operationsPerMinute=177.0052315768765, mode=normal, start=Thu Jun 23 04:40:31 BST 2016, end=Thu Jun 23 04:44:31 BST 2016, operations=709.4804276226865, operationsPerMinute=177.37010690567163
benchmark-name=mpegaudio, mod=warmup, start=Thu Jun 23 04:44:33 BST 2016, end=Thu Jun 23 04:46:33 BST 2016, operations=204.35639328510774, operationsPerMinute=102.17819664255387, mode=normal, start=Thu Jun 23 04:46:37 BST 2016, end=Thu Jun 23 04:50:37 BST 2016, operations=408.35542225165756, operationsPerMinute=102.08885556291439
benchmark-name=scimark.fft.large, mod=warmup, start=Thu Jun 23 04:50:41 BST 2016, end=Thu Jun 23 04:52:41 BST 2016, operations=68.64127382301578, operationsPerMinute=34.32063691150789, mode=normal, start=Thu Jun 23 04:52:50 BST 2016, end=Thu Jun 23 04:56:50 BST 2016, operations=146.627742810603, operationsPerMinute=36.65693570265075
benchmark-name=scimark.lu.large, mod=warmup, start=Thu Jun 23 04:56:59 BST 2016, end=Thu Jun 23 04:58:59 BST 2016, operations=13.88675222715571, operationsPerMinute=6.943376113577855, mode=normal, start=Thu Jun 23 04:59:42 BST 2016, end=Thu Jun 23 05:03:42 BST 2016, operations=27.886838761154912, operationsPerMinute=6.971709690288728
benchmark-name=scimark.sor.large, mod=warmup, start=Thu Jun 23 05:04:25 BST 2016, end=Thu Jun 23 05:06:25 BST 2016, operations=73.81945138417521, operationsPerMinute=36.909725692087605, mode=normal, start=Thu Jun 23 05:06:36 BST 2016, end=Thu Jun 23 05:10:36 BST 2016, operations=147.5250673443069, operationsPerMinute=36.881266836076726
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu Jun 23 05:10:44 BST 2016, end=Thu Jun 23 05:12:44 BST 2016, operations=42.65395494339509, operationsPerMinute=21.326977471697546, mode=normal, start=Thu Jun 23 05:12:56 BST 2016, end=Thu Jun 23 05:16:56 BST 2016, operations=84.23267802038922, operationsPerMinute=21.058169505097304
