spec.jvm2008.report.run.location=OLDLIB017
spec.jvm2008.report.hw.cpu.name=Intel(R) Xeon(R) CPU E31270 @ 3.40GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=16341
benchmark-name=check, mode=normal, start=Sat Jun 04 16:07:06 BST 2016, end=Sat Jun 04 16:07:06 BST 2016, operations=1.0, operationsPerMinute=1200.0
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 16:07:06 BST 2016, end=Sat Jun 04 16:07:07 BST 2016, operations=1.0, operationsPerMinute=500.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 16:07:07 BST 2016, end=Sat Jun 04 16:07:27 BST 2016, operations=1.0, operationsPerMinute=2.9673590504451037
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 16:07:27 BST 2016, end=Sat Jun 04 16:07:31 BST 2016, operations=1.0, operationsPerMinute=14.723926380368098
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 16:07:31 BST 2016, end=Sat Jun 04 16:07:32 BST 2016, operations=1.0, operationsPerMinute=41.666666666666664
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 16:07:32 BST 2016, end=Sat Jun 04 16:07:41 BST 2016, operations=1.0, operationsPerMinute=6.573901610605895
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 16:07:41 BST 2016, end=Sat Jun 04 16:07:49 BST 2016, operations=1.0, operationsPerMinute=7.640392206799949
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 16:07:49 BST 2016, end=Sat Jun 04 16:07:56 BST 2016, operations=1.0, operationsPerMinute=8.73743993010048
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 16:07:56 BST 2016, end=Sat Jun 04 16:07:59 BST 2016, operations=1.0, operationsPerMinute=21.826118588577664
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 16:07:59 BST 2016, end=Sat Jun 04 16:08:00 BST 2016, operations=1.0, operationsPerMinute=73.43941248470013
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 16:08:00 BST 2016, end=Sat Jun 04 16:08:01 BST 2016, operations=1.0, operationsPerMinute=51.282051282051285
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 16:08:01 BST 2016, end=Sat Jun 04 16:08:07 BST 2016, operations=1.0, operationsPerMinute=9.6
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 16:08:07 BST 2016, end=Sat Jun 04 16:08:09 BST 2016, operations=1.0, operationsPerMinute=39.21568627450981
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 16:08:09 BST 2016, end=Sat Jun 04 16:08:10 BST 2016, operations=1.0, operationsPerMinute=48.0
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 16:08:10 BST 2016, end=Sat Jun 04 16:08:13 BST 2016, operations=1.0, operationsPerMinute=22.304832713754646
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 16:08:13 BST 2016, end=Sat Jun 04 16:08:19 BST 2016, operations=1.0, operationsPerMinute=9.216589861751151
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 16:08:19 BST 2016, end=Sat Jun 04 16:08:46 BST 2016, operations=1.0, operationsPerMinute=2.233971256236503
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 16:08:46 BST 2016, end=Sat Jun 04 16:08:47 BST 2016, operations=1.0, operationsPerMinute=54.54545454545455
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 16:09:01 BST 2016, end=Sat Jun 04 16:11:01 BST 2016, operations=434.1375171537761, operationsPerMinute=217.06875857688806, mode=normal, start=Sat Jun 04 16:11:04 BST 2016, end=Sat Jun 04 16:15:04 BST 2016, operations=843.3641013590452, operationsPerMinute=210.8410253397613
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 16:15:11 BST 2016, end=Sat Jun 04 16:17:11 BST 2016, operations=167.88438241684636, operationsPerMinute=83.94219120842318, mode=normal, start=Sat Jun 04 16:17:19 BST 2016, end=Sat Jun 04 16:21:19 BST 2016, operations=331.9707541428655, operationsPerMinute=82.99268853571637
benchmark-name=compress, mod=warmup, start=Sat Jun 04 16:21:26 BST 2016, end=Sat Jun 04 16:23:26 BST 2016, operations=439.1691077327387, operationsPerMinute=219.58455386636936, mode=normal, start=Sat Jun 04 16:23:29 BST 2016, end=Sat Jun 04 16:27:29 BST 2016, operations=867.9403003243388, operationsPerMinute=216.9850750810847
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 16:27:33 BST 2016, end=Sat Jun 04 16:29:33 BST 2016, operations=114.30269266096568, operationsPerMinute=57.15134633048284, mode=normal, start=Sat Jun 04 16:29:44 BST 2016, end=Sat Jun 04 16:33:44 BST 2016, operations=239.05906617758967, operationsPerMinute=59.76476654439742
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 16:33:57 BST 2016, end=Sat Jun 04 16:35:57 BST 2016, operations=199.58926045095208, operationsPerMinute=99.79463022547604, mode=normal, start=Sat Jun 04 16:36:06 BST 2016, end=Sat Jun 04 16:40:06 BST 2016, operations=401.4575805098485, operationsPerMinute=100.36439512746213
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 16:40:13 BST 2016, end=Sat Jun 04 16:42:13 BST 2016, operations=344.0083420873297, operationsPerMinute=172.00417104366485, mode=normal, start=Sat Jun 04 16:42:18 BST 2016, end=Sat Jun 04 16:46:18 BST 2016, operations=678.2262904537719, operationsPerMinute=169.55657261344297
benchmark-name=derby, mod=warmup, start=Sat Jun 04 16:48:03 BST 2016, end=Sat Jun 04 16:50:03 BST 2016, operations=277.8477269381174, operationsPerMinute=138.9238634690587, mode=normal, start=Sat Jun 04 16:50:08 BST 2016, end=Sat Jun 04 16:54:08 BST 2016, operations=586.2942970648905, operationsPerMinute=146.57357426622264
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 16:54:12 BST 2016, end=Sat Jun 04 16:56:12 BST 2016, operations=215.31774464778104, operationsPerMinute=107.65887232389052, mode=normal, start=Sat Jun 04 16:56:19 BST 2016, end=Sat Jun 04 17:00:19 BST 2016, operations=423.7226553494269, operationsPerMinute=105.93066383735672
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 17:00:26 BST 2016, end=Sat Jun 04 17:02:26 BST 2016, operations=87.41294420032102, operationsPerMinute=43.70647210016051, mode=normal, start=Sat Jun 04 17:02:42 BST 2016, end=Sat Jun 04 17:06:42 BST 2016, operations=186.3166765584532, operationsPerMinute=46.5791691396133
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 17:06:56 BST 2016, end=Sat Jun 04 17:08:56 BST 2016, operations=20.293459467763135, operationsPerMinute=10.146729733881568, mode=normal, start=Sat Jun 04 17:09:58 BST 2016, end=Sat Jun 04 17:13:58 BST 2016, operations=40.03370370242635, operationsPerMinute=10.008425925606588
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 17:15:23 BST 2016, end=Sat Jun 04 17:17:23 BST 2016, operations=109.23512112587096, operationsPerMinute=54.61756056293548, mode=normal, start=Sat Jun 04 17:18:06 BST 2016, end=Sat Jun 04 17:22:06 BST 2016, operations=219.48763315270915, operationsPerMinute=54.87190828817729
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 17:22:20 BST 2016, end=Sat Jun 04 17:24:20 BST 2016, operations=61.59973306524268, operationsPerMinute=30.79986653262134, mode=normal, start=Sat Jun 04 17:24:39 BST 2016, end=Sat Jun 04 17:28:39 BST 2016, operations=123.46186600101117, operationsPerMinute=30.865466500252793
