spec.jvm2008.report.run.location=CASTLEAZES001
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Thu Jun 23 09:33:18 BST 2016, end=Thu Jun 23 09:33:18 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Thu Jun 23 09:33:18 BST 2016, end=Thu Jun 23 09:33:18 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu Jun 23 09:33:18 BST 2016, end=Thu Jun 23 09:33:31 BST 2016, operations=1.0, operationsPerMinute=4.656216048424647
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu Jun 23 09:33:31 BST 2016, end=Thu Jun 23 09:33:34 BST 2016, operations=1.0, operationsPerMinute=18.404907975460123
benchmark-name=startup.compress, mode=normal, start=Thu Jun 23 09:33:34 BST 2016, end=Thu Jun 23 09:33:35 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Thu Jun 23 09:33:35 BST 2016, end=Thu Jun 23 09:33:44 BST 2016, operations=1.0, operationsPerMinute=7.082989021367017
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu Jun 23 09:33:44 BST 2016, end=Thu Jun 23 09:33:51 BST 2016, operations=1.0, operationsPerMinute=7.962840079628401
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu Jun 23 09:33:51 BST 2016, end=Thu Jun 23 09:33:58 BST 2016, operations=1.0, operationsPerMinute=9.093664746892998
benchmark-name=startup.mpegaudio, mode=normal, start=Thu Jun 23 09:33:58 BST 2016, end=Thu Jun 23 09:34:00 BST 2016, operations=1.0, operationsPerMinute=26.155187445510027
benchmark-name=startup.scimark.fft, mode=normal, start=Thu Jun 23 09:34:00 BST 2016, end=Thu Jun 23 09:34:01 BST 2016, operations=1.0, operationsPerMinute=80.21390374331551
benchmark-name=startup.scimark.lu, mode=normal, start=Thu Jun 23 09:34:01 BST 2016, end=Thu Jun 23 09:34:02 BST 2016, operations=1.0, operationsPerMinute=65.14657980456026
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu Jun 23 09:34:02 BST 2016, end=Thu Jun 23 09:34:07 BST 2016, operations=1.0, operationsPerMinute=10.895224260032686
benchmark-name=startup.scimark.sor, mode=normal, start=Thu Jun 23 09:34:07 BST 2016, end=Thu Jun 23 09:34:09 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu Jun 23 09:34:09 BST 2016, end=Thu Jun 23 09:34:10 BST 2016, operations=1.0, operationsPerMinute=61.98347107438016
benchmark-name=startup.serial, mode=normal, start=Thu Jun 23 09:34:10 BST 2016, end=Thu Jun 23 09:34:12 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Thu Jun 23 09:34:12 BST 2016, end=Thu Jun 23 09:34:18 BST 2016, operations=1.0, operationsPerMinute=9.358914365933552
benchmark-name=startup.xml.transform, mode=normal, start=Thu Jun 23 09:34:18 BST 2016, end=Thu Jun 23 09:34:38 BST 2016, operations=1.0, operationsPerMinute=2.9745674483168907
benchmark-name=startup.xml.validation, mode=normal, start=Thu Jun 23 09:34:38 BST 2016, end=Thu Jun 23 09:34:39 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=compiler.compiler, mod=warmup, start=Thu Jun 23 09:34:49 BST 2016, end=Thu Jun 23 09:36:49 BST 2016, operations=486.6341491713508, operationsPerMinute=243.3170745856754, mode=normal, start=Thu Jun 23 09:36:51 BST 2016, end=Thu Jun 23 09:40:51 BST 2016, operations=1003.8825616227598, operationsPerMinute=250.97064040568995
benchmark-name=compiler.sunflow, mod=warmup, start=Thu Jun 23 09:40:55 BST 2016, end=Thu Jun 23 09:42:55 BST 2016, operations=198.4989018440327, operationsPerMinute=99.24945092201635, mode=normal, start=Thu Jun 23 09:42:58 BST 2016, end=Thu Jun 23 09:46:58 BST 2016, operations=396.38545159520453, operationsPerMinute=99.09636289880113
benchmark-name=compress, mod=warmup, start=Thu Jun 23 09:47:02 BST 2016, end=Thu Jun 23 09:49:02 BST 2016, operations=401.31739336352956, operationsPerMinute=200.65869668176478, mode=normal, start=Thu Jun 23 09:49:04 BST 2016, end=Thu Jun 23 09:53:04 BST 2016, operations=802.6586242954152, operationsPerMinute=200.6646560738538
benchmark-name=crypto.aes, mod=warmup, start=Thu Jun 23 09:53:07 BST 2016, end=Thu Jun 23 09:55:07 BST 2016, operations=139.90424690628342, operationsPerMinute=69.95212345314171, mode=normal, start=Thu Jun 23 09:55:12 BST 2016, end=Thu Jun 23 09:59:12 BST 2016, operations=271.0841702593847, operationsPerMinute=67.77104256484617
benchmark-name=crypto.rsa, mod=warmup, start=Thu Jun 23 09:59:18 BST 2016, end=Thu Jun 23 10:01:18 BST 2016, operations=235.42230425130936, operationsPerMinute=117.71115212565468, mode=normal, start=Thu Jun 23 10:01:20 BST 2016, end=Thu Jun 23 10:05:20 BST 2016, operations=467.0287465808994, operationsPerMinute=116.75718664522485
benchmark-name=crypto.signverify, mod=warmup, start=Thu Jun 23 10:05:24 BST 2016, end=Thu Jun 23 10:07:24 BST 2016, operations=403.22828282828283, operationsPerMinute=201.61414141414141, mode=normal, start=Thu Jun 23 10:07:26 BST 2016, end=Thu Jun 23 10:11:26 BST 2016, operations=809.8915182054488, operationsPerMinute=202.4728795513622
benchmark-name=derby, mod=warmup, start=Thu Jun 23 10:11:49 BST 2016, end=Thu Jun 23 10:13:49 BST 2016, operations=351.2497369117935, operationsPerMinute=175.62486845589675, mode=normal, start=Thu Jun 23 10:13:51 BST 2016, end=Thu Jun 23 10:17:51 BST 2016, operations=697.5328701163369, operationsPerMinute=174.38321752908422
benchmark-name=mpegaudio, mod=warmup, start=Thu Jun 23 10:17:53 BST 2016, end=Thu Jun 23 10:19:53 BST 2016, operations=206.7215794574376, operationsPerMinute=103.3607897287188, mode=normal, start=Thu Jun 23 10:19:56 BST 2016, end=Thu Jun 23 10:23:56 BST 2016, operations=415.4778869977794, operationsPerMinute=103.86947174944486
benchmark-name=scimark.fft.large, mod=warmup, start=Thu Jun 23 10:23:59 BST 2016, end=Thu Jun 23 10:25:59 BST 2016, operations=77.81780729657224, operationsPerMinute=38.90890364828612, mode=normal, start=Thu Jun 23 10:26:07 BST 2016, end=Thu Jun 23 10:30:07 BST 2016, operations=144.6762030085252, operationsPerMinute=36.1690507521313
benchmark-name=scimark.lu.large, mod=warmup, start=Thu Jun 23 10:30:17 BST 2016, end=Thu Jun 23 10:32:17 BST 2016, operations=13.91052186071465, operationsPerMinute=6.955260930357325, mode=normal, start=Thu Jun 23 10:33:01 BST 2016, end=Thu Jun 23 10:37:01 BST 2016, operations=27.80971812618222, operationsPerMinute=6.952429531545555
benchmark-name=scimark.sor.large, mod=warmup, start=Thu Jun 23 10:37:37 BST 2016, end=Thu Jun 23 10:39:37 BST 2016, operations=73.48058372172811, operationsPerMinute=36.740291860864055, mode=normal, start=Thu Jun 23 10:39:48 BST 2016, end=Thu Jun 23 10:43:48 BST 2016, operations=149.2295823269313, operationsPerMinute=37.30739558173283
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu Jun 23 10:43:57 BST 2016, end=Thu Jun 23 10:45:57 BST 2016, operations=43.158243837779175, operationsPerMinute=21.579121918889587, mode=normal, start=Thu Jun 23 10:46:08 BST 2016, end=Thu Jun 23 10:50:08 BST 2016, operations=86.11958909856668, operationsPerMinute=21.52989727464167
benchmark-name=scimark.fft.small, mod=warmup, start=Thu Jun 23 10:50:21 BST 2016, end=Thu Jun 23 10:52:21 BST 2016, operations=701.0323855391724, operationsPerMinute=350.5161927695862, mode=normal, start=Thu Jun 23 10:52:22 BST 2016, end=Thu Jun 23 10:56:22 BST 2016, operations=1396.7544758053523, operationsPerMinute=349.18861895133807
benchmark-name=scimark.lu.small, mod=warmup, start=Thu Jun 23 10:56:23 BST 2016, end=Thu Jun 23 10:58:23 BST 2016, operations=576.8088539394857, operationsPerMinute=288.4044269697429, mode=normal, start=Thu Jun 23 10:58:25 BST 2016, end=Thu Jun 23 11:02:25 BST 2016, operations=1153.4383485511262, operationsPerMinute=288.35958713778155
benchmark-name=scimark.sor.small, mod=warmup, start=Thu Jun 23 11:02:26 BST 2016, end=Thu Jun 23 11:04:26 BST 2016, operations=330.8180334600432, operationsPerMinute=165.4090167300216, mode=normal, start=Thu Jun 23 11:04:27 BST 2016, end=Thu Jun 23 11:08:27 BST 2016, operations=661.1357530909534, operationsPerMinute=165.28393827273834
benchmark-name=scimark.sparse.small, mod=warmup, start=Thu Jun 23 11:08:30 BST 2016, end=Thu Jun 23 11:10:30 BST 2016, operations=512.7285309887611, operationsPerMinute=256.36426549438056, mode=normal, start=Thu Jun 23 11:10:32 BST 2016, end=Thu Jun 23 11:14:32 BST 2016, operations=1017.4369193608323, operationsPerMinute=254.3592298402081
benchmark-name=scimark.monte_carlo, mod=warmup, start=Thu Jun 23 11:14:33 BST 2016, end=Thu Jun 23 11:16:33 BST 2016, operations=119.36939683977171, operationsPerMinute=59.684698419885855, mode=normal, start=Thu Jun 23 11:16:39 BST 2016, end=Thu Jun 23 11:20:39 BST 2016, operations=239.61512998998612, operationsPerMinute=59.90378249749653
benchmark-name=serial, mod=warmup, start=Thu Jun 23 11:20:47 BST 2016, end=Thu Jun 23 11:22:47 BST 2016, operations=242.3380958582057, operationsPerMinute=121.16904792910285, mode=normal, start=Thu Jun 23 11:22:49 BST 2016, end=Thu Jun 23 11:26:49 BST 2016, operations=481.2513762003525, operationsPerMinute=120.31284405008813
benchmark-name=sunflow, mod=warmup, start=Thu Jun 23 11:26:52 BST 2016, end=Thu Jun 23 11:28:52 BST 2016, operations=178.38771988051775, operationsPerMinute=89.19385994025887, mode=normal, start=Thu Jun 23 11:28:54 BST 2016, end=Thu Jun 23 11:32:54 BST 2016, operations=357.1606025364125, operationsPerMinute=89.29015063410313
benchmark-name=xml.transform, mod=warmup, start=Thu Jun 23 11:33:14 BST 2016, end=Thu Jun 23 11:35:14 BST 2016, operations=500.2294242833622, operationsPerMinute=250.1147121416811, mode=normal, start=Thu Jun 23 11:35:16 BST 2016, end=Thu Jun 23 11:39:16 BST 2016, operations=1002.7075405067196, operationsPerMinute=250.6768851266799
benchmark-name=xml.validation, mod=warmup, start=Thu Jun 23 11:39:18 BST 2016, end=Thu Jun 23 11:41:18 BST 2016, operations=1034.07132338173, operationsPerMinute=517.035661690865, mode=normal, start=Thu Jun 23 11:41:19 BST 2016, end=Thu Jun 23 11:45:19 BST 2016, operations=2015.7327396155147, operationsPerMinute=503.93318490387867
