spec.jvm2008.report.run.location=GLAZIER17
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=12162
benchmark-name=check, mode=normal, start=Fri Jun 24 00:22:17 BST 2016, end=Fri Jun 24 00:22:17 BST 2016, operations=1.0, operationsPerMinute=952.3809523809524
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 00:22:17 BST 2016, end=Fri Jun 24 00:22:17 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 00:22:17 BST 2016, end=Fri Jun 24 00:22:34 BST 2016, operations=1.0, operationsPerMinute=3.649191095973726
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 00:22:34 BST 2016, end=Fri Jun 24 00:22:38 BST 2016, operations=1.0, operationsPerMinute=14.245014245014245
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 00:22:38 BST 2016, end=Fri Jun 24 00:22:39 BST 2016, operations=1.0, operationsPerMinute=43.22766570605187
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 00:22:39 BST 2016, end=Fri Jun 24 00:22:49 BST 2016, operations=1.0, operationsPerMinute=6.597031335898846
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 00:22:49 BST 2016, end=Fri Jun 24 00:22:56 BST 2016, operations=1.0, operationsPerMinute=7.77000777000777
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 00:22:56 BST 2016, end=Fri Jun 24 00:23:03 BST 2016, operations=1.0, operationsPerMinute=8.965929468021518
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 00:23:03 BST 2016, end=Fri Jun 24 00:23:06 BST 2016, operations=1.0, operationsPerMinute=22.363026462914647
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 00:23:06 BST 2016, end=Fri Jun 24 00:23:07 BST 2016, operations=1.0, operationsPerMinute=67.41573033707866
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 00:23:07 BST 2016, end=Fri Jun 24 00:23:08 BST 2016, operations=1.0, operationsPerMinute=54.995417048579284
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 00:23:08 BST 2016, end=Fri Jun 24 00:23:14 BST 2016, operations=1.0, operationsPerMinute=9.886307464162135
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 00:23:14 BST 2016, end=Fri Jun 24 00:23:15 BST 2016, operations=1.0, operationsPerMinute=38.86010362694301
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 00:23:15 BST 2016, end=Fri Jun 24 00:23:16 BST 2016, operations=1.0, operationsPerMinute=52.67778753292362
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 00:23:16 BST 2016, end=Fri Jun 24 00:23:19 BST 2016, operations=1.0, operationsPerMinute=23.31002331002331
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 00:23:19 BST 2016, end=Fri Jun 24 00:23:26 BST 2016, operations=1.0, operationsPerMinute=8.862629246676514
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 00:23:26 BST 2016, end=Fri Jun 24 00:23:51 BST 2016, operations=1.0, operationsPerMinute=2.4128362890577875
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 00:23:51 BST 2016, end=Fri Jun 24 00:23:52 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 00:24:05 BST 2016, end=Fri Jun 24 00:26:05 BST 2016, operations=415.22222222222223, operationsPerMinute=207.61111111111111, mode=normal, start=Fri Jun 24 00:26:07 BST 2016, end=Fri Jun 24 00:30:07 BST 2016, operations=853.0393162393161, operationsPerMinute=213.25982905982903
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 00:30:12 BST 2016, end=Fri Jun 24 00:32:12 BST 2016, operations=167.4595412087917, operationsPerMinute=83.72977060439585, mode=normal, start=Fri Jun 24 00:32:15 BST 2016, end=Fri Jun 24 00:36:15 BST 2016, operations=334.17455670530995, operationsPerMinute=83.54363917632749
benchmark-name=compress, mod=warmup, start=Fri Jun 24 00:36:19 BST 2016, end=Fri Jun 24 00:38:19 BST 2016, operations=353.2280023249327, operationsPerMinute=176.61400116246634, mode=normal, start=Fri Jun 24 00:38:21 BST 2016, end=Fri Jun 24 00:42:21 BST 2016, operations=703.8019231695278, operationsPerMinute=175.95048079238194
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 00:42:24 BST 2016, end=Fri Jun 24 00:44:24 BST 2016, operations=116.61780540113237, operationsPerMinute=58.308902700566186, mode=normal, start=Fri Jun 24 00:44:30 BST 2016, end=Fri Jun 24 00:48:30 BST 2016, operations=247.06134734703343, operationsPerMinute=61.76533683675836
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 24 00:48:35 BST 2016, end=Fri Jun 24 00:50:35 BST 2016, operations=208.85511883257067, operationsPerMinute=104.42755941628533, mode=normal, start=Fri Jun 24 00:50:40 BST 2016, end=Fri Jun 24 00:54:40 BST 2016, operations=417.4743528690603, operationsPerMinute=104.36858821726507
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 24 00:54:44 BST 2016, end=Fri Jun 24 00:56:44 BST 2016, operations=354.38920339938056, operationsPerMinute=177.19460169969028, mode=normal, start=Fri Jun 24 00:56:46 BST 2016, end=Fri Jun 24 01:00:46 BST 2016, operations=709.374004982543, operationsPerMinute=177.34350124563576
benchmark-name=derby, mod=warmup, start=Fri Jun 24 01:01:55 BST 2016, end=Fri Jun 24 01:03:55 BST 2016, operations=258.7183652463483, operationsPerMinute=129.35918262317415, mode=normal, start=Fri Jun 24 01:03:57 BST 2016, end=Fri Jun 24 01:07:57 BST 2016, operations=520.0992537652312, operationsPerMinute=130.0248134413078
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 24 01:08:00 BST 2016, end=Fri Jun 24 01:10:00 BST 2016, operations=173.2903332096191, operationsPerMinute=86.64516660480955, mode=normal, start=Fri Jun 24 01:10:04 BST 2016, end=Fri Jun 24 01:14:04 BST 2016, operations=346.7353791282706, operationsPerMinute=86.68384478206765
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 24 01:14:09 BST 2016, end=Fri Jun 24 01:16:09 BST 2016, operations=108.15488928806266, operationsPerMinute=54.07744464403133, mode=normal, start=Fri Jun 24 01:16:16 BST 2016, end=Fri Jun 24 01:20:16 BST 2016, operations=214.4153752599674, operationsPerMinute=53.60384381499185
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 24 01:20:22 BST 2016, end=Fri Jun 24 01:22:22 BST 2016, operations=21.412880804629932, operationsPerMinute=10.706440402314966, mode=normal, start=Fri Jun 24 01:22:54 BST 2016, end=Fri Jun 24 01:26:54 BST 2016, operations=43.28954165878659, operationsPerMinute=10.822385414696647
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 24 01:27:15 BST 2016, end=Fri Jun 24 01:29:15 BST 2016, operations=69.79247780617371, operationsPerMinute=34.896238903086854, mode=normal, start=Fri Jun 24 01:29:26 BST 2016, end=Fri Jun 24 01:33:26 BST 2016, operations=139.61543843927743, operationsPerMinute=34.90385960981936
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 24 01:33:34 BST 2016, end=Fri Jun 24 01:35:34 BST 2016, operations=68.0750099978313, operationsPerMinute=34.03750499891565, mode=normal, start=Fri Jun 24 01:35:43 BST 2016, end=Fri Jun 24 01:39:43 BST 2016, operations=135.7697383987103, operationsPerMinute=33.942434599677576
