spec.jvm2008.report.run.location=UNION24
spec.jvm2008.report.hw.cpu.name=Intel(R) Xeon(R) CPU E31270 @ 3.40GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=16341
benchmark-name=check, mode=normal, start=Fri Jun 03 15:04:54 BST 2016, end=Fri Jun 03 15:04:54 BST 2016, operations=1.0, operationsPerMinute=1200.0
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 03 15:04:54 BST 2016, end=Fri Jun 03 15:04:54 BST 2016, operations=1.0, operationsPerMinute=512.8205128205128
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 03 15:04:54 BST 2016, end=Fri Jun 03 15:05:12 BST 2016, operations=1.0, operationsPerMinute=3.45701774602443
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 03 15:05:12 BST 2016, end=Fri Jun 03 15:05:16 BST 2016, operations=1.0, operationsPerMinute=14.42654484251022
benchmark-name=startup.compress, mode=normal, start=Fri Jun 03 15:05:16 BST 2016, end=Fri Jun 03 15:05:17 BST 2016, operations=1.0, operationsPerMinute=41.06776180698152
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 03 15:05:17 BST 2016, end=Fri Jun 03 15:05:26 BST 2016, operations=1.0, operationsPerMinute=6.586169045005488
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 03 15:05:26 BST 2016, end=Fri Jun 03 15:05:34 BST 2016, operations=1.0, operationsPerMinute=7.671653241273495
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 03 15:05:34 BST 2016, end=Fri Jun 03 15:05:41 BST 2016, operations=1.0, operationsPerMinute=8.957897879964168
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 03 15:05:41 BST 2016, end=Fri Jun 03 15:05:44 BST 2016, operations=1.0, operationsPerMinute=21.352313167259787
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 03 15:05:44 BST 2016, end=Fri Jun 03 15:05:45 BST 2016, operations=1.0, operationsPerMinute=71.42857142857143
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 03 15:05:45 BST 2016, end=Fri Jun 03 15:05:46 BST 2016, operations=1.0, operationsPerMinute=54.151624548736464
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 03 15:05:46 BST 2016, end=Fri Jun 03 15:05:52 BST 2016, operations=1.0, operationsPerMinute=9.339975093399751
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 03 15:05:52 BST 2016, end=Fri Jun 03 15:05:54 BST 2016, operations=1.0, operationsPerMinute=38.43689942344651
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 03 15:05:54 BST 2016, end=Fri Jun 03 15:05:55 BST 2016, operations=1.0, operationsPerMinute=47.3186119873817
benchmark-name=startup.serial, mode=normal, start=Fri Jun 03 15:05:55 BST 2016, end=Fri Jun 03 15:05:58 BST 2016, operations=1.0, operationsPerMinute=22.010271460014675
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 03 15:05:58 BST 2016, end=Fri Jun 03 15:06:04 BST 2016, operations=1.0, operationsPerMinute=9.186954524575103
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 03 15:06:04 BST 2016, end=Fri Jun 03 15:06:30 BST 2016, operations=1.0, operationsPerMinute=2.3514657469822855
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 03 15:06:30 BST 2016, end=Fri Jun 03 15:06:31 BST 2016, operations=1.0, operationsPerMinute=53.71530886302596
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 03 15:06:43 BST 2016, end=Fri Jun 03 15:08:43 BST 2016, operations=424.89087675725204, operationsPerMinute=212.44543837862602, mode=normal, start=Fri Jun 03 15:08:45 BST 2016, end=Fri Jun 03 15:12:45 BST 2016, operations=858.8897714905064, operationsPerMinute=214.7224428726266
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 03 15:12:50 BST 2016, end=Fri Jun 03 15:14:50 BST 2016, operations=177.11669159791487, operationsPerMinute=88.55834579895743, mode=normal, start=Fri Jun 03 15:14:53 BST 2016, end=Fri Jun 03 15:18:53 BST 2016, operations=349.89296584108615, operationsPerMinute=87.47324146027154
benchmark-name=compress, mod=warmup, start=Fri Jun 03 15:18:57 BST 2016, end=Fri Jun 03 15:20:57 BST 2016, operations=355.68328827809114, operationsPerMinute=177.84164413904557, mode=normal, start=Fri Jun 03 15:20:59 BST 2016, end=Fri Jun 03 15:24:59 BST 2016, operations=715.5841230588483, operationsPerMinute=178.89603076471207
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 03 15:25:01 BST 2016, end=Fri Jun 03 15:27:01 BST 2016, operations=113.78029508647188, operationsPerMinute=56.89014754323594, mode=normal, start=Fri Jun 03 15:27:08 BST 2016, end=Fri Jun 03 15:31:08 BST 2016, operations=238.57922597648485, operationsPerMinute=59.64480649412121
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 03 15:31:15 BST 2016, end=Fri Jun 03 15:33:15 BST 2016, operations=192.894725185698, operationsPerMinute=96.447362592849, mode=normal, start=Fri Jun 03 15:33:19 BST 2016, end=Fri Jun 03 15:37:19 BST 2016, operations=371.2261812955321, operationsPerMinute=92.80654532388303
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 03 15:37:23 BST 2016, end=Fri Jun 03 15:39:23 BST 2016, operations=328.4855565090311, operationsPerMinute=164.24277825451554, mode=normal, start=Fri Jun 03 15:39:25 BST 2016, end=Fri Jun 03 15:43:25 BST 2016, operations=586.3420122513146, operationsPerMinute=146.58550306282865
benchmark-name=derby, mod=warmup, start=Fri Jun 03 15:45:02 BST 2016, end=Fri Jun 03 15:47:02 BST 2016, operations=264.9556670444789, operationsPerMinute=132.47783352223945, mode=normal, start=Fri Jun 03 15:47:05 BST 2016, end=Fri Jun 03 15:51:05 BST 2016, operations=498.62612907827156, operationsPerMinute=124.65653226956789
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 03 15:51:08 BST 2016, end=Fri Jun 03 15:53:08 BST 2016, operations=177.04360497608548, operationsPerMinute=88.52180248804274, mode=normal, start=Fri Jun 03 15:53:13 BST 2016, end=Fri Jun 03 15:57:13 BST 2016, operations=359.9440581148847, operationsPerMinute=89.98601452872117
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 03 15:57:17 BST 2016, end=Fri Jun 03 15:59:17 BST 2016, operations=98.04779198099456, operationsPerMinute=49.02389599049728, mode=normal, start=Fri Jun 03 15:59:24 BST 2016, end=Fri Jun 03 16:03:24 BST 2016, operations=183.4124425733885, operationsPerMinute=45.85311064334712
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 03 16:03:29 BST 2016, end=Fri Jun 03 16:05:29 BST 2016, operations=21.798336055978986, operationsPerMinute=10.899168027989493, mode=normal, start=Fri Jun 03 16:05:58 BST 2016, end=Fri Jun 03 16:09:58 BST 2016, operations=43.67967449018669, operationsPerMinute=10.919918622546673
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 03 16:10:22 BST 2016, end=Fri Jun 03 16:12:22 BST 2016, operations=73.84282120402887, operationsPerMinute=36.92141060201443, mode=normal, start=Fri Jun 03 16:12:32 BST 2016, end=Fri Jun 03 16:16:32 BST 2016, operations=148.5840491926453, operationsPerMinute=37.146012298161324
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 03 16:16:41 BST 2016, end=Fri Jun 03 16:18:41 BST 2016, operations=57.51182452323618, operationsPerMinute=28.75591226161809, mode=normal, start=Fri Jun 03 16:18:55 BST 2016, end=Fri Jun 03 16:22:55 BST 2016, operations=85.36376467995358, operationsPerMinute=21.340941169988394
