spec.jvm2008.report.run.location=GREY-02
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Mon Jul 04 08:13:11 BST 2016, end=Mon Jul 04 08:13:11 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=startup.helloworld, mode=normal, start=Mon Jul 04 08:13:11 BST 2016, end=Mon Jul 04 08:13:11 BST 2016, operations=1.0, operationsPerMinute=645.1612903225806
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jul 04 08:13:11 BST 2016, end=Mon Jul 04 08:13:24 BST 2016, operations=1.0, operationsPerMinute=4.493035794518496
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jul 04 08:13:24 BST 2016, end=Mon Jul 04 08:13:28 BST 2016, operations=1.0, operationsPerMinute=17.80415430267062
benchmark-name=startup.compress, mode=normal, start=Mon Jul 04 08:13:28 BST 2016, end=Mon Jul 04 08:13:29 BST 2016, operations=1.0, operationsPerMinute=46.33204633204633
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jul 04 08:13:29 BST 2016, end=Mon Jul 04 08:13:38 BST 2016, operations=1.0, operationsPerMinute=6.9549090066071635
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jul 04 08:13:38 BST 2016, end=Mon Jul 04 08:13:45 BST 2016, operations=1.0, operationsPerMinute=7.817589576547231
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jul 04 08:13:45 BST 2016, end=Mon Jul 04 08:13:52 BST 2016, operations=1.0, operationsPerMinute=9.157509157509157
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jul 04 08:13:52 BST 2016, end=Mon Jul 04 08:13:54 BST 2016, operations=1.0, operationsPerMinute=25.466893039049236
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jul 04 08:13:54 BST 2016, end=Mon Jul 04 08:13:55 BST 2016, operations=1.0, operationsPerMinute=78.53403141361257
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jul 04 08:13:55 BST 2016, end=Mon Jul 04 08:13:56 BST 2016, operations=1.0, operationsPerMinute=64.1025641025641
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jul 04 08:13:56 BST 2016, end=Mon Jul 04 08:14:02 BST 2016, operations=1.0, operationsPerMinute=10.147133434804667
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jul 04 08:14:02 BST 2016, end=Mon Jul 04 08:14:03 BST 2016, operations=1.0, operationsPerMinute=40.08016032064128
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jul 04 08:14:03 BST 2016, end=Mon Jul 04 08:14:04 BST 2016, operations=1.0, operationsPerMinute=60.06006006006006
benchmark-name=startup.serial, mode=normal, start=Mon Jul 04 08:14:04 BST 2016, end=Mon Jul 04 08:14:06 BST 2016, operations=1.0, operationsPerMinute=27.47252747252747
benchmark-name=startup.sunflow, mode=normal, start=Mon Jul 04 08:14:06 BST 2016, end=Mon Jul 04 08:14:13 BST 2016, operations=1.0, operationsPerMinute=8.90207715133531
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jul 04 08:14:13 BST 2016, end=Mon Jul 04 08:14:34 BST 2016, operations=1.0, operationsPerMinute=2.8702640642939152
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jul 04 08:14:34 BST 2016, end=Mon Jul 04 08:14:35 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jul 04 08:14:46 BST 2016, end=Mon Jul 04 08:16:46 BST 2016, operations=435.8093070463033, operationsPerMinute=217.90465352315164, mode=normal, start=Mon Jul 04 08:16:47 BST 2016, end=Mon Jul 04 08:20:47 BST 2016, operations=896.7916155927298, operationsPerMinute=224.19790389818246
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jul 04 08:20:51 BST 2016, end=Mon Jul 04 08:22:51 BST 2016, operations=176.82174358489158, operationsPerMinute=88.41087179244579, mode=normal, start=Mon Jul 04 08:22:54 BST 2016, end=Mon Jul 04 08:26:54 BST 2016, operations=352.55472575385835, operationsPerMinute=88.13868143846459
benchmark-name=compress, mod=warmup, start=Mon Jul 04 08:26:57 BST 2016, end=Mon Jul 04 08:28:57 BST 2016, operations=299.9381569722427, operationsPerMinute=149.96907848612136, mode=normal, start=Mon Jul 04 08:29:03 BST 2016, end=Mon Jul 04 08:33:03 BST 2016, operations=483.870156875814, operationsPerMinute=120.9675392189535
benchmark-name=crypto.aes, mod=warmup, start=Mon Jul 04 08:33:24 BST 2016, end=Mon Jul 04 08:35:24 BST 2016, operations=105.753978589257, operationsPerMinute=52.8769892946285, mode=normal, start=Mon Jul 04 08:35:30 BST 2016, end=Mon Jul 04 08:39:30 BST 2016, operations=223.98638683467965, operationsPerMinute=55.99659670866991
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jul 04 08:39:36 BST 2016, end=Mon Jul 04 08:41:36 BST 2016, operations=169.34543624483547, operationsPerMinute=84.67271812241773, mode=normal, start=Mon Jul 04 08:42:36 BST 2016, end=Mon Jul 04 08:46:36 BST 2016, operations=264.9005856000084, operationsPerMinute=66.2251464000021
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jul 04 08:46:40 BST 2016, end=Mon Jul 04 08:48:40 BST 2016, operations=305.38009042005575, operationsPerMinute=152.69004521002788, mode=normal, start=Mon Jul 04 08:48:51 BST 2016, end=Mon Jul 04 08:52:51 BST 2016, operations=610.3359030435574, operationsPerMinute=152.58397576088936
benchmark-name=derby, mod=warmup, start=Mon Jul 04 08:53:13 BST 2016, end=Mon Jul 04 08:55:13 BST 2016, operations=266.75768761152744, operationsPerMinute=133.37884380576372, mode=normal, start=Mon Jul 04 08:55:15 BST 2016, end=Mon Jul 04 08:59:15 BST 2016, operations=187.38421660745524, operationsPerMinute=46.84605415186381
benchmark-name=mpegaudio, mod=warmup, start=Mon Jul 04 08:59:35 BST 2016, end=Mon Jul 04 09:01:35 BST 2016, operations=137.2692664871314, operationsPerMinute=68.6346332435657, mode=normal, start=Mon Jul 04 09:02:39 BST 2016, end=Mon Jul 04 09:06:39 BST 2016, operations=246.94091949448398, operationsPerMinute=61.735229873620995
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jul 04 09:06:45 BST 2016, end=Mon Jul 04 09:08:45 BST 2016, operations=35.50288374007353, operationsPerMinute=17.751441870036764, mode=normal, start=Mon Jul 04 09:08:53 BST 2016, end=Mon Jul 04 09:12:53 BST 2016, operations=109.29794113961532, operationsPerMinute=27.32448528490383
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jul 04 09:13:04 BST 2016, end=Mon Jul 04 09:15:04 BST 2016, operations=13.751752928571491, operationsPerMinute=6.875876464285746, mode=normal, start=Mon Jul 04 09:17:06 BST 2016, end=Mon Jul 04 09:21:06 BST 2016, operations=27.87216501738351, operationsPerMinute=6.968041254345877
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jul 04 09:21:50 BST 2016, end=Mon Jul 04 09:23:50 BST 2016, operations=46.93202459715449, operationsPerMinute=23.466012298577244, mode=normal, start=Mon Jul 04 09:24:33 BST 2016, end=Mon Jul 04 09:28:33 BST 2016, operations=95.10677197129523, operationsPerMinute=23.776692992823808
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jul 04 09:28:47 BST 2016, end=Mon Jul 04 09:30:47 BST 2016, operations=36.43199965898741, operationsPerMinute=18.215999829493704, mode=normal, start=Mon Jul 04 09:31:44 BST 2016, end=Mon Jul 04 09:35:44 BST 2016, operations=86.80876942375471, operationsPerMinute=21.702192355938678
benchmark-name=scimark.fft.small, mod=warmup, start=Mon Jul 04 09:35:56 BST 2016, end=Mon Jul 04 09:37:56 BST 2016, operations=558.180779551442, operationsPerMinute=279.090389775721, mode=normal, start=Mon Jul 04 09:37:57 BST 2016, end=Mon Jul 04 09:41:57 BST 2016, operations=838.6671040707926, operationsPerMinute=209.66677601769814
benchmark-name=scimark.lu.small, mod=warmup, start=Mon Jul 04 09:41:59 BST 2016, end=Mon Jul 04 09:43:59 BST 2016, operations=429.30167785380564, operationsPerMinute=214.65083892690282, mode=normal, start=Mon Jul 04 09:44:02 BST 2016, end=Mon Jul 04 09:48:02 BST 2016, operations=786.3738869564827, operationsPerMinute=196.59347173912067
benchmark-name=scimark.sor.small, mod=warmup, start=Mon Jul 04 09:48:15 BST 2016, end=Mon Jul 04 09:50:15 BST 2016, operations=248.77694297343226, operationsPerMinute=124.38847148671613, mode=normal, start=Mon Jul 04 09:50:19 BST 2016, end=Mon Jul 04 09:54:19 BST 2016, operations=411.09162595370185, operationsPerMinute=102.77290648842546
benchmark-name=scimark.sparse.small, mod=warmup, start=Mon Jul 04 09:54:51 BST 2016, end=Mon Jul 04 09:56:51 BST 2016, operations=382.58401509277024, operationsPerMinute=191.29200754638512, mode=normal, start=Mon Jul 04 09:56:53 BST 2016, end=Mon Jul 04 10:00:53 BST 2016, operations=589.9628881598335, operationsPerMinute=147.49072203995837
benchmark-name=scimark.monte_carlo, mod=warmup, start=Mon Jul 04 10:00:55 BST 2016, end=Mon Jul 04 10:02:55 BST 2016, operations=90.21173694271562, operationsPerMinute=45.10586847135781, mode=normal, start=Mon Jul 04 10:03:02 BST 2016, end=Mon Jul 04 10:07:02 BST 2016, operations=167.62409059697495, operationsPerMinute=41.90602264924374
benchmark-name=serial, mod=warmup, start=Mon Jul 04 10:08:04 BST 2016, end=Mon Jul 04 10:10:04 BST 2016, operations=182.5721175128437, operationsPerMinute=91.28605875642185, mode=normal, start=Mon Jul 04 10:10:09 BST 2016, end=Mon Jul 04 10:14:09 BST 2016, operations=359.09083637458514, operationsPerMinute=89.77270909364628
benchmark-name=sunflow, mod=warmup, start=Mon Jul 04 10:14:12 BST 2016, end=Mon Jul 04 10:16:12 BST 2016, operations=135.56996062711744, operationsPerMinute=67.78498031355872, mode=normal, start=Mon Jul 04 10:16:14 BST 2016, end=Mon Jul 04 10:20:14 BST 2016, operations=182.69817893920612, operationsPerMinute=45.67454473480153
benchmark-name=xml.transform, mod=warmup, start=Mon Jul 04 10:20:41 BST 2016, end=Mon Jul 04 10:22:41 BST 2016, operations=403.145360217152, operationsPerMinute=201.572680108576, mode=normal, start=Mon Jul 04 10:22:43 BST 2016, end=Mon Jul 04 10:26:43 BST 2016, operations=808.1784049813211, operationsPerMinute=202.04460124533028
benchmark-name=xml.validation, mod=warmup, start=Mon Jul 04 10:26:45 BST 2016, end=Mon Jul 04 10:28:45 BST 2016, operations=808.415723080939, operationsPerMinute=404.2078615404695, mode=normal, start=Mon Jul 04 10:28:46 BST 2016, end=Mon Jul 04 10:32:46 BST 2016, operations=1576.2163184779706, operationsPerMinute=394.05407961949265
