spec.jvm2008.report.run.location=BEDSONTC092
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Thu Jun 23 05:02:12 BST 2016, end=Thu Jun 23 05:02:12 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Thu Jun 23 05:02:12 BST 2016, end=Thu Jun 23 05:02:13 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu Jun 23 05:02:13 BST 2016, end=Thu Jun 23 05:02:27 BST 2016, operations=1.0, operationsPerMinute=4.0744261849789485
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu Jun 23 05:02:27 BST 2016, end=Thu Jun 23 05:02:31 BST 2016, operations=1.0, operationsPerMinute=16.944365998305564
benchmark-name=startup.compress, mode=normal, start=Thu Jun 23 05:02:31 BST 2016, end=Thu Jun 23 05:02:32 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Thu Jun 23 05:02:32 BST 2016, end=Thu Jun 23 05:02:41 BST 2016, operations=1.0, operationsPerMinute=7.057163020465773
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu Jun 23 05:02:41 BST 2016, end=Thu Jun 23 05:02:48 BST 2016, operations=1.0, operationsPerMinute=8.063432334363661
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu Jun 23 05:02:48 BST 2016, end=Thu Jun 23 05:02:55 BST 2016, operations=1.0, operationsPerMinute=9.071666162685213
benchmark-name=startup.mpegaudio, mode=normal, start=Thu Jun 23 05:02:55 BST 2016, end=Thu Jun 23 05:02:57 BST 2016, operations=1.0, operationsPerMinute=26.7022696929239
benchmark-name=startup.scimark.fft, mode=normal, start=Thu Jun 23 05:02:57 BST 2016, end=Thu Jun 23 05:02:58 BST 2016, operations=1.0, operationsPerMinute=83.68200836820084
benchmark-name=startup.scimark.lu, mode=normal, start=Thu Jun 23 05:02:58 BST 2016, end=Thu Jun 23 05:02:59 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu Jun 23 05:02:59 BST 2016, end=Thu Jun 23 05:03:04 BST 2016, operations=1.0, operationsPerMinute=10.834236186348862
benchmark-name=startup.scimark.sor, mode=normal, start=Thu Jun 23 05:03:04 BST 2016, end=Thu Jun 23 05:03:06 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu Jun 23 05:03:06 BST 2016, end=Thu Jun 23 05:03:07 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Thu Jun 23 05:03:07 BST 2016, end=Thu Jun 23 05:03:09 BST 2016, operations=1.0, operationsPerMinute=28.076743097800655
benchmark-name=startup.sunflow, mode=normal, start=Thu Jun 23 05:03:09 BST 2016, end=Thu Jun 23 05:03:15 BST 2016, operations=1.0, operationsPerMinute=9.357454772301933
benchmark-name=startup.xml.transform, mode=normal, start=Thu Jun 23 05:03:15 BST 2016, end=Thu Jun 23 05:03:35 BST 2016, operations=1.0, operationsPerMinute=2.9472443265546713
benchmark-name=startup.xml.validation, mode=normal, start=Thu Jun 23 05:03:35 BST 2016, end=Thu Jun 23 05:03:36 BST 2016, operations=1.0, operationsPerMinute=72.55139056831922
benchmark-name=compiler.compiler, mod=warmup, start=Thu Jun 23 05:03:47 BST 2016, end=Thu Jun 23 05:05:47 BST 2016, operations=475.72022736709033, operationsPerMinute=237.86011368354517, mode=normal, start=Thu Jun 23 05:05:48 BST 2016, end=Thu Jun 23 05:09:48 BST 2016, operations=997.1370809892192, operationsPerMinute=249.2842702473048
benchmark-name=compiler.sunflow, mod=warmup, start=Thu Jun 23 05:09:53 BST 2016, end=Thu Jun 23 05:11:53 BST 2016, operations=196.89982741606514, operationsPerMinute=98.44991370803257, mode=normal, start=Thu Jun 23 05:11:56 BST 2016, end=Thu Jun 23 05:15:56 BST 2016, operations=397.7187360937418, operationsPerMinute=99.42968402343546
benchmark-name=compress, mod=warmup, start=Thu Jun 23 05:15:59 BST 2016, end=Thu Jun 23 05:17:59 BST 2016, operations=398.59308215711013, operationsPerMinute=199.29654107855507, mode=normal, start=Thu Jun 23 05:18:01 BST 2016, end=Thu Jun 23 05:22:01 BST 2016, operations=797.2583640282901, operationsPerMinute=199.31459100707252
benchmark-name=crypto.aes, mod=warmup, start=Thu Jun 23 05:22:03 BST 2016, end=Thu Jun 23 05:24:03 BST 2016, operations=137.25956650289262, operationsPerMinute=68.62978325144631, mode=normal, start=Thu Jun 23 05:24:09 BST 2016, end=Thu Jun 23 05:28:09 BST 2016, operations=291.27941036187144, operationsPerMinute=72.81985259046786
benchmark-name=crypto.rsa, mod=warmup, start=Thu Jun 23 05:28:14 BST 2016, end=Thu Jun 23 05:30:14 BST 2016, operations=235.45613689186916, operationsPerMinute=117.72806844593458, mode=normal, start=Thu Jun 23 05:30:17 BST 2016, end=Thu Jun 23 05:34:17 BST 2016, operations=471.5182446433331, operationsPerMinute=117.87956116083328
benchmark-name=crypto.signverify, mod=warmup, start=Thu Jun 23 05:34:20 BST 2016, end=Thu Jun 23 05:36:20 BST 2016, operations=407.8538461538461, operationsPerMinute=203.92692307692306, mode=normal, start=Thu Jun 23 05:36:22 BST 2016, end=Thu Jun 23 05:40:22 BST 2016, operations=816.101578381767, operationsPerMinute=204.02539459544175
benchmark-name=derby, mod=warmup, start=Thu Jun 23 05:41:03 BST 2016, end=Thu Jun 23 05:43:03 BST 2016, operations=357.29667697921633, operationsPerMinute=178.64833848960816, mode=normal, start=Thu Jun 23 05:43:04 BST 2016, end=Thu Jun 23 05:47:04 BST 2016, operations=715.7608299084718, operationsPerMinute=178.94020747711795
benchmark-name=mpegaudio, mod=warmup, start=Thu Jun 23 05:47:07 BST 2016, end=Thu Jun 23 05:49:07 BST 2016, operations=208.55712321577562, operationsPerMinute=104.27856160788781, mode=normal, start=Thu Jun 23 05:49:11 BST 2016, end=Thu Jun 23 05:53:11 BST 2016, operations=417.1809273090946, operationsPerMinute=104.29523182727365
benchmark-name=scimark.fft.large, mod=warmup, start=Thu Jun 23 05:53:15 BST 2016, end=Thu Jun 23 05:55:15 BST 2016, operations=78.37725540066741, operationsPerMinute=39.188627700333704, mode=normal, start=Thu Jun 23 05:55:22 BST 2016, end=Thu Jun 23 05:59:22 BST 2016, operations=159.16348518277317, operationsPerMinute=39.79087129569329
benchmark-name=scimark.lu.large, mod=warmup, start=Thu Jun 23 05:59:28 BST 2016, end=Thu Jun 23 06:01:28 BST 2016, operations=13.744774882909208, operationsPerMinute=6.872387441454604, mode=normal, start=Thu Jun 23 06:02:12 BST 2016, end=Thu Jun 23 06:06:12 BST 2016, operations=27.66986807517079, operationsPerMinute=6.917467018792697
benchmark-name=scimark.sor.large, mod=warmup, start=Thu Jun 23 06:06:41 BST 2016, end=Thu Jun 23 06:08:41 BST 2016, operations=74.7288794518692, operationsPerMinute=37.3644397259346, mode=normal, start=Thu Jun 23 06:08:49 BST 2016, end=Thu Jun 23 06:12:49 BST 2016, operations=148.2444894950628, operationsPerMinute=37.0611223737657
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu Jun 23 06:12:59 BST 2016, end=Thu Jun 23 06:14:59 BST 2016, operations=42.819887973217895, operationsPerMinute=21.409943986608948, mode=normal, start=Thu Jun 23 06:15:11 BST 2016, end=Thu Jun 23 06:19:11 BST 2016, operations=86.28056478677053, operationsPerMinute=21.57014119669263
