spec.jvm2008.report.run.location=BARN-09
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jul 01 12:24:34 BST 2016, end=Fri Jul 01 12:24:34 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Fri Jul 01 12:24:34 BST 2016, end=Fri Jul 01 12:24:34 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jul 01 12:24:34 BST 2016, end=Fri Jul 01 12:24:48 BST 2016, operations=1.0, operationsPerMinute=4.551661356395084
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jul 01 12:24:48 BST 2016, end=Fri Jul 01 12:24:51 BST 2016, operations=1.0, operationsPerMinute=18.404907975460123
benchmark-name=startup.compress, mode=normal, start=Fri Jul 01 12:24:51 BST 2016, end=Fri Jul 01 12:24:52 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jul 01 12:24:52 BST 2016, end=Fri Jul 01 12:25:01 BST 2016, operations=1.0, operationsPerMinute=7.070469007777516
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jul 01 12:25:01 BST 2016, end=Fri Jul 01 12:25:08 BST 2016, operations=1.0, operationsPerMinute=8.046131151937777
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jul 01 12:25:08 BST 2016, end=Fri Jul 01 12:25:15 BST 2016, operations=1.0, operationsPerMinute=9.135200974421437
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jul 01 12:25:15 BST 2016, end=Fri Jul 01 12:25:17 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jul 01 12:25:17 BST 2016, end=Fri Jul 01 12:25:18 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jul 01 12:25:18 BST 2016, end=Fri Jul 01 12:25:19 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jul 01 12:25:19 BST 2016, end=Fri Jul 01 12:25:24 BST 2016, operations=1.0, operationsPerMinute=10.895224260032686
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jul 01 12:25:24 BST 2016, end=Fri Jul 01 12:25:25 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jul 01 12:25:25 BST 2016, end=Fri Jul 01 12:25:26 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Fri Jul 01 12:25:26 BST 2016, end=Fri Jul 01 12:25:29 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Fri Jul 01 12:25:29 BST 2016, end=Fri Jul 01 12:25:35 BST 2016, operations=1.0, operationsPerMinute=9.380863039399625
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jul 01 12:25:35 BST 2016, end=Fri Jul 01 12:25:55 BST 2016, operations=1.0, operationsPerMinute=2.9791459781529297
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jul 01 12:25:55 BST 2016, end=Fri Jul 01 12:25:56 BST 2016, operations=1.0, operationsPerMinute=75.47169811320755
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jul 01 12:26:07 BST 2016, end=Fri Jul 01 12:28:07 BST 2016, operations=492.0180840934812, operationsPerMinute=246.0090420467406, mode=normal, start=Fri Jul 01 12:28:08 BST 2016, end=Fri Jul 01 12:32:08 BST 2016, operations=1010.8714857557998, operationsPerMinute=252.71787143894994
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jul 01 12:32:12 BST 2016, end=Fri Jul 01 12:34:12 BST 2016, operations=198.16751494491507, operationsPerMinute=99.08375747245753, mode=normal, start=Fri Jul 01 12:34:15 BST 2016, end=Fri Jul 01 12:38:15 BST 2016, operations=395.10548917942685, operationsPerMinute=98.77637229485671
benchmark-name=compress, mod=warmup, start=Fri Jul 01 12:38:19 BST 2016, end=Fri Jul 01 12:40:19 BST 2016, operations=400.4471772398774, operationsPerMinute=200.2235886199387, mode=normal, start=Fri Jul 01 12:40:21 BST 2016, end=Fri Jul 01 12:44:21 BST 2016, operations=800.3429123400981, operationsPerMinute=200.08572808502453
benchmark-name=crypto.aes, mod=warmup, start=Fri Jul 01 12:44:23 BST 2016, end=Fri Jul 01 12:46:23 BST 2016, operations=139.87530301255987, operationsPerMinute=69.93765150627993, mode=normal, start=Fri Jul 01 12:46:29 BST 2016, end=Fri Jul 01 12:50:29 BST 2016, operations=290.8814979663286, operationsPerMinute=72.72037449158215
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jul 01 12:50:34 BST 2016, end=Fri Jul 01 12:52:34 BST 2016, operations=235.60711008944168, operationsPerMinute=117.80355504472084, mode=normal, start=Fri Jul 01 12:52:37 BST 2016, end=Fri Jul 01 12:56:37 BST 2016, operations=470.97163291884044, operationsPerMinute=117.74290822971011
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jul 01 12:56:41 BST 2016, end=Fri Jul 01 12:58:41 BST 2016, operations=407.67464457069985, operationsPerMinute=203.83732228534993, mode=normal, start=Fri Jul 01 12:58:43 BST 2016, end=Fri Jul 01 13:02:43 BST 2016, operations=816.4922898043973, operationsPerMinute=204.12307245109932
benchmark-name=derby, mod=warmup, start=Fri Jul 01 13:03:06 BST 2016, end=Fri Jul 01 13:05:06 BST 2016, operations=363.9310713611118, operationsPerMinute=181.9655356805559, mode=normal, start=Fri Jul 01 13:05:08 BST 2016, end=Fri Jul 01 13:09:08 BST 2016, operations=732.4043528799393, operationsPerMinute=183.10108821998483
benchmark-name=mpegaudio, mod=warmup, start=Fri Jul 01 13:09:10 BST 2016, end=Fri Jul 01 13:11:10 BST 2016, operations=207.89885895593892, operationsPerMinute=103.94942947796946, mode=normal, start=Fri Jul 01 13:11:12 BST 2016, end=Fri Jul 01 13:15:12 BST 2016, operations=414.78410301133044, operationsPerMinute=103.69602575283261
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jul 01 13:15:15 BST 2016, end=Fri Jul 01 13:17:15 BST 2016, operations=69.82513900544785, operationsPerMinute=34.912569502723926, mode=normal, start=Fri Jul 01 13:17:24 BST 2016, end=Fri Jul 01 13:21:24 BST 2016, operations=144.07123439881823, operationsPerMinute=36.01780859970456
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jul 01 13:21:33 BST 2016, end=Fri Jul 01 13:23:33 BST 2016, operations=13.822032647592618, operationsPerMinute=6.911016323796309, mode=normal, start=Fri Jul 01 13:24:17 BST 2016, end=Fri Jul 01 13:28:17 BST 2016, operations=27.46393794777425, operationsPerMinute=6.865984486943563
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jul 01 13:28:47 BST 2016, end=Fri Jul 01 13:30:47 BST 2016, operations=74.54477687353209, operationsPerMinute=37.27238843676604, mode=normal, start=Fri Jul 01 13:30:55 BST 2016, end=Fri Jul 01 13:34:55 BST 2016, operations=149.0012612723371, operationsPerMinute=37.250315318084276
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jul 01 13:35:07 BST 2016, end=Fri Jul 01 13:37:07 BST 2016, operations=42.90096460614727, operationsPerMinute=21.450482303073635, mode=normal, start=Fri Jul 01 13:37:19 BST 2016, end=Fri Jul 01 13:41:19 BST 2016, operations=86.4069594253744, operationsPerMinute=21.6017398563436
benchmark-name=scimark.fft.small, mod=warmup, start=Fri Jul 01 13:41:31 BST 2016, end=Fri Jul 01 13:43:31 BST 2016, operations=725.4545922067075, operationsPerMinute=362.72729610335375, mode=normal, start=Fri Jul 01 13:43:32 BST 2016, end=Fri Jul 01 13:47:32 BST 2016, operations=1409.182028174239, operationsPerMinute=352.2955070435597
benchmark-name=scimark.lu.small, mod=warmup, start=Fri Jul 01 13:47:34 BST 2016, end=Fri Jul 01 13:49:34 BST 2016, operations=576.3079719539784, operationsPerMinute=288.1539859769892, mode=normal, start=Fri Jul 01 13:49:35 BST 2016, end=Fri Jul 01 13:53:35 BST 2016, operations=1151.631906917723, operationsPerMinute=287.90797672943074
