spec.jvm2008.report.run.location=RIDLEY2B026
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 25 02:19:56 BST 2016, end=Sat Jun 25 02:19:57 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 25 02:19:57 BST 2016, end=Sat Jun 25 02:19:57 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 25 02:19:57 BST 2016, end=Sat Jun 25 02:20:10 BST 2016, operations=1.0, operationsPerMinute=4.611837048424289
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 25 02:20:10 BST 2016, end=Sat Jun 25 02:20:13 BST 2016, operations=1.0, operationsPerMinute=18.226002430133658
benchmark-name=startup.compress, mode=normal, start=Sat Jun 25 02:20:13 BST 2016, end=Sat Jun 25 02:20:14 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 25 02:20:14 BST 2016, end=Sat Jun 25 02:20:23 BST 2016, operations=1.0, operationsPerMinute=6.993006993006993
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 25 02:20:23 BST 2016, end=Sat Jun 25 02:20:30 BST 2016, operations=1.0, operationsPerMinute=8.028904054596548
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 25 02:20:30 BST 2016, end=Sat Jun 25 02:20:37 BST 2016, operations=1.0, operationsPerMinute=8.903398130286392
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 25 02:20:37 BST 2016, end=Sat Jun 25 02:20:39 BST 2016, operations=1.0, operationsPerMinute=26.33889376646181
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 25 02:20:39 BST 2016, end=Sat Jun 25 02:20:40 BST 2016, operations=1.0, operationsPerMinute=80.21390374331551
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 25 02:20:40 BST 2016, end=Sat Jun 25 02:20:41 BST 2016, operations=1.0, operationsPerMinute=65.14657980456026
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 25 02:20:41 BST 2016, end=Sat Jun 25 02:20:46 BST 2016, operations=1.0, operationsPerMinute=10.804970286331713
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 25 02:20:46 BST 2016, end=Sat Jun 25 02:20:48 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 25 02:20:48 BST 2016, end=Sat Jun 25 02:20:49 BST 2016, operations=1.0, operationsPerMinute=60.120240480961925
benchmark-name=startup.serial, mode=normal, start=Sat Jun 25 02:20:49 BST 2016, end=Sat Jun 25 02:20:51 BST 2016, operations=1.0, operationsPerMinute=26.7022696929239
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 25 02:20:51 BST 2016, end=Sat Jun 25 02:20:58 BST 2016, operations=1.0, operationsPerMinute=9.267840593141798
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 25 02:20:58 BST 2016, end=Sat Jun 25 02:21:18 BST 2016, operations=1.0, operationsPerMinute=2.933841865923427
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 25 02:21:18 BST 2016, end=Sat Jun 25 02:21:19 BST 2016, operations=1.0, operationsPerMinute=73.89162561576354
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 25 02:21:29 BST 2016, end=Sat Jun 25 02:23:29 BST 2016, operations=467.7705864073208, operationsPerMinute=233.8852932036604, mode=normal, start=Sat Jun 25 02:23:31 BST 2016, end=Sat Jun 25 02:27:31 BST 2016, operations=961.0184624183038, operationsPerMinute=240.25461560457595
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 25 02:27:35 BST 2016, end=Sat Jun 25 02:29:35 BST 2016, operations=190.6890609211146, operationsPerMinute=95.3445304605573, mode=normal, start=Sat Jun 25 02:29:38 BST 2016, end=Sat Jun 25 02:33:38 BST 2016, operations=381.16150870304807, operationsPerMinute=95.29037717576202
benchmark-name=compress, mod=warmup, start=Sat Jun 25 02:33:43 BST 2016, end=Sat Jun 25 02:35:43 BST 2016, operations=369.10144065062036, operationsPerMinute=184.55072032531018, mode=normal, start=Sat Jun 25 02:35:44 BST 2016, end=Sat Jun 25 02:39:44 BST 2016, operations=739.7481220593736, operationsPerMinute=184.9370305148434
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 25 02:39:47 BST 2016, end=Sat Jun 25 02:41:47 BST 2016, operations=128.98924148114617, operationsPerMinute=64.49462074057308, mode=normal, start=Sat Jun 25 02:41:52 BST 2016, end=Sat Jun 25 02:45:52 BST 2016, operations=272.62690421371246, operationsPerMinute=68.15672605342812
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 25 02:45:58 BST 2016, end=Sat Jun 25 02:47:58 BST 2016, operations=217.7057486480056, operationsPerMinute=108.8528743240028, mode=normal, start=Sat Jun 25 02:48:02 BST 2016, end=Sat Jun 25 02:52:02 BST 2016, operations=432.99119200152546, operationsPerMinute=108.24779800038137
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 25 02:52:05 BST 2016, end=Sat Jun 25 02:54:05 BST 2016, operations=375.7837358803157, operationsPerMinute=187.89186794015785, mode=normal, start=Sat Jun 25 02:54:07 BST 2016, end=Sat Jun 25 02:58:07 BST 2016, operations=751.2584782820124, operationsPerMinute=187.8146195705031
benchmark-name=derby, mod=warmup, start=Sat Jun 25 02:58:29 BST 2016, end=Sat Jun 25 03:00:29 BST 2016, operations=329.5683618313301, operationsPerMinute=164.78418091566505, mode=normal, start=Sat Jun 25 03:00:31 BST 2016, end=Sat Jun 25 03:04:31 BST 2016, operations=665.4634760814221, operationsPerMinute=166.36586902035552
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 25 03:04:34 BST 2016, end=Sat Jun 25 03:06:34 BST 2016, operations=191.87470280113635, operationsPerMinute=95.93735140056818, mode=normal, start=Sat Jun 25 03:06:37 BST 2016, end=Sat Jun 25 03:10:37 BST 2016, operations=382.4218431952022, operationsPerMinute=95.60546079880055
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 25 03:10:41 BST 2016, end=Sat Jun 25 03:12:41 BST 2016, operations=68.55633711645723, operationsPerMinute=34.278168558228614, mode=normal, start=Sat Jun 25 03:12:52 BST 2016, end=Sat Jun 25 03:16:52 BST 2016, operations=145.5299641773084, operationsPerMinute=36.3824910443271
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 25 03:17:03 BST 2016, end=Sat Jun 25 03:19:03 BST 2016, operations=13.638363228612054, operationsPerMinute=6.819181614306027, mode=normal, start=Sat Jun 25 03:19:50 BST 2016, end=Sat Jun 25 03:23:50 BST 2016, operations=27.083999995886415, operationsPerMinute=6.770999998971604
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 25 03:24:32 BST 2016, end=Sat Jun 25 03:26:32 BST 2016, operations=68.90758328205513, operationsPerMinute=34.453791641027564, mode=normal, start=Sat Jun 25 03:26:46 BST 2016, end=Sat Jun 25 03:30:46 BST 2016, operations=129.75475335022625, operationsPerMinute=32.43868833755656
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 25 03:30:58 BST 2016, end=Sat Jun 25 03:32:58 BST 2016, operations=42.25333371821696, operationsPerMinute=21.12666685910848, mode=normal, start=Sat Jun 25 03:33:12 BST 2016, end=Sat Jun 25 03:37:12 BST 2016, operations=84.5027748586735, operationsPerMinute=21.125693714668376
benchmark-name=scimark.fft.small, mod=warmup, start=Sat Jun 25 03:37:24 BST 2016, end=Sat Jun 25 03:39:24 BST 2016, operations=677.3747744085153, operationsPerMinute=338.6873872042577, mode=normal, start=Sat Jun 25 03:39:26 BST 2016, end=Sat Jun 25 03:43:26 BST 2016, operations=1364.0805676725006, operationsPerMinute=341.02014191812515
benchmark-name=scimark.lu.small, mod=warmup, start=Sat Jun 25 03:43:27 BST 2016, end=Sat Jun 25 03:45:27 BST 2016, operations=527.8195220730122, operationsPerMinute=263.9097610365061, mode=normal, start=Sat Jun 25 03:45:28 BST 2016, end=Sat Jun 25 03:49:28 BST 2016, operations=1059.1541904967735, operationsPerMinute=264.78854762419337
benchmark-name=scimark.sor.small, mod=warmup, start=Sat Jun 25 03:49:30 BST 2016, end=Sat Jun 25 03:51:30 BST 2016, operations=304.2263029026009, operationsPerMinute=152.11315145130044, mode=normal, start=Sat Jun 25 03:51:32 BST 2016, end=Sat Jun 25 03:55:32 BST 2016, operations=609.602559761086, operationsPerMinute=152.4006399402715
benchmark-name=scimark.sparse.small, mod=warmup, start=Sat Jun 25 03:55:35 BST 2016, end=Sat Jun 25 03:57:35 BST 2016, operations=469.0017799056363, operationsPerMinute=234.50088995281814, mode=normal, start=Sat Jun 25 03:57:36 BST 2016, end=Sat Jun 25 04:01:36 BST 2016, operations=929.5411662225414, operationsPerMinute=232.38529155563535
benchmark-name=scimark.monte_carlo, mod=warmup, start=Sat Jun 25 04:01:38 BST 2016, end=Sat Jun 25 04:03:38 BST 2016, operations=110.40474259593523, operationsPerMinute=55.202371297967616, mode=normal, start=Sat Jun 25 04:03:44 BST 2016, end=Sat Jun 25 04:07:44 BST 2016, operations=221.10692569007372, operationsPerMinute=55.27673142251843
benchmark-name=serial, mod=warmup, start=Sat Jun 25 04:07:52 BST 2016, end=Sat Jun 25 04:09:52 BST 2016, operations=209.7743515409894, operationsPerMinute=104.8871757704947, mode=normal, start=Sat Jun 25 04:09:56 BST 2016, end=Sat Jun 25 04:13:56 BST 2016, operations=408.8770454334307, operationsPerMinute=102.21926135835767
benchmark-name=sunflow, mod=warmup, start=Sat Jun 25 04:14:00 BST 2016, end=Sat Jun 25 04:16:00 BST 2016, operations=163.5357665345931, operationsPerMinute=81.76788326729655, mode=normal, start=Sat Jun 25 04:16:02 BST 2016, end=Sat Jun 25 04:20:02 BST 2016, operations=284.2952025983416, operationsPerMinute=71.0738006495854
benchmark-name=xml.transform, mod=warmup, start=Sat Jun 25 04:20:23 BST 2016, end=Sat Jun 25 04:22:23 BST 2016, operations=483.64044349405685, operationsPerMinute=241.82022174702843, mode=normal, start=Sat Jun 25 04:22:24 BST 2016, end=Sat Jun 25 04:26:24 BST 2016, operations=977.7123697863464, operationsPerMinute=244.4280924465866
benchmark-name=xml.validation, mod=warmup, start=Sat Jun 25 04:26:26 BST 2016, end=Sat Jun 25 04:28:26 BST 2016, operations=940.9808124680598, operationsPerMinute=470.4904062340299, mode=normal, start=Sat Jun 25 04:28:27 BST 2016, end=Sat Jun 25 04:32:27 BST 2016, operations=1842.288725110242, operationsPerMinute=460.5721812775605
