spec.jvm2008.report.run.location=BARN-06
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jul 01 19:06:33 BST 2016, end=Fri Jul 01 19:06:33 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Fri Jul 01 19:06:33 BST 2016, end=Fri Jul 01 19:06:33 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jul 01 19:06:33 BST 2016, end=Fri Jul 01 19:06:47 BST 2016, operations=1.0, operationsPerMinute=4.47227191413238
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jul 01 19:06:47 BST 2016, end=Fri Jul 01 19:06:50 BST 2016, operations=1.0, operationsPerMinute=18.315018315018314
benchmark-name=startup.compress, mode=normal, start=Fri Jul 01 19:06:50 BST 2016, end=Fri Jul 01 19:06:51 BST 2016, operations=1.0, operationsPerMinute=47.46835443037975
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jul 01 19:06:51 BST 2016, end=Fri Jul 01 19:07:00 BST 2016, operations=1.0, operationsPerMinute=7.082989021367017
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jul 01 19:07:00 BST 2016, end=Fri Jul 01 19:07:07 BST 2016, operations=1.0, operationsPerMinute=7.930214115781126
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jul 01 19:07:07 BST 2016, end=Fri Jul 01 19:07:14 BST 2016, operations=1.0, operationsPerMinute=9.136592051164916
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jul 01 19:07:14 BST 2016, end=Fri Jul 01 19:07:16 BST 2016, operations=1.0, operationsPerMinute=26.7022696929239
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jul 01 19:07:16 BST 2016, end=Fri Jul 01 19:07:17 BST 2016, operations=1.0, operationsPerMinute=83.68200836820084
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jul 01 19:07:17 BST 2016, end=Fri Jul 01 19:07:18 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jul 01 19:07:18 BST 2016, end=Fri Jul 01 19:07:23 BST 2016, operations=1.0, operationsPerMinute=10.803024846957149
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jul 01 19:07:23 BST 2016, end=Fri Jul 01 19:07:25 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jul 01 19:07:25 BST 2016, end=Fri Jul 01 19:07:26 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Fri Jul 01 19:07:26 BST 2016, end=Fri Jul 01 19:07:28 BST 2016, operations=1.0, operationsPerMinute=28.275212064090482
benchmark-name=startup.sunflow, mode=normal, start=Fri Jul 01 19:07:28 BST 2016, end=Fri Jul 01 19:07:34 BST 2016, operations=1.0, operationsPerMinute=9.358914365933552
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jul 01 19:07:34 BST 2016, end=Fri Jul 01 19:07:54 BST 2016, operations=1.0, operationsPerMinute=2.9585798816568047
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jul 01 19:07:54 BST 2016, end=Fri Jul 01 19:07:55 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jul 01 19:08:06 BST 2016, end=Fri Jul 01 19:10:06 BST 2016, operations=486.96988481367634, operationsPerMinute=243.48494240683817, mode=normal, start=Fri Jul 01 19:10:07 BST 2016, end=Fri Jul 01 19:14:07 BST 2016, operations=1027.751955616338, operationsPerMinute=256.9379889040845
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jul 01 19:14:12 BST 2016, end=Fri Jul 01 19:16:12 BST 2016, operations=200.36493989698673, operationsPerMinute=100.18246994849336, mode=normal, start=Fri Jul 01 19:16:15 BST 2016, end=Fri Jul 01 19:20:15 BST 2016, operations=400.78570257458586, operationsPerMinute=100.19642564364646
benchmark-name=compress, mod=warmup, start=Fri Jul 01 19:20:19 BST 2016, end=Fri Jul 01 19:22:19 BST 2016, operations=399.8438264923933, operationsPerMinute=199.92191324619665, mode=normal, start=Fri Jul 01 19:22:21 BST 2016, end=Fri Jul 01 19:26:21 BST 2016, operations=794.3755648346182, operationsPerMinute=198.59389120865455
benchmark-name=crypto.aes, mod=warmup, start=Fri Jul 01 19:26:23 BST 2016, end=Fri Jul 01 19:28:23 BST 2016, operations=140.3491615980637, operationsPerMinute=70.17458079903184, mode=normal, start=Fri Jul 01 19:28:28 BST 2016, end=Fri Jul 01 19:32:28 BST 2016, operations=294.8764560515726, operationsPerMinute=73.71911401289314
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jul 01 19:32:34 BST 2016, end=Fri Jul 01 19:34:34 BST 2016, operations=236.39813207878802, operationsPerMinute=118.19906603939401, mode=normal, start=Fri Jul 01 19:34:38 BST 2016, end=Fri Jul 01 19:38:38 BST 2016, operations=473.99959041364923, operationsPerMinute=118.49989760341231
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jul 01 19:38:40 BST 2016, end=Fri Jul 01 19:40:40 BST 2016, operations=408.22347325794505, operationsPerMinute=204.11173662897252, mode=normal, start=Fri Jul 01 19:40:42 BST 2016, end=Fri Jul 01 19:44:42 BST 2016, operations=815.828342887615, operationsPerMinute=203.95708572190375
benchmark-name=derby, mod=warmup, start=Fri Jul 01 19:45:04 BST 2016, end=Fri Jul 01 19:47:04 BST 2016, operations=360.90232341207366, operationsPerMinute=180.45116170603683, mode=normal, start=Fri Jul 01 19:47:07 BST 2016, end=Fri Jul 01 19:51:07 BST 2016, operations=709.70393955311, operationsPerMinute=177.4259848882775
benchmark-name=mpegaudio, mod=warmup, start=Fri Jul 01 19:51:09 BST 2016, end=Fri Jul 01 19:53:09 BST 2016, operations=198.95432428030418, operationsPerMinute=99.47716214015209, mode=normal, start=Fri Jul 01 19:53:12 BST 2016, end=Fri Jul 01 19:57:12 BST 2016, operations=400.1044523787121, operationsPerMinute=100.02611309467802
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jul 01 19:57:16 BST 2016, end=Fri Jul 01 19:59:16 BST 2016, operations=68.55838863864776, operationsPerMinute=34.27919431932388, mode=normal, start=Fri Jul 01 19:59:26 BST 2016, end=Fri Jul 01 20:03:26 BST 2016, operations=154.39637286842267, operationsPerMinute=38.59909321710567
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jul 01 20:03:35 BST 2016, end=Fri Jul 01 20:05:35 BST 2016, operations=13.884577783587009, operationsPerMinute=6.942288891793504, mode=normal, start=Fri Jul 01 20:06:19 BST 2016, end=Fri Jul 01 20:10:19 BST 2016, operations=27.699608303984007, operationsPerMinute=6.924902075996002
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jul 01 20:10:47 BST 2016, end=Fri Jul 01 20:12:47 BST 2016, operations=74.51505558549428, operationsPerMinute=37.25752779274714, mode=normal, start=Fri Jul 01 20:12:56 BST 2016, end=Fri Jul 01 20:16:56 BST 2016, operations=148.65018082317647, operationsPerMinute=37.16254520579412
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jul 01 20:17:06 BST 2016, end=Fri Jul 01 20:19:06 BST 2016, operations=42.71303227613973, operationsPerMinute=21.356516138069864, mode=normal, start=Fri Jul 01 20:19:18 BST 2016, end=Fri Jul 01 20:23:18 BST 2016, operations=85.0550624219686, operationsPerMinute=21.26376560549215
