spec.jvm2008.report.run.location=KRC048
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8082
benchmark-name=check, mode=normal, start=Fri Jun 03 15:04:22 BST 2016, end=Fri Jun 03 15:04:22 BST 2016, operations=1.0, operationsPerMinute=1000.0
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 03 15:04:22 BST 2016, end=Fri Jun 03 15:04:22 BST 2016, operations=1.0, operationsPerMinute=491.8032786885246
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 03 15:04:22 BST 2016, end=Fri Jun 03 15:04:40 BST 2016, operations=1.0, operationsPerMinute=3.305238803503553
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 03 15:04:40 BST 2016, end=Fri Jun 03 15:04:44 BST 2016, operations=1.0, operationsPerMinute=15.201418799087914
benchmark-name=startup.compress, mode=normal, start=Fri Jun 03 15:04:44 BST 2016, end=Fri Jun 03 15:04:45 BST 2016, operations=1.0, operationsPerMinute=42.492917847025495
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 03 15:04:46 BST 2016, end=Fri Jun 03 15:04:55 BST 2016, operations=1.0, operationsPerMinute=6.027727546714888
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 03 15:04:55 BST 2016, end=Fri Jun 03 15:05:03 BST 2016, operations=1.0, operationsPerMinute=7.658922644881287
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 03 15:05:03 BST 2016, end=Fri Jun 03 15:05:10 BST 2016, operations=1.0, operationsPerMinute=8.90207715133531
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 03 15:05:10 BST 2016, end=Fri Jun 03 15:05:13 BST 2016, operations=1.0, operationsPerMinute=21.83406113537118
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 03 15:05:13 BST 2016, end=Fri Jun 03 15:05:14 BST 2016, operations=1.0, operationsPerMinute=65.359477124183
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 03 15:05:14 BST 2016, end=Fri Jun 03 15:05:15 BST 2016, operations=1.0, operationsPerMinute=52.310374891020054
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 03 15:05:15 BST 2016, end=Fri Jun 03 15:05:21 BST 2016, operations=1.0, operationsPerMinute=9.652509652509652
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 03 15:05:21 BST 2016, end=Fri Jun 03 15:05:23 BST 2016, operations=1.0, operationsPerMinute=34.863451481696686
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 03 15:05:23 BST 2016, end=Fri Jun 03 15:05:24 BST 2016, operations=1.0, operationsPerMinute=50.718512256973796
benchmark-name=startup.serial, mode=normal, start=Fri Jun 03 15:05:24 BST 2016, end=Fri Jun 03 15:05:27 BST 2016, operations=1.0, operationsPerMinute=21.008403361344538
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 03 15:05:27 BST 2016, end=Fri Jun 03 15:05:34 BST 2016, operations=1.0, operationsPerMinute=9.011715229798739
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 03 15:05:34 BST 2016, end=Fri Jun 03 15:05:58 BST 2016, operations=1.0, operationsPerMinute=2.4731049833065413
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 03 15:05:58 BST 2016, end=Fri Jun 03 15:05:59 BST 2016, operations=1.0, operationsPerMinute=54.89478499542543
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 03 15:06:14 BST 2016, end=Fri Jun 03 15:08:14 BST 2016, operations=315.8878910463752, operationsPerMinute=157.9439455231876, mode=normal, start=Fri Jun 03 15:08:16 BST 2016, end=Fri Jun 03 15:12:16 BST 2016, operations=638.0289007864116, operationsPerMinute=159.5072251966029
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 03 15:12:21 BST 2016, end=Fri Jun 03 15:14:21 BST 2016, operations=135.53923758266143, operationsPerMinute=67.76961879133071, mode=normal, start=Fri Jun 03 15:14:27 BST 2016, end=Fri Jun 03 15:18:27 BST 2016, operations=273.50289846228645, operationsPerMinute=68.37572461557161
benchmark-name=compress, mod=warmup, start=Fri Jun 03 15:18:33 BST 2016, end=Fri Jun 03 15:20:33 BST 2016, operations=291.9428387416676, operationsPerMinute=145.9714193708338, mode=normal, start=Fri Jun 03 15:20:35 BST 2016, end=Fri Jun 03 15:24:35 BST 2016, operations=583.7596413633046, operationsPerMinute=145.93991034082615
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 03 15:24:37 BST 2016, end=Fri Jun 03 15:26:37 BST 2016, operations=114.30249671433971, operationsPerMinute=57.151248357169855, mode=normal, start=Fri Jun 03 15:26:43 BST 2016, end=Fri Jun 03 15:30:43 BST 2016, operations=265.6821422346664, operationsPerMinute=66.4205355586666
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 03 15:30:48 BST 2016, end=Fri Jun 03 15:32:48 BST 2016, operations=212.67100861434693, operationsPerMinute=106.33550430717347, mode=normal, start=Fri Jun 03 15:32:52 BST 2016, end=Fri Jun 03 15:36:52 BST 2016, operations=425.1249558942642, operationsPerMinute=106.28123897356605
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 03 15:36:55 BST 2016, end=Fri Jun 03 15:38:55 BST 2016, operations=362.1902565451264, operationsPerMinute=181.0951282725632, mode=normal, start=Fri Jun 03 15:38:57 BST 2016, end=Fri Jun 03 15:42:57 BST 2016, operations=719.4935343843915, operationsPerMinute=179.87338359609788
benchmark-name=derby, mod=warmup, start=Fri Jun 03 15:44:09 BST 2016, end=Fri Jun 03 15:46:09 BST 2016, operations=314.84840674960395, operationsPerMinute=157.42420337480198, mode=normal, start=Fri Jun 03 15:46:11 BST 2016, end=Fri Jun 03 15:50:11 BST 2016, operations=641.1430762681929, operationsPerMinute=160.28576906704822
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 03 15:50:13 BST 2016, end=Fri Jun 03 15:52:13 BST 2016, operations=186.84371917288516, operationsPerMinute=93.42185958644258, mode=normal, start=Fri Jun 03 15:52:18 BST 2016, end=Fri Jun 03 15:56:18 BST 2016, operations=376.5423212693443, operationsPerMinute=94.13558031733608
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 03 15:56:22 BST 2016, end=Fri Jun 03 15:58:22 BST 2016, operations=73.5376036067577, operationsPerMinute=36.76880180337885, mode=normal, start=Fri Jun 03 15:58:30 BST 2016, end=Fri Jun 03 16:02:30 BST 2016, operations=143.83657794081657, operationsPerMinute=35.95914448520414
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 03 16:02:39 BST 2016, end=Fri Jun 03 16:04:39 BST 2016, operations=12.914063788724564, operationsPerMinute=6.457031894362282, mode=normal, start=Fri Jun 03 16:05:43 BST 2016, end=Fri Jun 03 16:09:43 BST 2016, operations=23.908671749494886, operationsPerMinute=5.977167937373721
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 03 16:12:11 BST 2016, end=Fri Jun 03 16:14:11 BST 2016, operations=60.16949854285029, operationsPerMinute=30.084749271425146, mode=normal, start=Fri Jun 03 16:14:19 BST 2016, end=Fri Jun 03 16:18:19 BST 2016, operations=136.87610200848084, operationsPerMinute=34.21902550212021
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 03 16:18:32 BST 2016, end=Fri Jun 03 16:20:32 BST 2016, operations=42.70513578475554, operationsPerMinute=21.35256789237777, mode=normal, start=Fri Jun 03 16:20:44 BST 2016, end=Fri Jun 03 16:24:44 BST 2016, operations=85.56535732686238, operationsPerMinute=21.391339331715596
