spec.jvm2008.report.run.location=BEDSONTC041
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sun Jun 19 01:26:27 BST 2016, end=Sun Jun 19 01:26:27 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 19 01:26:27 BST 2016, end=Sun Jun 19 01:26:27 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 19 01:26:27 BST 2016, end=Sun Jun 19 01:26:40 BST 2016, operations=1.0, operationsPerMinute=4.535833081342607
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 19 01:26:40 BST 2016, end=Sun Jun 19 01:26:44 BST 2016, operations=1.0, operationsPerMinute=16.722408026755854
benchmark-name=startup.compress, mode=normal, start=Sun Jun 19 01:26:44 BST 2016, end=Sun Jun 19 01:26:45 BST 2016, operations=1.0, operationsPerMinute=45.80152671755725
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 19 01:26:45 BST 2016, end=Sun Jun 19 01:26:54 BST 2016, operations=1.0, operationsPerMinute=7.03152466893238
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 19 01:26:54 BST 2016, end=Sun Jun 19 01:27:01 BST 2016, operations=1.0, operationsPerMinute=7.850320554755986
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 19 01:27:01 BST 2016, end=Sun Jun 19 01:27:08 BST 2016, operations=1.0, operationsPerMinute=9.027986758952753
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 19 01:27:08 BST 2016, end=Sun Jun 19 01:27:10 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 19 01:27:10 BST 2016, end=Sun Jun 19 01:27:11 BST 2016, operations=1.0, operationsPerMinute=80.10680907877169
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 19 01:27:11 BST 2016, end=Sun Jun 19 01:27:12 BST 2016, operations=1.0, operationsPerMinute=66.3716814159292
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 19 01:27:12 BST 2016, end=Sun Jun 19 01:27:17 BST 2016, operations=1.0, operationsPerMinute=10.895224260032686
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 19 01:27:17 BST 2016, end=Sun Jun 19 01:27:19 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 19 01:27:19 BST 2016, end=Sun Jun 19 01:27:20 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Sun Jun 19 01:27:20 BST 2016, end=Sun Jun 19 01:27:22 BST 2016, operations=1.0, operationsPerMinute=28.708133971291865
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 19 01:27:22 BST 2016, end=Sun Jun 19 01:27:28 BST 2016, operations=1.0, operationsPerMinute=9.358914365933552
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 19 01:27:28 BST 2016, end=Sun Jun 19 01:27:49 BST 2016, operations=1.0, operationsPerMinute=2.9542097488921715
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 19 01:27:49 BST 2016, end=Sun Jun 19 01:27:49 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 19 01:28:00 BST 2016, end=Sun Jun 19 01:30:00 BST 2016, operations=493.73914380214194, operationsPerMinute=246.86957190107097, mode=normal, start=Sun Jun 19 01:30:01 BST 2016, end=Sun Jun 19 01:34:01 BST 2016, operations=999.6671034445781, operationsPerMinute=249.91677586114452
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 19 01:34:05 BST 2016, end=Sun Jun 19 01:36:05 BST 2016, operations=198.5234071587209, operationsPerMinute=99.26170357936044, mode=normal, start=Sun Jun 19 01:36:08 BST 2016, end=Sun Jun 19 01:40:08 BST 2016, operations=377.4907764354657, operationsPerMinute=94.37269410886643
benchmark-name=compress, mod=warmup, start=Sun Jun 19 01:40:12 BST 2016, end=Sun Jun 19 01:42:12 BST 2016, operations=400.3622817411821, operationsPerMinute=200.18114087059104, mode=normal, start=Sun Jun 19 01:42:14 BST 2016, end=Sun Jun 19 01:46:14 BST 2016, operations=801.4251448908982, operationsPerMinute=200.35628622272455
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 19 01:46:16 BST 2016, end=Sun Jun 19 01:48:16 BST 2016, operations=139.51694148860213, operationsPerMinute=69.75847074430106, mode=normal, start=Sun Jun 19 01:48:20 BST 2016, end=Sun Jun 19 01:52:20 BST 2016, operations=292.05967431964007, operationsPerMinute=73.01491857991002
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 19 01:52:26 BST 2016, end=Sun Jun 19 01:54:26 BST 2016, operations=235.13483550411712, operationsPerMinute=117.56741775205856, mode=normal, start=Sun Jun 19 01:54:29 BST 2016, end=Sun Jun 19 01:58:29 BST 2016, operations=470.7054543514781, operationsPerMinute=117.67636358786953
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 19 01:58:33 BST 2016, end=Sun Jun 19 02:00:33 BST 2016, operations=408.06239316239316, operationsPerMinute=204.03119658119658, mode=normal, start=Sun Jun 19 02:00:35 BST 2016, end=Sun Jun 19 02:04:35 BST 2016, operations=816.417982017982, operationsPerMinute=204.1044955044955
benchmark-name=derby, mod=warmup, start=Sun Jun 19 02:04:58 BST 2016, end=Sun Jun 19 02:06:58 BST 2016, operations=362.4582309345437, operationsPerMinute=181.22911546727184, mode=normal, start=Sun Jun 19 02:07:00 BST 2016, end=Sun Jun 19 02:11:00 BST 2016, operations=727.7416329399917, operationsPerMinute=181.93540823499794
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 19 02:11:02 BST 2016, end=Sun Jun 19 02:13:02 BST 2016, operations=207.59263675205233, operationsPerMinute=103.79631837602616, mode=normal, start=Sun Jun 19 02:13:05 BST 2016, end=Sun Jun 19 02:17:05 BST 2016, operations=416.2650650170091, operationsPerMinute=104.06626625425227
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 19 02:17:09 BST 2016, end=Sun Jun 19 02:19:09 BST 2016, operations=74.56601720575736, operationsPerMinute=37.28300860287868, mode=normal, start=Sun Jun 19 02:19:20 BST 2016, end=Sun Jun 19 02:23:20 BST 2016, operations=145.5489046599917, operationsPerMinute=36.38722616499793
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 19 02:23:29 BST 2016, end=Sun Jun 19 02:25:29 BST 2016, operations=13.913017341485322, operationsPerMinute=6.956508670742661, mode=normal, start=Sun Jun 19 02:26:12 BST 2016, end=Sun Jun 19 02:30:12 BST 2016, operations=27.737029532727057, operationsPerMinute=6.934257383181764
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 19 02:30:48 BST 2016, end=Sun Jun 19 02:32:48 BST 2016, operations=74.53712080738761, operationsPerMinute=37.268560403693805, mode=normal, start=Sun Jun 19 02:32:57 BST 2016, end=Sun Jun 19 02:36:57 BST 2016, operations=149.41209946530216, operationsPerMinute=37.35302486632554
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 19 02:37:06 BST 2016, end=Sun Jun 19 02:39:06 BST 2016, operations=42.876122194557446, operationsPerMinute=21.438061097278723, mode=normal, start=Sun Jun 19 02:39:18 BST 2016, end=Sun Jun 19 02:43:18 BST 2016, operations=86.3473088776573, operationsPerMinute=21.586827219414324
benchmark-name=scimark.fft.small, mod=warmup, start=Sun Jun 19 02:43:30 BST 2016, end=Sun Jun 19 02:45:30 BST 2016, operations=696.3427394075027, operationsPerMinute=348.17136970375134, mode=normal, start=Sun Jun 19 02:45:31 BST 2016, end=Sun Jun 19 02:49:31 BST 2016, operations=1398.633725071225, operationsPerMinute=349.65843126780624
benchmark-name=scimark.lu.small, mod=warmup, start=Sun Jun 19 02:49:33 BST 2016, end=Sun Jun 19 02:51:33 BST 2016, operations=576.551856728101, operationsPerMinute=288.2759283640505, mode=normal, start=Sun Jun 19 02:51:34 BST 2016, end=Sun Jun 19 02:55:34 BST 2016, operations=1152.4528909220567, operationsPerMinute=288.11322273051417
benchmark-name=scimark.sor.small, mod=warmup, start=Sun Jun 19 02:55:35 BST 2016, end=Sun Jun 19 02:57:35 BST 2016, operations=330.83415397301246, operationsPerMinute=165.41707698650623, mode=normal, start=Sun Jun 19 02:57:38 BST 2016, end=Sun Jun 19 03:01:38 BST 2016, operations=661.8180423538524, operationsPerMinute=165.4545105884631
