spec.jvm2008.report.run.location=RIDLEY2B021
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 04 16:04:50 BST 2016, end=Sat Jun 04 16:04:50 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 16:04:50 BST 2016, end=Sat Jun 04 16:04:50 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 16:04:50 BST 2016, end=Sat Jun 04 16:05:03 BST 2016, operations=1.0, operationsPerMinute=4.53035336756267
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 16:05:03 BST 2016, end=Sat Jun 04 16:05:07 BST 2016, operations=1.0, operationsPerMinute=18.315018315018314
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 16:05:07 BST 2016, end=Sat Jun 04 16:05:08 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 16:05:08 BST 2016, end=Sat Jun 04 16:05:16 BST 2016, operations=1.0, operationsPerMinute=7.057163020465773
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 16:05:16 BST 2016, end=Sat Jun 04 16:05:24 BST 2016, operations=1.0, operationsPerMinute=7.979784545817263
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 16:05:24 BST 2016, end=Sat Jun 04 16:05:31 BST 2016, operations=1.0, operationsPerMinute=9.157509157509157
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 16:05:31 BST 2016, end=Sat Jun 04 16:05:33 BST 2016, operations=1.0, operationsPerMinute=26.513477684489615
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 16:05:33 BST 2016, end=Sat Jun 04 16:05:34 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 16:05:34 BST 2016, end=Sat Jun 04 16:05:34 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 16:05:34 BST 2016, end=Sat Jun 04 16:05:40 BST 2016, operations=1.0, operationsPerMinute=10.897203051216854
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 16:05:40 BST 2016, end=Sat Jun 04 16:05:41 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 16:05:41 BST 2016, end=Sat Jun 04 16:05:42 BST 2016, operations=1.0, operationsPerMinute=60.06006006006006
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 16:05:42 BST 2016, end=Sat Jun 04 16:05:44 BST 2016, operations=1.0, operationsPerMinute=28.708133971291865
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 16:05:44 BST 2016, end=Sat Jun 04 16:05:51 BST 2016, operations=1.0, operationsPerMinute=9.380863039399625
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 16:05:51 BST 2016, end=Sat Jun 04 16:06:11 BST 2016, operations=1.0, operationsPerMinute=2.963109289347622
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 16:06:11 BST 2016, end=Sat Jun 04 16:06:12 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 16:06:22 BST 2016, end=Sat Jun 04 16:08:22 BST 2016, operations=486.7586078596793, operationsPerMinute=243.37930392983964, mode=normal, start=Sat Jun 04 16:08:23 BST 2016, end=Sat Jun 04 16:12:23 BST 2016, operations=993.9774772268114, operationsPerMinute=248.49436930670285
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 16:12:28 BST 2016, end=Sat Jun 04 16:14:28 BST 2016, operations=198.8575720742257, operationsPerMinute=99.42878603711284, mode=normal, start=Sat Jun 04 16:14:31 BST 2016, end=Sat Jun 04 16:18:31 BST 2016, operations=391.5223146826533, operationsPerMinute=97.88057867066333
benchmark-name=compress, mod=warmup, start=Sat Jun 04 16:18:34 BST 2016, end=Sat Jun 04 16:20:34 BST 2016, operations=396.7312421231427, operationsPerMinute=198.36562106157135, mode=normal, start=Sat Jun 04 16:20:36 BST 2016, end=Sat Jun 04 16:24:36 BST 2016, operations=793.1572280913331, operationsPerMinute=198.28930702283327
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 16:24:38 BST 2016, end=Sat Jun 04 16:26:38 BST 2016, operations=138.60174659303266, operationsPerMinute=69.30087329651633, mode=normal, start=Sat Jun 04 16:26:43 BST 2016, end=Sat Jun 04 16:30:43 BST 2016, operations=291.5955865150993, operationsPerMinute=72.89889662877482
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 16:30:48 BST 2016, end=Sat Jun 04 16:32:48 BST 2016, operations=233.71128417163476, operationsPerMinute=116.85564208581738, mode=normal, start=Sat Jun 04 16:32:51 BST 2016, end=Sat Jun 04 16:36:51 BST 2016, operations=467.1065285637825, operationsPerMinute=116.77663214094562
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 16:36:55 BST 2016, end=Sat Jun 04 16:38:55 BST 2016, operations=403.05023853792824, operationsPerMinute=201.52511926896412, mode=normal, start=Sat Jun 04 16:38:57 BST 2016, end=Sat Jun 04 16:42:57 BST 2016, operations=804.2501952984246, operationsPerMinute=201.06254882460615
benchmark-name=derby, mod=warmup, start=Sat Jun 04 16:43:19 BST 2016, end=Sat Jun 04 16:45:19 BST 2016, operations=360.6073867433238, operationsPerMinute=180.3036933716619, mode=normal, start=Sat Jun 04 16:45:21 BST 2016, end=Sat Jun 04 16:49:21 BST 2016, operations=726.8938025830805, operationsPerMinute=181.72345064577013
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 16:49:23 BST 2016, end=Sat Jun 04 16:51:23 BST 2016, operations=206.44902625733855, operationsPerMinute=103.22451312866927, mode=normal, start=Sat Jun 04 16:51:26 BST 2016, end=Sat Jun 04 16:55:26 BST 2016, operations=408.65436389752574, operationsPerMinute=102.16359097438144
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 16:55:31 BST 2016, end=Sat Jun 04 16:57:31 BST 2016, operations=77.43383712944203, operationsPerMinute=38.71691856472101, mode=normal, start=Sat Jun 04 16:57:39 BST 2016, end=Sat Jun 04 17:01:39 BST 2016, operations=149.54267230097463, operationsPerMinute=37.38566807524366
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 17:01:50 BST 2016, end=Sat Jun 04 17:03:50 BST 2016, operations=13.785409406730839, operationsPerMinute=6.892704703365419, mode=normal, start=Sat Jun 04 17:04:36 BST 2016, end=Sat Jun 04 17:08:36 BST 2016, operations=27.874883607425424, operationsPerMinute=6.968720901856356
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 17:09:12 BST 2016, end=Sat Jun 04 17:11:12 BST 2016, operations=73.60909613360897, operationsPerMinute=36.804548066804486, mode=normal, start=Sat Jun 04 17:11:23 BST 2016, end=Sat Jun 04 17:15:23 BST 2016, operations=147.2737428470907, operationsPerMinute=36.81843571177267
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 17:15:34 BST 2016, end=Sat Jun 04 17:17:34 BST 2016, operations=42.33164479845732, operationsPerMinute=21.16582239922866, mode=normal, start=Sat Jun 04 17:17:47 BST 2016, end=Sat Jun 04 17:21:47 BST 2016, operations=84.15436306755774, operationsPerMinute=21.038590766889435
