spec.jvm2008.report.run.location=NIDD64
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Sun Jun 26 16:27:49 BST 2016, end=Sun Jun 26 16:27:49 BST 2016, operations=1.0, operationsPerMinute=967.741935483871
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 26 16:27:49 BST 2016, end=Sun Jun 26 16:27:49 BST 2016, operations=1.0, operationsPerMinute=153.84615384615384
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 26 16:27:49 BST 2016, end=Sun Jun 26 16:28:15 BST 2016, operations=1.0, operationsPerMinute=2.2677451054501474
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 26 16:28:15 BST 2016, end=Sun Jun 26 16:28:20 BST 2016, operations=1.0, operationsPerMinute=12.9926375054136
benchmark-name=startup.compress, mode=normal, start=Sun Jun 26 16:28:20 BST 2016, end=Sun Jun 26 16:28:22 BST 2016, operations=1.0, operationsPerMinute=37.359900373599004
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 26 16:28:22 BST 2016, end=Sun Jun 26 16:28:32 BST 2016, operations=1.0, operationsPerMinute=6.028333165879634
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 26 16:28:32 BST 2016, end=Sun Jun 26 16:28:40 BST 2016, operations=1.0, operationsPerMinute=6.9799906933457425
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 26 16:28:40 BST 2016, end=Sun Jun 26 16:28:47 BST 2016, operations=1.0, operationsPerMinute=8.416327675690841
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 26 16:28:47 BST 2016, end=Sun Jun 26 16:28:50 BST 2016, operations=1.0, operationsPerMinute=19.42376173518938
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 26 16:28:50 BST 2016, end=Sun Jun 26 16:28:51 BST 2016, operations=1.0, operationsPerMinute=65.21739130434783
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 26 16:28:51 BST 2016, end=Sun Jun 26 16:28:53 BST 2016, operations=1.0, operationsPerMinute=49.91680532445923
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 26 16:28:53 BST 2016, end=Sun Jun 26 16:28:59 BST 2016, operations=1.0, operationsPerMinute=8.987417615338526
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 26 16:28:59 BST 2016, end=Sun Jun 26 16:29:01 BST 2016, operations=1.0, operationsPerMinute=32.59098316132537
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 26 16:29:01 BST 2016, end=Sun Jun 26 16:29:03 BST 2016, operations=1.0, operationsPerMinute=43.196544276457885
benchmark-name=startup.serial, mode=normal, start=Sun Jun 26 16:29:03 BST 2016, end=Sun Jun 26 16:29:06 BST 2016, operations=1.0, operationsPerMinute=19.723865877712033
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 26 16:29:06 BST 2016, end=Sun Jun 26 16:29:13 BST 2016, operations=1.0, operationsPerMinute=8.508224617129892
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 26 16:29:13 BST 2016, end=Sun Jun 26 16:29:41 BST 2016, operations=1.0, operationsPerMinute=2.0925609458375476
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 26 16:29:41 BST 2016, end=Sun Jun 26 16:29:43 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 26 16:30:01 BST 2016, end=Sun Jun 26 16:32:01 BST 2016, operations=353.59244268643295, operationsPerMinute=176.79622134321647, mode=normal, start=Sun Jun 26 16:32:03 BST 2016, end=Sun Jun 26 16:36:03 BST 2016, operations=720.627027027027, operationsPerMinute=180.15675675675675
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 26 16:36:09 BST 2016, end=Sun Jun 26 16:38:09 BST 2016, operations=138.80462901117, operationsPerMinute=69.402314505585, mode=normal, start=Sun Jun 26 16:38:13 BST 2016, end=Sun Jun 26 16:42:13 BST 2016, operations=275.2631837564958, operationsPerMinute=68.81579593912394
benchmark-name=compress, mod=warmup, start=Sun Jun 26 16:42:18 BST 2016, end=Sun Jun 26 16:44:18 BST 2016, operations=271.0810582408776, operationsPerMinute=135.5405291204388, mode=normal, start=Sun Jun 26 16:44:20 BST 2016, end=Sun Jun 26 16:48:20 BST 2016, operations=542.9495546354626, operationsPerMinute=135.73738865886565
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 26 16:48:23 BST 2016, end=Sun Jun 26 16:50:23 BST 2016, operations=85.93037987218545, operationsPerMinute=42.96518993609273, mode=normal, start=Sun Jun 26 16:50:31 BST 2016, end=Sun Jun 26 16:54:31 BST 2016, operations=181.2166938537682, operationsPerMinute=45.30417346344205
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 26 16:54:40 BST 2016, end=Sun Jun 26 16:56:40 BST 2016, operations=146.04505713906022, operationsPerMinute=73.02252856953011, mode=normal, start=Sun Jun 26 16:56:45 BST 2016, end=Sun Jun 26 17:00:45 BST 2016, operations=293.60383037261334, operationsPerMinute=73.40095759315334
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 26 17:00:50 BST 2016, end=Sun Jun 26 17:02:50 BST 2016, operations=251.648735308516, operationsPerMinute=125.824367654258, mode=normal, start=Sun Jun 26 17:02:53 BST 2016, end=Sun Jun 26 17:06:53 BST 2016, operations=504.9534995589358, operationsPerMinute=126.23837488973395
benchmark-name=derby, mod=warmup, start=Sun Jun 26 17:08:24 BST 2016, end=Sun Jun 26 17:10:24 BST 2016, operations=204.74268106261613, operationsPerMinute=102.37134053130806, mode=normal, start=Sun Jun 26 17:10:28 BST 2016, end=Sun Jun 26 17:14:28 BST 2016, operations=410.75286158291516, operationsPerMinute=102.68821539572879
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 26 17:14:31 BST 2016, end=Sun Jun 26 17:16:31 BST 2016, operations=134.00663714466833, operationsPerMinute=67.00331857233417, mode=normal, start=Sun Jun 26 17:16:36 BST 2016, end=Sun Jun 26 17:20:36 BST 2016, operations=268.34805482376345, operationsPerMinute=67.08701370594086
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 26 17:20:42 BST 2016, end=Sun Jun 26 17:22:42 BST 2016, operations=58.64869220205437, operationsPerMinute=29.324346101027185, mode=normal, start=Sun Jun 26 17:22:51 BST 2016, end=Sun Jun 26 17:26:51 BST 2016, operations=120.70584618607042, operationsPerMinute=30.176461546517604
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 26 17:27:02 BST 2016, end=Sun Jun 26 17:29:02 BST 2016, operations=11.5589400365523, operationsPerMinute=5.77947001827615, mode=normal, start=Sun Jun 26 17:29:37 BST 2016, end=Sun Jun 26 17:33:37 BST 2016, operations=23.09682702993895, operationsPerMinute=5.7742067574847376
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 26 17:34:17 BST 2016, end=Sun Jun 26 17:36:17 BST 2016, operations=55.178048534114325, operationsPerMinute=27.589024267057162, mode=normal, start=Sun Jun 26 17:36:27 BST 2016, end=Sun Jun 26 17:40:27 BST 2016, operations=110.58037322002338, operationsPerMinute=27.645093305005844
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 26 17:40:40 BST 2016, end=Sun Jun 26 17:42:40 BST 2016, operations=37.40227622320951, operationsPerMinute=18.701138111604756, mode=normal, start=Sun Jun 26 17:42:58 BST 2016, end=Sun Jun 26 17:46:58 BST 2016, operations=74.77231841762458, operationsPerMinute=18.693079604406144
