spec.jvm2008.report.run.location=RIDLEY2B016
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 25 03:34:35 BST 2016, end=Sat Jun 25 03:34:35 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 25 03:34:35 BST 2016, end=Sat Jun 25 03:34:35 BST 2016, operations=1.0, operationsPerMinute=275.22935779816515
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 25 03:34:35 BST 2016, end=Sat Jun 25 03:34:48 BST 2016, operations=1.0, operationsPerMinute=4.64504141828598
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 25 03:34:48 BST 2016, end=Sat Jun 25 03:34:52 BST 2016, operations=1.0, operationsPerMinute=17.88908765652952
benchmark-name=startup.compress, mode=normal, start=Sat Jun 25 03:34:52 BST 2016, end=Sat Jun 25 03:34:53 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 25 03:34:53 BST 2016, end=Sat Jun 25 03:35:02 BST 2016, operations=1.0, operationsPerMinute=7.006071929005138
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 25 03:35:02 BST 2016, end=Sat Jun 25 03:35:09 BST 2016, operations=1.0, operationsPerMinute=7.7539415869733785
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 25 03:35:09 BST 2016, end=Sat Jun 25 03:35:16 BST 2016, operations=1.0, operationsPerMinute=9.135200974421437
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 25 03:35:16 BST 2016, end=Sat Jun 25 03:35:18 BST 2016, operations=1.0, operationsPerMinute=26.350461133069828
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 25 03:35:18 BST 2016, end=Sat Jun 25 03:35:19 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 25 03:35:19 BST 2016, end=Sat Jun 25 03:35:20 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 25 03:35:20 BST 2016, end=Sat Jun 25 03:35:25 BST 2016, operations=1.0, operationsPerMinute=10.95890410958904
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 25 03:35:25 BST 2016, end=Sat Jun 25 03:35:27 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 25 03:35:27 BST 2016, end=Sat Jun 25 03:35:28 BST 2016, operations=1.0, operationsPerMinute=61.09979633401222
benchmark-name=startup.serial, mode=normal, start=Sat Jun 25 03:35:28 BST 2016, end=Sat Jun 25 03:35:30 BST 2016, operations=1.0, operationsPerMinute=28.275212064090482
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 25 03:35:30 BST 2016, end=Sat Jun 25 03:35:36 BST 2016, operations=1.0, operationsPerMinute=9.337068160597573
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 25 03:35:36 BST 2016, end=Sat Jun 25 03:35:57 BST 2016, operations=1.0, operationsPerMinute=2.9294014256420273
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 25 03:35:57 BST 2016, end=Sat Jun 25 03:35:58 BST 2016, operations=1.0, operationsPerMinute=72.63922518159806
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 25 03:36:08 BST 2016, end=Sat Jun 25 03:38:08 BST 2016, operations=492.64850998778445, operationsPerMinute=246.32425499389223, mode=normal, start=Sat Jun 25 03:38:09 BST 2016, end=Sat Jun 25 03:42:09 BST 2016, operations=1018.4185743002566, operationsPerMinute=254.60464357506416
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 25 03:42:13 BST 2016, end=Sat Jun 25 03:44:13 BST 2016, operations=198.15260890660613, operationsPerMinute=99.07630445330307, mode=normal, start=Sat Jun 25 03:44:16 BST 2016, end=Sat Jun 25 03:48:16 BST 2016, operations=393.92471033524777, operationsPerMinute=98.48117758381194
benchmark-name=compress, mod=warmup, start=Sat Jun 25 03:48:19 BST 2016, end=Sat Jun 25 03:50:19 BST 2016, operations=399.9023668337021, operationsPerMinute=199.95118341685105, mode=normal, start=Sat Jun 25 03:50:21 BST 2016, end=Sat Jun 25 03:54:21 BST 2016, operations=793.1506227255878, operationsPerMinute=198.28765568139696
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 25 03:54:24 BST 2016, end=Sat Jun 25 03:56:24 BST 2016, operations=136.315959876141, operationsPerMinute=68.1579799380705, mode=normal, start=Sat Jun 25 03:56:30 BST 2016, end=Sat Jun 25 04:00:30 BST 2016, operations=290.98983503956896, operationsPerMinute=72.74745875989224
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 25 04:00:34 BST 2016, end=Sat Jun 25 04:02:34 BST 2016, operations=233.86091443559158, operationsPerMinute=116.93045721779579, mode=normal, start=Sat Jun 25 04:02:37 BST 2016, end=Sat Jun 25 04:06:37 BST 2016, operations=471.1329761929296, operationsPerMinute=117.7832440482324
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 25 04:06:41 BST 2016, end=Sat Jun 25 04:08:41 BST 2016, operations=407.1732232167308, operationsPerMinute=203.5866116083654, mode=normal, start=Sat Jun 25 04:08:43 BST 2016, end=Sat Jun 25 04:12:43 BST 2016, operations=813.2068376068376, operationsPerMinute=203.3017094017094
benchmark-name=derby, mod=warmup, start=Sat Jun 25 04:13:06 BST 2016, end=Sat Jun 25 04:15:06 BST 2016, operations=349.5432912261873, operationsPerMinute=174.77164561309365, mode=normal, start=Sat Jun 25 04:15:09 BST 2016, end=Sat Jun 25 04:19:09 BST 2016, operations=716.55439307413, operationsPerMinute=179.1385982685325
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 25 04:19:11 BST 2016, end=Sat Jun 25 04:21:11 BST 2016, operations=207.37820048344008, operationsPerMinute=103.68910024172004, mode=normal, start=Sat Jun 25 04:21:13 BST 2016, end=Sat Jun 25 04:25:13 BST 2016, operations=414.9402653565913, operationsPerMinute=103.73506633914782
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 25 04:25:18 BST 2016, end=Sat Jun 25 04:27:18 BST 2016, operations=72.90118930522748, operationsPerMinute=36.45059465261374, mode=normal, start=Sat Jun 25 04:27:24 BST 2016, end=Sat Jun 25 04:31:24 BST 2016, operations=140.21559251024894, operationsPerMinute=35.053898127562235
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 25 04:31:33 BST 2016, end=Sat Jun 25 04:33:33 BST 2016, operations=13.954767598427525, operationsPerMinute=6.977383799213762, mode=normal, start=Sat Jun 25 04:34:16 BST 2016, end=Sat Jun 25 04:38:16 BST 2016, operations=27.688555661778366, operationsPerMinute=6.922138915444592
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 25 04:38:45 BST 2016, end=Sat Jun 25 04:40:45 BST 2016, operations=74.575098518859, operationsPerMinute=37.2875492594295, mode=normal, start=Sat Jun 25 04:40:54 BST 2016, end=Sat Jun 25 04:44:54 BST 2016, operations=148.77309838984314, operationsPerMinute=37.193274597460785
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 25 04:45:05 BST 2016, end=Sat Jun 25 04:47:05 BST 2016, operations=42.49476073243719, operationsPerMinute=21.247380366218596, mode=normal, start=Sat Jun 25 04:47:18 BST 2016, end=Sat Jun 25 04:51:18 BST 2016, operations=84.4311213300562, operationsPerMinute=21.10778033251405
