spec.jvm2008.report.run.location=HOPE25
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Fri Jun 24 05:36:40 BST 2016, end=Fri Jun 24 05:36:40 BST 2016, operations=1.0, operationsPerMinute=769.2307692307693
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 05:36:40 BST 2016, end=Fri Jun 24 05:36:40 BST 2016, operations=1.0, operationsPerMinute=137.61467889908258
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 05:36:40 BST 2016, end=Fri Jun 24 05:37:07 BST 2016, operations=1.0, operationsPerMinute=2.2491284627206958
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 05:37:07 BST 2016, end=Fri Jun 24 05:37:12 BST 2016, operations=1.0, operationsPerMinute=10.926971407758149
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 05:37:12 BST 2016, end=Fri Jun 24 05:37:14 BST 2016, operations=1.0, operationsPerMinute=33.44481605351171
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 05:37:14 BST 2016, end=Fri Jun 24 05:37:25 BST 2016, operations=1.0, operationsPerMinute=5.557613931085587
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 05:37:25 BST 2016, end=Fri Jun 24 05:37:34 BST 2016, operations=1.0, operationsPerMinute=6.783493499152064
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 05:37:34 BST 2016, end=Fri Jun 24 05:37:41 BST 2016, operations=1.0, operationsPerMinute=8.13118308713918
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 05:37:41 BST 2016, end=Fri Jun 24 05:37:45 BST 2016, operations=1.0, operationsPerMinute=17.56440281030445
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 05:37:45 BST 2016, end=Fri Jun 24 05:37:46 BST 2016, operations=1.0, operationsPerMinute=59.171597633136095
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 05:37:46 BST 2016, end=Fri Jun 24 05:37:47 BST 2016, operations=1.0, operationsPerMinute=43.69992716678806
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 05:37:47 BST 2016, end=Fri Jun 24 05:37:54 BST 2016, operations=1.0, operationsPerMinute=8.183306055646481
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 05:37:54 BST 2016, end=Fri Jun 24 05:37:56 BST 2016, operations=1.0, operationsPerMinute=32.05128205128205
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 05:37:56 BST 2016, end=Fri Jun 24 05:37:58 BST 2016, operations=1.0, operationsPerMinute=39.656311962987445
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 05:37:58 BST 2016, end=Fri Jun 24 05:38:01 BST 2016, operations=1.0, operationsPerMinute=16.93958215697346
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 05:38:01 BST 2016, end=Fri Jun 24 05:38:09 BST 2016, operations=1.0, operationsPerMinute=8.114687584527996
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 05:38:09 BST 2016, end=Fri Jun 24 05:38:38 BST 2016, operations=1.0, operationsPerMinute=2.0567667626491155
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 05:38:38 BST 2016, end=Fri Jun 24 05:38:39 BST 2016, operations=1.0, operationsPerMinute=47.46835443037975
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 05:38:56 BST 2016, end=Fri Jun 24 05:40:56 BST 2016, operations=350.44599824987887, operationsPerMinute=175.22299912493943, mode=normal, start=Fri Jun 24 05:40:58 BST 2016, end=Fri Jun 24 05:44:58 BST 2016, operations=725.7708894174818, operationsPerMinute=181.44272235437046
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 05:45:04 BST 2016, end=Fri Jun 24 05:47:04 BST 2016, operations=141.97249634965573, operationsPerMinute=70.98624817482786, mode=normal, start=Fri Jun 24 05:47:07 BST 2016, end=Fri Jun 24 05:51:07 BST 2016, operations=273.85987059774396, operationsPerMinute=68.46496764943599
benchmark-name=compress, mod=warmup, start=Fri Jun 24 05:51:12 BST 2016, end=Fri Jun 24 05:53:12 BST 2016, operations=269.99680315760406, operationsPerMinute=134.99840157880203, mode=normal, start=Fri Jun 24 05:53:15 BST 2016, end=Fri Jun 24 05:57:15 BST 2016, operations=540.9844890956183, operationsPerMinute=135.24612227390458
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 05:57:18 BST 2016, end=Fri Jun 24 05:59:18 BST 2016, operations=85.56004801889398, operationsPerMinute=42.78002400944699, mode=normal, start=Fri Jun 24 05:59:26 BST 2016, end=Fri Jun 24 06:03:26 BST 2016, operations=180.34347839433494, operationsPerMinute=45.085869598583734
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 24 06:03:35 BST 2016, end=Fri Jun 24 06:05:35 BST 2016, operations=145.9537771284455, operationsPerMinute=72.97688856422275, mode=normal, start=Fri Jun 24 06:05:40 BST 2016, end=Fri Jun 24 06:09:40 BST 2016, operations=290.756787542529, operationsPerMinute=72.68919688563226
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 24 06:09:46 BST 2016, end=Fri Jun 24 06:11:46 BST 2016, operations=249.69336439008856, operationsPerMinute=124.84668219504428, mode=normal, start=Fri Jun 24 06:11:49 BST 2016, end=Fri Jun 24 06:15:49 BST 2016, operations=497.8872016749898, operationsPerMinute=124.47180041874745
benchmark-name=derby, mod=warmup, start=Fri Jun 24 06:17:16 BST 2016, end=Fri Jun 24 06:19:16 BST 2016, operations=201.91459143518168, operationsPerMinute=100.95729571759084, mode=normal, start=Fri Jun 24 06:19:19 BST 2016, end=Fri Jun 24 06:23:19 BST 2016, operations=405.51737388987976, operationsPerMinute=101.37934347246994
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 24 06:23:23 BST 2016, end=Fri Jun 24 06:25:23 BST 2016, operations=133.83199611874164, operationsPerMinute=66.91599805937082, mode=normal, start=Fri Jun 24 06:25:28 BST 2016, end=Fri Jun 24 06:29:28 BST 2016, operations=267.600359593858, operationsPerMinute=66.9000898984645
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 24 06:29:34 BST 2016, end=Fri Jun 24 06:31:34 BST 2016, operations=61.62659298680845, operationsPerMinute=30.813296493404223, mode=normal, start=Fri Jun 24 06:31:45 BST 2016, end=Fri Jun 24 06:35:45 BST 2016, operations=121.38781528183418, operationsPerMinute=30.346953820458545
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 24 06:35:56 BST 2016, end=Fri Jun 24 06:37:56 BST 2016, operations=11.515578092016876, operationsPerMinute=5.757789046008438, mode=normal, start=Fri Jun 24 06:38:53 BST 2016, end=Fri Jun 24 06:42:53 BST 2016, operations=22.958201971126755, operationsPerMinute=5.739550492781689
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 24 06:43:34 BST 2016, end=Fri Jun 24 06:45:34 BST 2016, operations=55.02718053687903, operationsPerMinute=27.513590268439515, mode=normal, start=Fri Jun 24 06:45:44 BST 2016, end=Fri Jun 24 06:49:44 BST 2016, operations=110.14052087768924, operationsPerMinute=27.53513021942231
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 24 06:49:56 BST 2016, end=Fri Jun 24 06:51:56 BST 2016, operations=37.24458969796214, operationsPerMinute=18.62229484898107, mode=normal, start=Fri Jun 24 06:52:15 BST 2016, end=Fri Jun 24 06:56:15 BST 2016, operations=74.55722830288822, operationsPerMinute=18.639307075722055
benchmark-name=scimark.fft.small, mod=warmup, start=Fri Jun 24 06:56:29 BST 2016, end=Fri Jun 24 06:58:29 BST 2016, operations=523.3109528621927, operationsPerMinute=261.65547643109636, mode=normal, start=Fri Jun 24 06:58:30 BST 2016, end=Fri Jun 24 07:02:30 BST 2016, operations=1053.7927654389143, operationsPerMinute=263.4481913597286
benchmark-name=scimark.lu.small, mod=warmup, start=Fri Jun 24 07:02:32 BST 2016, end=Fri Jun 24 07:04:32 BST 2016, operations=358.19558053646773, operationsPerMinute=179.09779026823387, mode=normal, start=Fri Jun 24 07:04:34 BST 2016, end=Fri Jun 24 07:08:34 BST 2016, operations=717.846866409065, operationsPerMinute=179.46171660226625
benchmark-name=scimark.sor.small, mod=warmup, start=Fri Jun 24 07:08:35 BST 2016, end=Fri Jun 24 07:10:35 BST 2016, operations=242.84468494566158, operationsPerMinute=121.42234247283079, mode=normal, start=Fri Jun 24 07:10:38 BST 2016, end=Fri Jun 24 07:14:38 BST 2016, operations=485.93749809509507, operationsPerMinute=121.48437452377377
benchmark-name=scimark.sparse.small, mod=warmup, start=Fri Jun 24 07:14:41 BST 2016, end=Fri Jun 24 07:16:41 BST 2016, operations=288.8316177531126, operationsPerMinute=144.4158088765563, mode=normal, start=Fri Jun 24 07:16:44 BST 2016, end=Fri Jun 24 07:20:44 BST 2016, operations=569.5401432192041, operationsPerMinute=142.38503580480102
benchmark-name=scimark.monte_carlo, mod=warmup, start=Fri Jun 24 07:20:45 BST 2016, end=Fri Jun 24 07:22:45 BST 2016, operations=78.27922423565192, operationsPerMinute=39.13961211782596, mode=normal, start=Fri Jun 24 07:22:54 BST 2016, end=Fri Jun 24 07:26:54 BST 2016, operations=156.80212484688815, operationsPerMinute=39.20053121172204
benchmark-name=serial, mod=warmup, start=Fri Jun 24 07:27:04 BST 2016, end=Fri Jun 24 07:29:04 BST 2016, operations=141.52854166531063, operationsPerMinute=70.76427083265531, mode=normal, start=Fri Jun 24 07:29:09 BST 2016, end=Fri Jun 24 07:33:09 BST 2016, operations=277.8546268478239, operationsPerMinute=69.46365671195598
benchmark-name=sunflow, mod=warmup, start=Fri Jun 24 07:33:15 BST 2016, end=Fri Jun 24 07:35:15 BST 2016, operations=106.46480675364597, operationsPerMinute=53.23240337682299, mode=normal, start=Fri Jun 24 07:35:17 BST 2016, end=Fri Jun 24 07:39:17 BST 2016, operations=212.71104473309094, operationsPerMinute=53.177761183272736
benchmark-name=xml.transform, mod=warmup, start=Fri Jun 24 07:39:52 BST 2016, end=Fri Jun 24 07:41:52 BST 2016, operations=297.31288544411143, operationsPerMinute=148.65644272205571, mode=normal, start=Fri Jun 24 07:41:55 BST 2016, end=Fri Jun 24 07:45:55 BST 2016, operations=584.8381169381223, operationsPerMinute=146.20952923453058
benchmark-name=xml.validation, mod=warmup, start=Fri Jun 24 07:45:59 BST 2016, end=Fri Jun 24 07:47:59 BST 2016, operations=479.9638354137801, operationsPerMinute=239.98191770689004, mode=normal, start=Fri Jun 24 07:48:01 BST 2016, end=Fri Jun 24 07:52:01 BST 2016, operations=990.1501099513998, operationsPerMinute=247.53752748784996
##-nursultan-##,HOPE25,Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz,4,3984,check,Fri Jun 24 05:36:40 BST 2016,Fri Jun 24 05:36:40 BST 2016,1.0,769.2307692307693,startup.helloworld,Fri Jun 24 05:36:40 BST 2016,Fri Jun 24 05:36:40 BST 2016,1.0,137.61467889908258,startup.compiler.compiler,Fri Jun 24 05:36:40 BST 2016,Fri Jun 24 05:37:07 BST 2016,1.0,2.2491284627206958,startup.compiler.sunflow,Fri Jun 24 05:37:07 BST 2016,Fri Jun 24 05:37:12 BST 2016,1.0,10.926971407758149,startup.compress,Fri Jun 24 05:37:12 BST 2016,Fri Jun 24 05:37:14 BST 2016,1.0,33.44481605351171,startup.crypto.aes,Fri Jun 24 05:37:14 BST 2016,Fri Jun 24 05:37:25 BST 2016,1.0,5.557613931085587,startup.crypto.rsa,Fri Jun 24 05:37:25 BST 2016,Fri Jun 24 05:37:34 BST 2016,1.0,6.783493499152064,startup.crypto.signverify,Fri Jun 24 05:37:34 BST 2016,Fri Jun 24 05:37:41 BST 2016,1.0,8.13118308713918,startup.mpegaudio,Fri Jun 24 05:37:41 BST 2016,Fri Jun 24 05:37:45 BST 2016,1.0,17.56440281030445,startup.scimark.fft,Fri Jun 24 05:37:45 BST 2016,Fri Jun 24 05:37:46 BST 2016,1.0,59.171597633136095,startup.scimark.lu,Fri Jun 24 05:37:46 BST 2016,Fri Jun 24 05:37:47 BST 2016,1.0,43.69992716678806,startup.scimark.monte_carlo,Fri Jun 24 05:37:47 BST 2016,Fri Jun 24 05:37:54 BST 2016,1.0,8.183306055646481,startup.scimark.sor,Fri Jun 24 05:37:54 BST 2016,Fri Jun 24 05:37:56 BST 2016,1.0,32.05128205128205,startup.scimark.sparse,Fri Jun 24 05:37:56 BST 2016,Fri Jun 24 05:37:58 BST 2016,1.0,39.656311962987445,startup.serial,Fri Jun 24 05:37:58 BST 2016,Fri Jun 24 05:38:01 BST 2016,1.0,16.93958215697346,startup.sunflow,Fri Jun 24 05:38:01 BST 2016,Fri Jun 24 05:38:09 BST 2016,1.0,8.114687584527996,startup.xml.transform,Fri Jun 24 05:38:09 BST 2016,Fri Jun 24 05:38:38 BST 2016,1.0,2.0567667626491155,startup.xml.validation,Fri Jun 24 05:38:38 BST 2016,Fri Jun 24 05:38:39 BST 2016,1.0,47.46835443037975,compiler.compiler,Fri Jun 24 05:38:56 BST 2016,Fri Jun 24 05:40:56 BST 2016,350.44599824987887,175.22299912493943,Fri Jun 24 05:40:58 BST 2016,Fri Jun 24 05:44:58 BST 2016,725.7708894174818,181.44272235437046,compiler.sunflow,Fri Jun 24 05:45:04 BST 2016,Fri Jun 24 05:47:04 BST 2016,141.97249634965573,70.98624817482786,Fri Jun 24 05:47:07 BST 2016,Fri Jun 24 05:51:07 BST 2016,273.85987059774396,68.46496764943599,compress,Fri Jun 24 05:51:12 BST 2016,Fri Jun 24 05:53:12 BST 2016,269.99680315760406,134.99840157880203,Fri Jun 24 05:53:15 BST 2016,Fri Jun 24 05:57:15 BST 2016,540.9844890956183,135.24612227390458,crypto.aes,Fri Jun 24 05:57:18 BST 2016,Fri Jun 24 05:59:18 BST 2016,85.56004801889398,42.78002400944699,Fri Jun 24 05:59:26 BST 2016,Fri Jun 24 06:03:26 BST 2016,180.34347839433494,45.085869598583734,crypto.rsa,Fri Jun 24 06:03:35 BST 2016,Fri Jun 24 06:05:35 BST 2016,145.9537771284455,72.97688856422275,Fri Jun 24 06:05:40 BST 2016,Fri Jun 24 06:09:40 BST 2016,290.756787542529,72.68919688563226,crypto.signverify,Fri Jun 24 06:09:46 BST 2016,Fri Jun 24 06:11:46 BST 2016,249.69336439008856,124.84668219504428,Fri Jun 24 06:11:49 BST 2016,Fri Jun 24 06:15:49 BST 2016,497.8872016749898,124.47180041874745,derby,Fri Jun 24 06:17:16 BST 2016,Fri Jun 24 06:19:16 BST 2016,201.91459143518168,100.95729571759084,Fri Jun 24 06:19:19 BST 2016,Fri Jun 24 06:23:19 BST 2016,405.51737388987976,101.37934347246994,mpegaudio,Fri Jun 24 06:23:23 BST 2016,Fri Jun 24 06:25:23 BST 2016,133.83199611874164,66.91599805937082,Fri Jun 24 06:25:28 BST 2016,Fri Jun 24 06:29:28 BST 2016,267.600359593858,66.9000898984645,scimark.fft.large,Fri Jun 24 06:29:34 BST 2016,Fri Jun 24 06:31:34 BST 2016,61.62659298680845,30.813296493404223,Fri Jun 24 06:31:45 BST 2016,Fri Jun 24 06:35:45 BST 2016,121.38781528183418,30.346953820458545,scimark.lu.large,Fri Jun 24 06:35:56 BST 2016,Fri Jun 24 06:37:56 BST 2016,11.515578092016876,5.757789046008438,Fri Jun 24 06:38:53 BST 2016,Fri Jun 24 06:42:53 BST 2016,22.958201971126755,5.739550492781689,scimark.sor.large,Fri Jun 24 06:43:34 BST 2016,Fri Jun 24 06:45:34 BST 2016,55.02718053687903,27.513590268439515,Fri Jun 24 06:45:44 BST 2016,Fri Jun 24 06:49:44 BST 2016,110.14052087768924,27.53513021942231,scimark.sparse.large,Fri Jun 24 06:49:56 BST 2016,Fri Jun 24 06:51:56 BST 2016,37.24458969796214,18.62229484898107,Fri Jun 24 06:52:15 BST 2016,Fri Jun 24 06:56:15 BST 2016,74.55722830288822,18.639307075722055,scimark.fft.small,Fri Jun 24 06:56:29 BST 2016,Fri Jun 24 06:58:29 BST 2016,523.3109528621927,261.65547643109636,Fri Jun 24 06:58:30 BST 2016,Fri Jun 24 07:02:30 BST 2016,1053.7927654389143,263.4481913597286,scimark.lu.small,Fri Jun 24 07:02:32 BST 2016,Fri Jun 24 07:04:32 BST 2016,358.19558053646773,179.09779026823387,Fri Jun 24 07:04:34 BST 2016,Fri Jun 24 07:08:34 BST 2016,717.846866409065,179.46171660226625,scimark.sor.small,Fri Jun 24 07:08:35 BST 2016,Fri Jun 24 07:10:35 BST 2016,242.84468494566158,121.42234247283079,Fri Jun 24 07:10:38 BST 2016,Fri Jun 24 07:14:38 BST 2016,485.93749809509507,121.48437452377377,scimark.sparse.small,Fri Jun 24 07:14:41 BST 2016,Fri Jun 24 07:16:41 BST 2016,288.8316177531126,144.4158088765563,Fri Jun 24 07:16:44 BST 2016,Fri Jun 24 07:20:44 BST 2016,569.5401432192041,142.38503580480102,scimark.monte_carlo,Fri Jun 24 07:20:45 BST 2016,Fri Jun 24 07:22:45 BST 2016,78.27922423565192,39.13961211782596,Fri Jun 24 07:22:54 BST 2016,Fri Jun 24 07:26:54 BST 2016,156.80212484688815,39.20053121172204,serial,Fri Jun 24 07:27:04 BST 2016,Fri Jun 24 07:29:04 BST 2016,141.52854166531063,70.76427083265531,Fri Jun 24 07:29:09 BST 2016,Fri Jun 24 07:33:09 BST 2016,277.8546268478239,69.46365671195598,sunflow,Fri Jun 24 07:33:15 BST 2016,Fri Jun 24 07:35:15 BST 2016,106.46480675364597,53.23240337682299,Fri Jun 24 07:35:17 BST 2016,Fri Jun 24 07:39:17 BST 2016,212.71104473309094,53.177761183272736,xml.transform,Fri Jun 24 07:39:52 BST 2016,Fri Jun 24 07:41:52 BST 2016,297.31288544411143,148.65644272205571,Fri Jun 24 07:41:55 BST 2016,Fri Jun 24 07:45:55 BST 2016,584.8381169381223,146.20952923453058,xml.validation,Fri Jun 24 07:45:59 BST 2016,Fri Jun 24 07:47:59 BST 2016,479.9638354137801,239.98191770689004,Fri Jun 24 07:48:01 BST 2016,Fri Jun 24 07:52:01 BST 2016,990.1501099513998,247.53752748784996
