spec.jvm2008.report.run.location=RIDLEY1B005
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i3 CPU         540  @ 3.07GHz
spec.jvm2008.report.hw.number.of.cores=2
spec.jvm2008.report.hw.memory.size=3893
benchmark-name=check, mode=normal, start=Sat Jun 25 04:50:36 BST 2016, end=Sat Jun 25 04:50:36 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 25 04:50:36 BST 2016, end=Sat Jun 25 04:50:36 BST 2016, operations=1.0, operationsPerMinute=103.80622837370242
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 25 04:50:36 BST 2016, end=Sat Jun 25 04:51:03 BST 2016, operations=1.0, operationsPerMinute=2.223539875481767
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 25 04:51:03 BST 2016, end=Sat Jun 25 04:51:10 BST 2016, operations=1.0, operationsPerMinute=8.68683943825105
benchmark-name=startup.compress, mode=normal, start=Sat Jun 25 04:51:10 BST 2016, end=Sat Jun 25 04:51:12 BST 2016, operations=1.0, operationsPerMinute=27.434842249657063
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 25 04:51:12 BST 2016, end=Sat Jun 25 04:51:24 BST 2016, operations=1.0, operationsPerMinute=5.052631578947368
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 25 04:51:24 BST 2016, end=Sat Jun 25 04:51:33 BST 2016, operations=1.0, operationsPerMinute=6.563833278634723
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 25 04:51:33 BST 2016, end=Sat Jun 25 04:51:41 BST 2016, operations=1.0, operationsPerMinute=7.984031936127744
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 25 04:51:41 BST 2016, end=Sat Jun 25 04:51:45 BST 2016, operations=1.0, operationsPerMinute=14.545454545454545
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 25 04:51:45 BST 2016, end=Sat Jun 25 04:51:46 BST 2016, operations=1.0, operationsPerMinute=50.505050505050505
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 25 04:51:46 BST 2016, end=Sat Jun 25 04:51:48 BST 2016, operations=1.0, operationsPerMinute=33.994334277620396
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 25 04:51:48 BST 2016, end=Sat Jun 25 04:51:55 BST 2016, operations=1.0, operationsPerMinute=8.348406845693614
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 25 04:51:55 BST 2016, end=Sat Jun 25 04:51:57 BST 2016, operations=1.0, operationsPerMinute=30.472320975114272
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 25 04:51:57 BST 2016, end=Sat Jun 25 04:52:00 BST 2016, operations=1.0, operationsPerMinute=25.263157894736842
benchmark-name=startup.serial, mode=normal, start=Sat Jun 25 04:52:00 BST 2016, end=Sat Jun 25 04:52:04 BST 2016, operations=1.0, operationsPerMinute=14.9402390438247
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 25 04:52:04 BST 2016, end=Sat Jun 25 04:52:12 BST 2016, operations=1.0, operationsPerMinute=7.4710496824803885
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 25 04:52:12 BST 2016, end=Sat Jun 25 04:52:43 BST 2016, operations=1.0, operationsPerMinute=1.8897042612831092
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 25 04:52:43 BST 2016, end=Sat Jun 25 04:52:45 BST 2016, operations=1.0, operationsPerMinute=36.92307692307692
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 25 04:53:04 BST 2016, end=Sat Jun 25 04:55:04 BST 2016, operations=216.0691494442036, operationsPerMinute=108.0345747221018, mode=normal, start=Sat Jun 25 04:55:07 BST 2016, end=Sat Jun 25 04:59:07 BST 2016, operations=441.4046998247894, operationsPerMinute=110.35117495619735
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 25 04:59:15 BST 2016, end=Sat Jun 25 05:01:15 BST 2016, operations=86.64431250644864, operationsPerMinute=43.32215625322432, mode=normal, start=Sat Jun 25 05:01:22 BST 2016, end=Sat Jun 25 05:05:22 BST 2016, operations=172.39164661067105, operationsPerMinute=43.09791165266776
benchmark-name=compress, mod=warmup, start=Sat Jun 25 05:05:31 BST 2016, end=Sat Jun 25 05:07:31 BST 2016, operations=148.4706825695403, operationsPerMinute=74.23534128477014, mode=normal, start=Sat Jun 25 05:07:36 BST 2016, end=Sat Jun 25 05:11:36 BST 2016, operations=303.31473107179494, operationsPerMinute=75.82868276794873
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 25 05:11:41 BST 2016, end=Sat Jun 25 05:13:41 BST 2016, operations=42.40052439804516, operationsPerMinute=21.20026219902258, mode=normal, start=Sat Jun 25 05:13:54 BST 2016, end=Sat Jun 25 05:17:54 BST 2016, operations=88.8687926616603, operationsPerMinute=22.217198165415073
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 25 05:18:09 BST 2016, end=Sat Jun 25 05:20:09 BST 2016, operations=74.53929292786303, operationsPerMinute=37.269646463931515, mode=normal, start=Sat Jun 25 05:20:19 BST 2016, end=Sat Jun 25 05:24:19 BST 2016, operations=159.61498966466218, operationsPerMinute=39.903747416165544
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 25 05:24:27 BST 2016, end=Sat Jun 25 05:26:27 BST 2016, operations=135.12271391723684, operationsPerMinute=67.56135695861842, mode=normal, start=Sat Jun 25 05:26:33 BST 2016, end=Sat Jun 25 05:30:33 BST 2016, operations=266.71405161782354, operationsPerMinute=66.67851290445589
benchmark-name=derby, mod=warmup, start=Sat Jun 25 05:32:08 BST 2016, end=Sat Jun 25 05:34:08 BST 2016, operations=123.53569988174073, operationsPerMinute=61.76784994087036, mode=normal, start=Sat Jun 25 05:34:14 BST 2016, end=Sat Jun 25 05:38:14 BST 2016, operations=248.6862909616812, operationsPerMinute=62.1715727404203
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 25 05:38:19 BST 2016, end=Sat Jun 25 05:40:19 BST 2016, operations=72.36635999405715, operationsPerMinute=36.183179997028574, mode=normal, start=Sat Jun 25 05:40:28 BST 2016, end=Sat Jun 25 05:44:28 BST 2016, operations=145.64823240411826, operationsPerMinute=36.412058101029565
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 25 05:44:36 BST 2016, end=Sat Jun 25 05:46:36 BST 2016, operations=49.41688894879877, operationsPerMinute=24.708444474399386, mode=normal, start=Sat Jun 25 05:46:49 BST 2016, end=Sat Jun 25 05:50:49 BST 2016, operations=101.46642217743687, operationsPerMinute=25.366605544359217
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 25 05:51:08 BST 2016, end=Sat Jun 25 05:53:08 BST 2016, operations=13.324512720692248, operationsPerMinute=6.662256360346124, mode=normal, start=Sat Jun 25 05:53:50 BST 2016, end=Sat Jun 25 05:57:50 BST 2016, operations=26.583985174174668, operationsPerMinute=6.645996293543667
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 25 05:58:33 BST 2016, end=Sat Jun 25 06:00:33 BST 2016, operations=47.56743100675431, operationsPerMinute=23.783715503377156, mode=normal, start=Sat Jun 25 06:00:52 BST 2016, end=Sat Jun 25 06:04:52 BST 2016, operations=94.98988689937649, operationsPerMinute=23.74747172484412
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 25 06:05:12 BST 2016, end=Sat Jun 25 06:07:12 BST 2016, operations=27.610277551579912, operationsPerMinute=13.805138775789956, mode=normal, start=Sat Jun 25 06:07:41 BST 2016, end=Sat Jun 25 06:11:41 BST 2016, operations=55.33251511436434, operationsPerMinute=13.833128778591085
