spec.jvm2008.report.run.location=KINGS01
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8066
benchmark-name=check, mode=normal, start=Sat Jun 25 10:53:11 BST 2016, end=Sat Jun 25 10:53:11 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 25 10:53:11 BST 2016, end=Sat Jun 25 10:53:11 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 25 10:53:11 BST 2016, end=Sat Jun 25 10:53:28 BST 2016, operations=1.0, operationsPerMinute=3.6216575119212893
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 25 10:53:28 BST 2016, end=Sat Jun 25 10:53:32 BST 2016, operations=1.0, operationsPerMinute=15.201418799087914
benchmark-name=startup.compress, mode=normal, start=Sat Jun 25 10:53:32 BST 2016, end=Sat Jun 25 10:53:33 BST 2016, operations=1.0, operationsPerMinute=43.69992716678806
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 25 10:53:33 BST 2016, end=Sat Jun 25 10:53:42 BST 2016, operations=1.0, operationsPerMinute=6.688963210702341
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 25 10:53:42 BST 2016, end=Sat Jun 25 10:53:50 BST 2016, operations=1.0, operationsPerMinute=7.7539415869733785
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 25 10:53:50 BST 2016, end=Sat Jun 25 10:53:57 BST 2016, operations=1.0, operationsPerMinute=9.007656508031827
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 25 10:53:57 BST 2016, end=Sat Jun 25 10:53:59 BST 2016, operations=1.0, operationsPerMinute=22.76176024279211
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 25 10:53:59 BST 2016, end=Sat Jun 25 10:54:00 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 25 10:54:00 BST 2016, end=Sat Jun 25 10:54:01 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 25 10:54:01 BST 2016, end=Sat Jun 25 10:54:07 BST 2016, operations=1.0, operationsPerMinute=9.912440112340988
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 25 10:54:07 BST 2016, end=Sat Jun 25 10:54:09 BST 2016, operations=1.0, operationsPerMinute=39.24133420536298
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 25 10:54:09 BST 2016, end=Sat Jun 25 10:54:10 BST 2016, operations=1.0, operationsPerMinute=53.42831700801425
benchmark-name=startup.serial, mode=normal, start=Sat Jun 25 10:54:10 BST 2016, end=Sat Jun 25 10:54:13 BST 2016, operations=1.0, operationsPerMinute=23.446658851113718
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 25 10:54:13 BST 2016, end=Sat Jun 25 10:54:19 BST 2016, operations=1.0, operationsPerMinute=9.049773755656108
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 25 10:54:19 BST 2016, end=Sat Jun 25 10:54:43 BST 2016, operations=1.0, operationsPerMinute=2.5607101702872264
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 25 10:54:43 BST 2016, end=Sat Jun 25 10:54:44 BST 2016, operations=1.0, operationsPerMinute=55.762081784386616
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 25 10:54:56 BST 2016, end=Sat Jun 25 10:56:56 BST 2016, operations=433.1617260156818, operationsPerMinute=216.5808630078409, mode=normal, start=Sat Jun 25 10:56:58 BST 2016, end=Sat Jun 25 11:00:58 BST 2016, operations=862.3400376359451, operationsPerMinute=215.58500940898628
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 25 11:01:03 BST 2016, end=Sat Jun 25 11:03:03 BST 2016, operations=172.26778963788135, operationsPerMinute=86.13389481894068, mode=normal, start=Sat Jun 25 11:03:07 BST 2016, end=Sat Jun 25 11:07:07 BST 2016, operations=345.45342069541925, operationsPerMinute=86.36335517385481
benchmark-name=compress, mod=warmup, start=Sat Jun 25 11:07:10 BST 2016, end=Sat Jun 25 11:09:10 BST 2016, operations=373.5116156629813, operationsPerMinute=186.75580783149064, mode=normal, start=Sat Jun 25 11:09:12 BST 2016, end=Sat Jun 25 11:13:12 BST 2016, operations=747.0986787462177, operationsPerMinute=186.77466968655443
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 25 11:13:14 BST 2016, end=Sat Jun 25 11:15:14 BST 2016, operations=123.67502847185878, operationsPerMinute=61.83751423592939, mode=normal, start=Sat Jun 25 11:15:21 BST 2016, end=Sat Jun 25 11:19:21 BST 2016, operations=259.8447660000306, operationsPerMinute=64.96119150000764
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 25 11:19:27 BST 2016, end=Sat Jun 25 11:21:27 BST 2016, operations=217.4757347834545, operationsPerMinute=108.73786739172725, mode=normal, start=Sat Jun 25 11:21:30 BST 2016, end=Sat Jun 25 11:25:30 BST 2016, operations=436.54258241758237, operationsPerMinute=109.13564560439559
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 25 11:25:34 BST 2016, end=Sat Jun 25 11:27:34 BST 2016, operations=374.3434543328497, operationsPerMinute=187.17172716642486, mode=normal, start=Sat Jun 25 11:27:36 BST 2016, end=Sat Jun 25 11:31:36 BST 2016, operations=749.0935611960283, operationsPerMinute=187.27339029900708
benchmark-name=derby, mod=warmup, start=Sat Jun 25 11:32:51 BST 2016, end=Sat Jun 25 11:34:51 BST 2016, operations=283.96139952986687, operationsPerMinute=141.98069976493343, mode=normal, start=Sat Jun 25 11:34:54 BST 2016, end=Sat Jun 25 11:38:54 BST 2016, operations=567.9054957584623, operationsPerMinute=141.97637393961557
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 25 11:38:57 BST 2016, end=Sat Jun 25 11:40:57 BST 2016, operations=183.23780436527326, operationsPerMinute=91.61890218263663, mode=normal, start=Sat Jun 25 11:41:02 BST 2016, end=Sat Jun 25 11:45:02 BST 2016, operations=367.5484050181611, operationsPerMinute=91.88710125454027
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 25 11:45:06 BST 2016, end=Sat Jun 25 11:47:06 BST 2016, operations=103.63856894554117, operationsPerMinute=51.81928447277058, mode=normal, start=Sat Jun 25 11:47:13 BST 2016, end=Sat Jun 25 11:51:13 BST 2016, operations=199.67842556041037, operationsPerMinute=49.919606390102594
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 25 11:51:20 BST 2016, end=Sat Jun 25 11:53:20 BST 2016, operations=21.674258240283166, operationsPerMinute=10.837129120141583, mode=normal, start=Sat Jun 25 11:53:50 BST 2016, end=Sat Jun 25 11:57:50 BST 2016, operations=43.46252683201721, operationsPerMinute=10.865631708004303
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 25 11:58:17 BST 2016, end=Sat Jun 25 12:00:17 BST 2016, operations=73.48615664355655, operationsPerMinute=36.74307832177828, mode=normal, start=Sat Jun 25 12:00:28 BST 2016, end=Sat Jun 25 12:04:28 BST 2016, operations=147.47809204239462, operationsPerMinute=36.869523010598655
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 25 12:04:39 BST 2016, end=Sat Jun 25 12:06:39 BST 2016, operations=71.33874484458337, operationsPerMinute=35.66937242229169, mode=normal, start=Sat Jun 25 12:06:47 BST 2016, end=Sat Jun 25 12:10:47 BST 2016, operations=143.45163604029437, operationsPerMinute=35.862909010073594
benchmark-name=scimark.fft.small, mod=warmup, start=Sat Jun 25 12:10:57 BST 2016, end=Sat Jun 25 12:12:57 BST 2016, operations=597.3640541650759, operationsPerMinute=298.68202708253796, mode=normal, start=Sat Jun 25 12:12:58 BST 2016, end=Sat Jun 25 12:16:58 BST 2016, operations=1225.1647289513646, operationsPerMinute=306.29118223784116
benchmark-name=scimark.lu.small, mod=warmup, start=Sat Jun 25 12:16:59 BST 2016, end=Sat Jun 25 12:18:59 BST 2016, operations=480.8277108454127, operationsPerMinute=240.41385542270635, mode=normal, start=Sat Jun 25 12:19:01 BST 2016, end=Sat Jun 25 12:23:01 BST 2016, operations=953.6762241848377, operationsPerMinute=238.41905604620942
benchmark-name=scimark.sor.small, mod=warmup, start=Sat Jun 25 12:23:03 BST 2016, end=Sat Jun 25 12:25:03 BST 2016, operations=318.9393983586247, operationsPerMinute=159.46969917931236, mode=normal, start=Sat Jun 25 12:25:05 BST 2016, end=Sat Jun 25 12:29:05 BST 2016, operations=638.305294892657, operationsPerMinute=159.57632372316425
benchmark-name=scimark.sparse.small, mod=warmup, start=Sat Jun 25 12:29:08 BST 2016, end=Sat Jun 25 12:31:08 BST 2016, operations=455.4134514826974, operationsPerMinute=227.7067257413487, mode=normal, start=Sat Jun 25 12:31:10 BST 2016, end=Sat Jun 25 12:35:10 BST 2016, operations=917.945512908876, operationsPerMinute=229.486378227219
benchmark-name=scimark.monte_carlo, mod=warmup, start=Sat Jun 25 12:35:11 BST 2016, end=Sat Jun 25 12:37:11 BST 2016, operations=103.86776918528655, operationsPerMinute=51.933884592643274, mode=normal, start=Sat Jun 25 12:37:20 BST 2016, end=Sat Jun 25 12:41:20 BST 2016, operations=207.49660018327447, operationsPerMinute=51.87415004581862
