spec.jvm2008.report.run.location=ROBLIB030
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:21:46 BST 2016, end=Thu May 26 14:21:46 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:21:46 BST 2016, end=Thu May 26 14:21:47 BST 2016, operations=1.0, operationsPerMinute=89.41877794336811
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:21:47 BST 2016, end=Thu May 26 14:22:07 BST 2016, operations=1.0, operationsPerMinute=2.9809220985691574
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:22:07 BST 2016, end=Thu May 26 14:22:12 BST 2016, operations=1.0, operationsPerMinute=11.760094080752646
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:22:12 BST 2016, end=Thu May 26 14:22:13 BST 2016, operations=1.0, operationsPerMinute=41.81184668989547
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:22:13 BST 2016, end=Thu May 26 14:22:23 BST 2016, operations=1.0, operationsPerMinute=6.346519991537973
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:22:23 BST 2016, end=Thu May 26 14:22:31 BST 2016, operations=1.0, operationsPerMinute=7.661856723279275
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:22:31 BST 2016, end=Thu May 26 14:22:37 BST 2016, operations=1.0, operationsPerMinute=8.882309400444116
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:22:37 BST 2016, end=Thu May 26 14:22:40 BST 2016, operations=1.0, operationsPerMinute=21.606049693914297
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:22:40 BST 2016, end=Thu May 26 14:22:41 BST 2016, operations=1.0, operationsPerMinute=68.64988558352402
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:22:41 BST 2016, end=Thu May 26 14:22:42 BST 2016, operations=1.0, operationsPerMinute=54.200542005420054
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:22:42 BST 2016, end=Thu May 26 14:22:48 BST 2016, operations=1.0, operationsPerMinute=9.71188086759469
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:22:48 BST 2016, end=Thu May 26 14:22:50 BST 2016, operations=1.0, operationsPerMinute=38.46153846153846
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:22:50 BST 2016, end=Thu May 26 14:22:51 BST 2016, operations=1.0, operationsPerMinute=51.99306759098787
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:22:51 BST 2016, end=Thu May 26 14:22:54 BST 2016, operations=1.0, operationsPerMinute=22.488755622188904
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:22:54 BST 2016, end=Thu May 26 14:23:01 BST 2016, operations=1.0, operationsPerMinute=8.35887433825578
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:23:01 BST 2016, end=Thu May 26 14:23:27 BST 2016, operations=1.0, operationsPerMinute=2.2959476523935254
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:23:27 BST 2016, end=Thu May 26 14:23:28 BST 2016, operations=1.0, operationsPerMinute=46.51162790697674
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:23:42 BST 2016, end=Thu May 26 14:25:42 BST 2016, operations=381.94461616722964, operationsPerMinute=190.97230808361482, mode=normal, start=Thu May 26 14:25:44 BST 2016, end=Thu May 26 14:29:44 BST 2016, operations=780.506938710563, operationsPerMinute=195.12673467764074
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:29:50 BST 2016, end=Thu May 26 14:31:50 BST 2016, operations=148.9464831251834, operationsPerMinute=74.4732415625917, mode=normal, start=Thu May 26 14:31:53 BST 2016, end=Thu May 26 14:35:53 BST 2016, operations=301.71048534667835, operationsPerMinute=75.42762133666959
benchmark-name=compress, mod=warmup, start=Thu May 26 14:35:58 BST 2016, end=Thu May 26 14:37:58 BST 2016, operations=316.57460015495803, operationsPerMinute=158.28730007747902, mode=normal, start=Thu May 26 14:38:00 BST 2016, end=Thu May 26 14:42:00 BST 2016, operations=632.0505904320531, operationsPerMinute=158.01264760801328
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:42:03 BST 2016, end=Thu May 26 14:44:03 BST 2016, operations=112.3740851061614, operationsPerMinute=56.1870425530807, mode=normal, start=Thu May 26 14:44:09 BST 2016, end=Thu May 26 14:48:09 BST 2016, operations=227.31559597329863, operationsPerMinute=56.82889899332466
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:48:17 BST 2016, end=Thu May 26 14:50:17 BST 2016, operations=195.31241621809062, operationsPerMinute=97.65620810904531, mode=normal, start=Thu May 26 14:50:21 BST 2016, end=Thu May 26 14:54:21 BST 2016, operations=380.8110562590093, operationsPerMinute=95.20276406475233
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:54:24 BST 2016, end=Thu May 26 14:56:24 BST 2016, operations=324.20262307942374, operationsPerMinute=162.10131153971187, mode=normal, start=Thu May 26 14:56:27 BST 2016, end=Thu May 26 15:00:27 BST 2016, operations=613.2660503533723, operationsPerMinute=153.31651258834307
benchmark-name=derby, mod=warmup, start=Thu May 26 15:01:26 BST 2016, end=Thu May 26 15:03:26 BST 2016, operations=215.64676479471552, operationsPerMinute=107.82338239735776, mode=normal, start=Thu May 26 15:03:30 BST 2016, end=Thu May 26 15:07:30 BST 2016, operations=415.0383327613874, operationsPerMinute=103.75958319034685
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:07:34 BST 2016, end=Thu May 26 15:09:34 BST 2016, operations=144.4234355701368, operationsPerMinute=72.2117177850684, mode=normal, start=Thu May 26 15:09:38 BST 2016, end=Thu May 26 15:13:38 BST 2016, operations=297.5821204568524, operationsPerMinute=74.3955301142131
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:13:42 BST 2016, end=Thu May 26 15:15:42 BST 2016, operations=94.0743788864792, operationsPerMinute=47.0371894432396, mode=normal, start=Thu May 26 15:15:48 BST 2016, end=Thu May 26 15:19:48 BST 2016, operations=200.96693953964603, operationsPerMinute=50.24173488491151
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:19:55 BST 2016, end=Thu May 26 15:21:55 BST 2016, operations=24.539496479572865, operationsPerMinute=12.269748239786432, mode=normal, start=Thu May 26 15:23:02 BST 2016, end=Thu May 26 15:27:02 BST 2016, operations=40.774195495528176, operationsPerMinute=10.193548873882044
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:27:32 BST 2016, end=Thu May 26 15:29:32 BST 2016, operations=62.31177990170409, operationsPerMinute=31.155889950852046, mode=normal, start=Thu May 26 15:29:42 BST 2016, end=Thu May 26 15:33:42 BST 2016, operations=122.52704740628107, operationsPerMinute=30.631761851570268
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:33:56 BST 2016, end=Thu May 26 15:35:56 BST 2016, operations=69.43426817636244, operationsPerMinute=34.71713408818122, mode=normal, start=Thu May 26 15:36:04 BST 2016, end=Thu May 26 15:40:04 BST 2016, operations=143.7362436177438, operationsPerMinute=35.93406090443595
benchmark-name=scimark.fft.small, mod=warmup, start=Thu May 26 15:40:12 BST 2016, end=Thu May 26 15:42:12 BST 2016, operations=627.760853789383, operationsPerMinute=313.8804268946915, mode=normal, start=Thu May 26 15:42:13 BST 2016, end=Thu May 26 15:46:13 BST 2016, operations=1210.3988243751714, operationsPerMinute=302.59970609379286
benchmark-name=scimark.lu.small, mod=warmup, start=Thu May 26 15:46:15 BST 2016, end=Thu May 26 15:48:15 BST 2016, operations=430.69443959368886, operationsPerMinute=215.34721979684443, mode=normal, start=Thu May 26 15:48:16 BST 2016, end=Thu May 26 15:52:16 BST 2016, operations=844.6184809002558, operationsPerMinute=211.15462022506395
benchmark-name=scimark.sor.small, mod=warmup, start=Thu May 26 15:52:18 BST 2016, end=Thu May 26 15:54:18 BST 2016, operations=272.4795720212994, operationsPerMinute=136.2397860106497, mode=normal, start=Thu May 26 15:54:21 BST 2016, end=Thu May 26 15:58:21 BST 2016, operations=556.7005806507354, operationsPerMinute=139.17514516268386
benchmark-name=scimark.sparse.small, mod=warmup, start=Thu May 26 15:58:24 BST 2016, end=Thu May 26 16:00:24 BST 2016, operations=405.2206149740647, operationsPerMinute=202.61030748703234, mode=normal, start=Thu May 26 16:00:26 BST 2016, end=Thu May 26 16:04:26 BST 2016, operations=808.7816082736977, operationsPerMinute=202.1954020684244
benchmark-name=scimark.monte_carlo, mod=warmup, start=Thu May 26 16:04:28 BST 2016, end=Thu May 26 16:06:28 BST 2016, operations=93.96134963891532, operationsPerMinute=46.98067481945766, mode=normal, start=Thu May 26 16:06:37 BST 2016, end=Thu May 26 16:10:37 BST 2016, operations=182.28778275312368, operationsPerMinute=45.57194568828092
benchmark-name=serial, mod=warmup, start=Thu May 26 16:10:46 BST 2016, end=Thu May 26 16:12:46 BST 2016, operations=152.67485741191973, operationsPerMinute=76.33742870595987, mode=normal, start=Thu May 26 16:12:50 BST 2016, end=Thu May 26 16:16:50 BST 2016, operations=344.2509292443917, operationsPerMinute=86.06273231109793
