spec.jvm2008.report.run.location=BEDSONTC010
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:18:45 BST 2016, end=Thu May 26 14:18:45 BST 2016, operations=1.0, operationsPerMinute=1333.3333333333333
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:18:45 BST 2016, end=Thu May 26 14:18:46 BST 2016, operations=1.0, operationsPerMinute=298.5074626865672
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:18:46 BST 2016, end=Thu May 26 14:18:51 BST 2016, operations=1.0, operationsPerMinute=10.982976386600768
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:18:51 BST 2016, end=Thu May 26 14:18:54 BST 2016, operations=1.0, operationsPerMinute=20.14098690835851
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:18:54 BST 2016, end=Thu May 26 14:18:55 BST 2016, operations=1.0, operationsPerMinute=46.80187207488299
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:18:55 BST 2016, end=Thu May 26 14:19:04 BST 2016, operations=1.0, operationsPerMinute=7.153928699177298
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:19:04 BST 2016, end=Thu May 26 14:19:11 BST 2016, operations=1.0, operationsPerMinute=8.285004142502071
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:19:11 BST 2016, end=Thu May 26 14:19:17 BST 2016, operations=1.0, operationsPerMinute=9.459246413369069
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:19:17 BST 2016, end=Thu May 26 14:19:20 BST 2016, operations=1.0, operationsPerMinute=26.350461133069828
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:19:20 BST 2016, end=Thu May 26 14:19:20 BST 2016, operations=1.0, operationsPerMinute=80.0
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:19:20 BST 2016, end=Thu May 26 14:19:21 BST 2016, operations=1.0, operationsPerMinute=64.58557588805166
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:19:21 BST 2016, end=Thu May 26 14:19:27 BST 2016, operations=1.0, operationsPerMinute=10.608203677510609
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:19:27 BST 2016, end=Thu May 26 14:19:28 BST 2016, operations=1.0, operationsPerMinute=41.4651002073255
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:19:28 BST 2016, end=Thu May 26 14:19:29 BST 2016, operations=1.0, operationsPerMinute=59.46481665014866
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:19:29 BST 2016, end=Thu May 26 14:19:32 BST 2016, operations=1.0, operationsPerMinute=27.573529411764707
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:19:32 BST 2016, end=Thu May 26 14:19:38 BST 2016, operations=1.0, operationsPerMinute=8.768084173608067
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:19:38 BST 2016, end=Thu May 26 14:19:58 BST 2016, operations=1.0, operationsPerMinute=3.113648157758173
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:19:58 BST 2016, end=Thu May 26 14:19:58 BST 2016, operations=1.0, operationsPerMinute=71.8562874251497
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:20:01 BST 2016, end=Thu May 26 14:22:01 BST 2016, operations=476.8440827995967, operationsPerMinute=238.42204139979836, mode=normal, start=Thu May 26 14:22:03 BST 2016, end=Thu May 26 14:26:03 BST 2016, operations=970.4400337045124, operationsPerMinute=242.6100084261281
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:26:07 BST 2016, end=Thu May 26 14:28:07 BST 2016, operations=189.07257874684336, operationsPerMinute=94.53628937342168, mode=normal, start=Thu May 26 14:28:10 BST 2016, end=Thu May 26 14:32:10 BST 2016, operations=361.64570518394635, operationsPerMinute=90.41142629598659
benchmark-name=compress, mod=warmup, start=Thu May 26 14:32:14 BST 2016, end=Thu May 26 14:34:14 BST 2016, operations=383.2463164936607, operationsPerMinute=191.62315824683034, mode=normal, start=Thu May 26 14:34:16 BST 2016, end=Thu May 26 14:38:16 BST 2016, operations=770.1033619549437, operationsPerMinute=192.52584048873592
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:38:18 BST 2016, end=Thu May 26 14:40:18 BST 2016, operations=137.2752282121523, operationsPerMinute=68.63761410607616, mode=normal, start=Thu May 26 14:40:24 BST 2016, end=Thu May 26 14:44:24 BST 2016, operations=291.19603497750154, operationsPerMinute=72.79900874437539
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:44:28 BST 2016, end=Thu May 26 14:46:28 BST 2016, operations=234.23742645044834, operationsPerMinute=117.11871322522417, mode=normal, start=Thu May 26 14:46:31 BST 2016, end=Thu May 26 14:50:31 BST 2016, operations=466.72574859012167, operationsPerMinute=116.68143714753042
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:50:35 BST 2016, end=Thu May 26 14:52:35 BST 2016, operations=398.6558709352822, operationsPerMinute=199.3279354676411, mode=normal, start=Thu May 26 14:52:37 BST 2016, end=Thu May 26 14:56:37 BST 2016, operations=794.43016822763, operationsPerMinute=198.6075420569075
benchmark-name=derby, mod=warmup, start=Thu May 26 14:56:59 BST 2016, end=Thu May 26 14:58:59 BST 2016, operations=334.37717167585805, operationsPerMinute=167.18858583792903, mode=normal, start=Thu May 26 14:59:02 BST 2016, end=Thu May 26 15:03:02 BST 2016, operations=663.041517721563, operationsPerMinute=165.76037943039074
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:03:05 BST 2016, end=Thu May 26 15:05:05 BST 2016, operations=201.30344348519802, operationsPerMinute=100.65172174259901, mode=normal, start=Thu May 26 15:05:08 BST 2016, end=Thu May 26 15:09:08 BST 2016, operations=406.1674533487669, operationsPerMinute=101.54186333719173
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:09:12 BST 2016, end=Thu May 26 15:11:12 BST 2016, operations=65.42212254401964, operationsPerMinute=32.71106127200982, mode=normal, start=Thu May 26 15:11:20 BST 2016, end=Thu May 26 15:15:20 BST 2016, operations=137.9327165148579, operationsPerMinute=34.483179128714475
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:15:30 BST 2016, end=Thu May 26 15:17:30 BST 2016, operations=13.202110485159022, operationsPerMinute=6.601055242579511, mode=normal, start=Thu May 26 15:18:31 BST 2016, end=Thu May 26 15:22:31 BST 2016, operations=24.334246413741134, operationsPerMinute=6.0835616034352835
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:23:31 BST 2016, end=Thu May 26 15:25:31 BST 2016, operations=60.4916290677501, operationsPerMinute=30.24581453387505, mode=normal, start=Thu May 26 15:25:43 BST 2016, end=Thu May 26 15:29:43 BST 2016, operations=143.9149214596643, operationsPerMinute=35.978730364916075
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:29:55 BST 2016, end=Thu May 26 15:31:55 BST 2016, operations=40.792965019148454, operationsPerMinute=20.396482509574227, mode=normal, start=Thu May 26 15:32:17 BST 2016, end=Thu May 26 15:36:17 BST 2016, operations=68.86143731414393, operationsPerMinute=17.215359328535982
benchmark-name=scimark.fft.small, mod=warmup, start=Thu May 26 15:36:35 BST 2016, end=Thu May 26 15:38:35 BST 2016, operations=684.1161460379797, operationsPerMinute=342.05807301898983, mode=normal, start=Thu May 26 15:38:36 BST 2016, end=Thu May 26 15:42:36 BST 2016, operations=1324.6950899648964, operationsPerMinute=331.1737724912241
benchmark-name=scimark.lu.small, mod=warmup, start=Thu May 26 15:42:38 BST 2016, end=Thu May 26 15:44:38 BST 2016, operations=540.3299483191191, operationsPerMinute=270.16497415955956, mode=normal, start=Thu May 26 15:44:39 BST 2016, end=Thu May 26 15:48:39 BST 2016, operations=1077.8154308683388, operationsPerMinute=269.4538577170847
benchmark-name=scimark.sor.small, mod=warmup, start=Thu May 26 15:48:41 BST 2016, end=Thu May 26 15:50:41 BST 2016, operations=323.5649166338429, operationsPerMinute=161.78245831692146, mode=normal, start=Thu May 26 15:50:43 BST 2016, end=Thu May 26 15:54:43 BST 2016, operations=649.5362122001648, operationsPerMinute=162.3840530500412
benchmark-name=scimark.sparse.small, mod=warmup, start=Thu May 26 15:54:46 BST 2016, end=Thu May 26 15:56:46 BST 2016, operations=510.58673682452184, operationsPerMinute=255.29336841226092, mode=normal, start=Thu May 26 15:56:47 BST 2016, end=Thu May 26 16:00:47 BST 2016, operations=1012.4658584169454, operationsPerMinute=253.11646460423634
benchmark-name=scimark.monte_carlo, mod=warmup, start=Thu May 26 16:00:48 BST 2016, end=Thu May 26 16:02:48 BST 2016, operations=119.21171946041966, operationsPerMinute=59.60585973020983, mode=normal, start=Thu May 26 16:02:54 BST 2016, end=Thu May 26 16:06:54 BST 2016, operations=239.67347870454677, operationsPerMinute=59.91836967613669
benchmark-name=serial, mod=warmup, start=Thu May 26 16:06:59 BST 2016, end=Thu May 26 16:08:59 BST 2016, operations=240.09344447563018, operationsPerMinute=120.04672223781509, mode=normal, start=Thu May 26 16:09:02 BST 2016, end=Thu May 26 16:13:02 BST 2016, operations=472.01148061636155, operationsPerMinute=118.00287015409039
benchmark-name=sunflow, mod=warmup, start=Thu May 26 16:13:06 BST 2016, end=Thu May 26 16:15:06 BST 2016, operations=179.8051038846233, operationsPerMinute=89.90255194231165, mode=normal, start=Thu May 26 16:15:08 BST 2016, end=Thu May 26 16:19:08 BST 2016, operations=361.2342387791458, operationsPerMinute=90.30855969478645
benchmark-name=xml.transform, mod=warmup, start=Thu May 26 16:19:28 BST 2016, end=Thu May 26 16:21:28 BST 2016, operations=526.6853632561106, operationsPerMinute=263.3426816280553, mode=normal, start=Thu May 26 16:21:30 BST 2016, end=Thu May 26 16:25:30 BST 2016, operations=1005.6433798659616, operationsPerMinute=251.4108449664904
benchmark-name=xml.validation, mod=warmup, start=Thu May 26 16:25:32 BST 2016, end=Thu May 26 16:27:32 BST 2016, operations=1011.0723898443586, operationsPerMinute=505.5361949221793, mode=normal, start=Thu May 26 16:27:33 BST 2016, end=Thu May 26 16:31:33 BST 2016, operations=1983.0050150852085, operationsPerMinute=495.7512537713021
##-nursultan-##,BEDSONTC010,n/a,n/a,n/a,check,Thu May 26 14:18:45 BST 2016,Thu May 26 14:18:45 BST 2016,1.0,1333.3333333333333,startup.helloworld,Thu May 26 14:18:45 BST 2016,Thu May 26 14:18:46 BST 2016,1.0,298.5074626865672,startup.compiler.compiler,Thu May 26 14:18:46 BST 2016,Thu May 26 14:18:51 BST 2016,1.0,10.982976386600768,startup.compiler.sunflow,Thu May 26 14:18:51 BST 2016,Thu May 26 14:18:54 BST 2016,1.0,20.14098690835851,startup.compress,Thu May 26 14:18:54 BST 2016,Thu May 26 14:18:55 BST 2016,1.0,46.80187207488299,startup.crypto.aes,Thu May 26 14:18:55 BST 2016,Thu May 26 14:19:04 BST 2016,1.0,7.153928699177298,startup.crypto.rsa,Thu May 26 14:19:04 BST 2016,Thu May 26 14:19:11 BST 2016,1.0,8.285004142502071,startup.crypto.signverify,Thu May 26 14:19:11 BST 2016,Thu May 26 14:19:17 BST 2016,1.0,9.459246413369069,startup.mpegaudio,Thu May 26 14:19:17 BST 2016,Thu May 26 14:19:20 BST 2016,1.0,26.350461133069828,startup.scimark.fft,Thu May 26 14:19:20 BST 2016,Thu May 26 14:19:20 BST 2016,1.0,80.0,startup.scimark.lu,Thu May 26 14:19:20 BST 2016,Thu May 26 14:19:21 BST 2016,1.0,64.58557588805166,startup.scimark.monte_carlo,Thu May 26 14:19:21 BST 2016,Thu May 26 14:19:27 BST 2016,1.0,10.608203677510609,startup.scimark.sor,Thu May 26 14:19:27 BST 2016,Thu May 26 14:19:28 BST 2016,1.0,41.4651002073255,startup.scimark.sparse,Thu May 26 14:19:28 BST 2016,Thu May 26 14:19:29 BST 2016,1.0,59.46481665014866,startup.serial,Thu May 26 14:19:29 BST 2016,Thu May 26 14:19:32 BST 2016,1.0,27.573529411764707,startup.sunflow,Thu May 26 14:19:32 BST 2016,Thu May 26 14:19:38 BST 2016,1.0,8.768084173608067,startup.xml.transform,Thu May 26 14:19:38 BST 2016,Thu May 26 14:19:58 BST 2016,1.0,3.113648157758173,startup.xml.validation,Thu May 26 14:19:58 BST 2016,Thu May 26 14:19:58 BST 2016,1.0,71.8562874251497,compiler.compiler,Thu May 26 14:20:01 BST 2016,Thu May 26 14:22:01 BST 2016,476.8440827995967,238.42204139979836,Thu May 26 14:22:03 BST 2016,Thu May 26 14:26:03 BST 2016,970.4400337045124,242.6100084261281,compiler.sunflow,Thu May 26 14:26:07 BST 2016,Thu May 26 14:28:07 BST 2016,189.07257874684336,94.53628937342168,Thu May 26 14:28:10 BST 2016,Thu May 26 14:32:10 BST 2016,361.64570518394635,90.41142629598659,compress,Thu May 26 14:32:14 BST 2016,Thu May 26 14:34:14 BST 2016,383.2463164936607,191.62315824683034,Thu May 26 14:34:16 BST 2016,Thu May 26 14:38:16 BST 2016,770.1033619549437,192.52584048873592,crypto.aes,Thu May 26 14:38:18 BST 2016,Thu May 26 14:40:18 BST 2016,137.2752282121523,68.63761410607616,Thu May 26 14:40:24 BST 2016,Thu May 26 14:44:24 BST 2016,291.19603497750154,72.79900874437539,crypto.rsa,Thu May 26 14:44:28 BST 2016,Thu May 26 14:46:28 BST 2016,234.23742645044834,117.11871322522417,Thu May 26 14:46:31 BST 2016,Thu May 26 14:50:31 BST 2016,466.72574859012167,116.68143714753042,crypto.signverify,Thu May 26 14:50:35 BST 2016,Thu May 26 14:52:35 BST 2016,398.6558709352822,199.3279354676411,Thu May 26 14:52:37 BST 2016,Thu May 26 14:56:37 BST 2016,794.43016822763,198.6075420569075,derby,Thu May 26 14:56:59 BST 2016,Thu May 26 14:58:59 BST 2016,334.37717167585805,167.18858583792903,Thu May 26 14:59:02 BST 2016,Thu May 26 15:03:02 BST 2016,663.041517721563,165.76037943039074,mpegaudio,Thu May 26 15:03:05 BST 2016,Thu May 26 15:05:05 BST 2016,201.30344348519802,100.65172174259901,Thu May 26 15:05:08 BST 2016,Thu May 26 15:09:08 BST 2016,406.1674533487669,101.54186333719173,scimark.fft.large,Thu May 26 15:09:12 BST 2016,Thu May 26 15:11:12 BST 2016,65.42212254401964,32.71106127200982,Thu May 26 15:11:20 BST 2016,Thu May 26 15:15:20 BST 2016,137.9327165148579,34.483179128714475,scimark.lu.large,Thu May 26 15:15:30 BST 2016,Thu May 26 15:17:30 BST 2016,13.202110485159022,6.601055242579511,Thu May 26 15:18:31 BST 2016,Thu May 26 15:22:31 BST 2016,24.334246413741134,6.0835616034352835,scimark.sor.large,Thu May 26 15:23:31 BST 2016,Thu May 26 15:25:31 BST 2016,60.4916290677501,30.24581453387505,Thu May 26 15:25:43 BST 2016,Thu May 26 15:29:43 BST 2016,143.9149214596643,35.978730364916075,scimark.sparse.large,Thu May 26 15:29:55 BST 2016,Thu May 26 15:31:55 BST 2016,40.792965019148454,20.396482509574227,Thu May 26 15:32:17 BST 2016,Thu May 26 15:36:17 BST 2016,68.86143731414393,17.215359328535982,scimark.fft.small,Thu May 26 15:36:35 BST 2016,Thu May 26 15:38:35 BST 2016,684.1161460379797,342.05807301898983,Thu May 26 15:38:36 BST 2016,Thu May 26 15:42:36 BST 2016,1324.6950899648964,331.1737724912241,scimark.lu.small,Thu May 26 15:42:38 BST 2016,Thu May 26 15:44:38 BST 2016,540.3299483191191,270.16497415955956,Thu May 26 15:44:39 BST 2016,Thu May 26 15:48:39 BST 2016,1077.8154308683388,269.4538577170847,scimark.sor.small,Thu May 26 15:48:41 BST 2016,Thu May 26 15:50:41 BST 2016,323.5649166338429,161.78245831692146,Thu May 26 15:50:43 BST 2016,Thu May 26 15:54:43 BST 2016,649.5362122001648,162.3840530500412,scimark.sparse.small,Thu May 26 15:54:46 BST 2016,Thu May 26 15:56:46 BST 2016,510.58673682452184,255.29336841226092,Thu May 26 15:56:47 BST 2016,Thu May 26 16:00:47 BST 2016,1012.4658584169454,253.11646460423634,scimark.monte_carlo,Thu May 26 16:00:48 BST 2016,Thu May 26 16:02:48 BST 2016,119.21171946041966,59.60585973020983,Thu May 26 16:02:54 BST 2016,Thu May 26 16:06:54 BST 2016,239.67347870454677,59.91836967613669,serial,Thu May 26 16:06:59 BST 2016,Thu May 26 16:08:59 BST 2016,240.09344447563018,120.04672223781509,Thu May 26 16:09:02 BST 2016,Thu May 26 16:13:02 BST 2016,472.01148061636155,118.00287015409039,sunflow,Thu May 26 16:13:06 BST 2016,Thu May 26 16:15:06 BST 2016,179.8051038846233,89.90255194231165,Thu May 26 16:15:08 BST 2016,Thu May 26 16:19:08 BST 2016,361.2342387791458,90.30855969478645,xml.transform,Thu May 26 16:19:28 BST 2016,Thu May 26 16:21:28 BST 2016,526.6853632561106,263.3426816280553,Thu May 26 16:21:30 BST 2016,Thu May 26 16:25:30 BST 2016,1005.6433798659616,251.4108449664904,xml.validation,Thu May 26 16:25:32 BST 2016,Thu May 26 16:27:32 BST 2016,1011.0723898443586,505.5361949221793,Thu May 26 16:27:33 BST 2016,Thu May 26 16:31:33 BST 2016,1983.0050150852085,495.7512537713021
