spec.jvm2008.report.run.location=ROBLIB051
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8067
benchmark-name=check, mode=normal, start=Sun Jun 19 00:39:48 BST 2016, end=Sun Jun 19 00:39:48 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 19 00:39:48 BST 2016, end=Sun Jun 19 00:39:48 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 19 00:39:48 BST 2016, end=Sun Jun 19 00:40:05 BST 2016, operations=1.0, operationsPerMinute=3.477656059815684
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 19 00:40:05 BST 2016, end=Sun Jun 19 00:40:09 BST 2016, operations=1.0, operationsPerMinute=14.792899408284024
benchmark-name=startup.compress, mode=normal, start=Sun Jun 19 00:40:09 BST 2016, end=Sun Jun 19 00:40:11 BST 2016, operations=1.0, operationsPerMinute=43.22766570605187
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 19 00:40:11 BST 2016, end=Sun Jun 19 00:40:20 BST 2016, operations=1.0, operationsPerMinute=6.665185514330149
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 19 00:40:20 BST 2016, end=Sun Jun 19 00:40:28 BST 2016, operations=1.0, operationsPerMinute=7.677543186180422
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 19 00:40:28 BST 2016, end=Sun Jun 19 00:40:34 BST 2016, operations=1.0, operationsPerMinute=8.820935019112026
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 19 00:40:34 BST 2016, end=Sun Jun 19 00:40:37 BST 2016, operations=1.0, operationsPerMinute=22.49718785151856
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 19 00:40:37 BST 2016, end=Sun Jun 19 00:40:38 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 19 00:40:38 BST 2016, end=Sun Jun 19 00:40:39 BST 2016, operations=1.0, operationsPerMinute=53.380782918149464
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 19 00:40:39 BST 2016, end=Sun Jun 19 00:40:45 BST 2016, operations=1.0, operationsPerMinute=9.861932938856016
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 19 00:40:45 BST 2016, end=Sun Jun 19 00:40:47 BST 2016, operations=1.0, operationsPerMinute=38.86010362694301
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 19 00:40:47 BST 2016, end=Sun Jun 19 00:40:48 BST 2016, operations=1.0, operationsPerMinute=51.99306759098787
benchmark-name=startup.serial, mode=normal, start=Sun Jun 19 00:40:48 BST 2016, end=Sun Jun 19 00:40:51 BST 2016, operations=1.0, operationsPerMinute=23.023791250959324
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 19 00:40:51 BST 2016, end=Sun Jun 19 00:40:57 BST 2016, operations=1.0, operationsPerMinute=8.965929468021518
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 19 00:40:57 BST 2016, end=Sun Jun 19 00:41:20 BST 2016, operations=1.0, operationsPerMinute=2.6164311878597593
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 19 00:41:20 BST 2016, end=Sun Jun 19 00:41:21 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 19 00:41:35 BST 2016, end=Sun Jun 19 00:43:35 BST 2016, operations=418.771899735158, operationsPerMinute=209.385949867579, mode=normal, start=Sun Jun 19 00:43:36 BST 2016, end=Sun Jun 19 00:47:36 BST 2016, operations=867.324753070304, operationsPerMinute=216.831188267576
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 19 00:47:42 BST 2016, end=Sun Jun 19 00:49:42 BST 2016, operations=168.89422543679706, operationsPerMinute=84.44711271839853, mode=normal, start=Sun Jun 19 00:49:46 BST 2016, end=Sun Jun 19 00:53:46 BST 2016, operations=337.30064632692523, operationsPerMinute=84.32516158173131
benchmark-name=compress, mod=warmup, start=Sun Jun 19 00:53:51 BST 2016, end=Sun Jun 19 00:55:51 BST 2016, operations=351.27780380003594, operationsPerMinute=175.63890190001797, mode=normal, start=Sun Jun 19 00:55:53 BST 2016, end=Sun Jun 19 00:59:53 BST 2016, operations=703.0248000379395, operationsPerMinute=175.75620000948487
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 19 00:59:56 BST 2016, end=Sun Jun 19 01:01:56 BST 2016, operations=116.54910353955428, operationsPerMinute=58.27455176977714, mode=normal, start=Sun Jun 19 01:02:02 BST 2016, end=Sun Jun 19 01:06:02 BST 2016, operations=245.45961716225983, operationsPerMinute=61.36490429056496
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 19 01:06:09 BST 2016, end=Sun Jun 19 01:08:09 BST 2016, operations=205.11287079872352, operationsPerMinute=102.55643539936176, mode=normal, start=Sun Jun 19 01:08:13 BST 2016, end=Sun Jun 19 01:12:13 BST 2016, operations=410.4357405359591, operationsPerMinute=102.60893513398977
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 19 01:12:17 BST 2016, end=Sun Jun 19 01:14:17 BST 2016, operations=353.22358497315173, operationsPerMinute=176.61179248657587, mode=normal, start=Sun Jun 19 01:14:19 BST 2016, end=Sun Jun 19 01:18:19 BST 2016, operations=706.9579928168134, operationsPerMinute=176.73949820420336
benchmark-name=derby, mod=warmup, start=Sun Jun 19 01:19:19 BST 2016, end=Sun Jun 19 01:21:19 BST 2016, operations=263.14592409374245, operationsPerMinute=131.57296204687123, mode=normal, start=Sun Jun 19 01:21:21 BST 2016, end=Sun Jun 19 01:25:21 BST 2016, operations=529.4912938770733, operationsPerMinute=132.37282346926833
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 19 01:25:25 BST 2016, end=Sun Jun 19 01:27:25 BST 2016, operations=173.24104102241748, operationsPerMinute=86.62052051120874, mode=normal, start=Sun Jun 19 01:27:29 BST 2016, end=Sun Jun 19 01:31:29 BST 2016, operations=346.7697668983061, operationsPerMinute=86.69244172457653
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 19 01:31:34 BST 2016, end=Sun Jun 19 01:33:34 BST 2016, operations=127.14162975784964, operationsPerMinute=63.57081487892482, mode=normal, start=Sun Jun 19 01:33:38 BST 2016, end=Sun Jun 19 01:37:38 BST 2016, operations=243.5176509143738, operationsPerMinute=60.87941272859345
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 19 01:37:44 BST 2016, end=Sun Jun 19 01:39:44 BST 2016, operations=25.344984514618154, operationsPerMinute=12.672492257309077, mode=normal, start=Sun Jun 19 01:40:11 BST 2016, end=Sun Jun 19 01:44:11 BST 2016, operations=50.64082462628173, operationsPerMinute=12.660206156570432
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 19 01:44:37 BST 2016, end=Sun Jun 19 01:46:37 BST 2016, operations=68.89526247140309, operationsPerMinute=34.44763123570154, mode=normal, start=Sun Jun 19 01:46:50 BST 2016, end=Sun Jun 19 01:50:50 BST 2016, operations=137.9473743000258, operationsPerMinute=34.48684357500645
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 19 01:51:00 BST 2016, end=Sun Jun 19 01:53:00 BST 2016, operations=81.26186139270112, operationsPerMinute=40.63093069635056, mode=normal, start=Sun Jun 19 01:53:06 BST 2016, end=Sun Jun 19 01:57:06 BST 2016, operations=162.9106784969612, operationsPerMinute=40.7276696242403
