spec.jvm2008.report.run.location=LEAZESTCE002
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8082
benchmark-name=check, mode=normal, start=Sun Jun 26 09:35:30 BST 2016, end=Sun Jun 26 09:35:30 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 26 09:35:30 BST 2016, end=Sun Jun 26 09:35:30 BST 2016, operations=1.0, operationsPerMinute=545.4545454545455
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 26 09:35:30 BST 2016, end=Sun Jun 26 09:35:43 BST 2016, operations=1.0, operationsPerMinute=4.6508022633904345
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 26 09:35:43 BST 2016, end=Sun Jun 26 09:35:46 BST 2016, operations=1.0, operationsPerMinute=18.58160421183029
benchmark-name=startup.compress, mode=normal, start=Sun Jun 26 09:35:46 BST 2016, end=Sun Jun 26 09:35:47 BST 2016, operations=1.0, operationsPerMinute=48.661800486618006
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 26 09:35:47 BST 2016, end=Sun Jun 26 09:35:56 BST 2016, operations=1.0, operationsPerMinute=7.09639266706091
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 26 09:35:56 BST 2016, end=Sun Jun 26 09:36:03 BST 2016, operations=1.0, operationsPerMinute=8.097165991902834
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 26 09:36:03 BST 2016, end=Sun Jun 26 09:36:10 BST 2016, operations=1.0, operationsPerMinute=9.071666162685213
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 26 09:36:10 BST 2016, end=Sun Jun 26 09:36:12 BST 2016, operations=1.0, operationsPerMinute=26.7022696929239
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 26 09:36:12 BST 2016, end=Sun Jun 26 09:36:12 BST 2016, operations=1.0, operationsPerMinute=83.68200836820084
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 26 09:36:12 BST 2016, end=Sun Jun 26 09:36:13 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 26 09:36:13 BST 2016, end=Sun Jun 26 09:36:19 BST 2016, operations=1.0, operationsPerMinute=10.863661053775122
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 26 09:36:19 BST 2016, end=Sun Jun 26 09:36:20 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 26 09:36:20 BST 2016, end=Sun Jun 26 09:36:21 BST 2016, operations=1.0, operationsPerMinute=61.98347107438016
benchmark-name=startup.serial, mode=normal, start=Sun Jun 26 09:36:21 BST 2016, end=Sun Jun 26 09:36:23 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 26 09:36:23 BST 2016, end=Sun Jun 26 09:36:30 BST 2016, operations=1.0, operationsPerMinute=9.357454772301933
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 26 09:36:30 BST 2016, end=Sun Jun 26 09:36:50 BST 2016, operations=1.0, operationsPerMinute=2.9907287409032
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 26 09:36:50 BST 2016, end=Sun Jun 26 09:36:51 BST 2016, operations=1.0, operationsPerMinute=76.92307692307692
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 26 09:37:01 BST 2016, end=Sun Jun 26 09:39:01 BST 2016, operations=481.52846271868486, operationsPerMinute=240.76423135934243, mode=normal, start=Sun Jun 26 09:39:02 BST 2016, end=Sun Jun 26 09:43:02 BST 2016, operations=998.6749722695691, operationsPerMinute=249.66874306739228
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 26 09:43:06 BST 2016, end=Sun Jun 26 09:45:06 BST 2016, operations=198.06485616127395, operationsPerMinute=99.03242808063698, mode=normal, start=Sun Jun 26 09:45:09 BST 2016, end=Sun Jun 26 09:49:09 BST 2016, operations=397.7647424756309, operationsPerMinute=99.44118561890772
benchmark-name=compress, mod=warmup, start=Sun Jun 26 09:49:12 BST 2016, end=Sun Jun 26 09:51:12 BST 2016, operations=400.1621686446569, operationsPerMinute=200.08108432232845, mode=normal, start=Sun Jun 26 09:51:15 BST 2016, end=Sun Jun 26 09:55:15 BST 2016, operations=801.2081300350586, operationsPerMinute=200.30203250876465
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 26 09:55:17 BST 2016, end=Sun Jun 26 09:57:17 BST 2016, operations=138.45416696954783, operationsPerMinute=69.22708348477391, mode=normal, start=Sun Jun 26 09:57:22 BST 2016, end=Sun Jun 26 10:01:22 BST 2016, operations=292.36623071906695, operationsPerMinute=73.09155767976674
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 26 10:01:28 BST 2016, end=Sun Jun 26 10:03:28 BST 2016, operations=235.93924349370096, operationsPerMinute=117.96962174685048, mode=normal, start=Sun Jun 26 10:03:31 BST 2016, end=Sun Jun 26 10:07:31 BST 2016, operations=475.63949014565867, operationsPerMinute=118.90987253641467
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 26 10:07:35 BST 2016, end=Sun Jun 26 10:09:35 BST 2016, operations=407.6817699880991, operationsPerMinute=203.84088499404956, mode=normal, start=Sun Jun 26 10:09:37 BST 2016, end=Sun Jun 26 10:13:37 BST 2016, operations=816.2802027368093, operationsPerMinute=204.07005068420233
benchmark-name=derby, mod=warmup, start=Sun Jun 26 10:13:59 BST 2016, end=Sun Jun 26 10:15:59 BST 2016, operations=362.3743714231794, operationsPerMinute=181.1871857115897, mode=normal, start=Sun Jun 26 10:16:01 BST 2016, end=Sun Jun 26 10:20:01 BST 2016, operations=722.9562493203715, operationsPerMinute=180.73906233009288
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 26 10:20:04 BST 2016, end=Sun Jun 26 10:22:04 BST 2016, operations=206.95293489869326, operationsPerMinute=103.47646744934663, mode=normal, start=Sun Jun 26 10:22:08 BST 2016, end=Sun Jun 26 10:26:08 BST 2016, operations=415.9564606981331, operationsPerMinute=103.98911517453328
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 26 10:26:12 BST 2016, end=Sun Jun 26 10:28:12 BST 2016, operations=70.29961364131411, operationsPerMinute=35.149806820657055, mode=normal, start=Sun Jun 26 10:28:20 BST 2016, end=Sun Jun 26 10:32:20 BST 2016, operations=145.5296281570267, operationsPerMinute=36.38240703925668
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 26 10:32:30 BST 2016, end=Sun Jun 26 10:34:30 BST 2016, operations=13.875862537434696, operationsPerMinute=6.937931268717348, mode=normal, start=Sun Jun 26 10:35:13 BST 2016, end=Sun Jun 26 10:39:13 BST 2016, operations=27.56246151816711, operationsPerMinute=6.890615379541778
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 26 10:39:43 BST 2016, end=Sun Jun 26 10:41:43 BST 2016, operations=74.41273950970901, operationsPerMinute=37.20636975485451, mode=normal, start=Sun Jun 26 10:41:52 BST 2016, end=Sun Jun 26 10:45:52 BST 2016, operations=149.0404525023517, operationsPerMinute=37.26011312558793
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 26 10:46:03 BST 2016, end=Sun Jun 26 10:48:03 BST 2016, operations=42.568675209620665, operationsPerMinute=21.284337604810332, mode=normal, start=Sun Jun 26 10:48:15 BST 2016, end=Sun Jun 26 10:52:15 BST 2016, operations=85.51931935686535, operationsPerMinute=21.379829839216338
benchmark-name=scimark.fft.small, mod=warmup, start=Sun Jun 26 10:52:30 BST 2016, end=Sun Jun 26 10:54:30 BST 2016, operations=708.5496736141615, operationsPerMinute=354.27483680708076, mode=normal, start=Sun Jun 26 10:54:31 BST 2016, end=Sun Jun 26 10:58:31 BST 2016, operations=1405.4391127261345, operationsPerMinute=351.3597781815336
benchmark-name=scimark.lu.small, mod=warmup, start=Sun Jun 26 10:58:32 BST 2016, end=Sun Jun 26 11:00:32 BST 2016, operations=575.537124425922, operationsPerMinute=287.768562212961, mode=normal, start=Sun Jun 26 11:00:33 BST 2016, end=Sun Jun 26 11:04:33 BST 2016, operations=1151.129480227286, operationsPerMinute=287.7823700568215
benchmark-name=scimark.sor.small, mod=warmup, start=Sun Jun 26 11:04:34 BST 2016, end=Sun Jun 26 11:06:34 BST 2016, operations=330.7967426466638, operationsPerMinute=165.3983713233319, mode=normal, start=Sun Jun 26 11:06:36 BST 2016, end=Sun Jun 26 11:10:36 BST 2016, operations=661.749268515606, operationsPerMinute=165.4373171289015
