spec.jvm2008.report.run.location=GNML06
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8104
benchmark-name=check, mode=normal, start=Fri Jun 03 15:03:09 BST 2016, end=Fri Jun 03 15:03:09 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 03 15:03:09 BST 2016, end=Fri Jun 03 15:03:09 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 03 15:03:09 BST 2016, end=Fri Jun 03 15:03:24 BST 2016, operations=1.0, operationsPerMinute=3.869220352099052
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 03 15:03:24 BST 2016, end=Fri Jun 03 15:03:28 BST 2016, operations=1.0, operationsPerMinute=17.172295363480252
benchmark-name=startup.compress, mode=normal, start=Fri Jun 03 15:03:28 BST 2016, end=Fri Jun 03 15:03:29 BST 2016, operations=1.0, operationsPerMinute=44.70938897168406
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 03 15:03:29 BST 2016, end=Fri Jun 03 15:03:38 BST 2016, operations=1.0, operationsPerMinute=6.892590465249857
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 03 15:03:38 BST 2016, end=Fri Jun 03 15:03:46 BST 2016, operations=1.0, operationsPerMinute=7.865757734661773
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 03 15:03:46 BST 2016, end=Fri Jun 03 15:03:52 BST 2016, operations=1.0, operationsPerMinute=8.862629246676514
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 03 15:03:52 BST 2016, end=Fri Jun 03 15:03:55 BST 2016, operations=1.0, operationsPerMinute=24.65078060805259
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 03 15:03:55 BST 2016, end=Fri Jun 03 15:03:55 BST 2016, operations=1.0, operationsPerMinute=76.92307692307692
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 03 15:03:55 BST 2016, end=Fri Jun 03 15:03:56 BST 2016, operations=1.0, operationsPerMinute=63.02521008403362
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 03 15:03:56 BST 2016, end=Fri Jun 03 15:04:02 BST 2016, operations=1.0, operationsPerMinute=10.312822275696115
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 03 15:04:02 BST 2016, end=Fri Jun 03 15:04:04 BST 2016, operations=1.0, operationsPerMinute=39.24133420536298
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 03 15:04:04 BST 2016, end=Fri Jun 03 15:04:05 BST 2016, operations=1.0, operationsPerMinute=56.550424128180964
benchmark-name=startup.serial, mode=normal, start=Fri Jun 03 15:04:05 BST 2016, end=Fri Jun 03 15:04:07 BST 2016, operations=1.0, operationsPerMinute=26.89376961004034
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 03 15:04:07 BST 2016, end=Fri Jun 03 15:04:14 BST 2016, operations=1.0, operationsPerMinute=9.20104278484895
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 03 15:04:14 BST 2016, end=Fri Jun 03 15:04:36 BST 2016, operations=1.0, operationsPerMinute=2.7336097316506445
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 03 15:04:36 BST 2016, end=Fri Jun 03 15:04:36 BST 2016, operations=1.0, operationsPerMinute=69.93006993006993
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 03 15:04:49 BST 2016, end=Fri Jun 03 15:06:49 BST 2016, operations=466.4472546587084, operationsPerMinute=233.2236273293542, mode=normal, start=Fri Jun 03 15:06:51 BST 2016, end=Fri Jun 03 15:10:51 BST 2016, operations=967.7438584234726, operationsPerMinute=241.93596460586815
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 03 15:10:56 BST 2016, end=Fri Jun 03 15:12:56 BST 2016, operations=188.3935101762175, operationsPerMinute=94.19675508810874, mode=normal, start=Fri Jun 03 15:12:59 BST 2016, end=Fri Jun 03 15:16:59 BST 2016, operations=373.7572159547312, operationsPerMinute=93.4393039886828
benchmark-name=compress, mod=warmup, start=Fri Jun 03 15:17:03 BST 2016, end=Fri Jun 03 15:19:03 BST 2016, operations=368.3446744409997, operationsPerMinute=184.17233722049986, mode=normal, start=Fri Jun 03 15:19:05 BST 2016, end=Fri Jun 03 15:23:05 BST 2016, operations=736.8330607014019, operationsPerMinute=184.20826517535048
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 03 15:23:07 BST 2016, end=Fri Jun 03 15:25:07 BST 2016, operations=128.66372241650345, operationsPerMinute=64.33186120825172, mode=normal, start=Fri Jun 03 15:25:13 BST 2016, end=Fri Jun 03 15:29:13 BST 2016, operations=270.4973063078147, operationsPerMinute=67.62432657695368
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 03 15:29:18 BST 2016, end=Fri Jun 03 15:31:18 BST 2016, operations=218.4015567765568, operationsPerMinute=109.2007783882784, mode=normal, start=Fri Jun 03 15:31:21 BST 2016, end=Fri Jun 03 15:35:21 BST 2016, operations=435.7054580253762, operationsPerMinute=108.92636450634404
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 03 15:35:26 BST 2016, end=Fri Jun 03 15:37:26 BST 2016, operations=374.40071597547353, operationsPerMinute=187.20035798773677, mode=normal, start=Fri Jun 03 15:37:27 BST 2016, end=Fri Jun 03 15:41:27 BST 2016, operations=751.6807178757651, operationsPerMinute=187.92017946894128
benchmark-name=derby, mod=warmup, start=Fri Jun 03 15:42:37 BST 2016, end=Fri Jun 03 15:44:37 BST 2016, operations=333.3044617398965, operationsPerMinute=166.65223086994826, mode=normal, start=Fri Jun 03 15:44:38 BST 2016, end=Fri Jun 03 15:48:38 BST 2016, operations=666.0817228794923, operationsPerMinute=166.52043071987308
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 03 15:48:41 BST 2016, end=Fri Jun 03 15:50:41 BST 2016, operations=191.5994733891971, operationsPerMinute=95.79973669459855, mode=normal, start=Fri Jun 03 15:50:43 BST 2016, end=Fri Jun 03 15:54:43 BST 2016, operations=383.24406975957726, operationsPerMinute=95.81101743989431
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 03 15:54:47 BST 2016, end=Fri Jun 03 15:56:47 BST 2016, operations=79.76995172179744, operationsPerMinute=39.88497586089872, mode=normal, start=Fri Jun 03 15:56:55 BST 2016, end=Fri Jun 03 16:00:55 BST 2016, operations=159.34441566255998, operationsPerMinute=39.836103915639995
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 03 16:01:02 BST 2016, end=Fri Jun 03 16:03:02 BST 2016, operations=13.927138420414712, operationsPerMinute=6.963569210207356, mode=normal, start=Fri Jun 03 16:03:45 BST 2016, end=Fri Jun 03 16:07:45 BST 2016, operations=27.879380714994692, operationsPerMinute=6.969845178748673
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 03 16:08:20 BST 2016, end=Fri Jun 03 16:10:20 BST 2016, operations=67.38455184509144, operationsPerMinute=33.69227592254572, mode=normal, start=Fri Jun 03 16:10:29 BST 2016, end=Fri Jun 03 16:14:29 BST 2016, operations=133.24839045362324, operationsPerMinute=33.31209761340581
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 03 16:14:41 BST 2016, end=Fri Jun 03 16:16:41 BST 2016, operations=42.031136800128735, operationsPerMinute=21.015568400064367, mode=normal, start=Fri Jun 03 16:16:55 BST 2016, end=Fri Jun 03 16:20:55 BST 2016, operations=84.16751638841001, operationsPerMinute=21.041879097102502
