spec.jvm2008.report.run.location=RIDLEY1B007
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i3 CPU         540  @ 3.07GHz
spec.jvm2008.report.hw.number.of.cores=2
spec.jvm2008.report.hw.memory.size=3893
benchmark-name=check, mode=normal, start=Sat Jun 25 00:04:06 BST 2016, end=Sat Jun 25 00:04:06 BST 2016, operations=1.0, operationsPerMinute=759.493670886076
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 25 00:04:06 BST 2016, end=Sat Jun 25 00:04:06 BST 2016, operations=1.0, operationsPerMinute=384.61538461538464
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 25 00:04:06 BST 2016, end=Sat Jun 25 00:04:28 BST 2016, operations=1.0, operationsPerMinute=2.7463724996567036
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 25 00:04:28 BST 2016, end=Sat Jun 25 00:04:33 BST 2016, operations=1.0, operationsPerMinute=10.66477070742979
benchmark-name=startup.compress, mode=normal, start=Sat Jun 25 00:04:33 BST 2016, end=Sat Jun 25 00:04:36 BST 2016, operations=1.0, operationsPerMinute=27.422303473491773
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 25 00:04:36 BST 2016, end=Sat Jun 25 00:04:47 BST 2016, operations=1.0, operationsPerMinute=5.3031642213187205
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 25 00:04:47 BST 2016, end=Sat Jun 25 00:04:56 BST 2016, operations=1.0, operationsPerMinute=6.573901610605895
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 25 00:04:56 BST 2016, end=Sat Jun 25 00:05:04 BST 2016, operations=1.0, operationsPerMinute=7.883326763894363
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 25 00:05:04 BST 2016, end=Sat Jun 25 00:05:08 BST 2016, operations=1.0, operationsPerMinute=14.825796886582653
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 25 00:05:08 BST 2016, end=Sat Jun 25 00:05:09 BST 2016, operations=1.0, operationsPerMinute=51.19453924914676
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 25 00:05:09 BST 2016, end=Sat Jun 25 00:05:11 BST 2016, operations=1.0, operationsPerMinute=34.285714285714285
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 25 00:05:11 BST 2016, end=Sat Jun 25 00:05:18 BST 2016, operations=1.0, operationsPerMinute=8.363534987454697
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 25 00:05:18 BST 2016, end=Sat Jun 25 00:05:20 BST 2016, operations=1.0, operationsPerMinute=31.21748178980229
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 25 00:05:20 BST 2016, end=Sat Jun 25 00:05:22 BST 2016, operations=1.0, operationsPerMinute=26.845637583892618
benchmark-name=startup.serial, mode=normal, start=Sat Jun 25 00:05:22 BST 2016, end=Sat Jun 25 00:05:26 BST 2016, operations=1.0, operationsPerMinute=16.268980477223426
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 25 00:05:26 BST 2016, end=Sat Jun 25 00:05:33 BST 2016, operations=1.0, operationsPerMinute=7.755946225439503
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 25 00:05:33 BST 2016, end=Sat Jun 25 00:06:03 BST 2016, operations=1.0, operationsPerMinute=2.059732234809475
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 25 00:06:03 BST 2016, end=Sat Jun 25 00:06:04 BST 2016, operations=1.0, operationsPerMinute=39.973351099267155
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 25 00:06:22 BST 2016, end=Sat Jun 25 00:08:22 BST 2016, operations=227.01199853398927, operationsPerMinute=113.50599926699464, mode=normal, start=Sat Jun 25 00:08:25 BST 2016, end=Sat Jun 25 00:12:25 BST 2016, operations=464.93060367475886, operationsPerMinute=116.23265091868971
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 25 00:12:32 BST 2016, end=Sat Jun 25 00:14:32 BST 2016, operations=91.68290790846768, operationsPerMinute=45.84145395423384, mode=normal, start=Sat Jun 25 00:14:37 BST 2016, end=Sat Jun 25 00:18:37 BST 2016, operations=181.6535265099111, operationsPerMinute=45.413381627477776
benchmark-name=compress, mod=warmup, start=Sat Jun 25 00:18:44 BST 2016, end=Sat Jun 25 00:20:44 BST 2016, operations=157.2802625299678, operationsPerMinute=78.6401312649839, mode=normal, start=Sat Jun 25 00:20:48 BST 2016, end=Sat Jun 25 00:24:48 BST 2016, operations=314.5498479282884, operationsPerMinute=78.6374619820721
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 25 00:24:52 BST 2016, end=Sat Jun 25 00:26:52 BST 2016, operations=45.209913010240015, operationsPerMinute=22.604956505120008, mode=normal, start=Sat Jun 25 00:27:07 BST 2016, end=Sat Jun 25 00:31:07 BST 2016, operations=95.3097860864647, operationsPerMinute=23.827446521616174
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 25 00:31:21 BST 2016, end=Sat Jun 25 00:33:21 BST 2016, operations=83.57856144362492, operationsPerMinute=41.78928072181246, mode=normal, start=Sat Jun 25 00:33:27 BST 2016, end=Sat Jun 25 00:37:27 BST 2016, operations=166.84766687612108, operationsPerMinute=41.71191671903027
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 25 00:37:34 BST 2016, end=Sat Jun 25 00:39:34 BST 2016, operations=143.62916547232157, operationsPerMinute=71.81458273616079, mode=normal, start=Sat Jun 25 00:39:39 BST 2016, end=Sat Jun 25 00:43:39 BST 2016, operations=287.02644966780895, operationsPerMinute=71.75661241695224
benchmark-name=derby, mod=warmup, start=Sat Jun 25 00:45:17 BST 2016, end=Sat Jun 25 00:47:17 BST 2016, operations=131.63205934665731, operationsPerMinute=65.81602967332866, mode=normal, start=Sat Jun 25 00:47:21 BST 2016, end=Sat Jun 25 00:51:21 BST 2016, operations=265.1373735400769, operationsPerMinute=66.28434338501923
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 25 00:51:27 BST 2016, end=Sat Jun 25 00:53:27 BST 2016, operations=78.49320048779516, operationsPerMinute=39.24660024389758, mode=normal, start=Sat Jun 25 00:53:34 BST 2016, end=Sat Jun 25 00:57:34 BST 2016, operations=156.90141449976744, operationsPerMinute=39.22535362494186
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 25 00:57:43 BST 2016, end=Sat Jun 25 00:59:43 BST 2016, operations=53.94105594410695, operationsPerMinute=26.970527972053475, mode=normal, start=Sat Jun 25 00:59:54 BST 2016, end=Sat Jun 25 01:03:54 BST 2016, operations=104.0049851805276, operationsPerMinute=26.0012462951319
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 25 01:04:07 BST 2016, end=Sat Jun 25 01:06:07 BST 2016, operations=13.718741608713383, operationsPerMinute=6.859370804356692, mode=normal, start=Sat Jun 25 01:06:55 BST 2016, end=Sat Jun 25 01:10:55 BST 2016, operations=27.534058383217314, operationsPerMinute=6.8835145958043285
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 25 01:11:34 BST 2016, end=Sat Jun 25 01:13:34 BST 2016, operations=50.92555371128871, operationsPerMinute=25.462776855644353, mode=normal, start=Sat Jun 25 01:13:46 BST 2016, end=Sat Jun 25 01:17:46 BST 2016, operations=102.03686397669327, operationsPerMinute=25.509215994173317
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 25 01:17:57 BST 2016, end=Sat Jun 25 01:19:57 BST 2016, operations=29.440970188165995, operationsPerMinute=14.720485094082997, mode=normal, start=Sat Jun 25 01:20:21 BST 2016, end=Sat Jun 25 01:24:21 BST 2016, operations=58.78055006832385, operationsPerMinute=14.695137517080962
