spec.jvm2008.report.run.location=GLAZIER07
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8066
benchmark-name=check, mode=normal, start=Fri Jun 24 07:09:04 BST 2016, end=Fri Jun 24 07:09:04 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 07:09:04 BST 2016, end=Fri Jun 24 07:09:04 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 07:09:04 BST 2016, end=Fri Jun 24 07:09:22 BST 2016, operations=1.0, operationsPerMinute=3.455624028105742
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 07:09:22 BST 2016, end=Fri Jun 24 07:09:26 BST 2016, operations=1.0, operationsPerMinute=14.570179698882953
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 07:09:26 BST 2016, end=Fri Jun 24 07:09:27 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 07:09:27 BST 2016, end=Fri Jun 24 07:09:37 BST 2016, operations=1.0, operationsPerMinute=6.563833278634723
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 07:09:37 BST 2016, end=Fri Jun 24 07:09:44 BST 2016, operations=1.0, operationsPerMinute=7.570977917981073
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 07:09:44 BST 2016, end=Fri Jun 24 07:09:51 BST 2016, operations=1.0, operationsPerMinute=8.741258741258742
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 07:09:51 BST 2016, end=Fri Jun 24 07:09:54 BST 2016, operations=1.0, operationsPerMinute=22.23869532987398
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 07:09:54 BST 2016, end=Fri Jun 24 07:09:55 BST 2016, operations=1.0, operationsPerMinute=67.41573033707866
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 07:09:55 BST 2016, end=Fri Jun 24 07:09:56 BST 2016, operations=1.0, operationsPerMinute=54.200542005420054
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 07:09:56 BST 2016, end=Fri Jun 24 07:10:02 BST 2016, operations=1.0, operationsPerMinute=9.71188086759469
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 07:10:02 BST 2016, end=Fri Jun 24 07:10:04 BST 2016, operations=1.0, operationsPerMinute=38.83495145631068
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 07:10:04 BST 2016, end=Fri Jun 24 07:10:05 BST 2016, operations=1.0, operationsPerMinute=51.99306759098787
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 07:10:05 BST 2016, end=Fri Jun 24 07:10:08 BST 2016, operations=1.0, operationsPerMinute=23.032629558541267
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 07:10:08 BST 2016, end=Fri Jun 24 07:10:14 BST 2016, operations=1.0, operationsPerMinute=8.861320336730174
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 07:10:14 BST 2016, end=Fri Jun 24 07:10:39 BST 2016, operations=1.0, operationsPerMinute=2.4038461538461537
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 07:10:39 BST 2016, end=Fri Jun 24 07:10:40 BST 2016, operations=1.0, operationsPerMinute=54.200542005420054
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 07:10:54 BST 2016, end=Fri Jun 24 07:12:54 BST 2016, operations=398.3851038281731, operationsPerMinute=199.19255191408655, mode=normal, start=Fri Jun 24 07:12:56 BST 2016, end=Fri Jun 24 07:16:56 BST 2016, operations=808.9324156050241, operationsPerMinute=202.23310390125602
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 07:17:01 BST 2016, end=Fri Jun 24 07:19:01 BST 2016, operations=158.46613036861973, operationsPerMinute=79.23306518430987, mode=normal, start=Fri Jun 24 07:19:05 BST 2016, end=Fri Jun 24 07:23:05 BST 2016, operations=323.8033568677313, operationsPerMinute=80.95083921693282
benchmark-name=compress, mod=warmup, start=Fri Jun 24 07:23:09 BST 2016, end=Fri Jun 24 07:25:09 BST 2016, operations=342.6786348326596, operationsPerMinute=171.3393174163298, mode=normal, start=Fri Jun 24 07:25:11 BST 2016, end=Fri Jun 24 07:29:11 BST 2016, operations=694.4708257783508, operationsPerMinute=173.6177064445877
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 07:29:14 BST 2016, end=Fri Jun 24 07:31:14 BST 2016, operations=117.16082544210965, operationsPerMinute=58.58041272105483, mode=normal, start=Fri Jun 24 07:31:20 BST 2016, end=Fri Jun 24 07:35:20 BST 2016, operations=245.7711791546257, operationsPerMinute=61.44279478865643
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 24 07:35:26 BST 2016, end=Fri Jun 24 07:37:26 BST 2016, operations=206.34154947266734, operationsPerMinute=103.17077473633367, mode=normal, start=Fri Jun 24 07:37:30 BST 2016, end=Fri Jun 24 07:41:30 BST 2016, operations=412.04016862263177, operationsPerMinute=103.01004215565794
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 24 07:41:35 BST 2016, end=Fri Jun 24 07:43:35 BST 2016, operations=352.20669799717956, operationsPerMinute=176.10334899858978, mode=normal, start=Fri Jun 24 07:43:37 BST 2016, end=Fri Jun 24 07:47:37 BST 2016, operations=708.0937991422643, operationsPerMinute=177.02344978556607
benchmark-name=derby, mod=warmup, start=Fri Jun 24 07:48:49 BST 2016, end=Fri Jun 24 07:50:49 BST 2016, operations=263.4002231045671, operationsPerMinute=131.70011155228354, mode=normal, start=Fri Jun 24 07:50:52 BST 2016, end=Fri Jun 24 07:54:52 BST 2016, operations=528.8437556111444, operationsPerMinute=132.2109389027861
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 24 07:54:55 BST 2016, end=Fri Jun 24 07:56:55 BST 2016, operations=173.41700695517156, operationsPerMinute=86.70850347758578, mode=normal, start=Fri Jun 24 07:56:59 BST 2016, end=Fri Jun 24 08:00:59 BST 2016, operations=347.05292724164195, operationsPerMinute=86.76323181041049
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 24 08:01:04 BST 2016, end=Fri Jun 24 08:03:04 BST 2016, operations=99.8752778923144, operationsPerMinute=49.9376389461572, mode=normal, start=Fri Jun 24 08:03:11 BST 2016, end=Fri Jun 24 08:07:11 BST 2016, operations=203.02162283463502, operationsPerMinute=50.755405708658756
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 24 08:07:19 BST 2016, end=Fri Jun 24 08:09:19 BST 2016, operations=21.74239577518776, operationsPerMinute=10.87119788759388, mode=normal, start=Fri Jun 24 08:09:47 BST 2016, end=Fri Jun 24 08:13:47 BST 2016, operations=43.2102762943652, operationsPerMinute=10.8025690735913
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 24 08:14:08 BST 2016, end=Fri Jun 24 08:16:08 BST 2016, operations=69.79152141051419, operationsPerMinute=34.895760705257096, mode=normal, start=Fri Jun 24 08:16:18 BST 2016, end=Fri Jun 24 08:20:18 BST 2016, operations=139.33914717478345, operationsPerMinute=34.83478679369586
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 24 08:20:27 BST 2016, end=Fri Jun 24 08:22:27 BST 2016, operations=72.2358704934164, operationsPerMinute=36.1179352467082, mode=normal, start=Fri Jun 24 08:22:36 BST 2016, end=Fri Jun 24 08:26:36 BST 2016, operations=144.78850412663417, operationsPerMinute=36.19712603165854
benchmark-name=scimark.fft.small, mod=warmup, start=Fri Jun 24 08:26:45 BST 2016, end=Fri Jun 24 08:28:45 BST 2016, operations=542.3086263696715, operationsPerMinute=271.15431318483576, mode=normal, start=Fri Jun 24 08:28:46 BST 2016, end=Fri Jun 24 08:32:46 BST 2016, operations=1175.7888661851512, operationsPerMinute=293.9472165462878
benchmark-name=scimark.lu.small, mod=warmup, start=Fri Jun 24 08:32:48 BST 2016, end=Fri Jun 24 08:34:48 BST 2016, operations=463.7799063835171, operationsPerMinute=231.88995319175854, mode=normal, start=Fri Jun 24 08:34:50 BST 2016, end=Fri Jun 24 08:38:50 BST 2016, operations=927.4121466052301, operationsPerMinute=231.85303665130752
benchmark-name=scimark.sor.small, mod=warmup, start=Fri Jun 24 08:38:51 BST 2016, end=Fri Jun 24 08:40:51 BST 2016, operations=301.52752986404624, operationsPerMinute=150.76376493202312, mode=normal, start=Fri Jun 24 08:40:53 BST 2016, end=Fri Jun 24 08:44:53 BST 2016, operations=602.160395418394, operationsPerMinute=150.5400988545985
benchmark-name=scimark.sparse.small, mod=warmup, start=Fri Jun 24 08:44:56 BST 2016, end=Fri Jun 24 08:46:56 BST 2016, operations=432.84008079766204, operationsPerMinute=216.42004039883102, mode=normal, start=Fri Jun 24 08:46:58 BST 2016, end=Fri Jun 24 08:50:58 BST 2016, operations=862.5771541359253, operationsPerMinute=215.64428853398132
benchmark-name=scimark.monte_carlo, mod=warmup, start=Fri Jun 24 08:51:01 BST 2016, end=Fri Jun 24 08:53:01 BST 2016, operations=97.6527867917525, operationsPerMinute=48.82639339587625, mode=normal, start=Fri Jun 24 08:53:09 BST 2016, end=Fri Jun 24 08:57:09 BST 2016, operations=196.14830393561874, operationsPerMinute=49.037075983904685
benchmark-name=serial, mod=warmup, start=Fri Jun 24 08:57:18 BST 2016, end=Fri Jun 24 08:59:18 BST 2016, operations=188.1987841816461, operationsPerMinute=94.09939209082305, mode=normal, start=Fri Jun 24 08:59:23 BST 2016, end=Fri Jun 24 09:03:23 BST 2016, operations=367.5743590399943, operationsPerMinute=91.89358975999858
benchmark-name=sunflow, mod=warmup, start=Fri Jun 24 09:03:26 BST 2016, end=Fri Jun 24 09:05:26 BST 2016, operations=137.79525795276703, operationsPerMinute=68.89762897638352, mode=normal, start=Fri Jun 24 09:05:28 BST 2016, end=Fri Jun 24 09:09:28 BST 2016, operations=275.13065893540124, operationsPerMinute=68.78266473385031
