spec.jvm2008.report.run.location=UNION79
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Thu Jun 30 14:36:33 BST 2016, end=Thu Jun 30 14:36:33 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Thu Jun 30 14:36:33 BST 2016, end=Thu Jun 30 14:36:33 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu Jun 30 14:36:33 BST 2016, end=Thu Jun 30 14:36:54 BST 2016, operations=1.0, operationsPerMinute=2.8343332231092635
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu Jun 30 14:36:54 BST 2016, end=Thu Jun 30 14:36:59 BST 2016, operations=1.0, operationsPerMinute=12.776831345826235
benchmark-name=startup.compress, mode=normal, start=Thu Jun 30 14:36:59 BST 2016, end=Thu Jun 30 14:37:01 BST 2016, operations=1.0, operationsPerMinute=33.74578177727784
benchmark-name=startup.crypto.aes, mode=normal, start=Thu Jun 30 14:37:01 BST 2016, end=Thu Jun 30 14:37:11 BST 2016, operations=1.0, operationsPerMinute=6.028333165879634
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu Jun 30 14:37:11 BST 2016, end=Thu Jun 30 14:37:20 BST 2016, operations=1.0, operationsPerMinute=6.892590465249857
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu Jun 30 14:37:20 BST 2016, end=Thu Jun 30 14:37:27 BST 2016, operations=1.0, operationsPerMinute=8.342602892102336
benchmark-name=startup.mpegaudio, mode=normal, start=Thu Jun 30 14:37:27 BST 2016, end=Thu Jun 30 14:37:30 BST 2016, operations=1.0, operationsPerMinute=19.5248942401562
benchmark-name=startup.scimark.fft, mode=normal, start=Thu Jun 30 14:37:30 BST 2016, end=Thu Jun 30 14:37:31 BST 2016, operations=1.0, operationsPerMinute=65.21739130434783
benchmark-name=startup.scimark.lu, mode=normal, start=Thu Jun 30 14:37:31 BST 2016, end=Thu Jun 30 14:37:32 BST 2016, operations=1.0, operationsPerMinute=48.661800486618006
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu Jun 30 14:37:32 BST 2016, end=Thu Jun 30 14:37:39 BST 2016, operations=1.0, operationsPerMinute=8.986071589036992
benchmark-name=startup.scimark.sor, mode=normal, start=Thu Jun 30 14:37:39 BST 2016, end=Thu Jun 30 14:37:40 BST 2016, operations=1.0, operationsPerMinute=34.96503496503497
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu Jun 30 14:37:40 BST 2016, end=Thu Jun 30 14:37:42 BST 2016, operations=1.0, operationsPerMinute=43.22766570605187
benchmark-name=startup.serial, mode=normal, start=Thu Jun 30 14:37:42 BST 2016, end=Thu Jun 30 14:37:45 BST 2016, operations=1.0, operationsPerMinute=19.926934573231485
benchmark-name=startup.sunflow, mode=normal, start=Thu Jun 30 14:37:45 BST 2016, end=Thu Jun 30 14:37:52 BST 2016, operations=1.0, operationsPerMinute=8.416327675690841
benchmark-name=startup.xml.transform, mode=normal, start=Thu Jun 30 14:37:52 BST 2016, end=Thu Jun 30 14:38:20 BST 2016, operations=1.0, operationsPerMinute=2.102828304068973
benchmark-name=startup.xml.validation, mode=normal, start=Thu Jun 30 14:38:20 BST 2016, end=Thu Jun 30 14:38:22 BST 2016, operations=1.0, operationsPerMinute=48.661800486618006
benchmark-name=compiler.compiler, mod=warmup, start=Thu Jun 30 14:38:38 BST 2016, end=Thu Jun 30 14:40:38 BST 2016, operations=351.2231256494757, operationsPerMinute=175.61156282473786, mode=normal, start=Thu Jun 30 14:40:40 BST 2016, end=Thu Jun 30 14:44:40 BST 2016, operations=726.9603033408945, operationsPerMinute=181.74007583522362
benchmark-name=compiler.sunflow, mod=warmup, start=Thu Jun 30 14:44:46 BST 2016, end=Thu Jun 30 14:46:46 BST 2016, operations=141.14174409562852, operationsPerMinute=70.57087204781426, mode=normal, start=Thu Jun 30 14:46:51 BST 2016, end=Thu Jun 30 14:50:51 BST 2016, operations=282.69123391616176, operationsPerMinute=70.67280847904044
benchmark-name=compress, mod=warmup, start=Thu Jun 30 14:50:55 BST 2016, end=Thu Jun 30 14:52:55 BST 2016, operations=270.2516025166295, operationsPerMinute=135.12580125831474, mode=normal, start=Thu Jun 30 14:52:57 BST 2016, end=Thu Jun 30 14:56:57 BST 2016, operations=539.833875387199, operationsPerMinute=134.95846884679975
benchmark-name=crypto.aes, mod=warmup, start=Thu Jun 30 14:57:01 BST 2016, end=Thu Jun 30 14:59:01 BST 2016, operations=86.1157961007274, operationsPerMinute=43.0578980503637, mode=normal, start=Thu Jun 30 14:59:08 BST 2016, end=Thu Jun 30 15:03:08 BST 2016, operations=180.58783226810192, operationsPerMinute=45.14695806702548
benchmark-name=crypto.rsa, mod=warmup, start=Thu Jun 30 15:03:17 BST 2016, end=Thu Jun 30 15:05:17 BST 2016, operations=145.98832855284533, operationsPerMinute=72.99416427642267, mode=normal, start=Thu Jun 30 15:05:22 BST 2016, end=Thu Jun 30 15:09:22 BST 2016, operations=292.71919523525924, operationsPerMinute=73.17979880881481
benchmark-name=crypto.signverify, mod=warmup, start=Thu Jun 30 15:09:28 BST 2016, end=Thu Jun 30 15:11:28 BST 2016, operations=252.91901310336306, operationsPerMinute=126.45950655168153, mode=normal, start=Thu Jun 30 15:11:31 BST 2016, end=Thu Jun 30 15:15:31 BST 2016, operations=504.1748091554127, operationsPerMinute=126.04370228885317
benchmark-name=derby, mod=warmup, start=Thu Jun 30 15:17:04 BST 2016, end=Thu Jun 30 15:19:04 BST 2016, operations=202.795474180341, operationsPerMinute=101.3977370901705, mode=normal, start=Thu Jun 30 15:19:07 BST 2016, end=Thu Jun 30 15:23:07 BST 2016, operations=408.0965462662588, operationsPerMinute=102.0241365665647
benchmark-name=mpegaudio, mod=warmup, start=Thu Jun 30 15:23:12 BST 2016, end=Thu Jun 30 15:25:12 BST 2016, operations=133.30164537509003, operationsPerMinute=66.65082268754502, mode=normal, start=Thu Jun 30 15:25:17 BST 2016, end=Thu Jun 30 15:29:17 BST 2016, operations=266.41383038930866, operationsPerMinute=66.60345759732716
benchmark-name=scimark.fft.large, mod=warmup, start=Thu Jun 30 15:29:22 BST 2016, end=Thu Jun 30 15:31:22 BST 2016, operations=85.32136294604065, operationsPerMinute=42.660681473020325, mode=normal, start=Thu Jun 30 15:31:30 BST 2016, end=Thu Jun 30 15:35:30 BST 2016, operations=170.7256222204057, operationsPerMinute=42.68140555510143
benchmark-name=scimark.lu.large, mod=warmup, start=Thu Jun 30 15:35:37 BST 2016, end=Thu Jun 30 15:37:37 BST 2016, operations=20.13633495954521, operationsPerMinute=10.068167479772605, mode=normal, start=Thu Jun 30 15:38:09 BST 2016, end=Thu Jun 30 15:42:09 BST 2016, operations=40.19486590530484, operationsPerMinute=10.04871647632621
benchmark-name=scimark.sor.large, mod=warmup, start=Thu Jun 30 15:42:44 BST 2016, end=Thu Jun 30 15:44:44 BST 2016, operations=55.402596828495724, operationsPerMinute=27.701298414247862, mode=normal, start=Thu Jun 30 15:44:53 BST 2016, end=Thu Jun 30 15:48:53 BST 2016, operations=110.81704902766026, operationsPerMinute=27.704262256915065
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu Jun 30 15:49:04 BST 2016, end=Thu Jun 30 15:51:04 BST 2016, operations=60.740225381173275, operationsPerMinute=30.370112690586637, mode=normal, start=Thu Jun 30 15:51:16 BST 2016, end=Thu Jun 30 15:55:16 BST 2016, operations=121.33545187353289, operationsPerMinute=30.333862968383222
