spec.jvm2008.report.run.location=KINGS09
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8066
benchmark-name=check, mode=normal, start=Sat Jun 25 03:33:36 BST 2016, end=Sat Jun 25 03:33:36 BST 2016, operations=1.0, operationsPerMinute=967.741935483871
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 25 03:33:36 BST 2016, end=Sat Jun 25 03:33:36 BST 2016, operations=1.0, operationsPerMinute=545.4545454545455
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 25 03:33:36 BST 2016, end=Sat Jun 25 03:33:52 BST 2016, operations=1.0, operationsPerMinute=3.8044512079132584
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 25 03:33:52 BST 2016, end=Sat Jun 25 03:33:56 BST 2016, operations=1.0, operationsPerMinute=14.906832298136646
benchmark-name=startup.compress, mode=normal, start=Sat Jun 25 03:33:56 BST 2016, end=Sat Jun 25 03:33:57 BST 2016, operations=1.0, operationsPerMinute=43.731778425655975
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 25 03:33:57 BST 2016, end=Sat Jun 25 03:34:06 BST 2016, operations=1.0, operationsPerMinute=6.665185514330149
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 25 03:34:06 BST 2016, end=Sat Jun 25 03:34:14 BST 2016, operations=1.0, operationsPerMinute=7.77000777000777
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 25 03:34:14 BST 2016, end=Sat Jun 25 03:34:21 BST 2016, operations=1.0, operationsPerMinute=9.007656508031827
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 25 03:34:21 BST 2016, end=Sat Jun 25 03:34:23 BST 2016, operations=1.0, operationsPerMinute=22.49718785151856
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 25 03:34:23 BST 2016, end=Sat Jun 25 03:34:24 BST 2016, operations=1.0, operationsPerMinute=68.64988558352402
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 25 03:34:24 BST 2016, end=Sat Jun 25 03:34:25 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 25 03:34:25 BST 2016, end=Sat Jun 25 03:34:31 BST 2016, operations=1.0, operationsPerMinute=9.938711280437303
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 25 03:34:31 BST 2016, end=Sat Jun 25 03:34:33 BST 2016, operations=1.0, operationsPerMinute=39.24133420536298
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 25 03:34:33 BST 2016, end=Sat Jun 25 03:34:34 BST 2016, operations=1.0, operationsPerMinute=52.67778753292362
benchmark-name=startup.serial, mode=normal, start=Sat Jun 25 03:34:34 BST 2016, end=Sat Jun 25 03:34:37 BST 2016, operations=1.0, operationsPerMinute=23.455824863174357
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 25 03:34:37 BST 2016, end=Sat Jun 25 03:34:43 BST 2016, operations=1.0, operationsPerMinute=8.80152559777028
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 25 03:34:43 BST 2016, end=Sat Jun 25 03:35:07 BST 2016, operations=1.0, operationsPerMinute=2.536997885835095
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 25 03:35:07 BST 2016, end=Sat Jun 25 03:35:08 BST 2016, operations=1.0, operationsPerMinute=55.762081784386616
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 25 03:35:21 BST 2016, end=Sat Jun 25 03:37:21 BST 2016, operations=416.2619039952717, operationsPerMinute=208.13095199763586, mode=normal, start=Sat Jun 25 03:37:22 BST 2016, end=Sat Jun 25 03:41:22 BST 2016, operations=846.2711391496875, operationsPerMinute=211.56778478742189
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 25 03:41:27 BST 2016, end=Sat Jun 25 03:43:27 BST 2016, operations=168.90675572822124, operationsPerMinute=84.45337786411062, mode=normal, start=Sat Jun 25 03:43:31 BST 2016, end=Sat Jun 25 03:47:31 BST 2016, operations=341.1903661970481, operationsPerMinute=85.29759154926202
benchmark-name=compress, mod=warmup, start=Sat Jun 25 03:47:35 BST 2016, end=Sat Jun 25 03:49:35 BST 2016, operations=355.43498143779016, operationsPerMinute=177.71749071889508, mode=normal, start=Sat Jun 25 03:49:37 BST 2016, end=Sat Jun 25 03:53:37 BST 2016, operations=700.0649985702571, operationsPerMinute=175.01624964256428
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 25 03:53:39 BST 2016, end=Sat Jun 25 03:55:39 BST 2016, operations=115.57757462058065, operationsPerMinute=57.788787310290324, mode=normal, start=Sat Jun 25 03:55:46 BST 2016, end=Sat Jun 25 03:59:46 BST 2016, operations=243.98915601793655, operationsPerMinute=60.99728900448414
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 25 03:59:52 BST 2016, end=Sat Jun 25 04:01:52 BST 2016, operations=200.96553026722654, operationsPerMinute=100.48276513361327, mode=normal, start=Sat Jun 25 04:01:56 BST 2016, end=Sat Jun 25 04:05:56 BST 2016, operations=419.16854479846756, operationsPerMinute=104.79213619961689
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 25 04:06:00 BST 2016, end=Sat Jun 25 04:08:00 BST 2016, operations=348.43271472396026, operationsPerMinute=174.21635736198013, mode=normal, start=Sat Jun 25 04:08:02 BST 2016, end=Sat Jun 25 04:12:02 BST 2016, operations=692.3240998502532, operationsPerMinute=173.0810249625633
benchmark-name=derby, mod=warmup, start=Sat Jun 25 04:13:17 BST 2016, end=Sat Jun 25 04:15:17 BST 2016, operations=226.49618419055602, operationsPerMinute=113.24809209527801, mode=normal, start=Sat Jun 25 04:15:20 BST 2016, end=Sat Jun 25 04:19:20 BST 2016, operations=496.1310461250953, operationsPerMinute=124.03276153127382
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 25 04:19:23 BST 2016, end=Sat Jun 25 04:21:23 BST 2016, operations=164.7237774724428, operationsPerMinute=82.3618887362214, mode=normal, start=Sat Jun 25 04:21:27 BST 2016, end=Sat Jun 25 04:25:27 BST 2016, operations=330.36181461397376, operationsPerMinute=82.59045365349344
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 25 04:25:31 BST 2016, end=Sat Jun 25 04:27:31 BST 2016, operations=99.6379353265226, operationsPerMinute=49.8189676632613, mode=normal, start=Sat Jun 25 04:27:39 BST 2016, end=Sat Jun 25 04:31:39 BST 2016, operations=194.84938368299473, operationsPerMinute=48.71234592074868
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 25 04:31:45 BST 2016, end=Sat Jun 25 04:33:45 BST 2016, operations=21.290579290849173, operationsPerMinute=10.645289645424587, mode=normal, start=Sat Jun 25 04:34:12 BST 2016, end=Sat Jun 25 04:38:12 BST 2016, operations=42.32834690755881, operationsPerMinute=10.582086726889703
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 25 04:38:50 BST 2016, end=Sat Jun 25 04:40:50 BST 2016, operations=68.09436975635076, operationsPerMinute=34.04718487817538, mode=normal, start=Sat Jun 25 04:41:02 BST 2016, end=Sat Jun 25 04:45:02 BST 2016, operations=135.89604063766163, operationsPerMinute=33.97401015941541
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 25 04:45:12 BST 2016, end=Sat Jun 25 04:47:12 BST 2016, operations=69.2589868534057, operationsPerMinute=34.62949342670285, mode=normal, start=Sat Jun 25 04:47:24 BST 2016, end=Sat Jun 25 04:51:24 BST 2016, operations=138.09062753833948, operationsPerMinute=34.52265688458487
