spec.jvm2008.report.run.location=LAW002
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8067
benchmark-name=check, mode=normal, start=Mon Jun 27 01:57:54 BST 2016, end=Mon Jun 27 01:57:54 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.helloworld, mode=normal, start=Mon Jun 27 01:57:54 BST 2016, end=Mon Jun 27 01:57:55 BST 2016, operations=1.0, operationsPerMinute=147.7832512315271
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jun 27 01:57:55 BST 2016, end=Mon Jun 27 01:58:15 BST 2016, operations=1.0, operationsPerMinute=2.9675058113655473
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jun 27 01:58:15 BST 2016, end=Mon Jun 27 01:58:20 BST 2016, operations=1.0, operationsPerMinute=12.610340479192939
benchmark-name=startup.compress, mode=normal, start=Mon Jun 27 01:58:20 BST 2016, end=Mon Jun 27 01:58:21 BST 2016, operations=1.0, operationsPerMinute=40.053404539385845
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jun 27 01:58:21 BST 2016, end=Mon Jun 27 01:58:31 BST 2016, operations=1.0, operationsPerMinute=6.223420806970231
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jun 27 01:58:31 BST 2016, end=Mon Jun 27 01:58:39 BST 2016, operations=1.0, operationsPerMinute=7.586294095334429
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jun 27 01:58:39 BST 2016, end=Mon Jun 27 01:58:46 BST 2016, operations=1.0, operationsPerMinute=8.6617583369424
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jun 27 01:58:46 BST 2016, end=Mon Jun 27 01:58:49 BST 2016, operations=1.0, operationsPerMinute=20.682523267838675
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jun 27 01:58:49 BST 2016, end=Mon Jun 27 01:58:50 BST 2016, operations=1.0, operationsPerMinute=64.1025641025641
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jun 27 01:58:50 BST 2016, end=Mon Jun 27 01:58:51 BST 2016, operations=1.0, operationsPerMinute=50.5902192242833
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jun 27 01:58:51 BST 2016, end=Mon Jun 27 01:58:57 BST 2016, operations=1.0, operationsPerMinute=9.114385538508278
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jun 27 01:58:57 BST 2016, end=Mon Jun 27 01:58:59 BST 2016, operations=1.0, operationsPerMinute=36.607687614399026
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jun 27 01:58:59 BST 2016, end=Mon Jun 27 01:59:00 BST 2016, operations=1.0, operationsPerMinute=45.80152671755725
benchmark-name=startup.serial, mode=normal, start=Mon Jun 27 01:59:00 BST 2016, end=Mon Jun 27 01:59:03 BST 2016, operations=1.0, operationsPerMinute=20.79002079002079
benchmark-name=startup.sunflow, mode=normal, start=Mon Jun 27 01:59:03 BST 2016, end=Mon Jun 27 01:59:10 BST 2016, operations=1.0, operationsPerMinute=8.253094910591471
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jun 27 01:59:10 BST 2016, end=Mon Jun 27 01:59:40 BST 2016, operations=1.0, operationsPerMinute=2.0360378703043875
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jun 27 01:59:40 BST 2016, end=Mon Jun 27 01:59:41 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jun 27 01:59:55 BST 2016, end=Mon Jun 27 02:01:55 BST 2016, operations=352.8963507335833, operationsPerMinute=176.44817536679165, mode=normal, start=Mon Jun 27 02:01:57 BST 2016, end=Mon Jun 27 02:05:57 BST 2016, operations=697.0494244469563, operationsPerMinute=174.26235611173908
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jun 27 02:06:03 BST 2016, end=Mon Jun 27 02:08:03 BST 2016, operations=137.56868696570055, operationsPerMinute=68.78434348285028, mode=normal, start=Mon Jun 27 02:08:07 BST 2016, end=Mon Jun 27 02:12:07 BST 2016, operations=316.5337851989814, operationsPerMinute=79.13344629974534
benchmark-name=compress, mod=warmup, start=Mon Jun 27 02:12:12 BST 2016, end=Mon Jun 27 02:14:12 BST 2016, operations=328.4757431455997, operationsPerMinute=164.23787157279986, mode=normal, start=Mon Jun 27 02:14:13 BST 2016, end=Mon Jun 27 02:18:13 BST 2016, operations=658.520871462584, operationsPerMinute=164.630217865646
benchmark-name=crypto.aes, mod=warmup, start=Mon Jun 27 02:18:16 BST 2016, end=Mon Jun 27 02:20:16 BST 2016, operations=108.82653840972112, operationsPerMinute=54.41326920486056, mode=normal, start=Mon Jun 27 02:20:23 BST 2016, end=Mon Jun 27 02:24:23 BST 2016, operations=229.34059829600767, operationsPerMinute=57.33514957400192
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jun 27 02:24:30 BST 2016, end=Mon Jun 27 02:26:30 BST 2016, operations=189.8591383338412, operationsPerMinute=94.9295691669206, mode=normal, start=Mon Jun 27 02:26:34 BST 2016, end=Mon Jun 27 02:30:34 BST 2016, operations=359.69629381499016, operationsPerMinute=89.92407345374754
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jun 27 02:30:39 BST 2016, end=Mon Jun 27 02:32:39 BST 2016, operations=260.8955008675455, operationsPerMinute=130.44775043377274, mode=normal, start=Mon Jun 27 02:32:42 BST 2016, end=Mon Jun 27 02:36:42 BST 2016, operations=640.3034344706555, operationsPerMinute=160.07585861766387
benchmark-name=derby, mod=warmup, start=Mon Jun 27 02:37:45 BST 2016, end=Mon Jun 27 02:39:45 BST 2016, operations=212.4822483715766, operationsPerMinute=106.2411241857883, mode=normal, start=Mon Jun 27 02:39:48 BST 2016, end=Mon Jun 27 02:43:48 BST 2016, operations=484.8075824555457, operationsPerMinute=121.20189561388642
benchmark-name=mpegaudio, mod=warmup, start=Mon Jun 27 02:43:51 BST 2016, end=Mon Jun 27 02:45:51 BST 2016, operations=140.25929498641358, operationsPerMinute=70.12964749320679, mode=normal, start=Mon Jun 27 02:46:10 BST 2016, end=Mon Jun 27 02:50:10 BST 2016, operations=280.9079055527789, operationsPerMinute=70.22697638819473
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jun 27 02:50:14 BST 2016, end=Mon Jun 27 02:52:14 BST 2016, operations=97.49584516255688, operationsPerMinute=48.74792258127844, mode=normal, start=Mon Jun 27 02:52:20 BST 2016, end=Mon Jun 27 02:56:20 BST 2016, operations=195.92589680023826, operationsPerMinute=48.981474200059566
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jun 27 02:56:27 BST 2016, end=Mon Jun 27 02:58:27 BST 2016, operations=21.724738832483354, operationsPerMinute=10.862369416241677, mode=normal, start=Mon Jun 27 02:58:56 BST 2016, end=Mon Jun 27 03:02:56 BST 2016, operations=43.48952889539382, operationsPerMinute=10.872382223848454
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jun 27 03:03:29 BST 2016, end=Mon Jun 27 03:05:29 BST 2016, operations=59.82356860947542, operationsPerMinute=29.91178430473771, mode=normal, start=Mon Jun 27 03:05:41 BST 2016, end=Mon Jun 27 03:09:41 BST 2016, operations=119.9469557456393, operationsPerMinute=29.986738936409825
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jun 27 03:09:53 BST 2016, end=Mon Jun 27 03:11:53 BST 2016, operations=71.7214901548865, operationsPerMinute=35.86074507744325, mode=normal, start=Mon Jun 27 03:12:02 BST 2016, end=Mon Jun 27 03:16:02 BST 2016, operations=141.8681557004209, operationsPerMinute=35.46703892510523
