spec.jvm2008.report.run.location=BEDSONTC037
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Thu Jun 23 04:27:31 BST 2016, end=Thu Jun 23 04:27:31 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Thu Jun 23 04:27:31 BST 2016, end=Thu Jun 23 04:27:31 BST 2016, operations=1.0, operationsPerMinute=428.57142857142856
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu Jun 23 04:27:31 BST 2016, end=Thu Jun 23 04:27:45 BST 2016, operations=1.0, operationsPerMinute=4.493035794518496
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu Jun 23 04:27:45 BST 2016, end=Thu Jun 23 04:27:48 BST 2016, operations=1.0, operationsPerMinute=17.641870038224052
benchmark-name=startup.compress, mode=normal, start=Thu Jun 23 04:27:48 BST 2016, end=Thu Jun 23 04:27:49 BST 2016, operations=1.0, operationsPerMinute=47.46835443037975
benchmark-name=startup.crypto.aes, mode=normal, start=Thu Jun 23 04:27:49 BST 2016, end=Thu Jun 23 04:27:58 BST 2016, operations=1.0, operationsPerMinute=7.057163020465773
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu Jun 23 04:27:58 BST 2016, end=Thu Jun 23 04:28:05 BST 2016, operations=1.0, operationsPerMinute=8.063432334363661
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu Jun 23 04:28:05 BST 2016, end=Thu Jun 23 04:28:12 BST 2016, operations=1.0, operationsPerMinute=9.157509157509157
benchmark-name=startup.mpegaudio, mode=normal, start=Thu Jun 23 04:28:12 BST 2016, end=Thu Jun 23 04:28:14 BST 2016, operations=1.0, operationsPerMinute=26.52519893899204
benchmark-name=startup.scimark.fft, mode=normal, start=Thu Jun 23 04:28:14 BST 2016, end=Thu Jun 23 04:28:15 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Thu Jun 23 04:28:15 BST 2016, end=Thu Jun 23 04:28:16 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu Jun 23 04:28:16 BST 2016, end=Thu Jun 23 04:28:21 BST 2016, operations=1.0, operationsPerMinute=10.865628395508873
benchmark-name=startup.scimark.sor, mode=normal, start=Thu Jun 23 04:28:21 BST 2016, end=Thu Jun 23 04:28:23 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu Jun 23 04:28:23 BST 2016, end=Thu Jun 23 04:28:24 BST 2016, operations=1.0, operationsPerMinute=62.047569803516026
benchmark-name=startup.serial, mode=normal, start=Thu Jun 23 04:28:24 BST 2016, end=Thu Jun 23 04:28:26 BST 2016, operations=1.0, operationsPerMinute=28.694404591104735
benchmark-name=startup.sunflow, mode=normal, start=Thu Jun 23 04:28:26 BST 2016, end=Thu Jun 23 04:28:32 BST 2016, operations=1.0, operationsPerMinute=9.335615372646647
benchmark-name=startup.xml.transform, mode=normal, start=Thu Jun 23 04:28:32 BST 2016, end=Thu Jun 23 04:28:53 BST 2016, operations=1.0, operationsPerMinute=2.954064300132933
benchmark-name=startup.xml.validation, mode=normal, start=Thu Jun 23 04:28:53 BST 2016, end=Thu Jun 23 04:28:53 BST 2016, operations=1.0, operationsPerMinute=71.25890736342043
benchmark-name=compiler.compiler, mod=warmup, start=Thu Jun 23 04:29:03 BST 2016, end=Thu Jun 23 04:31:03 BST 2016, operations=494.1985148700934, operationsPerMinute=247.0992574350467, mode=normal, start=Thu Jun 23 04:31:05 BST 2016, end=Thu Jun 23 04:35:05 BST 2016, operations=1021.4604838644141, operationsPerMinute=255.36512096610352
benchmark-name=compiler.sunflow, mod=warmup, start=Thu Jun 23 04:35:09 BST 2016, end=Thu Jun 23 04:37:09 BST 2016, operations=200.54731586851622, operationsPerMinute=100.27365793425811, mode=normal, start=Thu Jun 23 04:37:13 BST 2016, end=Thu Jun 23 04:41:13 BST 2016, operations=395.79996867408863, operationsPerMinute=98.94999216852216
benchmark-name=compress, mod=warmup, start=Thu Jun 23 04:41:17 BST 2016, end=Thu Jun 23 04:43:17 BST 2016, operations=399.57255907419994, operationsPerMinute=199.78627953709997, mode=normal, start=Thu Jun 23 04:43:19 BST 2016, end=Thu Jun 23 04:47:19 BST 2016, operations=799.4040373228625, operationsPerMinute=199.8510093307156
benchmark-name=crypto.aes, mod=warmup, start=Thu Jun 23 04:47:20 BST 2016, end=Thu Jun 23 04:49:20 BST 2016, operations=140.0541932126601, operationsPerMinute=70.02709660633005, mode=normal, start=Thu Jun 23 04:49:26 BST 2016, end=Thu Jun 23 04:53:26 BST 2016, operations=294.21953795376294, operationsPerMinute=73.55488448844073
benchmark-name=crypto.rsa, mod=warmup, start=Thu Jun 23 04:53:31 BST 2016, end=Thu Jun 23 04:55:31 BST 2016, operations=235.9418508671835, operationsPerMinute=117.97092543359174, mode=normal, start=Thu Jun 23 04:55:34 BST 2016, end=Thu Jun 23 04:59:34 BST 2016, operations=471.63998019646164, operationsPerMinute=117.90999504911541
benchmark-name=crypto.signverify, mod=warmup, start=Thu Jun 23 04:59:38 BST 2016, end=Thu Jun 23 05:01:38 BST 2016, operations=408.27377238590407, operationsPerMinute=204.13688619295203, mode=normal, start=Thu Jun 23 05:01:41 BST 2016, end=Thu Jun 23 05:05:41 BST 2016, operations=811.7110029211294, operationsPerMinute=202.92775073028236
benchmark-name=derby, mod=warmup, start=Thu Jun 23 05:06:03 BST 2016, end=Thu Jun 23 05:08:03 BST 2016, operations=360.1583900238497, operationsPerMinute=180.07919501192484, mode=normal, start=Thu Jun 23 05:08:05 BST 2016, end=Thu Jun 23 05:12:05 BST 2016, operations=720.6916345882948, operationsPerMinute=180.1729086470737
benchmark-name=mpegaudio, mod=warmup, start=Thu Jun 23 05:12:07 BST 2016, end=Thu Jun 23 05:14:07 BST 2016, operations=207.2455649208612, operationsPerMinute=103.6227824604306, mode=normal, start=Thu Jun 23 05:14:10 BST 2016, end=Thu Jun 23 05:18:10 BST 2016, operations=416.40987559254853, operationsPerMinute=104.10246889813713
benchmark-name=scimark.fft.large, mod=warmup, start=Thu Jun 23 05:18:14 BST 2016, end=Thu Jun 23 05:20:14 BST 2016, operations=70.0310418723057, operationsPerMinute=35.01552093615285, mode=normal, start=Thu Jun 23 05:20:23 BST 2016, end=Thu Jun 23 05:24:23 BST 2016, operations=146.14229611982194, operationsPerMinute=36.535574029955484
benchmark-name=scimark.lu.large, mod=warmup, start=Thu Jun 23 05:24:33 BST 2016, end=Thu Jun 23 05:26:33 BST 2016, operations=13.756915530832847, operationsPerMinute=6.878457765416424, mode=normal, start=Thu Jun 23 05:27:18 BST 2016, end=Thu Jun 23 05:31:18 BST 2016, operations=27.424725916822396, operationsPerMinute=6.856181479205599
benchmark-name=scimark.sor.large, mod=warmup, start=Thu Jun 23 05:31:48 BST 2016, end=Thu Jun 23 05:33:48 BST 2016, operations=74.40982529275544, operationsPerMinute=37.20491264637772, mode=normal, start=Thu Jun 23 05:33:57 BST 2016, end=Thu Jun 23 05:37:57 BST 2016, operations=149.2084283543738, operationsPerMinute=37.30210708859345
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu Jun 23 05:38:08 BST 2016, end=Thu Jun 23 05:40:08 BST 2016, operations=43.14138082420593, operationsPerMinute=21.570690412102966, mode=normal, start=Thu Jun 23 05:40:19 BST 2016, end=Thu Jun 23 05:44:19 BST 2016, operations=86.23646729191087, operationsPerMinute=21.559116822977717
