spec.jvm2008.report.run.location=BEDSONTC083
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jun 03 15:02:17 BST 2016, end=Fri Jun 03 15:02:17 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 03 15:02:17 BST 2016, end=Fri Jun 03 15:02:17 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 03 15:02:17 BST 2016, end=Fri Jun 03 15:02:31 BST 2016, operations=1.0, operationsPerMinute=4.263786242183058
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 03 15:02:31 BST 2016, end=Fri Jun 03 15:02:35 BST 2016, operations=1.0, operationsPerMinute=18.06140878988561
benchmark-name=startup.compress, mode=normal, start=Fri Jun 03 15:02:35 BST 2016, end=Fri Jun 03 15:02:36 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 03 15:02:36 BST 2016, end=Fri Jun 03 15:02:44 BST 2016, operations=1.0, operationsPerMinute=7.122507122507122
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 03 15:02:44 BST 2016, end=Fri Jun 03 15:02:52 BST 2016, operations=1.0, operationsPerMinute=8.012820512820513
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 03 15:02:52 BST 2016, end=Fri Jun 03 15:02:59 BST 2016, operations=1.0, operationsPerMinute=8.986071589036992
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 03 15:02:59 BST 2016, end=Fri Jun 03 15:03:01 BST 2016, operations=1.0, operationsPerMinute=25.9852750108272
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 03 15:03:01 BST 2016, end=Fri Jun 03 15:03:02 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 03 15:03:02 BST 2016, end=Fri Jun 03 15:03:02 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 03 15:03:02 BST 2016, end=Fri Jun 03 15:03:08 BST 2016, operations=1.0, operationsPerMinute=10.926971407758149
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 03 15:03:08 BST 2016, end=Fri Jun 03 15:03:09 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 03 15:03:09 BST 2016, end=Fri Jun 03 15:03:10 BST 2016, operations=1.0, operationsPerMinute=62.047569803516026
benchmark-name=startup.serial, mode=normal, start=Fri Jun 03 15:03:10 BST 2016, end=Fri Jun 03 15:03:12 BST 2016, operations=1.0, operationsPerMinute=28.91566265060241
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 03 15:03:12 BST 2016, end=Fri Jun 03 15:03:19 BST 2016, operations=1.0, operationsPerMinute=9.357454772301933
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 03 15:03:19 BST 2016, end=Fri Jun 03 15:03:39 BST 2016, operations=1.0, operationsPerMinute=2.9907287409032
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 03 15:03:39 BST 2016, end=Fri Jun 03 15:03:40 BST 2016, operations=1.0, operationsPerMinute=76.92307692307692
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 03 15:03:51 BST 2016, end=Fri Jun 03 15:05:51 BST 2016, operations=488.1027349695305, operationsPerMinute=244.05136748476525, mode=normal, start=Fri Jun 03 15:05:52 BST 2016, end=Fri Jun 03 15:09:52 BST 2016, operations=1008.8471400394477, operationsPerMinute=252.21178500986193
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 03 15:09:57 BST 2016, end=Fri Jun 03 15:11:57 BST 2016, operations=201.20569786364769, operationsPerMinute=100.60284893182384, mode=normal, start=Fri Jun 03 15:12:01 BST 2016, end=Fri Jun 03 15:16:01 BST 2016, operations=391.96423176019334, operationsPerMinute=97.99105794004834
benchmark-name=compress, mod=warmup, start=Fri Jun 03 15:16:04 BST 2016, end=Fri Jun 03 15:18:04 BST 2016, operations=401.5043132028352, operationsPerMinute=200.7521566014176, mode=normal, start=Fri Jun 03 15:18:06 BST 2016, end=Fri Jun 03 15:22:06 BST 2016, operations=804.1260484981836, operationsPerMinute=201.0315121245459
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 03 15:22:08 BST 2016, end=Fri Jun 03 15:24:08 BST 2016, operations=139.21291635557895, operationsPerMinute=69.60645817778948, mode=normal, start=Fri Jun 03 15:24:12 BST 2016, end=Fri Jun 03 15:28:12 BST 2016, operations=295.0366825026799, operationsPerMinute=73.75917062566998
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 03 15:28:17 BST 2016, end=Fri Jun 03 15:30:17 BST 2016, operations=236.22351608038872, operationsPerMinute=118.11175804019436, mode=normal, start=Fri Jun 03 15:30:21 BST 2016, end=Fri Jun 03 15:34:21 BST 2016, operations=472.5976855566879, operationsPerMinute=118.14942138917198
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 03 15:34:24 BST 2016, end=Fri Jun 03 15:36:24 BST 2016, operations=409.4769230769231, operationsPerMinute=204.73846153846154, mode=normal, start=Fri Jun 03 15:36:26 BST 2016, end=Fri Jun 03 15:40:26 BST 2016, operations=819.3338106338106, operationsPerMinute=204.83345265845264
benchmark-name=derby, mod=warmup, start=Fri Jun 03 15:41:08 BST 2016, end=Fri Jun 03 15:43:08 BST 2016, operations=363.4585065358936, operationsPerMinute=181.7292532679468, mode=normal, start=Fri Jun 03 15:43:11 BST 2016, end=Fri Jun 03 15:47:11 BST 2016, operations=732.76751192815, operationsPerMinute=183.1918779820375
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 03 15:47:13 BST 2016, end=Fri Jun 03 15:49:13 BST 2016, operations=209.5780323892887, operationsPerMinute=104.78901619464435, mode=normal, start=Fri Jun 03 15:49:17 BST 2016, end=Fri Jun 03 15:53:17 BST 2016, operations=419.57734001294926, operationsPerMinute=104.89433500323732
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 03 15:53:21 BST 2016, end=Fri Jun 03 15:55:21 BST 2016, operations=77.88581005267069, operationsPerMinute=38.942905026335346, mode=normal, start=Fri Jun 03 15:55:29 BST 2016, end=Fri Jun 03 15:59:29 BST 2016, operations=153.5880241952318, operationsPerMinute=38.39700604880795
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 03 15:59:42 BST 2016, end=Fri Jun 03 16:01:42 BST 2016, operations=13.75025164306089, operationsPerMinute=6.875125821530445, mode=normal, start=Fri Jun 03 16:02:28 BST 2016, end=Fri Jun 03 16:06:28 BST 2016, operations=27.693900721388133, operationsPerMinute=6.923475180347033
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 03 16:06:58 BST 2016, end=Fri Jun 03 16:08:58 BST 2016, operations=75.09281489411357, operationsPerMinute=37.54640744705679, mode=normal, start=Fri Jun 03 16:09:06 BST 2016, end=Fri Jun 03 16:13:06 BST 2016, operations=148.46942434459245, operationsPerMinute=37.11735608614811
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 03 16:13:16 BST 2016, end=Fri Jun 03 16:15:16 BST 2016, operations=43.29816140267438, operationsPerMinute=21.64908070133719, mode=normal, start=Fri Jun 03 16:15:26 BST 2016, end=Fri Jun 03 16:19:26 BST 2016, operations=86.8375546655644, operationsPerMinute=21.7093886663911
