spec.jvm2008.report.run.location=CASTLEAZES008
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Thu Jun 23 05:04:43 BST 2016, end=Thu Jun 23 05:04:43 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Thu Jun 23 05:04:43 BST 2016, end=Thu Jun 23 05:04:43 BST 2016, operations=1.0, operationsPerMinute=645.1612903225806
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu Jun 23 05:04:43 BST 2016, end=Thu Jun 23 05:04:56 BST 2016, operations=1.0, operationsPerMinute=4.79539641943734
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu Jun 23 05:04:56 BST 2016, end=Thu Jun 23 05:04:59 BST 2016, operations=1.0, operationsPerMinute=18.58160421183029
benchmark-name=startup.compress, mode=normal, start=Thu Jun 23 05:04:59 BST 2016, end=Thu Jun 23 05:05:00 BST 2016, operations=1.0, operationsPerMinute=46.33204633204633
benchmark-name=startup.crypto.aes, mode=normal, start=Thu Jun 23 05:05:00 BST 2016, end=Thu Jun 23 05:05:09 BST 2016, operations=1.0, operationsPerMinute=7.122507122507122
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu Jun 23 05:05:09 BST 2016, end=Thu Jun 23 05:05:16 BST 2016, operations=1.0, operationsPerMinute=8.046131151937777
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu Jun 23 05:05:16 BST 2016, end=Thu Jun 23 05:05:23 BST 2016, operations=1.0, operationsPerMinute=9.114385538508278
benchmark-name=startup.mpegaudio, mode=normal, start=Thu Jun 23 05:05:23 BST 2016, end=Thu Jun 23 05:05:25 BST 2016, operations=1.0, operationsPerMinute=26.89376961004034
benchmark-name=startup.scimark.fft, mode=normal, start=Thu Jun 23 05:05:25 BST 2016, end=Thu Jun 23 05:05:26 BST 2016, operations=1.0, operationsPerMinute=83.68200836820084
benchmark-name=startup.scimark.lu, mode=normal, start=Thu Jun 23 05:05:26 BST 2016, end=Thu Jun 23 05:05:27 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu Jun 23 05:05:27 BST 2016, end=Thu Jun 23 05:05:32 BST 2016, operations=1.0, operationsPerMinute=10.926971407758149
benchmark-name=startup.scimark.sor, mode=normal, start=Thu Jun 23 05:05:32 BST 2016, end=Thu Jun 23 05:05:34 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu Jun 23 05:05:34 BST 2016, end=Thu Jun 23 05:05:35 BST 2016, operations=1.0, operationsPerMinute=60.06006006006006
benchmark-name=startup.serial, mode=normal, start=Thu Jun 23 05:05:35 BST 2016, end=Thu Jun 23 05:05:37 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Thu Jun 23 05:05:37 BST 2016, end=Thu Jun 23 05:05:43 BST 2016, operations=1.0, operationsPerMinute=9.380863039399625
benchmark-name=startup.xml.transform, mode=normal, start=Thu Jun 23 05:05:43 BST 2016, end=Thu Jun 23 05:06:03 BST 2016, operations=1.0, operationsPerMinute=2.995506739890165
benchmark-name=startup.xml.validation, mode=normal, start=Thu Jun 23 05:06:03 BST 2016, end=Thu Jun 23 05:06:04 BST 2016, operations=1.0, operationsPerMinute=76.92307692307692
benchmark-name=compiler.compiler, mod=warmup, start=Thu Jun 23 05:06:14 BST 2016, end=Thu Jun 23 05:08:14 BST 2016, operations=487.2432443544622, operationsPerMinute=243.6216221772311, mode=normal, start=Thu Jun 23 05:08:15 BST 2016, end=Thu Jun 23 05:12:15 BST 2016, operations=1020.9970208781604, operationsPerMinute=255.2492552195401
benchmark-name=compiler.sunflow, mod=warmup, start=Thu Jun 23 05:12:19 BST 2016, end=Thu Jun 23 05:14:19 BST 2016, operations=192.9175858800304, operationsPerMinute=96.4587929400152, mode=normal, start=Thu Jun 23 05:14:22 BST 2016, end=Thu Jun 23 05:18:22 BST 2016, operations=382.0177789937371, operationsPerMinute=95.50444474843428
benchmark-name=compress, mod=warmup, start=Thu Jun 23 05:18:27 BST 2016, end=Thu Jun 23 05:20:27 BST 2016, operations=400.19732918569485, operationsPerMinute=200.09866459284743, mode=normal, start=Thu Jun 23 05:20:29 BST 2016, end=Thu Jun 23 05:24:29 BST 2016, operations=790.5791333802633, operationsPerMinute=197.64478334506583
benchmark-name=crypto.aes, mod=warmup, start=Thu Jun 23 05:24:31 BST 2016, end=Thu Jun 23 05:26:31 BST 2016, operations=139.42829895901795, operationsPerMinute=69.71414947950898, mode=normal, start=Thu Jun 23 05:26:37 BST 2016, end=Thu Jun 23 05:30:37 BST 2016, operations=294.5673377873444, operationsPerMinute=73.6418344468361
benchmark-name=crypto.rsa, mod=warmup, start=Thu Jun 23 05:30:42 BST 2016, end=Thu Jun 23 05:32:42 BST 2016, operations=235.7284367456758, operationsPerMinute=117.8642183728379, mode=normal, start=Thu Jun 23 05:32:46 BST 2016, end=Thu Jun 23 05:36:46 BST 2016, operations=471.4101381479646, operationsPerMinute=117.85253453699114
benchmark-name=crypto.signverify, mod=warmup, start=Thu Jun 23 05:36:50 BST 2016, end=Thu Jun 23 05:38:50 BST 2016, operations=406.29116856617895, operationsPerMinute=203.14558428308948, mode=normal, start=Thu Jun 23 05:38:52 BST 2016, end=Thu Jun 23 05:42:52 BST 2016, operations=812.4368777046617, operationsPerMinute=203.10921942616542
benchmark-name=derby, mod=warmup, start=Thu Jun 23 05:43:15 BST 2016, end=Thu Jun 23 05:45:15 BST 2016, operations=363.5929108855993, operationsPerMinute=181.79645544279964, mode=normal, start=Thu Jun 23 05:45:17 BST 2016, end=Thu Jun 23 05:49:17 BST 2016, operations=730.2834512630957, operationsPerMinute=182.57086281577392
benchmark-name=mpegaudio, mod=warmup, start=Thu Jun 23 05:49:19 BST 2016, end=Thu Jun 23 05:51:19 BST 2016, operations=208.2093051947494, operationsPerMinute=104.1046525973747, mode=normal, start=Thu Jun 23 05:51:23 BST 2016, end=Thu Jun 23 05:55:23 BST 2016, operations=415.8900891425761, operationsPerMinute=103.97252228564402
benchmark-name=scimark.fft.large, mod=warmup, start=Thu Jun 23 05:55:27 BST 2016, end=Thu Jun 23 05:57:27 BST 2016, operations=70.59514157581273, operationsPerMinute=35.297570787906366, mode=normal, start=Thu Jun 23 05:57:35 BST 2016, end=Thu Jun 23 06:01:35 BST 2016, operations=144.49191849984922, operationsPerMinute=36.122979624962305
benchmark-name=scimark.lu.large, mod=warmup, start=Thu Jun 23 06:01:44 BST 2016, end=Thu Jun 23 06:03:44 BST 2016, operations=13.806859332184082, operationsPerMinute=6.903429666092041, mode=normal, start=Thu Jun 23 06:04:28 BST 2016, end=Thu Jun 23 06:08:28 BST 2016, operations=27.586439672025577, operationsPerMinute=6.896609918006394
benchmark-name=scimark.sor.large, mod=warmup, start=Thu Jun 23 06:08:57 BST 2016, end=Thu Jun 23 06:10:57 BST 2016, operations=74.6508902356446, operationsPerMinute=37.3254451178223, mode=normal, start=Thu Jun 23 06:11:06 BST 2016, end=Thu Jun 23 06:15:06 BST 2016, operations=148.52333432756524, operationsPerMinute=37.13083358189131
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu Jun 23 06:15:16 BST 2016, end=Thu Jun 23 06:17:16 BST 2016, operations=42.71877914146175, operationsPerMinute=21.359389570730876, mode=normal, start=Thu Jun 23 06:17:28 BST 2016, end=Thu Jun 23 06:21:28 BST 2016, operations=85.84361751855431, operationsPerMinute=21.460904379638578
