spec.jvm2008.report.run.location=ROBLIB016
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8067
benchmark-name=check, mode=normal, start=Sat Jun 04 16:07:11 BST 2016, end=Sat Jun 04 16:07:11 BST 2016, operations=1.0, operationsPerMinute=750.0
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 16:07:11 BST 2016, end=Sat Jun 04 16:07:12 BST 2016, operations=1.0, operationsPerMinute=79.57559681697613
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 16:07:12 BST 2016, end=Sat Jun 04 16:07:34 BST 2016, operations=1.0, operationsPerMinute=2.7696994876055947
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 16:07:34 BST 2016, end=Sat Jun 04 16:07:39 BST 2016, operations=1.0, operationsPerMinute=10.758472296933835
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 16:07:39 BST 2016, end=Sat Jun 04 16:07:41 BST 2016, operations=1.0, operationsPerMinute=39.814200398142006
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 16:07:41 BST 2016, end=Sat Jun 04 16:07:50 BST 2016, operations=1.0, operationsPerMinute=6.333790773778106
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 16:07:50 BST 2016, end=Sat Jun 04 16:07:58 BST 2016, operations=1.0, operationsPerMinute=7.593975446146057
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 16:07:58 BST 2016, end=Sat Jun 04 16:08:05 BST 2016, operations=1.0, operationsPerMinute=8.94854586129754
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 16:08:05 BST 2016, end=Sat Jun 04 16:08:08 BST 2016, operations=1.0, operationsPerMinute=21.156558533145276
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 16:08:08 BST 2016, end=Sat Jun 04 16:08:09 BST 2016, operations=1.0, operationsPerMinute=66.3716814159292
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 16:08:09 BST 2016, end=Sat Jun 04 16:08:10 BST 2016, operations=1.0, operationsPerMinute=52.083333333333336
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 16:08:10 BST 2016, end=Sat Jun 04 16:08:16 BST 2016, operations=1.0, operationsPerMinute=9.40144155437167
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 16:08:16 BST 2016, end=Sat Jun 04 16:08:18 BST 2016, operations=1.0, operationsPerMinute=35.02626970227671
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 16:08:18 BST 2016, end=Sat Jun 04 16:08:19 BST 2016, operations=1.0, operationsPerMinute=47.961630695443645
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 16:08:19 BST 2016, end=Sat Jun 04 16:08:22 BST 2016, operations=1.0, operationsPerMinute=21.149101163200562
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 16:08:22 BST 2016, end=Sat Jun 04 16:08:29 BST 2016, operations=1.0, operationsPerMinute=8.56898029134533
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 16:08:29 BST 2016, end=Sat Jun 04 16:08:56 BST 2016, operations=1.0, operationsPerMinute=2.2053958685584063
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 16:08:56 BST 2016, end=Sat Jun 04 16:08:58 BST 2016, operations=1.0, operationsPerMinute=46.2962962962963
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 16:09:11 BST 2016, end=Sat Jun 04 16:11:11 BST 2016, operations=378.98345078989337, operationsPerMinute=189.49172539494668, mode=normal, start=Sat Jun 04 16:11:13 BST 2016, end=Sat Jun 04 16:15:13 BST 2016, operations=755.1787213878208, operationsPerMinute=188.7946803469552
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 16:15:19 BST 2016, end=Sat Jun 04 16:17:19 BST 2016, operations=143.59667787452125, operationsPerMinute=71.79833893726062, mode=normal, start=Sat Jun 04 16:17:24 BST 2016, end=Sat Jun 04 16:21:24 BST 2016, operations=279.8592727246299, operationsPerMinute=69.96481818115747
benchmark-name=compress, mod=warmup, start=Sat Jun 04 16:21:28 BST 2016, end=Sat Jun 04 16:23:28 BST 2016, operations=340.32793994901283, operationsPerMinute=170.16396997450641, mode=normal, start=Sat Jun 04 16:23:30 BST 2016, end=Sat Jun 04 16:27:30 BST 2016, operations=694.6299469579034, operationsPerMinute=173.65748673947584
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 16:27:33 BST 2016, end=Sat Jun 04 16:29:33 BST 2016, operations=113.42077108278673, operationsPerMinute=56.710385541393364, mode=normal, start=Sat Jun 04 16:29:40 BST 2016, end=Sat Jun 04 16:33:40 BST 2016, operations=239.266420432093, operationsPerMinute=59.81660510802325
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 16:33:46 BST 2016, end=Sat Jun 04 16:35:46 BST 2016, operations=200.24213011341632, operationsPerMinute=100.12106505670816, mode=normal, start=Sat Jun 04 16:35:50 BST 2016, end=Sat Jun 04 16:39:50 BST 2016, operations=402.1786849225356, operationsPerMinute=100.5446712306339
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 16:39:53 BST 2016, end=Sat Jun 04 16:41:53 BST 2016, operations=337.08933649617404, operationsPerMinute=168.54466824808702, mode=normal, start=Sat Jun 04 16:41:56 BST 2016, end=Sat Jun 04 16:45:56 BST 2016, operations=665.881079205334, operationsPerMinute=166.4702698013335
benchmark-name=derby, mod=warmup, start=Sat Jun 04 16:46:56 BST 2016, end=Sat Jun 04 16:48:56 BST 2016, operations=252.97221695725392, operationsPerMinute=126.48610847862696, mode=normal, start=Sat Jun 04 16:48:59 BST 2016, end=Sat Jun 04 16:52:59 BST 2016, operations=482.15335360746855, operationsPerMinute=120.53833840186714
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 16:53:03 BST 2016, end=Sat Jun 04 16:55:03 BST 2016, operations=164.46253587873707, operationsPerMinute=82.23126793936854, mode=normal, start=Sat Jun 04 16:55:08 BST 2016, end=Sat Jun 04 16:59:08 BST 2016, operations=285.1306392279439, operationsPerMinute=71.28265980698598
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 16:59:13 BST 2016, end=Sat Jun 04 17:01:13 BST 2016, operations=123.45409352152986, operationsPerMinute=61.72704676076493, mode=normal, start=Sat Jun 04 17:01:22 BST 2016, end=Sat Jun 04 17:05:22 BST 2016, operations=93.27475808218213, operationsPerMinute=23.318689520545533
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 17:09:59 BST 2016, end=Sat Jun 04 17:11:59 BST 2016, operations=21.898304580162353, operationsPerMinute=10.949152290081177, mode=normal, start=Sat Jun 04 17:12:49 BST 2016, end=Sat Jun 04 17:16:49 BST 2016, operations=48.19283944377933, operationsPerMinute=12.048209860944832
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 17:17:13 BST 2016, end=Sat Jun 04 17:19:13 BST 2016, operations=63.52634942948461, operationsPerMinute=31.763174714742306, mode=normal, start=Sat Jun 04 17:19:24 BST 2016, end=Sat Jun 04 17:23:24 BST 2016, operations=126.50964603005988, operationsPerMinute=31.62741150751497
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 17:23:40 BST 2016, end=Sat Jun 04 17:25:40 BST 2016, operations=76.59365162131893, operationsPerMinute=38.29682581065946, mode=normal, start=Sat Jun 04 17:25:50 BST 2016, end=Sat Jun 04 17:29:50 BST 2016, operations=153.8012014624965, operationsPerMinute=38.45030036562412
