spec.jvm2008.report.run.location=SUNSPACE14
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM)2 Quad CPU    Q9400  @ 2.66GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=4027
benchmark-name=check, mode=normal, start=Wed Jun 29 00:40:00 BST 2016, end=Wed Jun 29 00:40:00 BST 2016, operations=1.0, operationsPerMinute=645.1612903225806
benchmark-name=startup.helloworld, mode=normal, start=Wed Jun 29 00:40:00 BST 2016, end=Wed Jun 29 00:40:00 BST 2016, operations=1.0, operationsPerMinute=295.5665024630542
benchmark-name=startup.compiler.compiler, mode=normal, start=Wed Jun 29 00:40:00 BST 2016, end=Wed Jun 29 00:40:28 BST 2016, operations=1.0, operationsPerMinute=2.1620063418852697
benchmark-name=startup.compiler.sunflow, mode=normal, start=Wed Jun 29 00:40:28 BST 2016, end=Wed Jun 29 00:40:34 BST 2016, operations=1.0, operationsPerMinute=9.615384615384615
benchmark-name=startup.compress, mode=normal, start=Wed Jun 29 00:40:34 BST 2016, end=Wed Jun 29 00:40:37 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.crypto.aes, mode=normal, start=Wed Jun 29 00:40:37 BST 2016, end=Wed Jun 29 00:40:48 BST 2016, operations=1.0, operationsPerMinute=5.067139599695972
benchmark-name=startup.crypto.rsa, mode=normal, start=Wed Jun 29 00:40:48 BST 2016, end=Wed Jun 29 00:40:58 BST 2016, operations=1.0, operationsPerMinute=6.51890482398957
benchmark-name=startup.crypto.signverify, mode=normal, start=Wed Jun 29 00:40:58 BST 2016, end=Wed Jun 29 00:41:05 BST 2016, operations=1.0, operationsPerMinute=7.897854416216927
benchmark-name=startup.mpegaudio, mode=normal, start=Wed Jun 29 00:41:05 BST 2016, end=Wed Jun 29 00:41:10 BST 2016, operations=1.0, operationsPerMinute=13.449899125756557
benchmark-name=startup.scimark.fft, mode=normal, start=Wed Jun 29 00:41:10 BST 2016, end=Wed Jun 29 00:41:11 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.lu, mode=normal, start=Wed Jun 29 00:41:11 BST 2016, end=Wed Jun 29 00:41:13 BST 2016, operations=1.0, operationsPerMinute=28.275212064090482
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Wed Jun 29 00:41:13 BST 2016, end=Wed Jun 29 00:41:22 BST 2016, operations=1.0, operationsPerMinute=6.475285991797971
benchmark-name=startup.scimark.sor, mode=normal, start=Wed Jun 29 00:41:22 BST 2016, end=Wed Jun 29 00:41:25 BST 2016, operations=1.0, operationsPerMinute=27.86809103576405
benchmark-name=startup.scimark.sparse, mode=normal, start=Wed Jun 29 00:41:25 BST 2016, end=Wed Jun 29 00:41:27 BST 2016, operations=1.0, operationsPerMinute=24.66091245376079
benchmark-name=startup.serial, mode=normal, start=Wed Jun 29 00:41:27 BST 2016, end=Wed Jun 29 00:41:32 BST 2016, operations=1.0, operationsPerMinute=12.568077084206116
benchmark-name=startup.sunflow, mode=normal, start=Wed Jun 29 00:41:32 BST 2016, end=Wed Jun 29 00:41:39 BST 2016, operations=1.0, operationsPerMinute=7.979784545817263
benchmark-name=startup.xml.transform, mode=normal, start=Wed Jun 29 00:41:39 BST 2016, end=Wed Jun 29 00:42:27 BST 2016, operations=1.0, operationsPerMinute=1.2718600953895072
benchmark-name=startup.xml.validation, mode=normal, start=Wed Jun 29 00:42:27 BST 2016, end=Wed Jun 29 00:42:28 BST 2016, operations=1.0, operationsPerMinute=34.344590726960504
benchmark-name=compiler.compiler, mod=warmup, start=Wed Jun 29 00:42:50 BST 2016, end=Wed Jun 29 00:44:50 BST 2016, operations=290.50128054428296, operationsPerMinute=145.25064027214148, mode=normal, start=Wed Jun 29 00:44:52 BST 2016, end=Wed Jun 29 00:48:52 BST 2016, operations=581.3561033752597, operationsPerMinute=145.33902584381494
benchmark-name=compiler.sunflow, mod=warmup, start=Wed Jun 29 00:49:00 BST 2016, end=Wed Jun 29 00:51:00 BST 2016, operations=116.88230247005964, operationsPerMinute=58.44115123502982, mode=normal, start=Wed Jun 29 00:51:07 BST 2016, end=Wed Jun 29 00:55:07 BST 2016, operations=234.73872915490085, operationsPerMinute=58.68468228872521
benchmark-name=compress, mod=warmup, start=Wed Jun 29 00:55:12 BST 2016, end=Wed Jun 29 00:57:12 BST 2016, operations=252.98619481346432, operationsPerMinute=126.49309740673216, mode=normal, start=Wed Jun 29 00:57:15 BST 2016, end=Wed Jun 29 01:01:15 BST 2016, operations=503.3289597058264, operationsPerMinute=125.8322399264566
benchmark-name=crypto.aes, mod=warmup, start=Wed Jun 29 01:01:18 BST 2016, end=Wed Jun 29 01:03:18 BST 2016, operations=71.55726498503125, operationsPerMinute=35.77863249251563, mode=normal, start=Wed Jun 29 01:03:26 BST 2016, end=Wed Jun 29 01:07:26 BST 2016, operations=150.8922931447318, operationsPerMinute=37.72307328618295
benchmark-name=crypto.rsa, mod=warmup, start=Wed Jun 29 01:07:34 BST 2016, end=Wed Jun 29 01:09:34 BST 2016, operations=149.11483935469658, operationsPerMinute=74.55741967734829, mode=normal, start=Wed Jun 29 01:09:40 BST 2016, end=Wed Jun 29 01:13:40 BST 2016, operations=298.8657759825889, operationsPerMinute=74.71644399564723
benchmark-name=crypto.signverify, mod=warmup, start=Wed Jun 29 01:13:45 BST 2016, end=Wed Jun 29 01:15:45 BST 2016, operations=241.03068740040518, operationsPerMinute=120.51534370020259, mode=normal, start=Wed Jun 29 01:15:49 BST 2016, end=Wed Jun 29 01:19:49 BST 2016, operations=481.8314865999749, operationsPerMinute=120.45787164999372
benchmark-name=derby, mod=warmup, start=Wed Jun 29 01:20:42 BST 2016, end=Wed Jun 29 01:22:42 BST 2016, operations=167.83598028195905, operationsPerMinute=83.91799014097953, mode=normal, start=Wed Jun 29 01:22:45 BST 2016, end=Wed Jun 29 01:26:45 BST 2016, operations=337.3876052470597, operationsPerMinute=84.34690131176492
benchmark-name=mpegaudio, mod=warmup, start=Wed Jun 29 01:26:50 BST 2016, end=Wed Jun 29 01:28:50 BST 2016, operations=114.02809221221588, operationsPerMinute=57.01404610610794, mode=normal, start=Wed Jun 29 01:28:56 BST 2016, end=Wed Jun 29 01:32:56 BST 2016, operations=228.93028010622157, operationsPerMinute=57.23257002655539
benchmark-name=scimark.fft.large, mod=warmup, start=Wed Jun 29 01:33:04 BST 2016, end=Wed Jun 29 01:35:04 BST 2016, operations=33.43718091478199, operationsPerMinute=16.718590457390995, mode=normal, start=Wed Jun 29 01:35:24 BST 2016, end=Wed Jun 29 01:39:24 BST 2016, operations=68.59100921378635, operationsPerMinute=17.147752303446588
benchmark-name=scimark.lu.large, mod=warmup, start=Wed Jun 29 01:39:41 BST 2016, end=Wed Jun 29 01:41:41 BST 2016, operations=8.822030758041116, operationsPerMinute=4.411015379020558, mode=normal, start=Wed Jun 29 01:43:05 BST 2016, end=Wed Jun 29 01:47:05 BST 2016, operations=17.66994820031827, operationsPerMinute=4.4174870500795675
benchmark-name=scimark.sor.large, mod=warmup, start=Wed Jun 29 01:48:18 BST 2016, end=Wed Jun 29 01:50:18 BST 2016, operations=49.387510779560614, operationsPerMinute=24.693755389780307, mode=normal, start=Wed Jun 29 01:50:33 BST 2016, end=Wed Jun 29 01:54:33 BST 2016, operations=98.96675211604916, operationsPerMinute=24.74168802901229
benchmark-name=scimark.sparse.large, mod=warmup, start=Wed Jun 29 01:54:44 BST 2016, end=Wed Jun 29 01:56:44 BST 2016, operations=28.32419095624418, operationsPerMinute=14.16209547812209, mode=normal, start=Wed Jun 29 01:57:13 BST 2016, end=Wed Jun 29 02:01:13 BST 2016, operations=56.596402442297546, operationsPerMinute=14.149100610574386
