spec.jvm2008.report.run.location=OLDLIB030
spec.jvm2008.report.hw.cpu.name=Intel(R) Xeon(R) CPU E31270 @ 3.40GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=16341
benchmark-name=check, mode=normal, start=Fri Jun 03 15:04:19 BST 2016, end=Fri Jun 03 15:04:19 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 03 15:04:19 BST 2016, end=Fri Jun 03 15:04:19 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 03 15:04:19 BST 2016, end=Fri Jun 03 15:04:42 BST 2016, operations=1.0, operationsPerMinute=2.6146069374237406
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 03 15:04:42 BST 2016, end=Fri Jun 03 15:04:46 BST 2016, operations=1.0, operationsPerMinute=15.201418799087914
benchmark-name=startup.compress, mode=normal, start=Fri Jun 03 15:04:46 BST 2016, end=Fri Jun 03 15:04:47 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 03 15:04:47 BST 2016, end=Fri Jun 03 15:04:56 BST 2016, operations=1.0, operationsPerMinute=6.464124111182935
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 03 15:04:56 BST 2016, end=Fri Jun 03 15:05:04 BST 2016, operations=1.0, operationsPerMinute=7.646234229641902
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 03 15:05:04 BST 2016, end=Fri Jun 03 15:05:11 BST 2016, operations=1.0, operationsPerMinute=8.681811604688178
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 03 15:05:11 BST 2016, end=Fri Jun 03 15:05:14 BST 2016, operations=1.0, operationsPerMinute=22.76176024279211
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 03 15:05:14 BST 2016, end=Fri Jun 03 15:05:14 BST 2016, operations=1.0, operationsPerMinute=73.89162561576354
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 03 15:05:14 BST 2016, end=Fri Jun 03 15:05:16 BST 2016, operations=1.0, operationsPerMinute=56.60377358490566
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 03 15:05:16 BST 2016, end=Fri Jun 03 15:05:22 BST 2016, operations=1.0, operationsPerMinute=9.912440112340988
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 03 15:05:22 BST 2016, end=Fri Jun 03 15:05:23 BST 2016, operations=1.0, operationsPerMinute=40.899795501022496
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 03 15:05:23 BST 2016, end=Fri Jun 03 15:05:24 BST 2016, operations=1.0, operationsPerMinute=49.3421052631579
benchmark-name=startup.serial, mode=normal, start=Fri Jun 03 15:05:24 BST 2016, end=Fri Jun 03 15:05:27 BST 2016, operations=1.0, operationsPerMinute=22.89202594429607
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 03 15:05:27 BST 2016, end=Fri Jun 03 15:05:34 BST 2016, operations=1.0, operationsPerMinute=9.049773755656108
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 03 15:05:34 BST 2016, end=Fri Jun 03 15:05:59 BST 2016, operations=1.0, operationsPerMinute=2.3711666139740752
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 03 15:05:59 BST 2016, end=Fri Jun 03 15:06:00 BST 2016, operations=1.0, operationsPerMinute=55.762081784386616
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 03 15:06:14 BST 2016, end=Fri Jun 03 15:08:14 BST 2016, operations=455.7703068178654, operationsPerMinute=227.8851534089327, mode=normal, start=Fri Jun 03 15:08:18 BST 2016, end=Fri Jun 03 15:12:18 BST 2016, operations=926.4420019399741, operationsPerMinute=231.61050048499354
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 03 15:12:24 BST 2016, end=Fri Jun 03 15:14:24 BST 2016, operations=179.25384509992136, operationsPerMinute=89.62692254996068, mode=normal, start=Fri Jun 03 15:14:34 BST 2016, end=Fri Jun 03 15:18:34 BST 2016, operations=281.44026747532047, operationsPerMinute=70.36006686883012
benchmark-name=compress, mod=warmup, start=Fri Jun 03 15:18:41 BST 2016, end=Fri Jun 03 15:20:41 BST 2016, operations=448.31883010479515, operationsPerMinute=224.15941505239758, mode=normal, start=Fri Jun 03 15:20:45 BST 2016, end=Fri Jun 03 15:24:45 BST 2016, operations=890.185179829055, operationsPerMinute=222.54629495726374
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 03 15:24:49 BST 2016, end=Fri Jun 03 15:26:49 BST 2016, operations=122.14658820135415, operationsPerMinute=61.073294100677074, mode=normal, start=Fri Jun 03 15:26:59 BST 2016, end=Fri Jun 03 15:30:59 BST 2016, operations=250.23625098854592, operationsPerMinute=62.55906274713648
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 03 15:31:13 BST 2016, end=Fri Jun 03 15:33:13 BST 2016, operations=216.50768995673866, operationsPerMinute=108.25384497836933, mode=normal, start=Fri Jun 03 15:33:20 BST 2016, end=Fri Jun 03 15:37:20 BST 2016, operations=445.4659085677862, operationsPerMinute=111.36647714194655
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 03 15:37:26 BST 2016, end=Fri Jun 03 15:39:26 BST 2016, operations=388.87868395189037, operationsPerMinute=194.43934197594518, mode=normal, start=Fri Jun 03 15:39:30 BST 2016, end=Fri Jun 03 15:43:30 BST 2016, operations=727.9740487006757, operationsPerMinute=181.99351217516892
benchmark-name=derby, mod=warmup, start=Fri Jun 03 15:45:14 BST 2016, end=Fri Jun 03 15:47:14 BST 2016, operations=283.8497967569399, operationsPerMinute=141.92489837846995, mode=normal, start=Fri Jun 03 15:47:19 BST 2016, end=Fri Jun 03 15:51:19 BST 2016, operations=590.2538501023448, operationsPerMinute=147.5634625255862
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 03 15:51:25 BST 2016, end=Fri Jun 03 15:53:25 BST 2016, operations=196.4009519711817, operationsPerMinute=98.20047598559086, mode=normal, start=Fri Jun 03 15:53:35 BST 2016, end=Fri Jun 03 15:57:35 BST 2016, operations=356.97305581851185, operationsPerMinute=89.24326395462796
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 03 15:57:43 BST 2016, end=Fri Jun 03 15:59:43 BST 2016, operations=74.28952464272938, operationsPerMinute=37.14476232136469, mode=normal, start=Fri Jun 03 16:01:29 BST 2016, end=Fri Jun 03 16:05:29 BST 2016, operations=159.95771275500758, operationsPerMinute=39.989428188751894
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 03 16:05:48 BST 2016, end=Fri Jun 03 16:07:48 BST 2016, operations=15.209215101725619, operationsPerMinute=7.604607550862809, mode=normal, start=Fri Jun 03 16:09:56 BST 2016, end=Fri Jun 03 16:13:56 BST 2016, operations=38.44747193368165, operationsPerMinute=9.611867983420412
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 03 16:15:07 BST 2016, end=Fri Jun 03 16:17:07 BST 2016, operations=106.61578612506759, operationsPerMinute=53.30789306253379, mode=normal, start=Fri Jun 03 16:17:45 BST 2016, end=Fri Jun 03 16:21:45 BST 2016, operations=193.54697890731285, operationsPerMinute=48.38674472682821
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 03 16:22:39 BST 2016, end=Fri Jun 03 16:24:39 BST 2016, operations=53.38004933383119, operationsPerMinute=26.690024666915594, mode=normal, start=Fri Jun 03 16:25:17 BST 2016, end=Fri Jun 03 16:29:17 BST 2016, operations=108.68308849826221, operationsPerMinute=27.170772124565552
